Date,Open,High,Low,Close,Volume
20070625,33.1,33.23,32.95,32.95,4088
20070626,32.97,33.04,32.95,32.95,1966
20070627,32.52,32.52,32.45,32.45,605
20070628,33.05,33.1,33.04,33.1,757
20070629,33.42,33.42,33.12,33.12,9691
20070702,33.37,33.37,33.37,33.37,15143
20070703,33.53,33.53,33.51,33.51,757
20070705,33.59,33.59,33.51,33.57,2725
20070706,33.92,33.93,33.92,33.93,302
20070709,34.24,34.27,34.19,34.25,10295
20070710,34.19,34.19,34.01,34.09,1059
20070711,34.34,34.34,33.91,34.03,1665
20070712,34.33,34.52,34.31,34.52,2420
20070713,34.62,34.72,34.62,34.7,3179
20070716,34.69,34.69,34.58,34.58,1664
20070717,34.76,34.76,34.68,34.68,3330
20070718,34.5,34.5,34.34,34.46,20442
20070719,35.33,35.33,34.87,34.91,2269
20070720,35.15,35.2,34.83,34.93,3329
20070723,33.68,35.17,33.68,35.14,2117
20070724,35.06,35.15,34.79,34.79,5299
20070725,35.66,35.66,34.73,34.96,5902
20070726,34.11,34.11,33.65,33.81,5906
20070727,33.38,33.38,32.64,32.64,3935
20070730,33.2,33.53,33.15,33.53,1058
20070731,33.84,33.84,33.34,33.34,13628
20070801,32.79,32.79,32.79,32.79,757
20070802,32.98,32.98,32.98,32.98,151
20070803,32.33,32.89,32.33,32.38,4391
20070806,31.74,32.5,31.74,32.5,1210
20070807,31.88,32.25,31.88,32.25,453
20070808,33.08,34.03,32.27,32.83,141098
20070809,38.95,38.95,32.37,32.57,110994
20070810,31.39,31.8,31.33,31.8,1514
20070813,31.78,31.79,31.74,31.74,453
20070814,31.74,31.74,31.47,31.47,302
20070815,30.44,30.44,30.44,30.44,303
20070816,29.29,29.56,29.29,29.29,2270
20070817,39.61,39.61,29.64,29.66,2574
20070820,30.86,30.87,30.57,30.84,5450
20070821,31.21,31.4,31.2,31.31,7267
20070822,38.38,38.38,31.89,32.06,9519
20070823,32.6,32.6,32.25,32.35,4996
20070824,32.55,32.87,32.55,32.85,605
20070827,33.28,33.28,33.28,33.28,151
20070828,32.96,32.96,32.31,32.31,2726
20070829,32.47,32.52,32.47,32.52,2423
20070830,32.55,32.55,32.55,32.55,4543
20070831,33.51,33.51,33.49,33.51,757
20070904,33.48,33.82,33.48,33.82,1059
20070905,34.01,34.15,33.94,34.01,2875
20070906,33.92,33.99,33.92,33.99,605
20070907,33.55,33.55,33.55,33.55,454
20070910,33.3,33.3,33.3,33.3,606
20070911,33.88,33.88,33.88,33.88,151
20070912,34.46,34.69,34.46,34.58,1209
20070913,34.96,35.2,34.85,35.11,30740
20070914,35.86,35.86,34.94,35.24,6661
20070917,34.64,34.74,34.54,34.54,1962
20070918,34.46,35.64,34.46,35.58,34677
20070919,39.61,39.61,35.8,35.8,3634
20070920,35.84,36.21,35.8,35.8,3481
20070921,36.91,36.91,36.34,36.56,9797
20070924,36.65,36.65,36.56,36.56,3611
20070925,36.62,36.62,36.62,36.62,151
20070926,37.13,37.44,36.95,37.29,1357
20070927,37.87,37.87,37.65,37.82,5727
20070928,38.02,39.48,38.02,38.49,7835
20071001,38.44,39.69,38.44,39.57,7835
20071002,38.75,38.88,38.63,38.88,904
20071003,39,39,38.75,38.75,3466
20071004,37.84,37.84,37.75,37.78,2863
20071005,38.57,38.94,38.57,38.94,3919
20071008,38.57,38.57,38.42,38.46,15057
20071009,39.06,39.24,38.82,39.24,1206
20071010,39.44,39.44,39.15,39.29,2864
20071011,40.07,40.44,40.07,40.11,3466
20071012,40.1,40.17,40.07,40.09,5727
20071015,40.13,40.32,39.32,39.51,1960
20071016,39.34,39.34,39.13,39.14,754
20071017,39.96,39.96,39.59,39.59,754
20071018,39.82,40.01,39.79,40.01,2713
20071019,39.48,39.61,38.73,38.73,4070
20071022,40,40,38.75,38.75,1348
20071023,39.95,43.54,39.51,39.75,27127
20071024,39.79,39.79,38.88,39.74,3317
20071025,40.1,40.1,39.72,40.07,4670
20071026,41.43,41.55,38.32,41.53,2863
20071029,45.12,45.24,41.27,41.63,21550
20071030,42.28,42.49,42.21,42.33,6029
20071031,42.53,43.05,41.84,42.84,14923
20071101,41.37,41.51,40.8,41.01,1809
20071102,41.27,41.27,40.52,40.76,11755
20071105,39.34,39.87,39.34,39.42,753
20071106,39.42,39.7,39.03,39.53,6179
20071107,40.14,40.14,40.01,40.01,302
20071108,41.13,41.13,40.15,40.15,3844
20071109,39,39.22,38.82,38.82,2411
20071112,37.75,37.82,37.53,37.82,2444
20071113,35.94,39.55,35.94,39.55,2561
20071114,40.32,40.32,39.75,39.75,15222
20071115,39.81,39.81,38.69,38.73,4371
20071116,38.42,38.42,38.42,38.42,151
20071119,38,38,37.31,37.35,9496
20071120,38.08,38.53,37.69,37.69,4070
20071121,36.87,36.87,36.38,36.38,11152
20071123,36.83,37.35,36.83,37.35,1508
20071126,37.51,37.51,36.86,36.86,3167
20071127,37.17,37.82,37.17,37.82,4370
20071128,38.71,39.55,38.71,39.51,8592
20071130,39.63,39.7,39.63,39.7,4973
20071203,39.18,39.22,38.95,38.97,13865
20071204,39.19,39.19,39.19,39.19,301
20071205,39.98,40.24,39.95,40.24,3617
20071206,39.7,40.01,39.7,40.01,1658
20071207,39.71,39.71,39.51,39.51,3466
20071210,40.02,40.02,39.99,39.99,1507
20071211,40.03,40.03,38.98,38.98,4522
20071212,40.35,40.41,39.18,39.18,1507
20071213,38.62,38.62,38.29,38.29,604
20071214,38.41,38.41,37.96,38.1,15523
20071217,37.18,37.18,36.69,36.71,1508
20071218,37.25,37.25,37.18,37.25,753
20071219,37.31,37.55,37.21,37.55,754
20071220,37.17,37.42,37.09,37.42,7685
20071221,38.54,39.02,38.49,39.02,1347
20071224,39.63,39.68,39.07,39.68,20364
20071226,40.38,40.38,38.71,39.47,23807
20071227,38.73,39.64,38.07,39.4,7938
20071228,38.06,38.29,38.06,38.29,1647
20071231,38.59,38.77,38.57,38.63,2101
20080102,38.29,38.29,37.59,37.91,899
20080103,38.31,38.42,38.27,38.27,2995
20080104,38.18,38.18,37.41,37.44,12280
20080107,38.07,39.49,37.41,37.85,39992
20080108,38.11,38.37,37.97,38.04,8386
20080109,43.88,49.27,37.6,38.49,13252
20080110,37.77,38.64,37.77,38.64,1048
20080111,37.67,37.67,37.57,37.57,2245
20080114,37.29,37.41,37.29,37.4,2096
20080115,40.46,40.46,35.91,36.1,20514
20080116,35.4,35.83,34.98,35.01,78313
20080117,34.83,34.83,33.57,33.57,27851
20080118,35.32,35.86,34.59,34.59,10484
20080122,31.92,34.26,31.92,33.43,16768
20080123,33.18,33.82,32.66,33.82,2097
20080124,34.34,34.34,33.85,34.25,1648
20080125,35.4,35.4,34.73,34.73,13176
20080128,34.63,35.56,34.63,35.56,973
20080129,35.56,35.88,35.42,35.88,7637
20080131,34.03,35.32,34.03,35.32,25304
20080201,36.27,36.6,36.27,36.56,3445
20080204,36.27,36.31,36.27,36.3,449
20080205,34.58,34.58,34.58,34.58,150
20080206,34.91,35.02,34.55,34.55,899
20080207,34.56,34.56,34.56,34.56,1497
20080208,34.06,34.06,34.06,34.06,299
20080211,33.91,34.06,33.79,34.06,2395
20080212,34.97,35.54,34.97,35.38,2546
20080213,35.02,35.02,34.48,34.48,300
20080214,34.91,34.91,34.46,34.46,4192
20080215,35.34,35.34,34.98,34.98,2995
20080219,35.67,35.67,35.4,35.4,3293
20080220,34.49,36.3,33.75,35.28,214722
20080221,35.3,35.41,34.51,34.63,201997
20080222,34.71,34.75,34.26,34.75,31595
20080225,34.72,35.38,34.72,35.38,5539
20080226,35.78,36.1,35.78,36.04,4492
20080227,36.1,36.22,36.04,36.22,5989
20080228,36.06,36.06,35.95,35.95,599
20080229,34.71,34.71,34.53,34.55,9883
20080303,34.28,34.3,34.12,34.12,23826
20080304,33.17,33.56,33.17,33.56,2097
20080305,34.49,34.49,34.09,34.31,3744
20080306,33.69,33.73,33.59,33.73,17519
20080307,33.04,33.04,32.37,32.37,14226
20080310,32.62,32.62,32.28,32.44,5090
20080311,33.67,34.41,33.46,34.41,27101
20080312,34.05,34.05,33.71,33.71,748
20080313,32.92,32.92,32.46,32.46,3743
20080314,33.43,33.43,31.92,31.92,5390
20080317,32.02,32.02,32.02,32.02,299
20080318,32.95,33.63,32.95,33.63,19268
20080319,33.83,33.91,33.69,33.73,47917
20080324,33.04,33.36,32.83,33.2,4912
20080325,33.1,33.94,33.04,33.76,41814
20080326,34.36,34.36,33.8,33.82,27678
20080327,34.25,34.25,33.86,33.86,2976
20080331,33.62,33.69,33.49,33.49,4349
20080401,34.43,34.82,34.43,34.82,893
20080402,34.62,35.11,34.62,34.96,2679
20080404,35.89,35.89,35.47,35.67,1787
20080407,35.88,35.88,35.56,35.56,3869
20080408,35.32,35.32,35.15,35.15,1637
20080409,34.83,34.83,34.72,34.72,1326
20080410,34.72,34.72,34.68,34.68,2232
20080414,33.45,33.45,33.45,33.45,1481
20080415,33.66,34.07,33.38,34.07,55565
20080416,34.96,35.35,34.96,35.32,35443
20080417,34.86,34.86,34.65,34.65,997
20080418,34.87,34.91,34.78,34.78,740
20080421,35.59,35.59,35.43,35.43,1049
20080422,35.3,35.46,35.3,35.41,1191
20080423,35.67,36.2,35.25,35.72,33832
20080424,36.28,36.37,35.86,36.14,4521
20080425,35.44,35.48,35.34,35.48,1532
20080428,35.96,36.02,35.79,35.85,771
20080429,35.69,35.69,35.43,35.53,1155
20080430,35.91,35.91,35.72,35.72,2341
20080501,35.53,36.12,35.53,36.12,5678
20080502,36.56,36.56,36.56,36.56,149
20080505,36.38,37.01,36.38,36.73,16817
20080506,36.73,36.95,36.73,36.95,342
20080507,35.79,35.79,35.68,35.68,849
20080508,36.19,36.53,36.14,36.46,9178
20080509,36.43,36.63,36.36,36.36,776
20080513,37.2,37.2,37.05,37.16,1191
20080514,36.83,37.54,36.83,37.54,713
20080515,37.35,37.54,37.29,37.5,2775
20080516,37.57,37.88,37.57,37.88,15565
20080519,38.05,38.05,37.67,37.67,1637
20080520,37.04,37.04,37.04,37.04,149
20080521,37.42,37.42,36.67,36.81,1897
20080522,36.81,37.08,36.81,36.98,2798
20080523,36.58,36.58,36.23,36.23,463
20080528,36.47,36.48,36.29,36.43,1977
20080529,36.53,36.8,36.53,36.65,685
20080530,36.65,36.65,35.8,36.21,125993
20080602,35.93,36.01,35.53,35.53,1251
20080603,35.37,35.54,35.13,35.14,3351
20080604,35.28,35.62,35.28,35.42,2686
20080605,35.35,35.35,35.35,35.35,3704
20080606,35.27,35.27,35.27,35.27,149
20080609,34.38,34.45,34.23,34.45,17835
20080610,34.11,34.25,34.11,34.19,2009
20080611,34.12,34.33,33.6,33.63,5314
20080612,34,34.19,33.67,33.67,2086
20080613,33.32,34.19,33.32,34.17,2357
20080616,33.35,33.92,33.35,33.9,2900
20080617,33.74,33.74,33.51,33.51,5803
20080618,33.75,33.75,33.75,33.75,341
20080619,33.29,33.58,33.29,33.45,745
20080620,33.42,33.51,33.07,33.1,4693
20080623,32.95,33.05,32.9,33.03,2837
20080624,32.84,32.84,32.46,32.48,10173
20080625,33.13,33.13,33.1,33.13,3358
20080626,32.93,32.93,32.48,32.48,513
20080627,32.55,33.05,32.55,32.81,16108
20080630,32.97,33.14,32.75,32.75,14398
20080701,32.23,32.32,31.66,31.66,8961
20080702,32.22,32.42,31.71,31.71,26279
20080703,31.78,32.15,31.78,32.05,5830
20080707,32.51,32.51,31.53,31.53,6853
20080708,31.94,32.05,31.51,32.05,71878
20080709,32.6,32.6,31.49,31.49,3644
20080710,31.82,31.88,31.82,31.88,470
20080711,31.32,32.03,31.3,31.82,3656
20080714,31.62,31.62,31.3,31.54,1917
20080715,31.15,31.2,30.67,31.2,4762
20080716,31.85,36.18,31.64,36.18,1853
20080717,32.81,32.81,32.16,32.47,15161
20080718,32.25,32.26,32.25,32.26,294
20080721,33.4,33.4,32.93,32.93,1411
20080722,33.69,33.69,31.99,33.41,1642
20080723,33.52,33.77,33.47,33.58,5962
20080724,33.62,33.62,33.08,33.08,818
20080725,32.73,33.09,32.73,33.08,1057
20080729,31.47,32.01,31.47,32.01,3378
20080730,32.7,32.96,32.61,32.96,42024
20080731,32.57,32.57,31.98,32.02,10885
20080801,31.74,31.74,31.47,31.72,2515
20080804,31.34,31.41,31.22,31.41,2010
20080805,31.45,31.46,30.9,31.07,41884
20080806,31.71,31.71,31.71,31.71,147
20080807,31.49,31.49,31.15,31.16,511
20080808,31.1,31.1,31.02,31.02,1176
20080811,31.09,31.09,31.09,31.09,159
20080812,30.87,30.87,30.41,30.68,1742
20080814,30.17,30.17,30.13,30.13,1792
20080815,29.74,29.87,29.74,29.87,1621
20080818,29.88,29.88,29.68,29.68,5421
20080819,28.87,29.29,28.83,29.29,8184
20080820,29.61,29.88,29.53,29.79,5222
20080821,29.62,29.85,29.55,29.85,1851
20080822,29.85,30,29.85,30,2065
20080825,29.89,29.92,29.89,29.92,980
20080826,29.68,29.68,29.29,29.29,1922
20080827,29.62,29.62,29.62,29.62,735
20080828,30.26,30.26,30.13,30.25,441
20080829,30.27,30.27,29.9,30.07,1344
20080902,29.99,29.99,29.81,29.81,640
20080903,29.66,29.66,29.66,29.66,188
20080904,29.25,29.25,28.66,28.75,1108
20080905,27.97,27.97,27.97,27.97,294
20080908,29.35,29.4,29.25,29.4,4378
20080909,28.58,28.58,27.91,27.91,1007
20080910,28.71,28.71,27.91,28.49,4827
20080911,27.23,27.91,27.23,27.91,3392
20080912,28.25,28.49,28.25,28.49,1342
20080915,27.23,27.84,27.15,27.15,5206
20080916,26.27,26.59,26.27,26.5,1575
20080917,25.54,26.35,25.54,26.35,1478
20080918,26.19,26.66,25.36,26.66,2027
20080919,28.71,29.62,28.7,28.95,4134
20080922,28.73,28.73,28.61,28.61,326
20080923,27.84,28.16,27.84,28.16,471
20080924,28.42,28.52,28.29,28.47,29212
20080925,28.23,28.89,28.22,28.74,4918
20080926,28.19,28.19,28.03,28.03,612
20080929,27.48,27.48,25.07,25.47,12584
20080930,26.06,26.29,25.92,25.92,1171
20081002,25.78,25.83,25.67,25.83,3564
20081003,26.32,26.32,25.03,25.03,29308
20081006,23.45,23.45,21.54,22.36,7948
20081007,23.92,23.92,22.43,22.43,4952
20081008,21.46,22.03,21.04,22.03,60829
20081009,21.56,21.66,20.2,20.2,2059
20081010,18.989,20.33,18.389,19.926,9867
20081013,20.84,22.99,20.84,22.97,17412
20081014,24.12,24.12,21.93,22.03,15684
20081015,21.53,21.53,20.34,20.59,3748
20081016,20.39,21.5,19.94,21.5,17468
20081017,20.62,21.71,20.62,21.41,3194
20081020,21.7,21.99,21.7,21.99,1898
20081021,21.65,21.65,21.28,21.47,2417
20081022,19.409,19.409,19.409,19.409,580
20081023,19.63,19.63,18.499,19.168,47833
20081024,17.693,17.962,17.431,17.962,4885
20081027,17.638,17.638,17.638,17.638,573
20081028,17.7,17.968,17.658,17.968,1648
20081029,18.954,19.216,18.954,19.216,348
20081030,20.48,20.48,19.602,19.967,6968
20081031,19.064,19.829,19.064,19.829,3740
20081103,20.42,20.75,20.42,20.75,769
20081104,21.9,21.97,21.51,21.61,3649
20081105,21.06,21.6,21.01,21.01,8214
20081106,20.8,20.8,19.471,19.471,3341
20081107,20.16,20.16,20.13,20.13,1052
20081110,20.32,20.32,19.692,19.692,1596
20081111,18.913,18.94,18.437,18.94,27415
20081112,18.354,18.506,18.065,18.065,16819
20081113,17.727,18.568,17.631,18.568,19010
20081114,18.313,18.313,17.838,17.838,3907
20081117,17.775,17.775,17.7,17.7,580
20081118,17.534,17.534,17.534,17.534,1451
20081119,17.162,17.162,16.494,16.494,19544
20081120,15.949,16.321,14.998,15.784,2991
20081121,16.142,16.218,16.087,16.114,651
20081124,17.755,18.003,17.417,18.003,851
20081125,18.251,18.251,17.679,18.065,1533
20081126,18.148,18.582,17.405,18.568,2478
20081128,18.541,18.541,18.196,18.196,2582
20081201,17.224,17.472,17.135,17.141,6010
20081202,17.555,17.555,17.514,17.514,933
20081203,17.265,17.851,17.265,17.5,1821
20081204,17.665,17.665,17.486,17.645,6942
20081205,17.265,17.562,17.197,17.562,1914
20081208,18.751,18.858,18.751,18.858,1047
20081209,18.499,18.768,18.292,18.678,4063
20081210,18.871,19.092,18.768,18.768,1820
20081211,19.044,19.044,18.637,18.637,4325
20081212,18.789,19.002,18.692,18.927,8866
20081215,19.216,19.216,18.403,18.403,5095
20081216,18.541,19.023,18.541,19.023,11105
20081217,19.43,19.43,19.43,19.43,382
20081218,19.933,19.933,18.672,18.672,8815
20081219,19.345,19.345,19.345,19.345,143
20081222,18.827,19.072,18.492,18.674,25340
20081223,19.519,19.519,18.695,18.695,48567
20081226,18.826,19.168,18.826,19.016,3208
20081229,19.016,19.016,19.016,19.016,222
20081230,19.302,19.463,19.218,19.435,29439
20081231,19.899,20.14,19.899,20.008,1200
20090105,20.49,20.49,20.49,20.49,1345
20090106,20.43,20.64,20.43,20.64,2661
