Date,Open,High,Low,Close,Volume
20170922,25.08,25.08,25.08,25.08,100
20170925,25.08,25.08,25.08,25.08,30
20170926,24.5,24.5,24.5,24.5,150
20170928,24.25,24.25,24.25,24.25,850
20170929,24.5582,24.5582,24.5582,24.5582,200
20171006,25.02,25.05,25.02,25.05,200
20171010,25.31,25.31,25.24,25.24,250
20171013,25.24,25.24,25.24,25.24,20
20171016,25.24,25.24,25.24,25.24,15
20171019,25.24,25.24,25.24,25.24,4
20171020,25.29,25.29,25.29,25.29,215
20171023,25.1099,25.1099,25.1099,25.1099,440
20171025,25.15,25.15,25.15,25.15,100
20171027,25.33,25.33,25.33,25.33,395
20171031,25.33,25.33,25.33,25.33,97
20171106,25.56,25.56,25.56,25.56,12
20171207,25.56,25.56,25.56,25.56,78
20171212,25.25,25.25,25.25,25.25,1
20171219,25.1176,25.1176,25.1176,25.1176,20
20171222,25.67,25.67,25.67,25.67,100
20171228,25.93,25.93,25.93,25.93,100
20171229,26.44,26.44,26.44,26.44,70
20180102,26.4995,26.6,26.4995,26.6,306
20180105,26.89,26.93,26.89,26.93,250
20180108,26.93,26.93,26.93,26.93,12
20180111,27.11,27.11,27.11,27.11,760
20180116,27.82,27.82,27.82,27.82,50
20180117,27.96,27.96,27.96,27.96,35
20180118,27.94,27.94,27.94,27.94,144
20180119,27.97,27.97,27.97,27.97,35
20180122,28.41,28.41,28.247,28.32,967
20180123,28.58,28.58,28.47,28.47,240
20180124,28.705,28.705,28.705,28.705,427
20180126,28.84,28.84,28.84,28.84,200
20180129,28.65,28.65,28.65,28.65,204
20180130,28.25,28.26,28.25,28.26,721
20180131,28.48,28.6199,28.3634,28.42,1625
20180201,28.25,28.25,28.25,28.25,100
20180202,27.9,27.9,27.9,27.9,1050
20180205,27.5,27.5,26.721,26.78,883
20180206,27.48,27.62,27.48,27.62,1202
20180207,27.62,27.62,27.62,27.62,201
20180208,27.06,27.06,26,26,500
20180212,26.3801,26.3801,26.3801,26.3801,100
20180216,27.65,27.65,27.65,27.65,125
20180226,27.71,27.71,27.71,27.71,1
20180306,27.12,27.12,27.12,27.12,412
20180308,27.01,27.01,27.01,27.01,204
20180309,27.54,27.65,27.54,27.6212,1000
20180321,27.1588,27.1588,27.1588,27.1588,145
20180327,27.1588,27.1588,27.1588,27.1588,2
20180402,26.79,26.79,26.79,26.79,8
20180403,26.3,26.3,26.3,26.3,1
20180406,26.11,26.3,26.11,26.3,850
20180412,26.3,26.3,26.3,26.3,20
20180424,26.3,26.3,26.3,26.3,20
20180508,25.43,25.43,25.43,25.43,512
20180510,25.9522,25.961,25.9522,25.961,200
20180516,25.961,25.961,25.961,25.961,4
20180522,25.961,25.961,25.961,25.961,200
20180523,25.23,25.23,25.23,25.23,100
20180605,26.86,27.2,25.75,25.75,10053
20180606,25.8,25.95,25.8,25.94,419
20180608,25.39,26.025,25.38,25.89,3953
20180611,25.89,25.89,25.3719,25.3719,10000
20180614,25.2,25.2,25.2,25.2,100
20180615,25.92,25.92,25.91,25.92,600
20180619,24.6332,24.6332,24.6332,24.6332,5000
20180627,24.2312,24.2312,24.2312,24.2312,150
20180709,24.44,24.44,24.44,24.44,409
20180710,24.3582,24.3582,24.3582,24.3582,129
20180712,24.2,24.2,24.2,24.2,100
20180716,24.2,24.2,24.2,24.2,129
20180817,23.51,23.51,23.51,23.51,111
20180820,23.82,23.82,23.51,23.51,100
20180910,23.02,23.12,23.02,23.1,600
20180911,22.93,23.02,22.93,23.02,900
20180919,23.5492,23.5492,23.5492,23.5492,100
20181005,23.02,23.02,23.02,23.02,2200
20181015,22.26,22.26,22.25,22.25,200
20181016,22.3419,22.3419,22.3419,22.3419,153
20181023,21.6705,21.6705,21.6705,21.6705,102
20190301,24.37,24.3899,24.37,24.3899,700
20190403,24.57,24.59,24.57,24.59,900
20190425,24.17,25.16,23.61,24.45,10100
20190426,24.71,24.71,24.71,24.71,500
20190510,24.04,24.04,24,24,600
20190513,23.55,23.55,23.55,23.55,100
20190516,23.09,23.96,22.93,23.41,6100
20190524,22.77,22.81,22.77,22.81,700
20190612,23.67,23.67,23.65,23.65,300
20190613,24.28,24.37,23.4573,23.46,3200
20190618,24.135,24.14,23.95,23.95,300
20190619,24.2,24.2,24.2,24.2,224
20190620,24.55,24.55,24.53,24.53,300
20190626,24.18,24.18,24.1,24.1,200
20190701,24.535,24.535,24.3664,24.3664,300
20190723,24.48,24.48,24.375,24.375,300
20190726,24.39,24.39,24.34,24.34,600
20190801,23.52,23.6111,23.52,23.6111,100
20190802,23.31,23.32,23.31,23.32,200
20190812,22.4801,22.4801,22.4801,22.4801,139
20190821,22.822,22.822,22.822,22.822,700
20190823,22.32,22.32,22.3,22.3,300
20190826,22.45,22.45,22.295,22.295,300
20190906,23.43,23.43,23.43,23.43,500
20190909,23.4074,23.4074,23.4074,23.4074,800
20190910,23.47,23.47,23.45,23.45,300
20190911,24.12,24.19,24.04,24.04,900
20190912,23.75,23.75,23.75,23.75,300
20191014,23.97,23.97,23.3,23.3,600
20191015,23.4,23.4,23.4,23.4,300
20191121,24.21,24.21,23.96,23.96,300
20191122,24.0441,24.0441,24.0441,24.0441,210
20191202,24.06,24.06,24.04,24.04,300
20191212,25.07,25.07,24.655,24.655,300
20191213,24.8,24.8,24.8,24.8,300
20191216,25.075,25.075,25.075,25.075,300
20191219,25.549,25.549,25.549,25.549,100
20191230,25.59,25.59,25.59,25.59,100
20200102,26.11,26.11,26.11,26.11,100
20200113,26.0686,26.0686,26.0686,26.0686,390
20200114,25.9509,25.9509,25.9509,25.9509,139
20200116,25.98,26.09,25.98,26.08,800
20200117,26.1598,26.16,26.1598,26.16,287
20200204,24.93,24.93,24.8141,24.8141,300
20200213,25.1361,25.1361,25.1361,25.1361,100
20200214,25.08,25.1,24.85,24.85,400
20200221,24.72,24.72,24.6321,24.6321,378
20200228,22.48,22.48,22.48,22.48,148
20200302,23.25,23.25,23.25,23.25,141
20200303,23.61,23.61,23.38,23.4,650
20200305,23.29,23.29,23.29,23.29,100
20200310,21.7811,21.7811,21.7811,21.7811,144
20200312,18.53,18.7148,18.53,18.7148,432
20200317,18.3,18.93,18.3,18.92,390
20200319,17.6229,17.7189,17.6229,17.7189,597
20200320,18.3934,18.3934,18.3934,18.3934,268
20200323,17.7105,17.7105,17.1337,17.61,1335
20200324,18.385,18.385,18.385,18.385,293
20200325,18.6865,19.0614,18.614,19.0614,2728
20200326,19.3042,19.88,19.2291,19.88,2794
20200327,19.48,19.52,18.7141,18.92,14079
20200330,18.755,18.7616,18.755,18.7616,735
20200331,19.33,19.45,19.0781,19.45,3468
20200401,18.9713,19.099,18.4158,18.6,3865
20200402,18.807,18.807,18.807,18.807,292
20200403,18.5044,18.88,18.5044,18.88,1857
20200406,19.47,19.75,19.3777,19.68,1418
20200407,19.6044,19.6128,19.6044,19.6128,400
20200409,20.0417,20.0417,20.0417,20.0417,246
20200413,19.88,20.07,19.88,20.07,1675
20200414,20.46,20.54,20.46,20.54,400
20200415,19.9056,19.9056,19.9056,19.9056,100
20200416,19.95,20.0156,19.95,20.0156,358
20200417,20.16,20.34,20.1384,20.34,2096
20200421,19.82,19.82,19.59,19.75,1187
20200422,20.04,20.04,20.0386,20.0386,256
20200423,19.975,20.61,19.9663,20.59,11087
20200428,20.43,20.68,20.405,20.68,1912
20200430,20.63,20.63,20.6,20.6,500
20200501,19.91,19.91,19.89,19.89,300
20200504,19.9047,19.9047,19.9047,19.9047,124
20200506,20.19,20.19,20.149,20.15,676
20200508,20.6,20.6,20.6,20.6,300
20200512,20.73,20.73,20.73,20.73,408
20200514,20.31,20.53,20.31,20.53,520
20200515,20.22,20.22,20.22,20.22,100
20200519,20.99,20.99,20.99,20.99,200
20200521,21.03,21.03,20.93,20.93,500
20200526,20.9237,20.9237,20.9237,20.9237,740
20200529,20.8424,20.8424,20.8424,20.8424,520
20200611,22.355,22.355,22.355,22.355,400
20200616,22.6874,22.6874,22.47,22.47,650
20200619,24.28,24.28,22.88,22.88,672
20200624,22.66,22.66,22.53,22.53,537
20200625,22.75,22.75,22.73,22.74,400
20200626,22.51,22.51,22.49,22.49,300
20200630,22.53,22.56,22.53,22.56,419
20200702,23.125,23.125,23.125,23.125,100
20200715,24.13,24.13,24.08,24.08,1171
20200717,23.993,23.993,23.993,23.993,160
20200720,24.3231,24.53,24.03,24.51,3931
20200721,24.65,24.65,24.58,24.58,250
