Date,Open,High,Low,Close,Volume
20191202,26.5,26.5,26.3,26.325,1586437
20191203,26.36,26.36,26.1,26.1937,130909
20191204,26.27,26.3599,26.27,26.3,234000
20191205,26.44,26.44,26.26,26.329,78094
20191206,26.51,26.51,26.437,26.46,77334
20191209,26.51,26.51,26.4,26.4263,197426
20191210,26.5,26.5,26.37,26.3888,336368
20191211,26.57,26.57,26.38,26.43,63855
20191212,26.5086,26.5999,26.4501,26.5281,165305
20191213,26.53,26.6224,26.48,26.56,48147
20191216,26.66,26.69,26.6201,26.65,54811
20191217,26.6699,26.67,26.635,26.65,42039
20191218,26.68,26.685,26.6261,26.66,55201
20191219,26.68,26.71,26.66,26.69,65166
20191220,26.7312,26.78,26.72,26.7799,58526
20191223,26.77,26.78,26.75,26.75,28461
20191224,26.75,26.75,26.72,26.72,3528
20191226,26.87,26.87,26.78,26.8,11191
20191227,26.8193,26.84,26.7701,26.8,28875
20191230,26.77,26.79,26.7,26.76,49494
20191231,26.7699,26.7699,26.6901,26.7402,66581
20200102,26.7901,26.83,26.77,26.83,520392
20200103,26.85,26.85,26.7501,26.805,10963
20200106,26.82,26.85,26.77,26.77,21695
20200107,26.7915,26.83,26.79,26.8221,15499
20200108,26.94,26.94,26.8565,26.9,2063
20200109,26.925,26.9411,26.9041,26.9296,7539
20200110,26.9344,26.97,26.9041,26.9397,31158
20200113,26.945,27.01,26.94,27.0099,17533
20200114,27,27,26.95,26.97,15899
20200115,26.9943,27.04,26.9938,27.04,801
20200116,27.08,27.1,27.0598,27.0598,37094
20200117,27.02,27.14,27.02,27.14,34157
20200121,27.2,27.2,27.09,27.13,40959
20200122,27.149,27.17,27.1089,27.1089,18506
20200123,27.12,27.15,27.0839,27.1178,17912
20200124,26.9966,26.9966,26.9966,26.9966,234
20200127,26.75,26.91,26.75,26.91,6189
20200128,26.93,27.04,26.93,26.975,7496
20200129,26.88,27.03,26.88,26.94,1037
20200130,26.8986,27.01,26.8986,27.01,550
20200131,26.98,26.98,26.98,26.98,200
20200203,27.0318,27.0318,26.89,26.92,3528
20200204,27.0481,27.11,27.04,27.076,5952
20200205,27.09,27.19,27.09,27.19,5308
20200206,27.1581,27.23,27.1574,27.23,2552
20200207,27.16,27.205,27.1001,27.18,12499
20200210,27.23,27.23,27.11,27.22,2761
20200211,27.27,27.27,27.27,27.27,159
20200212,27.23,27.23,27.22,27.222,3900
20200213,27.32,27.32,27.32,27.32,100
20200214,27.2622,27.28,27.2319,27.28,1277
20200218,27.23,27.31,27.23,27.31,6330
20200219,27.37,27.37,27.37,27.37,610
20200220,27.33,27.35,27.276,27.276,2428
20200221,27.185,27.2,27.1181,27.1181,1205
20200224,26.783,26.8805,26.7605,26.8522,3611
20200225,26.8952,26.91,26.4267,26.47,15713
20200226,26.5417,26.58,26.43,26.475,27757
20200227,26.3,26.3,26.0391,26.2837,64595
20200228,25.5069,25.6236,25.21,25.52,66509
20200302,25.93,26.16,25.9136,26.16,31118
20200303,26.29,26.55,25.85,26.01,939446
20200304,26.33,26.58,26.2111,26.58,35712
20200305,26.2,26.37,25.9301,26.029,27780
20200306,25.37,25.77,25.34,25.75,21418
20200309,24.68,24.705,24.68,24.705,388
20200310,25.0101,25.2,24.56,25.05,50326
20200311,24.99,24.99,24.3161,24.68,11016
20200312,23.24,23.5546,22.21,22.82,89371
20200313,23.91,23.91,23.19,23.81,6113
20200316,22.4187,23.155,22.37,22.43,11711
20200317,22.49,23.13,22.4875,23.12,24020
20200318,21.86,22.3501,21.58,22.18,8998
20200319,22.41,22.82,22.15,22.82,1086
20200320,22.58,22.9299,22.14,22.14,8009
20200323,22.05,22.11,21.7,22.04,16148
20200324,22.76,23.13,22.71,23.13,37219
20200325,23.33,23.4467,22.95,23.25,6241
20200326,23.87,24.03,23.87,24.01,6748
20200327,23.64,23.73,23.53,23.65,9317
20200330,23.93,23.93,23.93,23.93,1000
20200331,24.11,24.2,23.77,23.77,79898
20200401,23.16,23.2222,23.05,23.05,5588
20200402,23.11,23.58,23.11,23.39,6274
20200403,23.3028,23.31,23.19,23.27,5507
20200406,24.02,24.23,24.02,24.23,11091
20200407,24.59,24.74,24.2,24.2,27025
20200408,24.41,24.67,24.41,24.67,1638
20200409,24.94,25.0115,24.78,24.78,10967
20200413,24.89,24.89,24.67,24.75,7898
20200414,25.0331,25.2657,25.0331,25.14,34725
20200415,24.75,24.85,24.75,24.76,4970
20200416,24.9,24.98,24.78,24.97,40850
20200417,25.1857,25.228,25.09,25.17,14652
20200420,25.1187,25.15,25.01,25.01,1364
20200421,24.68,24.68,24.53,24.59,2475
20200422,24.69,24.91,24.69,24.875,7400
20200423,24.98,24.98,24.9,24.9774,1550
20200424,24.95,25.08,24.95,25.08,1050
20200428,25.4,25.4492,25.3,25.34,5380
20200429,25.4716,25.79,25.4716,25.71,2036
20200430,25.5,25.52,25.43,25.43,3100
20200501,25.1217,25.1217,25.11,25.11,538
20200504,24.86,25.165,24.86,25.08,6873
20200505,25.25,25.3,25.25,25.3,5396
20200506,25.355,25.3647,25.19,25.19,18750
20200508,25.577,25.6371,25.53,25.61,9020
20200511,25.645,25.77,25.63,25.69,3372
20200512,25.735,25.748,25.37,25.42,22352
20200513,25.405,25.45,24.99,25.11,38751
20200514,25.126,25.25,25.05,25.2207,11226
20200515,25.23,25.2901,25.23,25.2901,3032
20200518,25.95,25.95,25.76,25.91,8911
20200520,26,26,25.9702,26,798
20200521,25.93,25.93,25.79,25.79,4808
20200522,25.8754,25.8754,25.81,25.875,2818
20200526,26.2,26.24,26.04,26.15,22773
20200527,26.04,26.23,26.04,26.23,13082
20200528,26.39,26.4,26.25,26.28,58518
20200529,26.2,26.3999,26.11,26.31,6753
20200601,26.32,26.37,26.24,26.34,19953
20200602,26.4,26.4,26.2,26.35,5661
20200603,26.35,26.6,26.35,26.567,58777
20200604,26.53,26.59,26.51,26.51,5993
20200605,26.8516,26.99,26.745,26.94,63714
20200608,26.98,27.06,26.82,27.06,65171
20200609,26.91,26.99,26.9,26.95,39717
20200610,26.74,26.8,26.74,26.8,2067
20200611,26.32,26.43,25.8029,26.1,34242
20200612,26.3,26.33,25.86,26.11,66892
20200615,25.97,26.26,25.9571,26.16,15421
20200616,26.56,26.579,26.2926,26.48,19400
20200617,26.4,26.59,26.38,26.54,11226
20200618,26.315,26.4899,26.315,26.42,8276
20200619,26.515,26.515,26.35,26.4693,9360
20200622,26.67,26.67,26.32,26.53,35278
20200623,26.91,26.91,26.56,26.57,16380
20200624,26.55,26.55,26.1501,26.26,65301
20200625,26.23,26.29,26.2011,26.2769,3820
20200626,26.26,26.26,26.105,26.15,30551
20200629,26.0309,26.1715,26.0309,26.11,3143
20200630,26.2,26.5199,26.2,26.5,60334
20200701,26.65,26.66,26.5606,26.62,49183
20200702,26.75,26.8,26.6323,26.7085,41610
20200706,26.86,26.86,26.7701,26.825,2919
20200707,26.835,26.8999,26.81,26.81,11024
20200708,26.85,26.8799,26.66,26.72,35946
20200709,26.65,26.725,26.65,26.725,475
20200710,26.73,26.89,26.73,26.89,7000
20200713,26.86,27.07,26.8,26.8,5600
20200714,26.83,26.91,26.72,26.9,6331
20200715,26.96,27.05,26.85,27.05,3072
20200716,26.95,27,26.95,27,51354
20200717,26.99,27.0711,26.965,27.005,5348
20200720,27.1001,27.24,27.1001,27.1725,4795
20200721,27.2001,27.3,27.0601,27.0601,2904
20200722,27.22,27.25,27.1,27.25,3022
20200723,26.97,27.18,26.97,27.116,2380
20200724,26.91,27.025,26.91,26.9862,1435
20200727,27.175,27.175,27.15,27.15,1710
20200728,27.17,27.2186,27.1,27.1,5170
20200729,27.06,27.2,27.0101,27.165,3858
20200730,27,27.17,27,27.17,20880
20200731,27,27.23,26.98,27.2279,8296
20200803,27.265,27.27,27.265,27.27,935
20200804,27.29,27.3979,27.1801,27.3,9852
20200805,27.385,27.46,27.35,27.38,11409
20200806,27.436,27.52,27.436,27.51,7317
20200807,27.55,27.55,27.37,27.4022,21996
20200810,27.5,27.58,27.4,27.57,44330
20200811,27.5052,27.65,27.43,27.55,543165
20200812,27.6,27.615,27.45,27.46,19372
20200813,27.5432,27.67,27.5432,27.67,1033
20200814,27.54,27.6279,27.45,27.565,2766
20200817,27.54,27.6,27.4701,27.575,18429
20200818,27.64,27.7,27.48,27.5929,21833
20200819,27.63,27.67,27.49,27.49,13371
20200820,27.575,27.6279,27.49,27.6,4102
20200821,27.51,27.73,27.51,27.6203,15363
20200824,27.65,27.77,27.64,27.72,4500
20200825,27.84,27.84,27.61,27.75,3304
20200826,27.75,27.7794,27.7168,27.725,4701
20200827,27.8,27.8,27.67,27.78,3368
20200828,27.69,27.86,27.66,27.802,176784
20200831,27.7632,27.7632,27.73,27.73,6537
20200901,27.72,27.7879,27.7,27.7879,8561
20200902,27.77,27.8009,27.73,27.79,91153
20200903,27.73,27.73,27.5879,27.62,3426
20200904,27.42,27.57,27.42,27.47,8140
20200908,27.47,27.47,27.36,27.4104,3929
20200909,27.6178,27.709,27.531,27.54,7661
20200910,27.49,27.6799,27.4388,27.4388,13706
20200911,27.38,27.493,27.38,27.4495,7049
20200914,27.644,27.644,27.6,27.6,348
20200915,27.63,27.72,27.625,27.675,12312
20200916,27.695,27.758,27.57,27.57,3114
20200917,27.57,27.57,27.4946,27.51,1096
20200918,27.49,27.5789,27.42,27.51,3340
20200921,27.192,27.3111,27.18,27.29,3264
20200922,27.35,27.51,27.35,27.42,3324
20200923,27.39,27.39,27.33,27.36,1010
20200924,27.3,27.39,27.16,27.16,8097
20200925,27.31,27.55,27.31,27.4491,2977
20200928,27.63,27.67,27.58,27.6207,5799
20200929,27.51,27.6,27.51,27.5707,4047
20200930,27.61,27.75,27.52,27.5935,16132
20201001,27.6,27.7599,27.57,27.6482,62240
20201002,27.605,27.6485,27.51,27.6485,19802
20201005,27.61,27.71,27.61,27.71,10064
20201006,27.59,27.765,27.5747,27.5747,2403
20201007,27.79,27.83,27.7271,27.779,2360
20201008,27.75,27.84,27.75,27.77,7988
20201009,27.88,27.9907,27.84,27.9452,7345
20201012,27.98,28.1199,27.95,28.0584,55586
20201013,28.0001,28.0799,27.97,28.0799,8688
20201014,27.99,28.02,27.955,27.955,37508
20201015,27.92,27.94,27.9,27.92,6197
20201016,28.01,28.033,27.9501,27.9662,7750
20201019,27.88,27.97,27.78,27.791,27164
20201020,27.9199,27.9199,27.84,27.84,4868
20201021,27.9193,27.9299,27.8635,27.8635,7467
20201022,27.78,27.895,27.76,27.89,27908
20201023,27.8882,27.9,27.87,27.9,47085
20201026,27.7799,27.7799,27.68,27.69,6051
20201027,27.6801,27.76,27.6801,27.73,11530
20201028,27.52,27.52,27.29,27.29,11772
20201029,27.4201,27.63,27.4201,27.6,3722
20201030,27.42,27.44,27.3144,27.36,7443
20201102,27.52,27.6,27.473,27.5333,40915
20201103,27.7,27.79,27.7,27.7899,2124
20201104,27.79,28.1199,27.79,28,7809
20201105,28.1744,28.2099,28.14,28.14,5075
20201106,28.08,28.16,28.08,28.1,3747
20201109,28.21,28.3796,28.21,28.29,114495
20201110,28.3,28.32,28.2,28.23,6689
20201111,28.305,28.3605,28.29,28.29,4045
20201112,28.3,28.3,28.28,28.28,3782
20201113,28.34,28.37,28.34,28.37,757
20201116,28.37,28.45,28.3401,28.45,25964
20201117,28.48,28.48,28.37,28.37,11508
20201118,28.41,28.4499,28.37,28.395,14194
20201119,28.45,28.45,28.385,28.4,5873
20201120,28.395,28.4287,28.395,28.42,2558
20201123,28.47,28.49,28.405,28.45,32874
20201124,28.485,28.52,28.42,28.516,7278
20201125,28.559,28.56,28.4981,28.5301,25392
20201127,28.559,28.56,28.53,28.545,4759
20201130,28.57,28.59,28.4,28.55,2355475
20201201,29,29,28.6209,28.68,1134496
20201202,28.78,28.78,28.6,28.68,609589
20201203,28.7,28.7599,28.65,28.66,907047
20201204,28.71,28.81,28.68,28.81,273720
20201207,28.8,28.8,28.7,28.74,127496
20201208,28.75,28.84,28.71,28.8,67450
20201209,29.11,29.11,28.63,28.71,107291
20201210,28.87,28.87,28.62,28.71,152885
20201211,28.76,28.76,28.5101,28.605,128461
20201214,28.77,28.79,28.536,28.536,69506
20201215,28.5866,28.77,28.5431,28.72,106701
20201216,28.82,28.829,28.6816,28.81,74023
20201217,29.12,29.12,28.7731,28.88,71833
20201218,28.94,28.94,28.6581,28.87,95317
20201221,28.75,28.7819,28.44,28.72,164536
20201222,28.94,28.94,28.67,28.7175,28124
20201223,28.76,28.86,28.72,28.83,321805
20201224,28.77,28.86,28.6941,28.83,26055
20201228,29.2,29.2,28.8401,28.96,34586
20201229,29.07,29.07,28.8001,28.94,22938
20201230,28.9,28.955,28.7601,28.81,40774
20201231,28.92,29.04,28.811,29,89205
20210104,28.905,28.905,28.544,28.775,658447
20210105,29.05,29.05,28.74,28.86,51765
20210106,28.9905,29.0171,28.85,28.85,6563
20210107,29.0211,29.1501,28.9801,29.0313,9698
20210108,29.1,29.23,29.045,29.23,23175
20210111,29.0956,29.17,29.01,29.05,6784
20210112,29.06,29.14,29.0229,29.0989,11051
20210113,29.05,29.1282,29.0401,29.1282,92726
20210114,29.1354,29.1966,29.03,29.03,20199
