Date,Open,High,Low,Close,Volume
20120719,11.748,11.824,11.701,11.719,130287
20120720,11.76,11.76,11.667,11.672,106464
20120723,11.643,11.696,11.637,11.686,428494
20120724,11.69,11.702,11.603,11.632,193492
20120725,11.696,11.696,11.608,11.614,61232
20120726,11.661,11.678,11.64,11.678,100759
20120727,11.748,11.754,11.702,11.754,107143
20120730,11.795,11.8,11.736,11.754,122129
20120731,11.755,11.771,11.753,11.771,35972
20120801,11.847,11.847,11.742,11.76,170884
20120802,11.754,11.818,11.707,11.777,345717
20120803,11.8,11.806,11.786,11.8,57589
20120806,11.911,12.115,11.835,11.847,605924
20120807,11.883,11.923,11.824,11.842,333295
20120808,11.87,11.876,11.835,11.853,202561
20120809,11.934,11.934,11.859,11.882,170095
20120810,12.092,12.092,11.862,11.876,159081
20120813,11.882,11.888,11.853,11.859,191580
20120814,11.894,11.958,11.841,11.841,221543
20120815,11.894,11.894,11.836,11.858,170692
20120816,11.882,11.888,11.853,11.888,175593
20120817,11.899,11.929,11.882,11.929,170735
20120820,11.963,11.963,11.899,11.905,266155
20120821,11.929,11.929,11.848,11.894,160623
20120822,11.876,11.882,11.841,11.876,115256
20120823,11.876,11.876,11.835,11.87,143579
20120824,11.882,11.894,11.853,11.888,174294
20120827,11.888,11.911,11.87,11.905,176760
20120828,11.905,11.905,11.876,11.894,87875
20120829,11.917,11.923,11.898,11.923,82060
20120830,11.929,11.929,11.876,11.894,70707
20120831,11.969,11.969,11.895,11.923,151755
20120904,11.923,11.923,11.899,11.917,105472
20120905,11.923,11.952,11.918,11.952,108060
20120906,11.993,12.022,11.981,12.01,137210
20120907,12.035,12.069,12.024,12.058,80429
20120910,12.098,12.098,12.031,12.045,127806
20120911,12.069,12.069,12.021,12.022,84359
20120912,11.987,12.057,11.987,12.04,159453
20120913,12.057,12.11,12.04,12.11,103948
20120914,12.308,12.308,12.127,12.127,228962
20120917,12.367,12.367,12.092,12.11,178826
20120918,12.116,12.127,12.091,12.127,130756
20120919,12.127,12.162,12.119,12.139,443472
20120920,12.162,12.162,12.092,12.106,110456
20120921,12.151,12.151,12.086,12.11,162815
20120924,12.11,12.11,12.04,12.074,137242
20120925,12.092,12.092,12.016,12.034,113507
20120926,12.034,12.034,11.958,12.007,117446
20120927,12.04,12.04,12.01,12.028,148516
20120928,12.022,12.022,11.981,11.999,57031
20121001,11.966,12.037,11.966,11.996,91442
20121002,11.963,12.055,11.963,12.055,102806
20121003,11.996,12.072,11.996,12.06,73494
20121004,12.043,12.09,12.043,12.078,83447
20121005,12.108,12.143,12.09,12.108,91595
20121008,12.149,12.149,12.096,12.108,145678
20121009,12.108,12.119,12.057,12.084,204662
20121010,12.113,12.113,12.07,12.072,99587
20121011,12.119,12.125,12.072,12.072,190138
20121012,12.113,12.137,12.099,12.137,62020
20121015,12.149,12.149,12.082,12.09,86139
20121016,12.16,12.16,12.106,12.137,82700
20121017,12.184,12.184,12.137,12.172,117924
20121018,12.213,12.243,12.172,12.231,274800
20121019,12.284,12.284,12.166,12.184,97495
20121022,12.213,12.213,12.131,12.16,141078
20121023,12.143,12.143,12.066,12.076,211959
20121024,12.131,12.131,12.037,12.049,226976
20121025,12.125,12.125,12.048,12.055,130794
20121026,12.06,12.06,12.002,12.031,135911
20121031,11.846,12.319,11.846,12.21,217742
20121101,12.239,12.239,12.153,12.197,314943
20121102,12.274,12.274,12.156,12.162,54501
20121105,12.153,12.156,12.105,12.129,163017
20121106,12.127,12.168,12.125,12.162,111577
20121107,12.147,12.156,12.07,12.088,101065
20121108,12.083,12.103,12.036,12.036,93824
20121109,12.041,12.056,11.994,12.041,55438
20121112,12.038,12.056,12.009,12.052,90632
20121113,12.103,12.103,12.015,12.023,38093
20121114,12.085,12.085,11.826,11.86,686399
20121115,11.891,11.891,11.708,11.778,247063
20121116,11.873,11.885,11.755,11.879,158213
20121119,11.95,11.979,11.938,11.979,50254
20121120,11.95,11.997,11.938,11.996,72817
20121121,12.015,12.026,11.978,11.991,145639
20121123,12.009,12.056,12.007,12.034,20276
20121126,11.997,12.056,11.997,12.02,159061
20121127,12.062,12.062,12.015,12.032,56505
20121128,12.015,12.032,11.99,12.032,39358
20121129,12.032,12.085,12.032,12.085,99725
20121130,12.115,12.121,12.038,12.056,148988
20121203,12.193,12.193,11.997,11.997,73170
20121204,12.027,12.039,11.991,12.021,36682
20121205,12.028,12.033,11.979,12.009,320084
20121206,12.021,12.027,11.979,12.015,56857
20121207,12.007,12.039,12.007,12.039,37939
20121210,12.062,12.062,12.015,12.039,92124
20121211,12.074,12.074,12.015,12.015,50869
20121212,12.074,12.074,12.021,12.056,182388
20121213,12.056,12.056,11.991,12.021,102575
20121214,12.05,12.05,11.973,11.973,70203
20121217,12.015,12.056,11.985,12.009,99854
20121218,12.039,12.056,11.999,12.056,45702
20121219,12.104,12.151,12.092,12.128,521348
20121220,12.157,12.157,12.092,12.134,78815
20121221,12.128,12.181,12.086,12.122,417353
20121224,12.151,12.151,12.068,12.116,61024
20121226,12.145,12.145,12.074,12.122,86864
20121227,12.125,12.149,12.077,12.131,42152
20121228,12.185,12.185,12.119,12.155,52896
20121231,12.179,12.239,12.125,12.239,102468
20130102,12.281,12.322,12.251,12.263,103067
20130103,12.316,12.352,12.269,12.316,138986
20130104,12.358,12.358,12.304,12.346,146176
20130107,12.376,12.376,12.292,12.316,98488
20130108,12.334,12.358,12.298,12.328,819583
20130109,12.345,12.37,12.339,12.369,693316
20130110,12.418,12.418,12.352,12.406,162753
20130111,12.394,12.406,12.381,12.394,295686
20130114,12.412,12.412,12.376,12.394,144644
20130115,12.406,12.436,12.373,12.4,154977
20130116,12.406,12.406,12.326,12.352,154122
20130117,12.35,12.382,12.35,12.38,145675
20130118,12.412,12.418,12.376,12.418,156595
20130122,12.543,12.543,12.382,12.412,151071
20130123,12.418,12.418,12.388,12.388,153009
20130124,12.412,12.418,12.394,12.406,361848
20130125,12.412,12.43,12.4,12.43,204158
20130128,12.442,12.448,12.394,12.406,212939
20130129,12.418,12.418,12.376,12.382,125693
20130130,12.597,12.597,12.34,12.352,143764
20130131,12.346,12.352,12.332,12.34,214623
20130201,12.433,12.433,12.355,12.391,222055
20130204,12.451,12.451,12.313,12.337,62023
20130205,12.445,12.445,12.328,12.352,91761
20130206,12.379,12.379,12.337,12.367,68270
20130207,12.385,12.385,12.326,12.355,36105
20130208,12.427,12.427,12.343,12.361,61053
20130211,12.349,12.367,12.349,12.367,95479
20130212,12.391,12.391,12.355,12.391,67828
20130213,12.451,12.451,12.379,12.403,141824
20130214,12.343,12.385,12.313,12.313,105993
20130215,12.301,12.325,12.289,12.295,62660
20130219,12.283,12.331,12.283,12.319,58860
20130220,12.403,12.403,12.247,12.253,133323
20130221,12.247,12.247,12.176,12.211,139478
20130222,12.295,12.307,12.2,12.253,94635
20130225,12.28,12.289,12.212,12.212,41165
20130226,12.221,12.241,12.164,12.235,45319
20130227,12.265,12.277,12.229,12.277,103934
20130228,12.289,12.295,12.242,12.265,53388
20130301,12.308,12.308,12.182,12.224,92716
20130304,12.224,12.242,12.182,12.223,103571
20130305,12.248,12.302,12.242,12.266,119794
20130306,12.302,12.35,12.266,12.29,64056
20130307,12.314,12.314,12.272,12.296,111518
20130308,12.308,12.332,12.302,12.32,59547
20130311,12.318,12.32,12.282,12.318,110064
20130312,12.32,12.344,12.302,12.32,109370
20130313,12.302,12.326,12.272,12.326,39347
20130314,12.309,12.35,12.309,12.327,73403
20130315,12.356,12.368,12.322,12.356,51222
20130318,12.309,12.344,12.303,12.333,54010
20130319,12.35,12.386,12.284,12.302,87011
20130320,12.338,12.362,12.301,12.349,91534
20130321,12.302,12.356,12.302,12.344,62606
20130322,12.332,12.356,12.302,12.32,53295
20130325,12.344,12.344,12.296,12.32,97505
20130326,12.344,12.344,12.288,12.32,237068
20130327,12.338,12.338,12.296,12.32,50889
20130328,12.338,12.35,12.308,12.35,29845
20130401,12.39,12.426,12.305,12.317,139163
20130402,12.323,12.578,12.305,12.317,154707
20130403,12.377,12.377,12.281,12.305,134516
20130404,12.323,12.323,12.299,12.311,97315
20130405,12.359,12.359,12.238,12.305,81157
20130408,12.281,12.317,12.281,12.299,66392
20130409,12.305,12.347,12.281,12.317,239776
20130410,12.335,12.396,12.311,12.384,99711
20130411,12.414,12.438,12.365,12.432,112680
20130412,12.426,12.438,12.396,12.42,88608
20130415,12.426,12.426,12.313,12.329,150118
20130416,12.377,12.396,12.353,12.396,151688
20130417,12.396,12.438,12.329,12.356,79724
20130418,12.384,12.414,12.335,12.35,116446
20130419,12.578,12.578,12.359,12.377,39908
20130422,12.444,12.487,12.335,12.365,111585
20130423,12.377,12.402,12.377,12.396,123836
20130424,12.535,12.535,12.408,12.462,128054
20130425,12.535,12.535,12.468,12.505,180684
20130426,12.499,12.517,12.456,12.493,90248
20130429,12.535,12.559,12.499,12.553,123852
20130430,12.566,12.578,12.536,12.559,184055
20130501,12.583,12.601,12.522,12.534,228603
20130502,12.553,12.607,12.553,12.595,168286
20130503,12.644,12.674,12.613,12.662,338527
20130506,12.662,12.662,12.632,12.656,107193
20130507,12.638,12.699,12.632,12.699,74872
20130508,12.699,12.723,12.657,12.711,161715
20130509,12.729,12.741,12.705,12.729,152131
20130510,12.748,12.765,12.687,12.742,34658
20130513,12.663,12.741,12.584,12.669,128274
20130514,12.717,12.717,12.638,12.662,68467
20130515,12.607,12.674,12.589,12.656,98603
20130516,12.656,12.656,12.632,12.655,97477
20130517,12.657,12.729,12.657,12.729,263779
20130520,12.729,12.753,12.717,12.741,105993
20130521,12.753,12.765,12.717,12.759,62331
20130522,12.778,12.79,12.686,12.711,121698
20130523,12.644,12.644,12.571,12.644,64578
20130524,12.656,12.656,12.62,12.65,78938
20130528,12.711,12.723,12.656,12.656,55214
20130529,12.656,12.692,12.492,12.547,159407
20130530,12.499,12.62,12.499,12.602,74348
20130531,12.601,12.626,12.474,12.48,88345
20130603,12.471,12.489,12.318,12.373,119108
20130604,12.312,12.446,12.312,12.41,69058
20130605,12.44,12.44,12.269,12.324,128295
20130606,12.253,12.367,12.253,12.357,62209
20130607,12.355,12.422,12.353,12.385,45302
20130610,12.361,12.385,12.324,12.33,128624
20130611,12.294,12.294,12.141,12.141,106951
20130612,12.141,12.202,11.939,11.946,216461
20130613,11.928,12.178,11.874,12.142,178370
20130614,12.196,12.257,12.178,12.226,68846
20130617,12.306,12.348,12.239,12.245,63908
20130618,12.214,12.306,12.208,12.287,71802
20130619,12.251,12.391,12.165,12.165,36834
20130620,12.013,12.025,11.567,11.927,259205
20130621,11.885,11.97,11.854,11.903,106379
20130624,11.75,11.824,11.622,11.72,152429
20130625,11.805,11.842,11.628,11.817,62215
20130626,11.818,11.994,11.818,11.947,55455
20130627,12.051,12.11,12.034,12.092,39613
20130628,12.019,12.147,12.019,12.135,37206
20130701,12.287,12.287,12.127,12.158,101697
20130702,12.213,12.238,12.121,12.133,164713
20130703,12.164,12.164,12.064,12.094,11980
20130705,12.115,12.115,11.961,11.961,228273
20130708,11.945,12.022,11.908,11.945,73454
20130709,11.942,12.016,11.942,11.998,52215
20130710,11.961,12.059,11.936,12.053,67913
20130711,12.213,12.213,12.115,12.182,57043
20130712,12.182,12.225,12.139,12.139,55327
20130715,12.207,12.25,12.158,12.213,61455
20130716,12.173,12.207,12.156,12.192,42361
20130717,12.197,12.262,12.197,12.238,46534
20130718,12.275,12.281,12.209,12.262,28841
20130719,12.281,12.299,12.242,12.299,27582
20130722,12.324,12.354,12.277,12.305,61880
20130723,12.342,12.342,12.292,12.298,20713
20130724,12.268,12.293,12.195,12.238,233058
20130725,12.244,12.256,12.158,12.201,40326
20130726,12.154,12.256,12.154,12.234,14575
20130729,12.207,12.25,12.139,12.139,28789
20130730,12.17,12.201,12.158,12.17,19683
20130731,12.133,12.195,12.121,12.145,34758
20130801,12.152,12.169,12.077,12.09,70538
20130802,12.06,12.169,12.06,12.103,29063
20130805,12.07,12.138,12.07,12.07,78823
20130806,12.045,12.051,11.99,11.99,45091
20130807,11.99,12.002,11.966,11.966,52863
20130808,11.977,12.039,11.977,12.014,48579
20130809,11.967,12.088,11.967,12.047,44191
20130812,12.07,12.101,12.039,12.045,27453
20130813,12.039,12.051,11.959,11.959,59256
20130814,11.99,12.008,11.842,11.885,67295
20130815,11.829,11.829,11.693,11.749,91460
20130816,11.733,11.761,11.653,11.677,97943
20130819,11.607,11.669,11.52,11.52,91248
20130820,11.551,11.669,11.471,11.624,221290
20130821,11.527,11.669,11.477,11.611,338367
20130822,11.669,11.749,11.632,11.723,54582
20130823,11.7,11.848,11.7,11.829,32911
20130826,11.897,11.916,11.786,11.786,22120
20130827,11.816,11.823,11.73,11.73,106696
20130828,11.608,11.811,11.608,11.793,30165
20130829,11.829,11.854,11.774,11.848,36155
20130830,11.774,11.842,11.774,11.813,36076
20130903,11.811,11.88,11.756,11.793,38970
20130904,11.737,11.88,11.737,11.842,57793
20130905,11.852,11.886,11.796,11.796,25189
20130906,11.88,11.898,11.849,11.861,18464
20130909,11.904,11.923,11.867,11.88,57312
20130910,11.947,11.96,11.81,11.928,36455
20130911,11.979,11.979,11.888,11.935,57979
20130912,11.985,11.985,11.855,11.861,34666
20130913,11.917,11.917,11.842,11.862,27652
20130916,11.88,11.979,11.786,11.886,30654
20130917,11.904,11.96,11.898,11.935,31819
20130918,11.886,12.078,11.886,12.047,36029
20130919,12.14,12.146,11.997,11.997,18200
20130920,11.942,12.004,11.936,11.942,26373
20130923,11.979,11.991,11.892,11.892,66918
20130924,11.904,11.973,11.904,11.935,45047
20130925,11.923,11.973,11.923,11.942,35743
20130926,11.965,12.01,11.965,11.974,9194
20130927,11.973,12.016,11.912,11.912,63037
20130930,11.817,11.966,11.817,11.966,33432
20131001,11.913,12.101,11.913,11.982,15346
20131002,11.938,11.982,11.795,11.951,27573
20131003,11.95,11.951,11.907,11.913,30027
20131004,11.995,12.001,11.932,11.97,30678
20131007,12.013,12.013,11.913,11.913,47503
20131008,11.944,11.944,11.851,11.851,34400
20131009,11.867,11.869,11.832,11.869,19501
20131010,11.981,12.051,11.887,11.956,32816
20131011,11.995,11.995,11.933,11.971,55464
20131014,11.988,11.988,11.932,11.969,16829
20131015,11.995,11.995,11.882,11.882,38503
20131016,11.932,11.976,11.913,11.938,33249
20131017,11.97,12.057,11.96,12.008,93205
20131018,12.076,12.113,12.033,12.076,41620
20131021,12.123,12.151,12.067,12.067,30203
20131022,12.164,12.232,12.151,12.22,42103
20131023,12.257,12.257,12.138,12.207,34272
20131024,12.188,12.226,12.145,12.207,23339
20131025,12.163,12.22,12.145,12.195,35554
20131028,12.126,12.213,12.12,12.164,43768
20131029,12.126,12.226,12.114,12.151,131856
20131030,12.2,12.232,12.164,12.17,32302
20131031,12.126,12.232,12.113,12.188,37741
20131101,12.219,12.219,12.156,12.203,42311
20131104,12.231,12.232,12.194,12.207,8896
20131105,12.225,12.232,12.148,12.15,29288
20131106,12.207,12.207,12.138,12.138,28469
20131107,12.188,12.194,12.124,12.125,22876
20131108,12.043,12.163,12.043,12.112,71901
20131111,12.05,12.194,12.05,12.1,129384
20131112,12.045,12.131,12.045,12.12,36337
20131113,12.057,12.138,12.056,12.106,44712
20131114,12.04,12.156,12.008,12.115,46007
20131115,12.151,12.219,12.148,12.189,60074
20131118,12.138,12.232,12.138,12.188,35605
20131119,12.188,12.2,12.125,12.149,26207
20131120,12.213,12.232,12.106,12.106,21839
20131121,12.063,12.169,12.006,12.113,99406
20131122,12.069,12.213,12.069,12.213,26016
20131125,12.213,12.213,12.15,12.2,38871
