Date,Open,High,Low,Close,Volume
20211008,25.09,25.09,24.921,24.921,7331
20211011,24.97,24.99,24.7325,24.7325,3039
20211012,24.72,24.92,24.65,24.92,92824
20211013,24.62,24.78,24.61,24.748,21432
20211014,24.945,25.1,24.945,25.0832,884
20211015,25.17,25.27,25.17,25.2155,1594
20211018,25.28,25.28,24.935,24.9855,1110
20211019,25.17,25.3899,25.17,25.3276,5499
20211020,25.62,25.69,25.5995,25.6545,2212
20211021,25.8,25.8411,25.63,25.8411,2903
20211022,25.92,25.9476,25.8592,25.9476,2133
20211025,25.95,26.02,25.8792,25.9363,1547
20211026,25.9,26.0999,25.8851,26.0864,984
20211027,26.09,26.09,25.844,25.844,1979
20211028,25.84,26.08,25.84,26.0345,2006
20211029,26.31,26.3727,26.31,26.3727,1101
20211101,26.404,26.404,26.3359,26.3359,1687
20211102,26.43,26.52,26.43,26.4564,2080
20211103,26.42,26.6017,26.4199,26.6017,6704
20211104,26.44,26.44,26.3,26.4376,3364
20211105,26.56,26.66,26.35,26.4047,1322
20211108,26.56,26.56,26.405,26.5327,5274
20211109,26.82,26.82,26.4464,26.4464,1986
20211110,26.5495,26.6399,26.4007,26.4851,2883
20211111,26.48,26.67,26.41,26.5,51475
20211112,26.72,27.145,26.49,26.6191,29622
20211115,26.72,26.72,26.3827,26.3827,27535
20211116,26.5688,26.6,26.5079,26.5079,4163
20211117,26.4799,26.59,26.4799,26.523,3129
20211118,26.5099,26.54,26.435,26.489,4374
20211119,26.65,26.65,26.3388,26.3388,10390
20211122,26.26,26.44,26.21,26.2105,10300
20211123,26.21,26.21,25.97,26.1591,7501
20211124,26.18,26.18,26.03,26.1544,4685
20211126,26.39,26.39,25.87,25.87,6170
20211129,27.9,27.9,26.06,26.08,19971
20211130,25.82,26.06,25.5699,25.69,19780
20211201,25.82,26.02,25.51,25.51,12876
20211202,25.52,25.72,25.45,25.66,23526
20211203,25.805,25.805,25.4,25.55,42943
20211206,25.6799,25.74,25.57,25.61,9314
20211207,25.75,26.1,25.69,26.05,5777
20211208,26.29,26.33,26.12,26.33,4671
20211209,26.18,26.34,26.18,26.21,14743
20211210,26.23,26.37,26.22,26.3567,6944
20211213,26.46,26.65,26.37,26.59,12942
20211214,26.52,26.56,26.32,26.45,5598
20211215,26.59,27.09,26.59,27.08,13199
20211216,27.19,27.37,27.05,27.37,59101
20211217,27.11,27.351,27,27.18,18096
20211220,27.22,27.27,26.81,27.08,83170
20211221,27.25,27.56,27.04,27.335,26461
20211222,27.34,27.71,27.34,27.71,28904
20211223,29.91,29.91,27.76,27.858,24716
20211227,29.34,29.34,27.8999,28.0495,22377
20211228,28.05,28.0988,27.85,27.9,9336
20211229,28.01,28.05,27.8984,28.0358,12569
20211230,28.17,28.22,28.05,28.05,13862
20211231,28.09,28.1441,27.94,27.95,8843
20220103,27.99,27.99,27.445,27.73,80072
20220104,27.81,27.86,27.15,27.27,774008
20220105,27.41,27.49,26.79,26.79,415144
20220106,26.76,26.76,26.309,26.33,279275
20220107,26.22,26.3199,26.03,26.03,88800
20220110,26.05,26.26,25.73,26.26,87686
20220111,26.4,26.55,26.01,26.54,500840
20220112,26.64,26.64,26.42,26.52,58379
20220113,26.53,26.53,26,26.09,91418
20220114,26.02,26.05,25.661,26.04,42134
20220118,25.8,25.8,25.5,25.58,67739
20220119,25.66,25.818,25.4,25.43,47992
20220120,25.41,25.88,25.26,25.3,45335
20220121,25.29,25.33,24.87,24.94,64158
20220124,24.75,25.02,24.06,25.02,128572
20220125,24.59,24.9,24.301,24.69,53540
20220126,24.74,24.95,24.28,24.48,108026
20220127,24.43,24.86,24.371,24.41,109284
20220128,24.32,24.96,24.27,24.96,52316
20220131,24.92,25.29,24.92,25.27,76912
20220201,25.31,25.39,25.121,25.35,73377
20220202,25.39,25.69,25.3394,25.61,46348
20220203,25.47,25.64,25.47,25.52,12846
20220204,25.42,25.69,25.315,25.51,27241
20220207,25.46,25.67,25.46,25.55,9447
20220208,25.44,25.82,25.44,25.78,7317
20220209,26.02,26.13,26.02,26.07,9857
20220210,25.91,26.105,25.65,25.7,54772
20220211,25.7601,25.88,25.3,25.3,22375
20220214,25.25,25.2888,24.9,25.01,26517
20220215,25.17,25.45,25.17,25.3,8348
20220216,25.09,25.45,25.09,25.4,9854
20220217,25.16,25.19,24.87,24.87,19344
20220218,24.73,24.8999,24.56,24.6,12992
