Date,Open,High,Low,Close,Volume
20080107,19.604,20.46,19.468,19.709,140140
20080108,19.821,19.917,19.484,19.484,91683
20080109,19.428,19.428,19.042,19.299,106256
20080110,19.468,19.781,19.42,19.733,34756
20080111,19.516,19.58,19.484,19.508,175511
20080114,19.612,19.669,19.492,19.58,34011
20080115,19.227,19.235,18.874,18.882,28027
20080116,18.689,18.745,18.232,18.336,21925
20080117,17.846,17.846,17.284,17.316,22796
20080118,18.368,18.44,18.023,18.087,41603
20080122,17.035,18.312,16.827,17.525,36871
20080123,16.905,17.413,16.582,17.413,58797
20080124,17.718,18.023,17.718,18.023,13331
20080125,18.561,18.561,18.047,18.135,30643
20080128,19.267,19.267,17.726,18.191,73124
20080129,18.456,18.697,18.416,18.633,145120
20080130,18.641,19.966,18.464,18.737,114480
20080131,18.031,18.721,18.031,18.721,158447
20080201,19.083,19.372,18.962,19.372,40738
20080204,19.083,19.909,19.083,19.195,19689
20080205,18.577,18.577,18.32,18.384,95917
20080206,18.28,18.464,18.143,18.143,50948
20080207,17.935,19.147,17.91,18.103,25415
20080208,18.047,18.199,17.967,18.071,53441
20080211,18.167,18.207,18.031,18.199,19185
20080212,18.609,18.609,18.207,18.36,89316
20080213,18.553,18.769,18.472,18.761,17814
20080214,18.785,18.826,18.713,18.737,25044
20080215,18.625,18.753,18.569,18.753,12211
20080219,19.38,19.38,18.978,19.018,78726
20080220,19.034,19.669,19.034,19.588,162684
20080221,19.428,19.476,19.283,19.299,47836
20080222,19.42,19.5,19.147,19.5,24541
20080225,19.444,19.54,19.227,19.54,88071
20080226,19.331,19.661,19.315,19.644,90565
20080227,19.572,19.869,19.396,19.869,165051
20080228,19.99,19.99,19.773,19.821,40614
20080229,19.636,19.636,19.412,19.484,61912
20080303,19.259,19.38,19.195,19.227,27782
20080304,19.042,19.042,18.601,18.802,90185
20080305,18.922,18.97,18.785,18.946,51946
20080306,19.275,19.275,18.986,18.986,14327
20080307,18.681,18.818,18.456,18.529,72627
20080310,18.264,18.264,17.734,17.734,53193
20080311,18.456,18.697,18.376,18.697,14702
20080312,18.761,18.866,18.705,18.745,14827
20080313,18.376,18.713,18.288,18.705,19311
20080314,19.075,19.107,18.432,18.585,42105
20080317,18.312,19.267,18.312,18.448,43846
20080318,18.585,18.802,18.561,18.802,28653
20080319,18.601,18.601,18.191,18.191,9345
20080320,17.541,17.91,17.413,17.902,95666
20080324,18.127,18.392,18.127,18.288,30520
20080325,18.288,18.794,18.264,18.794,94795
20080326,18.521,18.93,18.521,18.93,123448
20080327,19.042,19.099,18.898,18.962,43229
20080328,19.299,19.331,19.187,19.267,19686
20080331,19.436,19.436,19.283,19.412,21311
20080401,19.364,19.725,19.339,19.612,32893
20080402,19.588,19.909,19.572,19.693,46592
20080403,19.251,19.917,19.147,19.917,49959
20080404,20.38,20.5,19.54,19.588,72747
20080407,19.845,19.974,19.813,19.917,61415
20080408,19.347,19.661,19.347,19.661,111615
20080409,19.524,19.644,19.436,19.596,38245
20080410,19.412,19.644,19.388,19.54,43231
20080411,19.307,19.364,19.291,19.339,36500
20080414,19.355,19.42,19.347,19.42,7089
20080415,19.508,19.58,19.468,19.54,92741
20080416,19.869,20.22,19.837,20.22,89709
20080417,19.837,19.958,19.773,19.917,58568
20080418,20.05,20.07,19.966,20.01,100459
20080421,20.22,20.3,20.16,20.28,47917
20080422,20.17,20.36,20.06,20.27,47230
20080423,20.23,20.38,20.19,20.38,106388
20080424,20.01,20.13,19.829,20.09,61669
20080425,20.15,20.21,20.01,20.19,36843
20080428,20.25,20.26,20.14,20.18,36372
20080429,19.901,19.958,19.877,19.917,29496
20080430,19.974,20.17,19.95,20.04,22283
20080501,19.901,20.18,19.901,20.15,50342
