Date,Open,High,Low,Close,Volume
20080404,23.9,27.61,23.74,24.08,56430
20080407,24.46,25.22,24.09,24.14,161100
20080408,23.74,24,23.42,23.89,49270
20080409,23.93,23.93,23.44,23.65,46480
20080410,23.88,24,23.61,23.93,20760
20080411,23.74,24.04,23.42,23.42,39930
20080414,23.47,23.47,23.21,23.28,31060
20080415,23.45,23.51,23.09,23.46,13900
20080416,24.18,24.18,23.93,24.14,27260
20080417,24.19,24.27,23.86,24.03,14430
20080418,24.28,24.56,23.95,24.56,124900
20080421,24.72,24.72,24.3,24.49,429450
20080422,24.96,24.96,24.2,24.31,32670
20080423,25.29,25.29,24.21,24.41,31920
20080424,24.64,24.64,24.18,24.38,148070
20080425,24.54,24.54,24.16,24.49,23390
20080428,24.65,24.73,24.29,24.3,122080
20080429,24.41,24.42,23.98,24.19,75330
20080430,24.48,24.59,24.03,24.21,52310
20080501,23.97,24.09,23.8,23.87,15170
20080502,24.56,24.56,24.11,24.11,22430
20080505,24.46,24.46,23.97,24.2,9920
20080506,24.52,26.3,24.08,24.34,32430
20080507,25.1,25.1,24.29,24.29,13520
20080508,24.84,24.89,24.65,24.73,22750
20080509,24.94,24.94,24.41,24.7,52710
20080512,24.99,24.99,24.57,24.84,32440
20080513,25.27,25.3,24.98,25.07,47120
20080514,25.31,25.31,25.11,25.11,46030
20080515,25.73,25.73,24.73,25.52,16580
20080516,25.57,25.73,25.47,25.73,37400
20080519,26.19,26.19,25.77,25.97,103690
20080520,26.18,26.18,25.89,25.98,43490
20080521,26.01,26.28,25.72,25.89,59160
20080522,26.16,26.21,25.94,26.07,55130
20080523,26.42,26.42,25.68,25.84,59570
20080527,26.07,26.07,25.66,25.84,25930
20080528,26.12,26.12,25.79,26.03,43570
20080529,26.35,26.35,25.97,26.15,35600
20080530,26.52,26.52,26.25,26.39,42700
20080602,26.49,26.49,26.07,26.12,21490
20080603,26.47,26.47,26.08,26.25,52510
20080604,26.39,26.39,26.03,26.12,20710
20080605,26.02,26.49,26.02,26.48,45400
20080606,26.3,26.3,25.84,25.84,31670
20080609,26.02,26.19,25.84,25.93,27050
20080610,26.71,26.71,25.43,25.51,42880
20080611,25.57,25.57,25.09,25.26,24360
20080612,25.33,25.38,25.02,25.11,52720
20080613,25.96,25.96,24.92,25.08,34410
20080616,25.4,25.4,25.07,25.13,12820
20080617,25.9,25.9,25.22,25.27,15050
20080618,25.27,25.27,25,25.07,14930
20080619,25.67,25.67,25.12,25.3,14820
20080620,24.86,25.02,24.79,24.84,13220
20080623,25.07,25.07,24.84,24.91,43160
20080624,25.1,25.1,24.75,24.84,30690
20080625,25.38,25.38,24.83,25.2,10070
20080626,25.2,25.2,24.42,24.47,25650
