Date,Open,High,Low,Close,Volume
20190724,25,25,25,25,199920
20190725,25.07,25.07,25.07,25.07,801
20190731,25,25,25,25,800
20190802,24.36,24.36,24.36,24.36,1800
20190815,23.84,23.84,23.84,23.84,400
20190821,24.48,24.48,24.48,24.48,400
20190822,24.34,24.34,24.34,24.34,100
20190829,24.53,24.53,24.49,24.49,300
20190830,24.41,24.41,24.41,24.41,100
20190903,24.29,24.29,24.29,24.29,100
20190909,24.9,24.9,24.9,24.9,400
20190916,24.8976,24.8976,24.8976,24.8976,600
20190919,25.031,25.031,25.031,25.031,400
20190920,25.0298,25.03,25.0298,25.03,586
20190924,24.78,24.78,24.78,24.78,400
20190926,24.75,24.8472,24.75,24.8472,700
20191002,23.98,23.98,23.98,23.98,200
20191007,24.48,24.5418,24.48,24.5418,300
20191017,24.9019,24.9019,24.8301,24.8301,600
20191106,25.3,25.3,25.3,25.3,400
20191113,25.34,25.429,25.34,25.429,800
20191127,25.96,25.96,25.9565,25.9565,400
20191206,28.05,28.05,28.05,28.05,300
20191210,25.88,25.88,25.868,25.88,1100
20191216,26.38,26.3934,26.38,26.3934,500
20191217,26.48,26.48,26.48,26.48,213
20191226,26.669,26.669,26.669,26.669,376
20191227,26.6,26.6,26.6,26.6,100
20191230,26.438,26.438,26.438,26.438,400
20200107,26.5821,26.5821,26.5791,26.5791,294
20200108,26.5,26.5,26.5,26.5,100
20200113,26.98,26.98,26.98,26.98,100
20200116,27.2342,27.2342,27.2342,27.2342,222
20200122,27.53,27.53,27.53,27.53,100
20200128,27.07,27.07,27.07,27.07,300
20200129,27.0674,27.0674,27.0674,27.0674,300
20200130,26.9116,26.9116,26.9116,26.9116,400
20200131,26.89,26.89,26.89,26.89,100
20200203,26.92,26.92,26.92,26.92,101
20200205,27.441,27.441,27.441,27.441,100
20200220,27.735,27.735,27.735,27.735,1000
20200221,27.6,27.6,27.5,27.5,300
20200225,26.3151,26.3151,26.3151,26.3151,376
20200227,25.2401,25.2401,25.2401,25.2401,116
20200228,24.02,24.02,24.02,24.02,100
20200302,24.64,24.64,24.64,24.64,222
20200303,24.9107,24.9107,24.85,24.85,725
20200304,25.2303,25.2303,25.2303,25.2303,100
20200306,24.4,24.4,24.4,24.4,100
20200309,22.35,23.1719,22.35,23.1719,225
20200316,20,20,20,20,100
20200318,19.57,19.57,19.5,19.5,330
20200319,19.75,19.7837,19.67,19.6905,2200
20200320,19.639,19.639,19.639,19.639,100
20200325,20.19,21.21,20.19,21.165,400
20200327,21.299,21.299,21.299,21.299,200
20200331,21.6801,21.6801,21.5,21.5,2448
20200406,21.74,21.74,21.74,21.74,1448
20200409,23.03,23.03,23.005,23.005,200
20200413,22.62,22.675,22.6,22.675,936
20200420,23.47,23.47,23.47,23.47,150
20200422,22.971,22.971,22.93,22.93,2500
20200424,23.23,23.23,23.2,23.2076,560
20200427,23.7,23.7,23.7,23.7,100
20200501,23.399,23.4,23.37,23.4,896
20200504,23.09,23.09,23.09,23.09,500
20200506,23.62,23.7,23.62,23.7,216
20200508,24.1399,24.1399,24.1001,24.1001,1000
20200512,24.05,24.05,24.05,24.05,100
20200515,23.48,23.48,23.48,23.48,100
20200519,24.38,24.38,24.38,24.38,233
20200521,24.65,24.65,24.3901,24.3901,1206
20200522,24.33,24.3844,24.33,24.33,1996
20200605,26.82,26.82,26.82,26.82,100
20200609,26.83,26.83,26.83,26.83,100
20200610,26.58,26.58,26.58,26.58,100
20200611,25.04,25.04,25.04,25.04,100
20200612,25.08,25.08,25.08,25.08,200
20200615,24.95,24.95,24.95,24.95,100
20200618,25.86,25.86,25.86,25.86,900
20200619,26.14,26.14,25.68,25.7101,2581
20200622,25.66,25.66,25.66,25.66,200
20200623,26.03,26.03,26.03,26.03,200
20200624,25.57,25.57,25.3033,25.3033,300
20200629,24.94,25.19,24.8101,25.19,478
20200708,25.8857,25.8857,25.8857,25.8857,200
20200709,26,26,26,26,100
20200714,26.03,26.03,26.03,26.03,100
20200715,26.5601,26.6,26.49,26.6,1498
20200716,26.46,26.469,26.4201,26.4201,500
20200720,26.614,26.614,26.614,26.614,1000
20200722,26.91,26.91,26.87,26.87,1001
20200724,26.4499,26.4499,26.4499,26.4499,100
20200727,26.536,26.536,26.536,26.536,200
20200803,26.54,26.54,26.54,26.54,100
20200817,27.78,27.78,27.7377,27.7377,200
20200821,27.769,27.769,27.7682,27.7682,378
20200824,28.1015,28.1015,28.1015,28.1015,175
20200831,28.9,28.9,28.67,28.67,200
20200901,28.685,28.685,28.685,28.685,100
20200903,28.71,28.71,28.18,28.18,200
20200914,27.8928,28.0298,27.69,27.83,586
20200915,27.93,28,27.92,28,1200
20200917,27.71,27.71,27.4,27.4,316
20200918,27.37,27.37,27.37,27.37,400
20200922,27.08,27.08,26.8901,26.8901,498
20200923,27.2179,27.2179,26.88,26.9999,1131
20200924,26.5093,26.5424,26.48,26.5424,498
20201006,27.8399,27.8399,27.5,27.5,599
20201007,27.67,27.74,27.67,27.74,900
20201009,28.2909,28.2909,28.2909,28.2909,100
20201013,28.809,28.81,28.735,28.735,2900
20201016,28.53,28.53,28.4974,28.52,1973
20201019,28.62,28.639,28.52,28.52,2062
20201020,28.2,28.3,28.04,28.15,3499
20201021,27.99,27.99,27.99,27.99,100
20201023,28.2,28.3899,28.2,28.3899,200
20201026,27.599,27.6,27.57,27.57,500
20201028,26.7857,26.7857,26.7857,26.7857,100
20201102,26.781,26.781,26.75,26.75,585
20201103,27.59,27.599,27.47,27.47,11344
20201104,28.34,28.34,28.34,28.34,175
20201105,28.6,28.889,28.6,28.889,567
20201106,28.55,28.691,28.55,28.65,1398
20201112,28.9118,28.9118,28.9118,28.9118,175
20201116,29.77,29.77,29.6199,29.6199,613
20201118,29.613,29.613,29.613,29.613,330
20201119,29.1325,29.16,29,29.159,1451
20201124,29.5399,29.5399,29.46,29.487,3000
20201125,29.705,29.705,29.705,29.705,129
20201130,29.62,29.62,29.581,29.581,430
20201207,30.4899,30.4899,30.4,30.42,400
20201209,30.33,30.33,30.33,30.33,200
20201210,30.175,30.22,30.175,30.22,200
20201211,30.21,30.21,30.05,30.125,671
