Date,Open,High,Low,Close,Volume
20091215,17.941,18.093,17.794,17.896,11060
20091216,18.009,18.221,17.994,17.994,4521
20091217,17.806,17.806,17.496,17.64,23417
20091218,17.624,17.624,17.377,17.587,14721
20091221,17.957,17.957,17.692,17.708,19382
20091222,17.949,17.972,17.806,17.851,3387
20091223,18.04,18.16,18.028,18.115,8072
20091224,18.764,18.764,18.27,18.311,2923
20091228,18.379,18.379,18.228,18.228,5606
20091229,18.462,18.504,18.342,18.364,6646
20091230,18.327,18.394,18.304,18.349,5320
20091231,18.447,18.447,18.281,18.281,11576
20100104,18.87,18.976,18.87,18.938,10512
20100105,19.067,19.127,18.871,18.968,23656
20100106,18.855,19.142,18.855,19.127,13396
20100107,18.794,18.877,18.689,18.847,7238
20100108,18.696,19.111,18.576,19.111,8742
20100111,19.323,19.376,19.24,19.361,25630
20100112,18.983,19.126,18.87,18.87,30736
20100113,19.361,19.511,19.182,19.511,38535
20100114,19.172,19.345,19.172,19.345,17802
20100115,19.225,19.225,18.903,19.059,8293
20100119,19.446,19.71,19.363,19.708,73541
20100120,19.33,19.33,18.902,19.104,40465
20100121,18.991,18.991,18.44,18.508,28278
20100122,18.345,18.413,17.975,18.108,37275
20100125,18.228,18.545,18.228,18.379,16626
20100126,18.145,18.455,18.107,18.221,18869
20100127,18.092,18.206,17.874,18.168,15356
20100128,17.994,18.04,17.655,17.911,37371
20100129,18.167,18.296,17.76,17.791,19234
20100201,18.251,18.334,18.177,18.334,5198
20100202,18.409,18.719,18.326,18.696,75867
20100203,18.515,18.538,18.266,18.417,139981
20100204,17.768,17.768,16.862,16.915,205970
20100205,16.719,16.741,16.024,16.621,101061
20100208,16.417,16.545,16.251,16.258,19522
20100209,16.606,16.915,16.439,16.756,40573
20100210,16.9,16.9,16.606,16.756,39387
20100211,16.549,16.904,16.39,16.877,11493
20100212,16.749,17.051,16.749,16.87,1787
20100216,16.923,17.368,16.923,17.368,10593
20100217,17.526,17.564,17.285,17.285,3160
20100218,17.195,17.323,17.165,17.292,15367
20100219,17.126,17.307,16.937,17.194,18085
20100222,17.443,17.443,17.255,17.36,12143
20100223,16.938,16.998,16.802,16.802,33992
20100224,16.96,17.181,16.953,17.104,9234
20100225,16.756,16.93,16.574,16.93,8570
20100226,17.081,17.489,17.081,17.451,14371
20100301,17.398,17.609,17.383,17.609,2006
20100302,17.979,18.191,17.964,18.145,5448
20100303,18.165,18.467,18.165,18.311,3997
20100304,18.27,18.27,18.16,18.191,9530
20100305,18.457,18.684,18.457,18.621,47088
20100308,18.655,18.748,18.655,18.719,12920
20100309,18.425,18.809,18.417,18.704,6105
20100310,18.772,18.93,18.772,18.832,17265
20100311,18.772,18.772,18.749,18.749,2120
20100312,19.111,19.179,18.915,18.998,9194
20100315,18.848,18.848,18.59,18.794,13287
20100316,18.93,19.391,18.93,19.391,13546
20100317,19.451,19.496,19.413,19.428,2383
20100318,19.232,19.247,19.028,19.134,9594
20100319,18.9,19.107,18.773,18.877,21988
20100322,18.504,18.856,18.414,18.84,2782
20100323,18.986,19.134,18.986,19.134,2384
20100324,18.719,18.779,18.628,18.674,20514
20100325,18.968,19.172,18.734,18.734,18677
20100326,19.059,19.059,18.847,18.945,6359
20100329,19.179,19.255,19.179,19.255,10087
20100330,19.323,19.353,19.27,19.315,18170
20100331,19.436,19.61,19.428,19.527,40163
20100401,19.851,20.09,19.813,19.964,13117
20100405,20.07,20.15,20.07,20.12,22063
20100406,19.949,20.09,19.832,20.09,24082
20100407,19.761,19.881,19.632,19.745,41671
20100408,19.466,19.617,19.376,19.617,4570
20100409,19.641,19.857,19.611,19.828,4622
20100412,20.03,20.24,20.03,20.16,21455
20100413,20.27,20.33,20.08,20.32,30017
20100414,20.49,20.68,20.36,20.67,32508
20100415,20.42,20.45,20.26,20.43,11507
20100416,20.24,20.24,19.676,19.844,27910
20100419,19.391,19.557,19.179,19.557,18926
20100420,19.889,19.896,19.693,19.866,14117
20100421,19.919,19.919,19.542,19.738,19802
20100422,19.323,19.353,19.021,19.353,28704
20100423,19.27,19.579,19.164,19.572,35092
20100426,19.783,19.836,19.685,19.693,24196
20100427,19.361,19.361,18.613,18.666,90447
20100428,18.779,18.923,18.266,18.764,55092
20100429,18.93,19.27,18.93,19.262,16466
20100430,19.468,19.468,19.074,19.074,58300
20100503,19.164,19.293,19.044,19.293,19998
20100504,18.538,18.538,17.594,17.67,72796
20100505,16.99,17.345,16.809,17.051,52848
20100506,16.779,16.953,14.719,15.956,97250
20100507,16.326,16.447,15.488,16.017,97598
20100510,16.772,17.791,16.772,17.587,37794
20100511,17.194,17.466,17.013,17.27,125894
20100512,17.474,17.655,17.458,17.647,38868
20100513,17.428,17.564,17.255,17.292,113839
20100514,17.16,17.16,16.27,16.545,80615
20100517,16.56,16.802,16.197,16.756,168417
20100518,16.983,16.983,15.99,16.077,64938
20100519,15.836,16.032,15.534,15.956,131294
20100520,15.281,15.534,14.967,15.164,131122
20100521,15.3,16.039,15.3,16.032,66562
20100524,15.745,15.858,15.564,15.677,18746
20100525,14.937,15.481,14.907,15.481,16446
20100526,15.654,15.881,15.387,15.556,30902
20100527,16.105,16.568,16.105,16.568,88266
20100528,16.455,16.59,16.198,16.424,88632
20100601,15.934,16.356,15.707,15.707,28854
20100602,16.145,16.432,16.145,16.432,9175
20100603,16.568,16.568,16.16,16.364,17586
20100604,15.383,15.534,14.93,15.005,148963
20100607,15.058,15.192,14.802,14.802,26872
20100608,15.089,15.353,14.979,15.353,44762
20100609,15.451,15.624,15.08,15.141,23713
20100610,15.753,15.971,15.662,15.971,30969
20100611,15.659,15.742,15.564,15.564,33934
20100614,16.311,16.319,16.032,16.032,9702
20100615,16.296,16.621,16.19,16.621,21160
20100616,16.304,16.455,16.281,16.394,21361
20100617,16.266,16.322,15.987,16.16,44524
20100618,16.092,16.319,16.092,16.319,14544
20100621,16.59,16.605,16.153,16.168,36367
20100622,16.356,16.372,16.002,16.002,8913
20100623,16.018,16.018,15.716,16.009,15166
20100624,15.783,15.813,15.579,15.647,79470
20100625,15.707,15.979,15.624,15.911,15298
20100628,15.662,15.79,15.571,15.624,22098
20100629,15.141,15.149,14.877,14.968,30318
20100630,15.164,15.232,15.013,15.013,16335
20100701,15.338,15.345,15.021,15.345,32040
20100702,15.677,15.737,15.488,15.503,16075
20100706,16.145,16.183,15.813,15.919,66265
20100707,16.017,16.605,16.017,16.605,19514
20100708,16.577,16.577,16.214,16.5,53328
20100709,16.315,16.455,16.315,16.455,17428
20100712,16.5,16.507,16.387,16.47,14428
20100713,16.696,16.855,16.651,16.779,62497
20100714,16.792,17.071,16.792,16.915,3538
20100715,17.149,17.217,16.93,17.209,21820
20100716,17.194,17.194,16.719,16.726,12379
20100719,16.787,16.855,16.749,16.855,9510
20100720,16.572,16.764,16.538,16.756,5788
20100721,16.983,17.058,16.636,16.734,47135
20100722,17.323,17.526,17.323,17.511,10766
20100723,17.337,17.816,17.337,17.783,12773
20100726,17.96,18.133,17.937,18.1,25310
20100727,18.183,18.243,17.919,18.07,14023
20100728,17.911,18.115,17.875,17.896,17466
20100729,18.266,18.296,17.889,18.055,15261
20100730,17.76,18.183,17.76,18.16,32688
20100802,18.564,18.832,18.553,18.825,6934
20100803,18.802,18.817,18.613,18.749,347379
20100804,18.844,18.867,18.705,18.847,11375
20100805,18.832,18.832,18.644,18.772,7695
20100806,18.787,18.96,18.674,18.726,17048
20100809,18.827,18.9,18.749,18.885,17462
20100810,18.334,18.606,18.281,18.515,33900
20100811,17.866,17.866,17.564,17.594,17413
20100812,17.632,17.683,17.557,17.617,31280
20100813,17.436,17.436,17.33,17.33,16499
20100816,17.628,17.889,17.481,17.791,24135
20100817,18.146,18.246,18.146,18.221,1656
20100818,18.002,18.191,17.972,18.153,25230
20100819,18.002,18.002,17.602,17.662,36683
20100820,17.323,17.466,17.263,17.466,5031
20100823,17.587,17.587,17.187,17.194,11293
20100824,16.907,17.141,16.892,17.043,58739
20100825,16.741,17.066,16.741,17.036,5443
20100826,17.111,17.224,16.892,16.892,19655
20100827,17.262,17.594,17.066,17.587,59791
20100830,17.307,17.307,16.93,16.93,13223
20100831,17.04,17.327,17.04,17.194,18109
20100901,17.587,17.768,17.481,17.738,13368
20100902,17.76,17.836,17.707,17.836,1455
20100903,18.07,18.153,18.002,18.153,22762
20100907,18.061,18.061,17.836,17.836,1801
20100908,18.115,18.296,18.115,18.16,16934
20100909,18.304,18.326,18.115,18.153,5708
20100910,18.108,18.228,18.085,18.206,7857
20100913,18.689,18.704,18.553,18.704,19525
20100914,18.622,18.894,18.524,18.87,28645
20100915,18.613,18.84,18.613,18.84,11974
20100916,18.744,18.812,18.67,18.779,11498
20100917,18.577,18.706,18.577,18.681,17786
20100920,18.749,18.998,18.734,18.983,15059
20100921,19.09,19.194,18.969,19.194,9538
20100922,19.44,19.457,19.289,19.353,6070
20100923,18.991,19.227,18.953,19.006,22460
20100924,19.536,19.693,19.511,19.67,14951
20100927,19.67,19.7,19.564,19.617,15278
20100928,19.315,19.7,19.308,19.7,20446
20100929,19.588,19.702,19.505,19.564,3323
20100930,19.64,19.844,19.572,19.7,23178
20101001,20.11,20.13,19.949,20.09,11379
20101004,19.979,20.06,19.836,19.934,67494
20101005,20.32,20.68,20.24,20.66,140163
20101006,20.61,20.76,20.53,20.68,676688
20101007,20.72,20.72,20.1,20.33,29702
20101008,20.28,20.46,20.22,20.45,14425
20101011,20.34,20.56,20.32,20.35,24791
20101012,20.2,20.56,20.2,20.56,17223
20101013,20.84,21.19,20.79,21.13,46946
20101014,21.13,21.31,21.05,21.22,69071
20101015,21.19,21.27,20.87,21.04,16328
20101018,20.89,21.04,20.76,21.03,33849
20101019,20.49,20.49,19.889,19.99,61163
20101020,20.19,20.68,20.19,20.61,49111
20101021,20.76,20.87,20.36,20.49,45004
20101022,20.58,20.63,20.52,20.61,8755
20101025,21.1,21.13,20.76,20.76,127887
20101026,20.55,20.85,20.55,20.85,671989
20101027,20.71,20.71,20.44,20.64,40250
20101028,20.77,20.8,20.62,20.8,20547
20101029,20.87,20.89,20.71,20.8,20667
20101101,21.03,21.13,20.89,20.98,134386
20101102,21.42,21.46,21.23,21.43,34051
20101103,21.44,21.72,21.19,21.69,71368
20101104,22.31,22.36,22.08,22.33,66966
20101105,22.05,22.24,21.92,22.06,152657
20101108,21.8,21.81,21.59,21.75,20598
20101109,22.08,22.08,21.57,21.58,40852
20101110,21.78,21.8,21.46,21.74,14618
20101111,21.46,21.46,21.2,21.44,82573
20101112,21.45,21.47,21.08,21.17,24646
