Date,Open,High,Low,Close,Volume
20080613,24.23,24.6,24.17,24.59,18650
20080616,24.86,24.95,24.75,24.9,3230
20080617,24.9,25.03,24.76,24.97,2630
20080618,24.71,24.71,24.43,24.64,3130
20080619,24.61,24.97,24.45,24.94,6990
20080620,24.78,24.78,24.1,24.17,15730
20080623,24.25,24.25,23.92,24.11,4170
20080624,23.74,23.78,23.32,23.51,4970
20080625,23.63,24.15,23.63,23.99,7390
20080626,23.62,23.62,23.2,23.2,6160
20080627,23.18,23.18,22.73,22.77,7620
20080630,22.9,22.99,22.65,22.65,2890
20080701,22.33,22.62,22.19,22.61,7380
20080702,22.85,22.85,22.28,22.28,2990
20080703,22.36,22.36,22.07,22.31,1600
20080707,22.44,22.53,21.9,22.3,14150
20080708,22.19,22.64,22.13,22.62,7270
20080710,22.5,22.66,22.11,22.29,8410
20080711,22.01,22.37,21.85,22.15,4060
20080714,21.64,21.65,21.58,21.65,760
20080715,20.96,21.7,20.75,21.52,6660
20080716,21.7,22.62,21.64,22.58,5560
20080721,21.74,21.74,21.73,21.73,1800
20080724,22.46,22.49,22.46,22.49,2800
20080725,22.41,22.46,22.4,22.42,3410
20080728,21.96,21.96,21.81,21.81,1800
20080729,22.33,22.35,22.33,22.35,1180
20080730,22.6,22.6,22.49,22.49,4400
20080731,22.35,22.35,22.04,22.08,2000
20080801,22.07,22.07,21.73,21.97,6600
20080804,21.87,21.9,21.71,21.71,1900
20080805,21.91,22.22,21.91,22.22,6000
20080806,21.9,22.24,21.88,22.24,9720
20080807,21.76,21.83,21.75,21.76,6200
20080808,21.67,22.19,21.65,22.19,2270
20080811,22.5,22.78,22.5,22.77,2400
20080812,24.43,24.43,22.58,22.65,1610
20080813,22.54,22.63,22.52,22.52,1900
20080814,22.49,22.89,22.49,22.89,1920
20080815,22.99,22.99,22.73,22.85,4450
20080818,22.61,22.61,22.61,22.61,200
20080819,22.17,22.18,22.12,22.12,2400
20080820,22.07,22.11,22.07,22.11,1800
20080902,22.31,22.31,21.74,21.74,1150
20080903,21.74,21.8,21.58,21.58,900
20080908,21.17,21.17,21.17,21.17,120
20080909,20.82,20.85,20.73,20.76,4500
20080910,19.96,19.96,19.96,19.96,100
20080911,19.81,19.81,19.78,19.78,3700
20080912,20.4,20.4,20.4,20.4,100
20080917,19.89,19.89,19.89,19.89,100
20080918,19.301,20.29,18.962,20.29,5400
20080923,19.85,19.85,19.85,19.85,100
20080925,20,20.28,19.98,20.28,3200
20080926,19.74,19.84,19.66,19.78,7100
20080929,19.867,19.867,17.96,17.96,13500
20080930,18.71,18.83,18.65,18.82,8600
20081001,18.959,18.959,18.59,18.59,4700
20081002,18.259,18.259,17.8,17.8,8600
20081003,17.63,17.63,17.51,17.51,1670
20081006,16.909,16.909,15.91,15.91,13510
20081007,16.63,16.66,16.63,16.63,600
20081008,15.63,15.63,15.63,15.63,100
