Date,Open,High,Low,Close,Volume
20170925,17.339,17.509,17.288,17.483,2950
20170926,17.407,17.407,17.369,17.369,1179
20170927,17.356,17.356,17.322,17.347,6252
20170928,17.28,17.28,17.212,17.226,8511
20170929,17.407,17.407,17.324,17.324,4027
20171002,17.398,17.398,17.37,17.37,1356
20171004,17.432,17.432,17.407,17.407,1179
20171006,17.61,17.61,17.433,17.433,708
20171009,17.576,17.576,17.534,17.534,295
20171010,17.805,17.805,17.805,17.805,118
20171011,17.661,17.67,17.661,17.67,5661
20171013,17.424,17.424,17.424,17.424,1406
20171016,17.297,17.297,17.283,17.283,590
20171017,17.805,17.805,17.094,17.127,1297
20171018,16.686,16.686,16.686,16.686,590
20171020,16.915,16.915,16.839,16.847,4245
20171023,16.734,16.734,16.634,16.634,1180
20171024,16.483,16.483,16.477,16.477,590
20171025,18.111,18.111,16.152,16.152,6204
20171026,16.217,16.372,16.105,16.372,3015
20171027,16.605,16.717,16.605,16.7,383
20171031,16.734,16.734,16.674,16.674,812
20171102,16.941,16.941,16.631,16.631,2898
20171103,16.734,16.786,16.667,16.786,6116
20171107,17.019,17.243,17.019,17.243,2087
20171108,17.258,17.258,17.002,17.036,2257
20171109,16.915,16.915,16.915,16.915,464
20171110,16.942,16.976,16.882,16.941,2583
20171113,16.898,16.898,16.613,16.613,580
20171114,16.708,16.708,16.355,16.355,1739
20171115,16.286,16.286,16.286,16.286,2319
20171116,16.45,16.45,16.441,16.441,464
20171120,16.493,16.493,16.493,16.493,232
20171121,16.435,16.435,16.435,16.435,580
20171128,16.027,16.027,16.027,16.027,1624
20171201,16.674,16.829,16.674,16.769,4057
20171204,16.933,16.933,16.691,16.691,1913
20171206,16.294,16.294,16.294,16.294,139
20171207,16.467,16.484,16.467,16.484,1522
20171211,16.76,16.959,16.76,16.959,580
20171214,17.285,17.285,17.255,17.255,3283
20171218,17.381,17.381,17.381,17.381,732
20171220,16.895,16.895,16.895,16.895,927
20171221,17.079,17.079,17.079,17.079,6956
20171222,17.114,17.174,17.114,17.166,6261
20171226,17.269,17.269,17.252,17.252,1926
20171229,17.137,17.209,17.137,17.209,1424
20180104,18.08,18.08,18.08,18.08,1159
20180105,17.916,17.916,17.895,17.895,1159
20180108,17.907,18.114,17.882,18.053,2668
20180109,18.166,18.166,18.166,18.166,1159
20180110,18.289,18.289,18.171,18.171,464
20180111,18.356,18.528,18.346,18.528,884
20180116,18.71,18.71,18.701,18.701,696
20180117,18.779,18.779,18.495,18.495,348
20180118,18.365,18.365,18.356,18.356,696
20180123,18.893,18.893,18.893,18.893,232
20180124,19.072,19.072,19.072,19.072,1739
20180125,18.917,18.917,18.862,18.862,2064
20180126,18.886,18.965,18.877,18.877,2938
20180129,18.842,18.842,18.658,18.658,913
20180201,18.439,18.466,18.419,18.462,4568
20180202,18.168,18.168,18.159,18.159,685
20180205,17.774,17.967,17.774,17.967,2285
20180206,17.652,17.661,17.652,17.661,400
20180207,17.85,17.87,17.85,17.861,857
20180208,17.861,17.861,17.424,17.424,1045
20180209,16.811,16.811,16.441,16.441,1142
20180212,17.152,17.152,17.144,17.144,685
20180214,17.257,17.257,17.187,17.187,913
20180215,17.275,17.275,17.073,17.073,434
20180216,16.861,16.861,16.861,16.861,114
20180221,16.636,16.636,16.627,16.627,484
20180222,16.393,16.393,16.393,16.393,1502
20180223,16.443,16.443,16.434,16.434,685
20180227,16.277,16.277,16.268,16.268,685
20180301,16.023,16.023,16.023,16.023,131
20180302,15.813,15.969,15.786,15.969,3254
20180309,15.923,15.996,15.923,15.996,1486
20180313,16.227,16.25,16.227,16.25,686
20180315,15.151,15.379,15.151,15.379,4113
20180316,15.76,15.76,15.76,15.76,2284
20180320,15.003,15.003,14.937,14.937,285
20180323,14.672,14.672,14.672,14.672,545
20180326,14.591,14.591,14.591,14.591,485
20180402,14.768,14.768,14.648,14.648,914
20180406,14.552,14.552,14.492,14.492,1174
20180409,14.499,14.633,14.499,14.633,7819
20180410,14.876,14.876,14.876,14.876,114
20180418,15.716,15.716,15.716,15.716,114
20180420,15.478,15.478,15.478,15.478,286
20180424,15.436,15.462,15.436,15.462,1370
20180425,15.435,15.435,15.435,15.435,228
20180427,15.571,15.571,15.571,15.571,151
20180503,15.384,15.424,15.25,15.25,23769
20180504,15.25,15.25,15.25,15.25,1013
20180508,15.522,15.522,15.522,15.522,461
20180511,16.054,16.054,15.937,15.937,1905
20180521,16.294,16.387,16.294,16.387,1428
20180522,16.561,16.561,16.561,16.561,5603
20180525,16.133,16.133,16.103,16.103,303
20180604,16.71,16.71,16.71,16.71,112
20180606,16.579,16.579,16.579,16.579,112
20180607,16.723,16.723,16.723,16.723,112
20180608,16.513,16.513,16.472,16.472,19948
20180618,16.204,16.329,16.196,16.329,3698
20180619,16.044,16.312,16.044,16.312,2242
20180621,16.392,16.401,16.392,16.401,504
20180622,16.472,16.579,16.436,16.436,1148
20180628,16.062,16.24,16.035,16.24,2213
20180629,16.106,16.392,16.106,16.392,2095
20180711,16.196,16.338,16.196,16.329,840
20180716,16.428,16.428,16.428,16.428,112
20180718,16.294,16.742,16.294,16.579,5940
20180723,16.99,16.99,16.285,16.285,896
20180726,17.481,17.481,17.481,17.481,110
20180802,17.599,17.771,17.599,17.753,3413
20180806,17.608,17.608,17.608,17.608,881
20180807,17.853,17.949,17.853,17.949,435
20180808,17.785,17.785,17.785,17.785,330
20180814,17.671,17.88,17.671,17.871,1799
20180821,18.03,18.03,17.953,17.953,2146
20180828,17.717,17.717,17.717,17.717,330
20180831,17.15,17.153,17.144,17.144,2092
20180907,17.278,17.278,17.278,17.278,550
20180914,17.299,17.299,17.199,17.199,385
20180924,17.172,17.172,17.172,17.172,209
20180925,17.172,17.172,17.172,17.172,1221
20181003,17.565,17.565,17.499,17.499,221
20181008,17.477,17.477,17.399,17.399,2201
20181009,17.635,17.68,17.635,17.68,1100
20181012,17.262,17.262,17.262,17.262,440
20181023,16.372,16.777,16.372,16.777,660
20181024,16.99,16.99,16.99,16.99,297
20181025,16.304,16.364,16.304,16.364,487
20181105,16.089,16.089,16.089,16.089,432
20181107,16.407,16.407,16.394,16.394,486
20181109,16.179,16.179,16.179,16.179,108
20181112,16.2,16.2,16.2,16.2,324
20181113,16.053,16.059,16.053,16.059,757
20181115,15.756,15.756,15.729,15.729,759
20181116,15.581,15.736,15.581,15.668,702
20181119,15.59,16.071,15.59,15.886,972
20181120,15.442,15.479,15.442,15.479,648
20181121,15.528,15.581,15.528,15.581,540
20181123,15.442,15.488,15.442,15.445,757
20181126,15.248,15.516,12.196,15.516,6704
20181128,14.351,14.351,14.351,14.351,108
20181129,15.673,15.673,15.618,15.618,324
20181130,15.451,15.451,15.451,15.451,108
20181203,14.73,14.73,14.73,14.73,108
20181204,14.591,14.591,14.591,14.591,108
20181206,15.117,15.165,15.117,15.165,14923
20181210,15.09,15.09,15.043,15.043,1547
20181211,15.237,15.237,15.237,15.237,33
20181212,15.361,15.361,15.361,15.361,33
20181213,15.423,15.578,15.423,15.553,1979
20181214,15.553,15.553,15.553,15.553,33
20181217,15.285,15.285,15.019,15.019,3294
20181218,14.948,14.948,14.948,14.948,33
20181219,15.189,15.189,15.189,15.189,245
20181220,14.651,14.651,14.651,14.651,30
20181221,13.902,13.902,13.902,13.902,33
20181224,13.537,13.537,13.409,13.409,1195
20181226,13.361,13.639,13.352,13.639,12252
20181227,13.9,13.9,13.9,13.9,33
20181228,13.904,13.904,13.904,13.904,139
20181231,13.98,13.98,13.98,13.98,139
20190102,14.05,14.06,14.018,14.06,357
20190103,14.018,14.336,14.018,14.336,384
20190104,14.73,14.73,14.73,14.73,249
20190107,15.311,15.311,15.311,15.311,33
20190108,15.664,15.664,15.664,15.664,466
20190109,15.803,15.803,15.803,15.803,357
20190110,15.627,15.627,15.627,15.627,357
20190111,15.581,15.581,15.581,15.581,33
20190114,15.581,15.581,15.581,15.581,33
20190115,15.846,15.846,15.846,15.846,349
20190116,15.507,15.507,15.507,15.507,33
20190117,15.608,15.608,15.608,15.608,33
20190118,15.766,15.775,15.766,15.775,682
20190122,15.627,15.627,15.627,15.627,357
20190123,15.054,15.553,15.054,15.553,1762
20190124,15.516,15.516,15.516,15.516,574
20190125,15.821,15.821,15.821,15.821,33
20190128,15.912,15.912,15.912,15.912,33
20190129,15.966,15.966,15.966,15.966,33
20190130,16.093,16.093,16.046,16.046,245
20190131,15.948,15.948,15.948,15.948,33
20190201,16.107,16.107,16.107,16.107,33
20190204,16.084,16.178,16.084,16.178,457
20190205,16.244,16.244,16.244,16.244,4381
20190206,15.995,15.995,15.995,15.995,33
20190207,15.636,15.636,15.636,15.636,33
20190208,15.563,15.563,15.563,15.563,427
20190211,15.631,15.631,15.631,15.631,33
20190212,15.878,15.878,15.878,15.878,33
20190213,16.066,16.066,16.066,16.066,33
20190214,16.302,16.302,16.302,16.302,33
20190215,16.382,16.382,16.382,16.382,33
20190219,16.565,16.565,16.565,16.565,245
20190220,16.506,16.506,16.506,16.506,33
20190221,16.282,16.282,16.282,16.282,245
20190222,16.34,16.34,16.34,16.34,33
20190225,16.367,16.367,16.367,16.367,33
20190226,16.063,16.063,16.063,16.063,33
20190227,16.032,16.032,16.032,16.032,33
20190228,15.848,15.848,15.848,15.848,457
20190301,15.873,15.873,15.873,15.873,33
20190304,15.802,15.802,15.802,15.802,459
20190305,15.977,15.977,15.977,15.977,33
20190306,15.977,15.977,15.977,15.977,33
20190307,15.977,15.977,15.977,15.977,33
20190308,15.977,15.977,15.977,15.977,33
20190311,16.156,16.156,16.156,16.156,33
20190312,16.169,16.169,16.169,16.169,629
20190313,16.172,16.172,16.172,16.172,33
20190314,16.172,16.172,16.172,16.172,33
20190315,16.087,16.087,16.087,16.087,139
20190318,16.451,16.451,16.451,16.451,33
20190319,16.451,16.451,16.451,16.451,33
20190320,16.451,16.451,16.451,16.451,33
20190321,16.451,16.451,16.451,16.451,33
20190322,16.205,16.205,16.205,16.205,141
20190325,16.011,16.04,16.011,16.04,529
20190326,16.368,16.368,16.368,16.368,33
20190327,16.339,16.348,16.32,16.32,958
20190328,16.329,16.329,16.329,16.329,33
20190329,16.436,16.436,16.436,16.436,247
20190401,16.753,16.753,16.499,16.499,457
20190402,16.853,16.853,16.853,16.853,33
20190403,16.726,16.726,16.726,16.726,33
20190404,16.663,16.663,16.663,16.663,33
20190405,16.795,16.795,16.795,16.795,33
20190408,16.683,16.683,16.094,16.678,1193
20190409,16.597,16.597,16.597,16.597,33
20190410,16.597,16.597,16.597,16.597,33
20190411,16.597,16.597,16.597,16.597,33
20190412,16.597,16.597,16.597,16.597,33
20190415,16.597,16.597,16.597,16.597,33
20190416,16.597,16.597,16.597,16.597,33
20190417,16.52,16.52,16.52,16.52,33
20190418,16.52,16.52,16.52,16.52,33
20190422,16.592,16.592,16.592,16.592,138
20190423,16.729,16.729,16.729,16.729,33
20190424,16.61,16.61,16.61,16.61,33
20190425,16.563,16.563,16.563,16.563,33
20190426,16.92,16.92,16.92,16.92,30
20190429,16.88,16.893,16.871,16.873,35590
20190430,16.454,16.454,16.231,16.231,23665
20190501,16.335,16.335,16.335,16.335,30
20190502,16.335,16.335,16.335,16.335,30
20190503,16.335,16.335,16.335,16.335,30
20190506,16.096,16.134,16.096,16.134,1626
20190507,16.149,16.149,16.149,16.149,30
20190508,16.327,16.327,16.327,16.327,377
20190509,16.044,16.044,16.044,16.044,30
20190510,16.149,16.149,16.149,16.149,134
