Date,Open,High,Low,Close,Volume
20180111,25.13,25.1507,25.11,25.1507,1777
20180112,25.3,25.35,25.2899,25.35,6112
20180116,25.58,25.58,25.27,25.27,1548
20180117,25.324,25.559,25.324,25.559,855
20180118,25.65,25.65,25.5199,25.54,2146
20180122,25.72,25.7499,25.703,25.7499,492
20180123,25.95,25.95,25.87,25.87,641
20180124,26.01,26.01,25.76,25.76,713
20180125,25.92,25.95,25.92,25.95,1453
20180126,26.14,26.14,26.14,26.14,203
20180130,25.96,25.96,25.87,25.87,948
20180131,25.85,25.85,25.85,25.85,176
20180201,25.85,25.85,25.85,25.85,176
20180206,24.21,24.21,24.1712,24.1712,425
20180209,23.9899,24.02,23.3001,23.3001,554
20180212,24.44,24.44,24.44,24.44,134
20180213,24.36,24.43,24.3446,24.43,350
20180214,24.6944,24.6944,24.6944,24.6944,100
20180226,25.5399,25.5399,25.5399,25.5399,445
20180227,25.445,25.445,25.445,25.445,145
20180301,24.69,24.69,24.69,24.69,405
20180302,24.6699,24.67,24.6699,24.67,448
20180305,24.8,24.8,24.8,24.8,571
20180308,25.2,25.2,25.2,25.2,100
20180315,25.3,25.3,25.3,25.3,111
20180321,24.94,24.94,24.94,24.94,331
20180327,23.98,23.98,23.98,23.98,115
20180328,23.96,23.96,23.96,23.96,281
20180329,24.13,24.25,23.95,24.25,620
20180402,24.27,24.27,24,24,246
20180403,23.7569,23.7569,23.73,23.73,404
20180405,24.41,24.41,24.39,24.39,2347
20180406,24.2028,24.2028,24.17,24.18,8122
20180409,24.3,24.3,24.3,24.3,100
20180411,24.2897,24.2994,24.2897,24.2994,418
20180511,25.11,25.11,25.11,25.11,326
20180514,25.18,25.18,25.163,25.166,595
20180515,24.91,24.91,24.9092,24.9092,350
20180516,25.079,25.079,25.079,25.079,100
20180517,25.15,25.15,25.15,25.15,401
20180607,25.57,25.57,25.5548,25.5548,700
20180615,25.57,25.57,25.5616,25.5616,21050
20180619,25.52,25.53,25.51,25.53,10000
20180620,25.57,25.57,25.57,25.57,9026
20180625,24.979,24.979,24.979,24.979,135
20180709,25.6,25.6,25.594,25.594,200
20180713,25.8399,25.8399,25.8399,25.8399,102
20180716,25.79,25.79,25.79,25.79,152
20180717,25.9213,25.9213,25.9213,25.9213,250
20180727,26.32,26.32,26.32,26.32,151
20180802,26.05,26.05,26.05,26.05,550
20180806,26.2099,26.2099,26.2099,26.2099,218
20180810,26.25,26.28,26.24,26.28,421
20180815,26.08,26.08,26.0599,26.0599,200
20180820,26.61,26.61,26.4703,26.4703,450
20180821,26.5799,26.5799,26.5075,26.5075,202
20180827,26.76,26.76,26.76,26.76,100
20180829,26.97,26.97,26.9456,26.9456,211
20180830,26.96,26.96,26.96,26.96,200
20180905,26.93,26.93,26.79,26.79,373
20180917,26.91,26.91,26.91,26.91,100
20180918,26.98,27,26.9715,26.9715,9158
20180921,27.2195,27.2195,27.2195,27.2195,260
20180924,27.24,27.24,27.0575,27.11,1451
20180928,26.95,26.95,26.95,26.95,100
20181001,27.1557,27.1557,27.1557,27.1557,150
20181005,26.609,26.609,26.609,26.609,100
20181009,26.82,26.82,26.82,26.82,200
20181017,26.0842,26.0842,26.0842,26.0842,164
20181029,24.95,25.05,24.4665,24.4665,604
20181102,25.63,25.63,25.63,25.63,150
20181107,25.65,25.9698,25.65,25.9698,650
20181109,25.72,25.72,25.72,25.72,100
20181115,25.0084,25.0084,25.0084,25.0084,950
20181120,24.684,24.684,24.684,24.684,950
20181127,24.7813,24.7813,24.7813,24.7813,124
20181128,24.9499,25.29,24.94,25.26,4902
20181129,25.39,25.39,25.31,25.31,200
20181130,25.51,25.51,25.51,25.51,100
20181203,25.93,25.93,25.89,25.89,500
20181204,25.75,25.75,25.75,25.75,100
20181206,24.67,24.67,24.67,24.67,100
20181210,23.99,24.06,23.99,24.06,500
20181213,24.72,24.72,24.72,24.72,100
20181214,24.36,24.36,24.36,24.36,100
20181217,24.01,24.01,24.01,24.01,100
20181219,23.84,23.84,23.21,23.34,688
20181220,23.25,23.25,23.25,23.25,100
20181221,23.085,23.085,22.64,22.6599,733
20181224,22.21,22.21,21.7204,21.7204,100
20181226,21.77,21.77,21.77,21.77,1300
20181227,22.43,22.43,22.43,22.43,100
20181228,23.0429,23.0429,23.0429,23.0429,396
20181231,22.97,22.97,22.97,22.97,200
20190102,22.94,22.94,22.94,22.94,100
20190103,22.69,22.69,22.69,22.69,100
20190107,23.67,23.67,23.52,23.53,38266
20190110,23.83,23.83,23.74,23.74,208
20190114,23.7945,23.81,23.79,23.81,795
20190115,23.93,23.99,23.93,23.99,200
20190116,24.16,24.16,24.14,24.14,200
20190117,24.11,24.35,24.11,24.35,200
20190118,24.4,24.4,24.4,24.4,100
20190122,24.35,24.35,24.2867,24.2867,360
20190124,24.29,24.29,24.29,24.29,249
20190125,24.52,24.52,24.52,24.52,200
20190131,24.74,24.74,24.74,24.74,100
20190201,24.9394,24.9394,24.9394,24.9394,241
20190206,25.184,25.184,25.184,25.184,104
20190207,24.97,24.97,24.97,24.97,186
20190211,24.95,24.95,24.95,24.95,200
20190214,25.21,25.21,25.21,25.21,150
20190215,25.48,25.48,25.48,25.48,118
20190307,25.35,25.35,25.35,25.35,1000
20190318,26.11,26.11,26.104,26.104,564
20190321,26.1105,26.1105,26.1105,26.1105,289
20190322,26.13,26.13,26.13,26.13,100
20190325,25.77,25.77,25.77,25.77,100
20190328,25.8159,25.8159,25.8,25.8,539
20190329,26.05,26.05,26.05,26.05,100
20190401,26.19,26.19,26.19,26.19,100
20190403,26.42,26.42,26.42,26.42,100
20190410,26.59,26.59,26.45,26.45,424
20190411,26.49,26.49,26.49,26.49,103
20190412,26.635,26.635,26.635,26.635,100
20190424,27.05,27.05,27.05,27.05,200
20190430,27.1,27.1,27.1,27.1,500
20190501,27.2,27.2,27.1,27.1,2360
20190502,26.95,26.95,26.95,26.95,300
20190503,27.1881,27.1881,27.1881,27.1881,186
20190506,26.98,26.98,26.98,26.98,100
20190508,26.649,26.649,26.649,26.649,350
20190510,26.48,26.69,26.48,26.69,6982
20190513,26.03,26.03,26.03,26.03,100
20190514,26.08,26.08,26.08,26.08,100
20190515,26.05,26.05,26.05,26.05,100
20190516,26.65,26.65,26.65,26.65,100
20190517,26.44,26.6533,26.42,26.6533,535
20190520,26.32,26.32,26.32,26.32,200
20190528,26.22,26.22,26.05,26.05,687
20190529,25.78,25.78,25.78,25.78,100
20190530,25.8,25.84,25.8,25.84,3220
20190531,25.45,25.45,25.45,25.45,100
20190603,25.38,25.38,25.26,25.26,3932
20190605,26.05,26.05,26.01,26.01,563
20190606,26.14,26.1705,26.14,26.1705,2709
20190607,26.6275,26.6275,26.6275,26.6275,100
20190610,26.77,26.77,26.77,26.77,100
20190611,26.68,26.74,26.68,26.74,1424
20190612,26.64,26.64,26.64,26.64,100
20190613,26.75,26.75,26.75,26.75,100
20190614,26.7,26.7,26.7,26.7,100
20190617,26.7899,26.79,26.7899,26.79,200
20190618,27.105,27.11,27.06,27.06,892
20190619,27.053,27.053,27.053,27.053,525
20190620,27.2823,27.2823,27.2823,27.2823,100
20190625,26.97,26.975,26.96,26.96,26800
20190627,26.99,26.99,26.99,26.99,1088
20190628,27.04,27.04,27.04,27.04,1953
20190702,27.4,27.4,27.29,27.29,822
20190717,27.7368,27.7368,27.7368,27.7368,1100
20190719,27.73,27.75,27.6707,27.6707,1920
20190722,27.68,27.68,27.64,27.64,633
20190726,27.9,27.9,27.9,27.9,145
20190731,27.82,27.82,27.53,27.53,300
20190801,27.23,27.355,27.23,27.32,9197
20190802,27.02,27.16,27.02,27.15,1200
20190806,26.3842,26.46,26.3842,26.46,244
20190807,26.4,26.4,26.4,26.4,100
20190812,26.7499,26.77,26.7499,26.77,1413
20190814,26.76,26.76,26.76,26.76,100
20190815,26.32,26.32,26.32,26.32,100
20190816,26.7,26.7,26.69,26.69,1284
20190819,26.9992,27.05,26.9992,27.05,550
20190827,26.72,26.72,26.4965,26.4965,212
20190828,26.6927,26.73,26.6927,26.73,2700
20190830,27.0003,27.03,27.0003,27.03,2300
20190903,26.86,26.8725,26.8167,26.8725,2493
20190904,27.1731,27.1731,27.173,27.173,800
20190905,27.56,27.57,27.55,27.57,400
20190910,27.44,27.44,27.4399,27.44,395
20190911,27.64,27.7,27.64,27.7,404
20190912,27.91,27.91,27.9,27.9,387
20190913,27.85,27.85,27.85,27.85,100
20190916,27.7063,27.7063,27.7063,27.7063,500
20190918,27.74,27.74,27.74,27.74,100
20190919,27.8826,27.8826,27.8826,27.8826,252
20190920,27.88,27.88,27.88,27.88,100
20190923,27.7127,27.7127,27.71,27.71,700
20190924,27.75,27.75,27.75,27.75,100
20190925,27.4106,27.4106,27.4106,27.4106,108
20190926,27.42,27.42,27.42,27.42,100
20190927,27.47,27.47,27.16,27.16,1089
20190930,27.47,27.47,27.47,27.47,100
20191002,26.7,26.7,26.7,26.7,100
20191003,26.7407,26.7407,26.7407,26.7407,950
20191007,27.23,27.23,27.23,27.23,100
20191008,26.92,26.92,26.92,26.92,100
20191009,26.83,26.85,26.82,26.82,27556
20191010,27.19,27.19,27.19,27.19,100
20191011,27.59,27.59,27.46,27.59,13000
20191016,27.62,27.62,27.62,27.62,200
20191022,27.7462,27.7462,27.7462,27.7462,250
20191028,28.0425,28.0425,28.0425,28.0425,700
20191029,28.04,28.07,27.98,27.98,500
20191030,28.1253,28.1253,28.1253,28.1253,300
20191031,28.01,28.01,27.9653,27.9653,200
20191101,28.29,28.29,28.26,28.26,200
20191104,28.55,28.55,28.3719,28.3719,800
20191105,28.3828,28.4,28.3828,28.393,1330
20191106,28.38,28.38,28.38,28.38,100
20191107,28.6201,28.6201,28.58,28.58,1778
20191111,28.5496,28.5496,28.5496,28.5496,100
20191112,28.5899,28.5899,28.5899,28.5899,885
20191113,28.608,28.608,28.608,28.608,375
20191119,28.61,28.61,27.37,27.37,200
