Date,Open,High,Low,Close,Volume
20210916,10.109,10.13,9.9,9.98,59096
20210917,10.05,10.06,9.83,9.9017,24826
20210920,10.32,10.32,9.27,9.5282,43167
20210921,9.63,9.74,9.335,9.62,27568
20210922,9.89,10.5,9.5468,10.26,64084
20210923,9.93,9.93,9.61,9.685,39120
20210924,9.64,9.7,9.5662,9.585,18512
20210927,9.84,9.84,9.48,9.48,22947
20210928,9.38,9.38,9.2,9.27,12083
20210929,9.41,9.41,9.05,9.08,17316
20210930,9.1,9.17,9.1,9.11,18965
20211001,9.26,9.26,8.89,8.9753,20109
20211004,9.04,9.06,8.691,8.691,11683
20211005,8.75,8.79,8.69,8.7,9098
20211006,8.71,9.3,8.5,8.57,9000
20211007,8.66,8.86,8.59,8.6609,47097
20211008,9.09,9.09,8.68,8.8084,19951
20211011,8.84,9.11,8.84,8.93,17135
20211012,8.88,8.99,8.78,8.88,19377
20211013,8.91,9.03,8.64,8.8,15892
20211014,9,9.06,8.841,8.92,21097
20211015,9.01,9.0499,8.88,8.95,13931
20211018,8.96,8.99,8.835,8.86,15453
20211019,9.01,9.12,8.9501,9.04,24878
20211020,9.08,9.1295,9.01,9.01,25736
20211021,9.04,9.209,9.03,9.1536,7505
20211022,9.19,9.28,9,9.195,16922
20211025,9.45,9.64,9.091,9.148,21517
20211026,9.25,9.29,8.95,8.95,20233
20211027,9,9.045,8.8,8.869,14686
20211028,8.8,9.24,8.8,9.2096,14672
20211029,9.28,9.8399,9.259,9.3986,15365
20211101,9.54,9.69,9.5,9.62,28211
20211102,9.69,9.835,9.619,9.76,52520
20211103,9.8,10.09,9.7,9.85,32596
20211104,9.91,9.91,9.73,9.8594,14664
20211105,9.92,10.1021,9.845,10.0975,30544
20211108,10.63,10.7,9.94,10.03,108174
20211109,10.11,10.11,9.2002,9.73,138651
20211110,10.01,10.01,9,9.05,87214
20211111,9.11,9.1345,8.9,8.96,35394
20211112,9.08,9.08,8.9,9.04,28656
20211115,9.18,9.18,8.78,8.85,67290
20211116,9.17,9.17,8.65,8.77,44933
20211117,8.57,8.6,8.4,8.56,34653
20211118,8.63,8.68,8.13,8.2,67269
20211119,8.16,8.25,7.9301,8.24,27957
20211122,8.24,9.11,7.9,7.96,33351
20211123,7.9,7.94,7.6601,7.8,24333
20211124,7.78,7.84,7.68,7.84,31140
20211126,7.68,7.68,7.34,7.6,25249
20211129,7.66,7.68,7.4318,7.57,18859
20211130,7.5,7.568,7.34,7.46,23066
20211201,7.63,7.68,7.1,7.11,18590
20211202,7.18,7.29,7.1485,7.15,42342
20211203,7.25,7.25,6.66,6.95,22900
20211206,7.01,7.01,6.56,6.7,23559
20211207,7.22,7.22,6.87,6.93,23315
20211208,7,7.14,6.71,6.93,23270
20211209,7.14,7.14,6.69,6.69,28671
20211210,7.14,7.14,6.47,6.55,37208
20211213,6.61,6.68,6.43,6.48,16146
20211214,6.43,6.43,6.15,6.19,23966
20211215,6.25,6.25,5.78,5.99,37200
20211216,6,6.15,5.92,6.01,14089
20211217,5.99,6.13,5.841,6.1,13522
20211220,6,6.1199,5.89,6.06,26438
20211221,6.6,6.6,6,6.1,14851
20211222,6.23,6.23,5.9592,6.13,15666
20211223,6.58,6.58,6,6.08,48036
20211227,6.17,6.1899,6,6.08,21388
20211228,6.12,6.1599,5.9,5.92,31327
20211229,5.97,6,5.8,5.81,39614
20211230,5.82,5.99,5.82,5.85,44298
20211231,5.9,5.93,5.77,5.79,68830
20220103,5.88,6.2599,5.782,6.04,32570
20220104,6.1,6.1,5.8,5.83,25681
20220105,5.9,5.99,5.41,5.5,20916
20220106,5.5,5.5,5.3,5.3,24650
20220107,5.35,5.35,5.285,5.3,25073
20220110,5.33,5.33,5.07,5.24,30559
20220111,5.22,5.65,5.21,5.4,29176
20220112,5.47,5.51,5.4,5.43,26512
20220113,5.75,5.75,5.22,5.25,28944
20220114,5.25,5.4,5.17,5.2202,17435
20220118,5.22,5.2524,5.06,5.06,24447
20220119,5.08,5.11,5,5.08,25372
20220120,5.04,5.2,5,5.02,36684
20220121,5.05,5.05,4.75,4.83,26469
20220124,4.83,4.83,4.3,4.69,82426
20220125,4.67,4.98,4.4601,4.82,24836
20220126,4.81,4.96,4.7,4.82,20552
20220127,4.75,4.75,4.5001,4.58,12562
20220128,4.58,4.6499,4.411,4.58,22045
20220131,4.56,4.8196,4.45,4.75,16219
20220201,4.79,4.98,4.76,4.95,17650
20220202,4.93,4.93,4.65,4.65,22203
20220203,4.64,4.7295,4.5,4.72,10000
20220204,4.7,4.7,4.6,4.6,7839
20220207,4.7,5.14,4.65,4.8248,36586
20220208,4.9,4.9,4.61,4.7,16357
20220209,4.75,5.24,4.72,4.9,24573
20220210,4.92,5.16,4.85,4.85,53348
20220211,4.87,4.92,4.7,4.92,41527
20220214,4.71,4.9999,4.6,4.608,24313
20220215,4.69,4.8199,4.578,4.7,27176
20220216,4.6,4.808,4.575,4.76,16050
20220217,4.71,4.74,4.55,4.55,50532
20220218,4.65,4.65,4.4,4.4252,31303
