Date,Open,High,Low,Close,Volume
20050303,13.566,13.566,13.512,13.557,2083
20050304,13.612,13.676,13.612,13.657,20622
20050307,13.712,13.776,13.712,13.721,23695
20050308,13.73,13.73,13.648,13.648,7897
20050309,13.648,13.648,13.603,13.63,11626
20050310,13.621,13.621,13.521,13.539,7679
20050311,13.603,13.621,13.448,13.448,6472
20050314,13.493,13.493,13.475,13.475,5594
20050315,13.53,13.539,13.493,13.502,5045
20050316,13.43,13.448,13.347,13.347,11735
20050317,13.357,13.393,13.347,13.393,7130
20050318,13.384,13.384,13.302,13.302,1426
20050321,13.357,13.357,13.229,13.293,15135
20050322,13.329,13.357,13.211,13.211,8117
20050323,13.22,13.238,13.202,13.238,9543
20050324,13.247,13.293,13.22,13.22,9543
20050328,13.256,13.293,13.256,13.293,2085
20050329,13.238,13.293,13.138,13.138,22267
20050330,13.32,13.347,13.32,13.347,7459
20050331,13.311,13.329,13.293,13.302,23473
20050401,13.311,13.311,13.138,13.174,6801
20050404,13.129,13.211,13.129,13.211,22594
20050405,13.22,13.302,13.22,13.293,12942
20050406,13.366,13.375,13.284,13.284,16562
20050407,13.293,13.384,13.293,13.384,17877
20050408,13.42,13.42,13.284,13.284,41023
20050411,13.293,13.293,13.247,13.265,3947
20050412,13.165,13.384,13.138,13.375,9324
20050413,13.265,13.284,13.092,13.092,15027
20050414,13.065,13.065,12.937,12.937,11953
20050415,12.837,12.873,12.81,12.819,597885
20050418,12.618,12.709,12.573,12.645,47713
20050419,12.7,12.728,12.636,12.718,12175
20050420,12.746,12.746,12.6,12.6,34659
20050421,12.737,12.883,12.728,12.883,9761
20050422,12.864,12.883,12.664,12.664,10859
20050425,12.846,12.883,12.846,12.855,33782
20050426,12.864,12.864,12.782,12.8,23692
20050427,12.673,12.864,12.673,12.864,32357
20050428,12.791,12.81,12.746,12.746,15245
20050429,12.791,12.864,12.673,12.855,7567
20050502,12.928,12.946,12.846,12.846,15793
20050503,12.946,12.946,12.919,12.919,3508
20050504,13.065,13.065,13.037,13.037,2962
20050505,13.101,13.165,13.074,13.147,8447
20050506,13.183,13.183,13.11,13.147,17990
20050509,13.147,13.183,13.147,13.183,2851
20050510,13.12,13.12,13.047,13.047,7460
20050511,13.12,13.165,13.047,13.165,4388
20050512,13.165,13.202,13.12,13.12,4935
20050513,13.202,13.22,13.12,13.12,6141
20050516,13.183,13.293,13.174,13.293,17220
20050517,13.256,13.375,13.256,13.375,2303
20050518,13.448,13.557,13.439,13.53,34112
20050519,13.548,13.621,13.53,13.621,80399
20050520,13.594,13.612,13.566,13.612,3618
20050523,13.657,13.703,13.612,13.703,12285
20050524,13.657,13.676,13.657,13.676,34881
20050525,13.667,13.667,13.603,13.639,2853
20050526,13.721,13.749,13.703,13.749,10311
20050527,13.73,13.758,13.703,13.758,7568
20050531,14.204,14.204,13.667,13.685,9323
20050601,13.639,13.831,13.612,13.785,127232
20050602,13.767,13.858,13.767,13.849,19853
20050603,13.831,13.84,13.712,13.749,11954
20050606,13.73,13.767,13.703,13.758,7021
20050607,13.858,13.913,13.767,13.767,15903
20050608,13.776,13.776,13.721,13.721,10530
20050609,13.703,13.785,13.676,13.785,35539
20050610,13.749,13.749,13.612,13.667,36197
20050613,13.721,13.721,13.676,13.676,17988
20050614,13.676,13.749,13.676,13.712,11955
20050615,13.657,13.703,13.63,13.703,11626
20050616,13.74,13.776,13.721,13.776,23253
20050617,13.831,13.84,13.785,13.822,28628
20050620,13.767,13.867,13.749,13.84,16123
20050621,13.803,13.858,13.758,13.84,20620
20050622,13.904,13.904,13.822,13.84,3399
20050623,13.822,13.831,13.676,13.676,15355
20050624,13.648,13.648,13.53,13.53,7020
20050627,13.548,13.566,13.493,13.53,15356
20050628,13.575,13.703,13.575,13.694,5155
20050629,13.676,13.712,13.657,13.676,61863
20050630,13.703,13.703,13.557,13.557,12505
20050701,13.585,13.594,13.557,13.566,9434
20050705,13.539,13.685,13.539,13.685,20620
20050706,13.639,13.694,13.585,13.603,109681
20050707,13.493,13.639,13.493,13.639,101131
20050708,13.639,13.822,13.639,13.822,45300
20050711,13.831,13.904,13.831,13.885,30818
20050712,13.904,13.977,13.895,13.949,9981
20050713,13.922,13.931,13.885,13.931,18098
20050714,14.031,14.031,13.949,13.995,6799
20050715,13.995,14.022,13.949,14.013,12174
20050718,13.995,13.995,13.949,13.958,7899
20050719,13.995,14.04,13.958,14.031,106501
20050720,14.022,14.15,13.986,14.15,64602
20050721,14.104,14.15,14.04,14.095,59012
20050722,14.086,14.15,14.068,14.15,22485
20050725,14.168,14.195,14.059,14.077,13271
