Date,Open,High,Low,Close,Volume
20171212,24.1,24.11,24,24.02,314160
20171213,24.11,24.11,24.06,24.07,271546
20171214,24.15,24.15,23.91,23.91,20757
20171215,24.13,24.17,24.12,24.15,67354
20171218,24.3,24.34,24.3,24.33,227679
20171219,24.33,24.33,24.22,24.26,82985
20171220,24.23,24.24,24.22,24.22,530
20171221,24.27,24.33,24.27,24.32,2863
20171222,24.29,24.29,24.18,24.25,75382
20171226,24.23,24.25,24.21,24.21,24349
20171227,24.32,24.32,24.3,24.3,525
20171228,24.33,24.33,24.33,24.33,991
20171229,24.55,24.55,24.25,24.25,15844
20180102,24.32,24.32,24.32,24.32,114
20180103,24.51,24.68,24.51,24.68,2886
20180104,24.85,24.87,24.85,24.85,650
20180105,24.92,25.02,24.91,25,71018
20180108,25.01,25.08,24.99,25.08,13562
20180109,25.21,25.21,25.11,25.11,8319
20180110,25.04,25.08,25.03,25.06,18767
20180111,25.29,25.31,25.14,25.29,56285
20180112,25.34,25.52,25.34,25.52,60059
20180116,25.63,25.63,25.3,25.33,18488
20180117,25.44,25.54,25.44,25.53,4796
20180118,25.5,25.53,25.47,25.51,4103
20180119,25.5,25.55,25.47,25.54,7103
20180122,25.57,25.77,25.57,25.76,14750
20180123,25.91,25.93,25.84,25.93,21598
20180124,26.01,26.05,25.86,25.86,178923
20180125,25.98,26.04,25.86,25.93,293505
20180126,26.07,26.15,25.96,26.14,45595
20180129,26.13,26.13,25.94,25.94,15595
20180130,25.81,25.81,25.65,25.74,22253
20180131,25.77,25.82,25.71,25.79,20802
20180201,25.74,25.83,25.74,25.77,129159
20180202,26.59,26.59,25.09,25.09,112461
20180205,24.78,25.07,24.03,24.17,52569
20180206,23.68,24.57,23.68,24.46,20270
20180207,24.57,24.75,24.45,24.61,12483
20180208,24.44,24.44,23.59,23.64,11217
20180209,23.79,23.93,23.06,23.8,151022
20180212,24.21,24.28,24.2,24.22,3098
20180213,24.02,24.31,24.02,24.27,19252
20180214,24.11,24.72,24.06,24.72,23556
20180215,24.8,24.95,24.59,24.93,51437
20180216,24.89,25.04,24.84,24.86,25240
20180220,24.9,24.99,24.76,24.77,8789
20180221,24.8,25.07,24.78,24.78,3974
20180222,24.83,24.98,24.66,24.72,14655
20180223,24.91,25.1,24.89,25.1,8807
20180226,25.33,25.41,25.18,25.41,51796
20180227,25.49,25.52,25.27,25.27,7650
20180228,25.3,25.32,25,25,22166
20180301,24.88,24.93,24.79,24.79,5735
20180302,24.39,24.72,24.33,24.72,134199
20180305,24.59,25.04,24.59,25,25377
20180306,25.01,25.14,24.93,25.09,8731
20180307,25.09,25.19,25.08,25.18,5895
20180308,25.16,25.23,25.11,25.23,1196
20180309,25.52,25.6,25.52,25.6,26409
20180312,25.7,25.73,25.64,25.64,4175
20180313,25.76,25.76,25.39,25.39,29974
20180314,25.41,25.46,25.32,25.34,14829
20180315,25.34,25.35,25.27,25.28,4586
20180316,25.33,25.38,25.28,25.3,11257
20180319,25.06,25.06,24.83,24.84,22717
20180320,24.97,24.97,24.91,24.96,15083
20180321,25.03,25.18,24.99,24.99,4644
20180322,24.69,24.69,24.36,24.36,7327
20180323,24.32,24.35,23.96,23.96,1248
20180326,24.09,24.15,24.05,24.15,1295
20180327,24.51,24.51,23.91,23.91,2066
20180328,23.82,23.82,23.79,23.79,1225
20180329,23.8,24.23,23.8,24.12,153688
20180402,24.14,24.14,24.09,24.12,94288
20180403,24.11,24.11,24.09,24.09,8923
20180404,24.06,24.1,24.06,24.09,64071
20180405,24.1,24.11,24.09,24.1,18798
20180406,24.09,24.11,24.08,24.1,63798
20180409,24.12,24.12,24.09,24.1,53139
20180410,24.09,24.09,24.09,24.09,809
20180411,24.12,24.12,24.09,24.09,2744
20180412,24.1,24.1,24.09,24.09,59123
20180413,24.1,24.1,24.09,24.1,79663
20180416,24.12,24.12,24.1,24.11,4249
20180417,24.07,24.11,24.07,24.1,13269
20180418,24.12,24.12,24.09,24.12,18386
20180419,24.1,24.11,24.09,24.11,11849
20180420,24.13,24.13,24.09,24.1,6921
20180423,24.11,24.11,24.1,24.11,16646
20180424,24.11,24.11,24.1,24.11,8887
20180425,24.11,24.11,24.1,24.11,7018
20180426,24.13,24.13,24.1,24.11,10458
20180427,24.11,24.11,24.1,24.11,13975
20180430,24.13,24.13,24.1,24.13,88269
20180501,24.1,24.32,24,24.32,45417
20180502,24.28,24.3,24.19,24.23,14245
20180503,24.03,24.03,23.76,24,24178
20180504,24.02,24.42,24.02,24.42,3198
20180507,24.52,24.67,24.51,24.59,17781
20180508,24.62,24.64,24.52,24.58,8762
20180509,24.8,25.07,24.78,25,10142
20180510,25.17,25.27,25.16,25.16,8069
20180511,25.25,25.26,25.13,25.15,40067
20180514,25.45,25.47,25.27,25.32,43862
20180515,25.14,25.18,25.09,25.09,7865
20180516,25.06,25.37,25.04,25.28,14080
20180517,25.29,25.39,25.26,25.28,11343
20180518,25.26,25.26,25.18,25.19,5886
20180521,25.4,25.4,25.17,25.19,30910
20180522,25.28,25.33,25.25,25.26,11009
20180523,25.2,25.29,25.15,25.28,5464
20180524,25.34,25.34,25.19,25.34,5093
20180525,25.21,25.35,25.21,25.28,26239
20180529,25.19,25.19,24.89,24.93,16151
20180530,25.19,25.33,25.18,25.31,2188
20180531,25.45,25.51,25.39,25.47,11859
20180601,25.78,25.78,25.39,25.39,57296
20180604,25.15,25.17,25.04,25.04,35443
20180605,25.04,25.11,25.03,25.08,14402
20180606,24.91,24.91,24.8,24.83,9093
20180607,24.86,25.09,24.86,25.07,13967
20180608,25.04,25.07,24.99,25.01,8199
20180611,24.94,24.99,24.92,24.99,11978
20180612,24.94,24.99,24.92,24.97,11730
20180613,25.08,25.08,24.92,24.92,32363
20180614,25.1,25.18,25.06,25.09,7055
20180615,25.32,25.33,25.24,25.26,62654
20180618,25.24,25.24,25.16,25.2,7779
20180619,25.04,25.38,25.04,25.35,26755
20180620,25.37,25.37,25.14,25.14,29061
20180621,25.2,25.25,25.17,25.25,13566
20180622,25.18,25.26,25.18,25.22,11707
20180625,25.32,25.34,25.3,25.3,8630
20180626,25.3,25.33,25.26,25.3,26446
20180627,25.51,25.59,25.51,25.59,4143
20180628,25.56,25.61,25.51,25.53,74152
20180629,25.54,25.65,25.49,25.49,29509
20180702,25.58,25.58,25.44,25.44,43134
20180703,25.53,25.61,25.53,25.59,74655
20180705,25.6,25.68,25.58,25.63,26506
20180706,25.74,25.75,25.67,25.68,10818
20180709,25.68,25.68,25.6,25.63,13299
20180710,25.61,25.61,25.55,25.58,5007
20180711,25.68,25.68,25.6,25.64,27907
20180712,25.67,25.68,25.64,25.68,13319
20180713,25.73,25.74,25.71,25.74,4058
20180716,25.65,25.67,25.55,25.64,24211
20180717,25.68,25.68,25.57,25.58,8158
20180718,25.54,25.58,25.46,25.46,26028
20180719,25.53,25.65,25.53,25.6,4817
20180720,25.53,25.53,25.32,25.37,14494
20180723,25.37,25.37,25,25.03,15229
20180724,24.98,25.12,24.97,25.1,36527
20180725,25.13,25.21,25.13,25.15,10332
20180726,25.07,25.13,25,25,7111
20180727,25.14,25.14,25.04,25.06,6985
20180730,24.99,25.03,24.95,24.98,8566
20180731,25.1,25.13,25.07,25.07,12303
20180801,25.05,25.18,24.91,25.09,78075
20180802,24.96,25.21,24.85,25.21,93899
20180803,25.21,25.21,25.09,25.16,10456
20180806,25.21,25.33,25.21,25.3,12620
20180807,25.49,25.54,25.46,25.49,35845
20180808,25.46,25.5,25.45,25.48,2688
20180809,25.48,25.58,25.48,25.52,17454
20180810,25.39,25.42,25.32,25.32,9670
20180813,25.37,25.38,25.17,25.23,24317
20180814,25.33,25.37,25.23,25.37,8701
20180815,25.11,25.11,24.79,24.87,28850
20180816,25.07,25.12,24.99,24.99,19411
20180817,24.94,25.03,24.93,25.03,547
20180820,25.06,25.1,25.06,25.07,8733
20180821,25.21,25.34,25.21,25.28,4699
20180822,25.29,25.49,25.2,25.49,8477
20180823,25.42,25.54,25.35,25.45,9283
20180824,25.56,25.66,25.56,25.63,32985
20180827,25.84,25.93,25.83,25.92,18711
20180828,25.98,25.98,25.88,25.93,14510
20180829,26.02,26.23,26.02,26.21,10525
20180830,26.23,26.26,26.11,26.11,18367
20180831,26.16,26.16,26.11,26.15,10117
20180904,26.12,26.12,26,26.07,3126
20180905,25.96,25.96,25.68,25.78,46711
20180906,25.72,25.72,25.39,25.47,7393
20180907,25.28,25.56,25.28,25.41,6714
20180910,25.52,25.55,25.4,25.47,15506
20180911,25.64,25.7,25.6,25.67,21009
20180912,25.56,25.64,25.55,25.64,1430
20180913,25.79,25.79,25.71,25.73,15818
20180914,25.71,25.83,25.71,25.75,52327
20180917,25.51,25.56,25.43,25.44,3965
20180918,25.65,25.69,25.63,25.67,10602
20180919,25.69,25.69,25.6,25.61,25997
20180920,25.68,25.89,25.68,25.89,34114
20180921,25.9,25.93,25.76,25.76,8856
20180924,25.86,25.86,25.75,25.86,3473
20180925,25.96,26.01,25.96,26,7264
20180926,26.02,26.07,26.01,26.05,5376
20180927,25.97,26.01,25.95,25.96,101577
20180928,25.95,26.06,25.92,25.96,37836
20181001,26.1,26.12,26,26,36565
20181002,25.95,26,25.82,25.87,42647
20181003,25.97,25.99,25.88,25.92,75475
20181004,25.88,25.88,25.42,25.5,32698
20181005,25.53,25.53,25.18,25.39,31838
20181008,25.27,25.37,24.98,25.21,124853
20181009,25.29,25.4,25.29,25.3,52506
20181010,24.93,24.95,24.58,24.65,92078
20181011,24.21,24.29,23.8,23.8,11777
20181012,24.36,24.36,23.98,24.23,24810
20181015,24.24,24.28,24.05,24.06,53514
20181016,24.33,24.68,24.27,24.68,55571
20181017,24.58,24.64,24.48,24.59,27327
20181018,24.44,24.52,24.15,24.15,11702
20181019,24.29,24.41,24,24.01,61111
20181022,24.06,24.11,23.91,24.05,12569
20181023,23.62,23.92,23.44,23.84,61304
20181024,23.88,23.88,22.88,22.88,52762
20181025,23.16,23.45,23.16,23.45,19852
20181026,23.06,23.31,22.83,23.08,84398
20181029,23.25,23.37,22.46,22.46,6800
20181030,22.58,22.93,22.58,22.84,22617
20181031,23.39,23.61,23.34,23.34,46511
20181101,23.39,23.41,23.37,23.41,57705
20181102,23.39,23.43,23.37,23.42,75457
20181105,23.38,23.4,23.38,23.4,66974
20181106,23.4,23.41,23.39,23.39,15233
20181107,23.43,23.43,23.38,23.38,19884
20181108,23.42,23.42,23.38,23.39,40447
20181109,23.39,23.41,23.39,23.4,21379
20181112,23.37,23.42,23.37,23.38,35434
20181113,23.41,23.42,23.41,23.42,17989
20181114,23.42,23.42,23.39,23.41,23681
20181115,23.42,23.42,23.39,23.4,24423
20181116,23.4,23.42,23.4,23.4,27695
20181119,23.38,23.42,23.38,23.4,17297
20181120,23.41,23.44,23.4,23.44,65287
20181121,23.42,23.43,23.41,23.41,22929
20181123,23.44,23.44,23.43,23.43,8453
20181126,23.39,23.42,23.39,23.42,8447
20181127,23.39,23.43,23.39,23.43,26902
20181128,23.41,23.43,23.41,23.41,12297
20181129,23.43,23.43,23.42,23.42,5315
20181130,23.44,23.44,23.42,23.43,39647
20181203,23.4,23.44,23.4,23.42,15159
20181204,23.45,23.45,23.42,23.42,6420
20181206,23.42,23.44,23.42,23.43,12617
20181207,23.44,23.44,23.42,23.43,14380
20181210,23.46,23.46,23.43,23.44,5583
20181211,23.41,23.44,23.41,23.41,73852
20181212,23.44,23.46,23.43,23.43,39772
20181213,23.43,23.47,23.43,23.47,23384
20181214,23.45,23.45,23.43,23.45,6623
20181217,23.44,23.47,23.43,23.47,26762
20181218,23.46,23.47,23.43,23.47,16113
20181219,23.43,23.47,23.43,23.47,37999
20181220,23.45,23.46,23.43,23.43,14090
20181221,23.47,23.48,23.41,23.41,54886
20181224,23.36,23.37,23.36,23.37,3075
20181226,23.47,23.47,23.44,23.44,24035
20181227,23.43,23.47,23.43,23.46,12765
20181228,23.46,23.46,23.43,23.45,68232
20181231,23.45,23.45,23.36,23.45,145766
20190102,23.59,23.71,23.56,23.67,1092805
20190103,23.84,23.92,23.82,23.88,16812
20190104,23.67,23.67,23.5,23.6,17072
20190107,23.67,23.67,23.52,23.52,21378
20190108,23.54,23.54,23.47,23.47,31743
20190109,23.41,23.45,23.36,23.39,22087
20190110,23.38,23.43,23.23,23.25,15565
20190111,23.37,23.4,23.3,23.33,19092
20190114,23.38,23.38,23.27,23.27,23205
20190115,23.35,23.35,23.17,23.23,125177
20190116,23.05,23.26,23.05,23.22,11437
20190117,23.22,23.29,23.17,23.22,43977
20190118,23.23,23.23,23.06,23.06,57660
20190122,23.21,23.3,23.2,23.25,43671
20190123,23.19,23.29,23.18,23.26,37830
20190124,23.31,23.42,23.31,23.39,45484
20190125,23.29,23.31,23.25,23.28,20247
20190128,23.31,23.36,23.25,23.25,42798
20190129,23.3,23.38,23.27,23.38,17527
20190130,23.33,23.36,23.28,23.35,95467
20190131,23.5,23.59,23.48,23.55,27995
20190201,23.43,23.46,23.38,23.41,385636
20190204,23.3,23.35,23.26,23.31,48728
20190205,23.39,23.45,23.37,23.39,47083
20190206,23.46,23.49,23.38,23.44,61315
20190207,23.52,23.58,23.48,23.58,26430
20190208,23.66,23.72,23.63,23.72,48312
20190211,23.62,23.67,23.58,23.63,80053
20190212,23.49,23.54,23.46,23.54,14593
20190213,23.45,25.17,23.44,23.45,30187
20190214,23.63,23.95,23.53,23.53,21063
20190215,23.49,23.61,23.49,23.56,14119
20190219,23.67,24.19,23.62,23.66,55638
20190220,23.62,23.62,23.56,23.58,8317
20190221,23.43,23.45,23.37,23.41,13754
20190222,23.55,23.59,23.52,23.52,3206
20190225,23.42,23.46,23.4,23.45,41255
20190226,23.56,23.56,23.5,23.56,4812
20190227,23.41,23.41,23.27,23.27,13503
20190228,23.29,23.29,23.19,23.21,32612
20190301,23.17,23.26,23.14,23.24,6260
20190304,23.34,23.34,23.03,23.22,106544
20190305,23.19,23.23,23.18,23.21,8206
20190306,23.12,23.12,23.06,23.06,11214
20190307,23.03,23.08,22.94,23.01,2520
20190308,22.9,22.99,22.86,22.99,11512
20190311,23.04,23.26,23.04,23.26,27718
20190312,23.29,23.3,23.26,23.28,2265
20190313,23.37,23.5,23.36,23.46,15978
20190314,23.47,23.47,23.35,23.41,227778
20190315,23.41,23.5,23.41,23.44,5239
20190318,23.46,23.47,23.39,23.46,10845
20190319,23.52,23.52,23.36,23.37,44879
20190320,23.4,23.48,23.27,23.37,32894
20190321,23.44,23.62,23.44,23.6,84669
20190322,23.59,23.59,23.45,23.46,50432
20190325,23.43,23.47,23.39,23.41,51935
20190326,23.57,23.65,23.53,23.57,35637
20190327,23.58,23.59,23.41,23.48,27953
20190328,23.55,23.58,23.43,23.56,100167
20190329,23.63,23.72,23.59,23.7,115535
20190401,23.75,23.78,23.68,23.78,114178
20190402,23.77,23.84,23.72,23.84,17739
20190403,23.84,23.98,23.83,23.87,233924
20190404,23.87,23.91,23.72,23.79,36120
20190405,23.88,23.95,23.85,23.95,7644
20190408,23.87,23.92,23.85,23.91,30461
20190409,23.93,23.93,23.86,23.89,34240
20190410,23.97,24.02,23.96,23.98,8575
20190411,23.98,24.03,23.95,23.98,11001
20190412,23.95,24.12,23.95,24.11,31366
20190415,24.06,24.12,24.05,24.12,18129
20190416,24.12,24.13,23.94,23.99,7298
20190417,24.03,24.03,23.91,23.94,22186
20190418,23.92,23.99,23.9,23.99,7707
20190422,23.92,23.99,23.91,23.98,82485
20190423,24.07,24.22,24.05,24.21,15197
20190424,24.24,24.3,24.22,24.25,15162
20190425,24.2,24.28,24.17,24.26,64573
20190426,24.26,24.35,24.23,24.31,14572
20190429,24.43,24.43,24.28,24.33,9454
20190430,24.23,24.46,24.23,24.46,139275
20190501,24.46,24.51,24.4,24.41,21906
20190502,24.38,24.38,24.18,24.23,21734
20190503,24.28,24.49,24.28,24.47,55967
20190506,24.28,24.39,24.25,24.39,21530
20190507,24.12,24.12,23.83,23.96,15445
20190508,23.97,24.02,23.9,23.91,9862
20190509,23.75,23.89,23.63,23.85,29279
20190510,23.82,24,23.65,24,23313
20190513,23.63,23.72,23.6,23.72,6882
20190514,23.71,23.91,23.71,23.89,2969
20190515,23.68,24.06,23.68,24.02,13507
20190516,24.11,24.32,24.11,24.18,27770
20190517,23.97,24.26,23.97,24.21,22096
20190520,23.89,23.99,23.89,23.91,13560
20190521,24,24.09,24,24.06,19352
20190522,24.05,24.17,24.05,24.1,12071
20190523,23.95,23.99,23.87,23.98,5225
20190524,24.11,24.11,24,24.03,10420
20190528,24.05,24.05,23.91,23.91,8374
20190529,23.62,23.67,23.46,23.52,21497
20190530,23.68,23.69,23.57,23.66,9601
20190531,23.46,23.57,23.46,23.55,85192
20190603,23.57,23.67,23.51,23.67,70873
20190604,23.5,23.56,23.37,23.44,17651
20190605,23.38,23.4,23.31,23.33,25359
20190606,23.37,23.5,23.31,23.31,53406
20190607,23.58,23.62,23.56,23.56,14498
20190610,23.37,23.38,23.34,23.35,7425
20190611,23.28,23.38,23.28,23.38,5627
20190612,23.37,23.39,23.34,23.37,3200
20190613,23.4,23.48,23.4,23.48,6822
20190614,23.54,23.55,23.49,23.49,35827
20190617,23.54,23.57,23.48,23.56,7184
20190618,23.66,23.73,23.65,23.66,11353
20190619,23.61,23.72,23.56,23.72,7539
20190620,23.76,23.86,23.74,23.77,19744
20190621,23.67,23.67,23.51,23.51,7369
20190624,23.66,23.7,23.66,23.7,21381
20190625,23.72,23.81,23.72,23.79,15339
20190626,23.71,23.71,23.59,23.59,9296
20190627,23.69,23.79,23.63,23.76,35520
20190628,23.73,23.8,23.72,23.8,11504
20190701,24.03,24.08,23.9,23.95,14740
20190702,24.01,24.01,23.88,23.96,15841
20190703,24.03,24.18,24.03,24.18,11285
20190705,23.99,24.11,23.99,24.1,1886
20190708,24.1,24.1,24,24.05,12534
20190709,24,24.13,24,24.13,10534
20190710,24.21,24.23,24.17,24.19,18342
20190711,24.2,24.29,24.2,24.2,3396
20190712,24.36,24.43,24.34,24.43,27824
20190715,24.58,24.58,24.41,24.46,22061
20190716,24.48,24.48,24.37,24.42,3134
20190717,24.37,24.37,24.24,24.24,37521
20190718,24.1,24.25,24.1,24.2,25788
20190719,24.35,24.35,24.17,24.17,5073
20190722,24.18,24.29,24.18,24.29,4107
20190723,24.26,24.38,24.21,24.36,170758
20190724,24.29,24.54,24.29,24.54,23633
20190725,24.39,24.5,24.39,24.43,6148
20190726,24.43,24.56,24.43,24.55,20332
20190729,24.38,24.44,24.38,24.43,3554
20190730,24.26,24.38,24.26,24.38,6032
20190731,24.31,24.35,24.16,24.19,5225
20190801,24.23,24.41,23.83,23.9,33741
20190802,23.65,23.65,23.4,23.53,8082
20190805,23.04,23.04,22.6,22.77,30651
20190806,22.91,23.1,22.78,23.1,13634
20190807,22.74,23.13,22.74,23.11,5187
20190808,23.23,23.6,23.23,23.6,12631
20190809,23.48,23.48,23.34,23.36,6214
20190812,23.11,23.18,22.92,22.94,38050
20190813,22.92,23.5,22.92,23.38,23749
20190814,22.87,22.9,22.67,22.74,3293
20190815,22.7,22.7,22.47,22.62,29512
20190816,22.82,23.01,22.82,22.98,14416
20190819,23.21,23.31,23.16,23.28,19942
20190820,23.27,23.3,23.12,23.19,27823
20190821,23.41,23.42,23.34,23.38,31475
20190822,23.43,23.43,23.12,23.35,61872
20190823,23.14,23.35,22.65,22.65,6315
20190826,22.67,22.87,22.66,22.81,24595
20190827,23.01,23.01,22.66,22.78,9140
20190828,22.74,22.91,22.74,22.91,6517
20190829,23.12,23.3,23.12,23.26,8289
20190830,23.46,23.46,23.11,23.19,13791
20190903,23.35,23.45,23.25,23.25,16839
20190904,23.13,23.28,23.13,23.18,215827
20190905,23.03,23.03,22.71,22.84,16027
20190906,22.93,23.03,22.92,23.01,9067
20190909,22.76,22.76,22.64,22.65,22969
20190910,22.58,22.6,22.24,22.24,19831
20190911,22.14,22.27,22.14,22.19,16770
20190912,22.26,22.26,22.01,22.01,15634
20190913,21.81,21.91,21.59,21.62,41311
20190916,21.69,21.87,21.69,21.83,24642
20190917,21.87,22.02,21.81,21.95,25682
20190918,21.95,22.18,21.95,22.03,21043
20190919,22.2,22.21,22.11,22.11,40477
20190920,22.26,22.39,22.18,22.39,23967
20190923,22.48,22.59,22.38,22.38,17966
20190924,22.49,22.61,22.49,22.61,5778
20190925,22.58,22.58,22.31,22.31,3297
20190926,22.4,22.47,22.37,22.37,43926
20190927,22.39,22.49,22.37,22.45,29536
20190930,22.34,22.43,22.34,22.43,2969
20191001,22.41,22.41,22.26,22.28,1010673
20191002,22.15,22.16,21.86,21.94,34274
