Date,Open,High,Low,Close,Volume
20050303,14.151,14.151,14.019,14.122,24000
20050304,14.216,14.301,14.216,14.282,31000
20050307,14.348,14.385,14.338,14.357,14000
20050308,14.357,14.357,14.254,14.254,6300
20050309,14.188,14.188,14.113,14.113,11100
20050310,14.104,14.104,13.963,14.029,5100
20050311,14.151,14.151,14.01,14.01,3500
20050314,14.085,14.104,14.057,14.104,2000
20050315,14.188,14.188,14.085,14.094,9900
20050316,14.075,14.075,13.935,13.944,19900
20050317,13.982,14.01,13.925,14,14800
20050318,13.944,13.944,13.869,13.869,2800
20050321,13.906,13.906,13.803,13.803,1100
20050322,13.906,13.953,13.756,13.756,4600
20050323,13.728,13.737,13.69,13.7,5200
20050324,13.747,13.756,13.737,13.756,3900
20050328,13.766,13.775,13.7,13.747,4700
20050329,13.69,13.766,13.587,13.587,5100
20050330,13.521,13.54,13.503,13.521,11300
20050401,13.644,13.644,13.512,13.512,7700
20050404,13.493,13.606,13.484,13.606,11200
20050405,13.644,13.681,13.644,13.653,33200
20050406,13.775,13.775,13.766,13.766,1900
20050407,13.728,13.803,13.728,13.784,3800
20050408,13.766,13.775,13.681,13.681,26000
20050411,13.728,13.728,13.662,13.681,1700
20050412,13.568,13.822,13.55,13.813,10100
20050413,13.719,13.728,13.578,13.587,2400
20050414,13.587,13.587,13.381,13.381,13800
20050415,13.249,13.277,13.099,13.099,2000
20050418,13.052,13.127,13.052,13.127,2600
20050419,13.221,13.268,13.202,13.268,1900
20050420,13.174,13.174,13.052,13.052,40900
20050421,13.146,13.268,13.108,13.268,31800
20050422,13.296,13.296,13.108,13.118,20000
20050425,13.296,13.296,13.296,13.296,300
20050426,13.399,13.399,13.24,13.259,2000
20050427,13.052,13.212,13.052,13.202,1800
20050428,13.146,13.146,12.958,12.958,25300
20050429,13.043,13.043,12.902,13.024,24700
20050502,13.136,13.136,13.099,13.099,1500
20050503,13.155,13.221,13.136,13.136,42100
20050504,13.24,13.324,13.202,13.305,24900
20050505,13.334,13.334,13.296,13.305,14200
20050506,13.39,13.409,13.352,13.371,10100
20050509,13.362,13.456,13.362,13.446,9200
20050510,13.39,13.428,13.343,13.343,7500
20050511,13.296,13.334,13.296,13.334,1000
20050512,13.362,13.362,13.193,13.193,1600
20050513,13.23,13.23,13.155,13.155,3200
20050516,13.268,13.334,13.268,13.334,5300
20050517,13.287,13.324,13.287,13.324,13100
20050518,13.587,13.69,13.587,13.672,11900
20050519,13.7,13.7,13.681,13.681,1300
20050520,13.662,13.7,13.653,13.7,4400
20050523,13.737,13.775,13.737,13.775,13300
20050524,13.747,13.775,13.747,13.766,3400
20050525,13.681,13.681,13.662,13.662,200
20050526,13.803,13.831,13.784,13.803,12400
20050527,13.831,13.878,13.794,13.878,4200
20050531,13.831,13.906,13.813,13.906,4900
20050601,14.019,14.019,13.944,13.953,6300
20050602,13.991,14.019,13.991,14.019,2200
20050603,14.113,14.113,14.038,14.066,11800
20050606,14.104,14.179,14.104,14.16,5300
20050607,14.235,14.244,14.122,14.122,13300
20050608,14.188,14.188,14.066,14.066,8800
20050609,14.038,14.244,14.038,14.244,25500
20050610,14.244,14.244,14.104,14.151,11700
20050613,14.151,14.273,14.151,14.226,7500
20050614,14.254,14.301,14.226,14.301,5100
20050615,14.338,14.338,14.188,14.273,6100
20050616,14.338,14.385,14.329,14.385,13200
20050617,14.395,14.413,14.31,14.413,25800
20050620,14.32,14.385,14.273,14.329,2800
20050621,14.357,14.357,14.31,14.32,5800
20050622,14.404,14.404,14.301,14.348,2900
20050623,14.338,14.367,14.254,14.263,6500
20050624,14.235,14.235,14.151,14.179,24700
20050627,14.151,14.216,14.141,14.207,36800
20050628,14.31,14.423,14.301,14.423,38700
20050629,14.46,14.526,14.46,14.507,20600
20050630,14.536,14.536,14.498,14.507,6200
20050701,14.442,14.442,14.413,14.442,21700
20050705,14.432,14.667,14.432,14.667,9700
20050706,14.629,14.639,14.545,14.554,11200
20050707,14.413,14.583,14.404,14.583,16200
20050708,14.583,14.742,14.583,14.742,20200
20050711,14.761,14.817,14.742,14.78,19800
20050712,14.817,14.883,14.77,14.874,10200
20050713,14.864,14.864,14.789,14.827,9200
20050714,14.874,14.874,14.789,14.817,12600
20050715,14.827,14.864,14.808,14.864,6600
20050718,14.836,14.855,14.827,14.845,13700
20050719,14.836,14.967,14.836,14.967,13300
20050720,14.958,15.024,14.902,15.005,12900
20050721,14.967,14.967,14.827,14.864,62900
20050722,14.883,14.921,14.817,14.921,11300
20050725,14.874,14.939,14.845,14.845,19900
20050726,14.827,14.855,14.789,14.845,19900
20050727,14.874,14.874,14.752,14.845,17700
20050728,14.902,15.099,14.902,15.08,15100
20050729,15.052,15.052,14.967,15.005,12900
20050801,15.043,15.061,15.033,15.052,15100
20050802,15.071,15.202,15.071,15.202,20800
20050803,15.155,15.202,15.137,15.183,13600
20050804,15.118,15.137,15.071,15.071,9200
20050805,15.052,15.071,14.883,14.902,19800
20050808,14.977,15.005,14.845,14.864,11400
20050809,14.911,14.93,14.883,14.921,2600
20050810,15.024,15.108,14.967,14.967,15500
20050811,15.033,15.071,14.986,15.071,12900
20050812,15.033,15.033,14.93,14.996,4500
20050815,14.977,15.052,14.949,14.996,12000
20050816,14.967,14.967,14.817,14.817,9200
20050817,14.883,14.892,14.827,14.874,8500
20050818,14.798,14.892,14.789,14.892,37700
20050819,14.921,14.958,14.921,14.93,6300
20050822,14.949,14.949,14.855,14.902,2900
20050823,14.911,14.939,14.864,14.911,19800
20050824,14.921,15.024,14.892,14.93,16800
20050825,14.911,14.93,14.911,14.921,4700
20050826,14.902,14.902,14.798,14.817,7100
20050829,14.733,14.892,14.733,14.864,28300
20050830,14.855,14.855,14.733,14.77,9700
20050831,14.827,15.033,14.817,15.033,5900
20050901,15.08,15.118,14.977,15.024,5500
20050902,15.014,15.024,14.958,14.986,100300
20050906,15.043,15.183,15.043,15.183,28200
20050907,15.193,15.315,15.165,15.315,20900
20050908,15.306,15.315,15.249,15.277,4600
20050909,15.277,15.371,15.277,15.362,30500
20050912,15.343,15.381,15.324,15.371,6500
20050913,15.296,15.306,15.23,15.24,10000
20050914,15.23,15.268,15.155,15.155,38800
20050915,15.221,15.221,15.127,15.127,10100
20050916,15.165,15.183,15.09,15.146,5900
20050919,15.146,15.146,14.949,15.014,11300
20050920,15.212,15.212,14.902,14.902,18200
20050921,14.808,14.892,14.733,14.742,10800
20050922,14.667,14.902,14.667,14.874,41000
20050923,14.883,15.052,14.845,15.024,44400
20050926,15.09,15.202,15.052,15.108,26600
20050927,15.174,15.193,15.061,15.146,24000
20050928,15.221,15.23,15.052,15.127,11300
20050929,15.137,15.296,15.071,15.268,12000
20050930,15.343,15.484,15.343,15.456,11900
20051003,15.493,15.55,15.456,15.54,113400
20051004,15.568,15.606,15.381,15.399,23900
20051005,15.352,15.352,15.155,15.165,13600
20051006,15.146,15.174,14.996,15.033,13300
20051007,15.108,15.137,15.043,15.118,11800
20051010,15.014,15.08,14.986,14.996,8100
20051011,15.052,15.052,14.921,14.921,41700
20051012,14.883,14.883,14.629,14.714,40000
20051013,14.676,14.695,14.526,14.686,16800
20051014,14.77,14.874,14.676,14.874,68900
20051017,14.874,14.939,14.855,14.911,17800
20051018,14.902,14.902,14.789,14.789,6300
20051019,14.742,15.061,14.648,15.061,54600
20051020,15.08,15.127,14.892,14.892,30500
20051021,14.977,15.033,14.911,15.024,29500
20051024,15.099,15.202,15.043,15.193,93900
20051025,15.193,15.193,15.014,15.08,32400
20051026,15.052,15.146,14.93,14.93,36200
20051027,14.996,14.996,14.742,14.742,16600
20051028,15.005,15.024,14.789,15.024,14400
20051031,15.183,15.352,15.183,15.296,20900
20051101,15.23,15.324,15.202,15.277,79700
20051102,15.315,15.568,15.315,15.559,44200
20051103,15.737,15.813,15.644,15.672,253500
20051104,15.775,15.784,15.587,15.653,344400
20051107,15.766,15.766,15.625,15.709,63800
20051108,15.587,15.615,15.54,15.587,63700
20051109,15.587,15.625,15.465,15.597,68500
20051110,15.963,15.963,15.493,15.794,59200
20051111,15.822,15.841,15.756,15.822,64800
20051114,15.784,15.85,15.784,15.841,94600
20051115,15.831,15.869,15.691,15.747,107500
20051116,15.766,15.85,15.747,15.841,47400
20051117,15.906,16.085,15.906,16.085,139700
20051118,16.094,16.094,15.925,15.982,108600
20051121,16.01,16.179,15.944,16.169,108900
20051122,16.151,16.254,16.132,16.254,119000
20051123,16.254,16.357,16.235,16.273,63900
20051125,16.273,16.348,16.245,16.338,41100
20051128,16.31,16.31,16.029,16.029,75700
20051129,16.122,16.235,16.094,16.151,48900
20051130,16.207,16.207,16.057,16.085,33700
20051201,16.16,16.423,16.16,16.423,67800
20051202,16.207,16.348,16.207,16.32,57400
20051205,16.226,16.32,16.188,16.31,64300
20051206,16.357,16.47,16.348,16.395,63500
20051207,16.395,16.404,16.235,16.291,40200
20051208,16.338,16.414,16.282,16.329,30200
20051209,16.329,16.432,16.273,16.395,72400
20051212,16.46,16.46,16.291,16.395,181200
20051213,16.357,16.432,16.32,16.385,62100
20051214,16.395,16.432,16.348,16.385,92000
20051215,16.395,16.423,16.291,16.357,121800
20051216,16.423,16.423,16.31,16.348,37900
20051219,16.291,16.32,16.188,16.198,37200
20051220,16.198,16.32,16.169,16.254,32200
20051221,16.367,16.404,16.301,16.367,60400
20051222,16.442,16.536,16.423,16.536,47100
20051223,16.62,16.62,16.573,16.62,76300
20051227,16.676,16.676,16.442,16.451,125000
20051228,16.47,16.526,16.395,16.507,36700
20051229,16.536,16.583,16.479,16.498,62000
20051230,16.385,16.451,16.367,16.432,36700
20060103,15.963,16.676,14.554,16.601,774200
20060104,16.705,16.836,16.695,16.827,103400
20060105,16.855,16.864,16.761,16.855,101000
20060106,16.986,17.127,16.921,17.099,88700
20060109,17.118,17.23,17.108,17.174,95600
20060110,17.071,17.165,17.033,17.165,108700
20060111,17.174,17.221,17.118,17.184,76300
20060112,17.137,17.184,17.052,17.09,77500
20060113,17.08,17.108,17.024,17.052,72500
20060117,16.977,16.977,16.817,16.883,107100
20060118,16.836,16.939,16.808,16.892,101000
20060119,16.968,17.118,16.93,17.052,66700
20060120,17.033,17.09,16.723,16.742,159500
20060123,16.799,16.827,16.686,16.78,52900
20060124,16.892,17.033,16.883,17.024,79000
20060125,17.043,17.071,16.808,16.902,107600
20060126,17.033,17.146,16.958,17.071,87400
20060127,17.155,17.24,17.09,17.09,67100
20060130,17.212,17.24,17.165,17.212,41200
20060131,17.212,17.221,17.099,17.184,221200
20060201,17.174,17.287,17.174,17.249,43600
20060202,17.249,17.249,17.043,17.108,95800
20060203,16.996,17.071,16.902,17.005,51100
20060206,17.005,17.005,16.874,16.996,31600
20060207,16.968,16.986,16.761,16.761,155500
20060208,16.733,16.939,16.733,16.892,75600
20060209,17.005,17.08,16.789,16.808,137300
20060210,16.827,16.845,16.648,16.808,51400
20060213,16.752,16.799,16.658,16.695,41700
20060214,16.733,16.911,16.63,16.855,47600
20060215,16.892,16.986,16.864,16.939,48600
20060216,17.014,17.118,17.005,17.118,119800
20060217,17.061,17.165,17.052,17.071,100200
20060221,17.184,17.184,16.986,17.005,95700
20060222,17.043,17.202,17.043,17.193,69800
20060223,17.099,17.165,17.033,17.071,55000
20060224,17.09,17.165,16.996,17.118,24700
20060227,17.259,17.334,17.202,17.277,114800
20060228,17.184,17.184,16.977,17.024,50800
20060301,17.099,17.287,17.099,17.24,84100
20060302,17.23,17.259,17.137,17.24,125600
20060303,17.212,17.343,17.174,17.202,102100
20060306,17.23,17.23,17.014,17.061,48000
20060307,16.996,17.014,16.808,16.902,56300
20060308,16.836,16.874,16.667,16.855,94900
20060309,16.921,16.996,16.817,16.827,33100
20060310,16.808,16.977,16.733,16.921,98800
20060313,16.986,17.033,16.93,16.958,73000
20060314,16.968,17.174,16.949,17.174,109900
