Date,Open,High,Low,Close,Volume
20051026,14.744,15.102,14.744,14.86,380560
20051027,14.815,14.815,14.34,14.35,160570
20051028,14.509,14.521,14.364,14.48,66820
20051031,14.453,14.618,14.453,14.55,58180
20051101,14.577,14.606,14.46,14.47,63880
20051102,14.5,14.81,14.5,14.81,85930
20051103,14.938,15.2,14.938,15.19,73600
20051104,15.227,15.227,15.014,15.15,79810
20051107,15.216,15.41,15.207,15.41,116810
20051108,15.435,15.435,15.261,15.29,73390
20051109,15.35,15.379,15.205,15.36,61330
20051110,15.499,15.499,15.208,15.47,52860
20051111,15.606,15.694,15.606,15.655,43150
20051114,15.728,15.97,15.699,15.97,95280
20051115,15.994,16.043,15.801,15.82,80480
20051116,15.907,15.907,15.732,15.81,57800
20051117,15.927,16.15,15.84,16.15,101510
20051118,16.273,16.408,16.273,16.35,95100
20051121,16.391,16.769,16.362,16.75,297650
20051122,16.817,17.069,16.759,17.03,191510
20051123,17.065,17.094,16.852,16.9,147460
20051125,16.809,16.819,16.751,16.79,44600
20051128,16.676,16.695,16.482,16.55,98080
20051129,16.648,16.667,16.522,16.57,77440
20051130,16.669,16.766,16.631,16.65,60620
20051201,16.766,16.795,16.611,16.62,76090
20051202,16.529,16.626,16.471,16.51,53680
20051205,16.511,16.579,16.375,16.54,80510
20051206,16.544,16.699,16.506,16.68,48540
20051207,16.698,16.698,16.524,16.64,146390
20051208,16.768,16.845,16.613,16.7,59570
20051209,16.705,16.87,16.608,16.87,63510
20051212,16.919,16.928,16.812,16.88,33630
20051213,16.812,16.929,16.764,16.89,27080
20051214,16.926,16.926,16.732,16.79,29670
20051215,16.816,16.835,16.651,16.68,33540
20051216,16.835,16.835,16.612,16.66,39720
20051219,16.628,16.677,16.396,16.405,65730
20051220,16.344,16.393,16.208,16.315,117350
20051221,16.215,16.322,16.157,16.225,57580
20051222,16.22,16.269,16.152,16.23,36550
20051223,16.162,16.278,16.162,16.23,10850
20051227,16.234,16.321,16.04,16.04,70460
20051228,16.08,16.08,15.944,16.07,32280
20051229,16.129,16.168,16.091,16.11,40360
20051230,15.989,15.989,15.813,15.96,138140
20060103,15.907,15.995,15.732,15.975,116430
20060104,15.995,16.17,15.946,16.17,55290
20060105,16.182,16.279,16.133,16.24,33070
20060106,16.321,16.37,16.233,16.36,41490
20060109,16.429,16.74,16.419,16.74,128020
20060110,16.677,16.93,16.657,16.93,86490
20060111,16.899,17.24,16.899,17.24,135960
20060112,17.216,17.274,17.07,17.07,84310
20060113,17.062,17.149,16.984,17.149,47210
20060117,17.205,17.448,17.059,17.38,76990
20060118,17.383,17.53,17.032,17.48,131220
20060119,17.548,17.636,17.383,17.48,104010
20060120,17.51,17.51,17.091,17.14,74970
20060123,17.178,17.266,17.052,17.11,48930
20060124,17.046,17.289,16.987,17.26,54580
20060125,17.293,17.488,17.128,17.42,191240
20060126,17.454,17.639,17.454,17.61,118050
20060127,17.646,17.88,17.539,17.88,121320
20060130,17.812,18.045,17.763,17.88,90400
20060131,17.987,18.104,17.811,18.026,57990
20060201,18.033,18.316,17.956,18.16,213730
20060202,18.132,18.219,17.772,17.83,114590
20060203,17.84,17.957,17.733,17.84,65500
20060206,18.144,18.154,17.705,17.706,174290
20060207,17.821,17.87,17.432,17.49,188590
20060208,17.432,17.578,17.179,17.52,121840
20060209,17.73,17.789,17.516,17.516,68390
20060210,17.448,17.468,17.147,17.39,69350
20060213,17.342,17.342,16.991,17.04,178880
20060214,16.936,17.228,16.799,17.14,153260
20060215,17.159,17.276,17.032,17.12,62920
20060216,17.238,17.589,17.18,17.54,92900
20060217,17.538,17.538,17.373,17.47,61060
20060221,17.556,17.556,17.352,17.42,47390
20060222,17.498,17.508,17.385,17.44,63580
20060223,17.454,17.454,17.22,17.23,146930
20060224,17.18,17.277,17.131,17.17,57000
20060227,17.319,17.397,17.231,17.28,64450
20060228,17.226,17.226,17.051,17.09,98750
20060301,17.165,17.457,17.097,17.36,53310
20060302,17.537,17.566,17.391,17.41,82750
20060303,17.467,17.467,17.321,17.37,27980
20060306,17.467,17.526,17.312,17.37,135180
20060307,17.329,17.398,17.066,17.154,109900
20060308,16.991,17.127,16.845,17.03,222920
20060309,17.224,17.36,17.01,17.01,54360
20060310,17.188,17.227,17.042,17.11,47730
20060313,17.225,17.264,17.04,17.05,64410
20060314,17.181,17.258,17.142,17.2,20850
20060315,17.232,17.29,17.163,17.29,55080
20060316,17.349,17.427,17.301,17.32,112070
20060317,17.447,17.447,17.262,17.34,29300
20060320,17.398,17.428,17.233,17.34,54870
20060321,17.453,17.453,17.102,17.19,66410
20060322,17.213,17.398,17.087,17.33,30090
20060323,17.389,17.409,17.282,17.37,21290
20060324,17.385,17.55,17.307,17.55,38050
20060327,17.642,17.769,17.545,17.73,50380
20060328,17.827,17.944,17.652,17.73,60480
20060329,17.909,17.909,17.802,17.89,42600
20060330,17.946,18.014,17.712,17.79,42930
20060331,18.023,18.023,17.614,17.76,38420
20060403,17.848,18.003,17.76,17.76,42540
20060404,17.993,18.168,17.896,18.1,93310
20060405,18.207,18.207,18.022,18.09,85130
20060406,18.21,18.259,18.025,18.21,94530
20060407,18.295,18.334,18.042,18.13,77420
20060410,18.216,18.216,17.972,18.06,43480
20060411,18.043,18.121,17.712,17.78,50090
20060412,17.881,17.91,17.812,17.9,29600
20060413,17.933,18.137,17.845,18.03,38440
20060417,18.067,18.125,17.863,17.96,66920
20060418,18.154,18.28,18.017,18.271,126800
20060419,18.368,18.368,18.164,18.3,78110
20060420,18.397,18.66,18.329,18.66,144150
20060421,18.901,18.901,18.58,18.58,197440
20060424,18.625,18.625,18.401,18.411,91430
20060425,18.498,18.498,18.313,18.42,62310
20060426,18.44,18.508,18.385,18.44,42660
20060427,18.499,18.714,18.451,18.645,65000
20060428,18.639,18.687,18.541,18.59,53240
20060501,18.67,18.68,18.485,18.505,80930
20060502,18.608,18.725,18.565,18.725,53590
20060503,18.644,18.819,18.605,18.8,78710
20060504,19,19.195,18.932,19.195,125060
20060505,19.233,19.408,19.097,19.34,268720
20060508,19.427,19.495,19.271,19.31,157130
20060509,19.334,19.364,19.12,19.14,159180
20060510,19.184,19.184,18.941,18.98,122640
20060511,18.852,18.881,18.492,18.55,99160
20060512,18.332,18.478,18.234,18.4,203190
20060515,18.208,18.295,17.886,18.1,251380
20060516,18.109,18.128,17.943,18.06,82220
20060517,18.06,18.06,17.631,17.68,265540
20060518,17.813,17.813,17.492,17.57,159360
20060519,17.511,17.598,17.345,17.54,137390
20060522,17.473,17.473,17.035,17.23,157630
20060523,17.326,17.472,17.19,17.19,94880
20060524,17.141,17.317,16.84,17.19,108000
20060525,17.146,17.419,17.146,17.37,76550
20060526,17.592,17.66,17.456,17.66,78460
20060530,17.712,17.712,17.382,17.44,58160
20060531,17.55,17.56,17.346,17.56,47040
20060601,17.596,17.761,17.518,17.759,26810
20060602,17.848,17.848,17.663,17.76,58200
20060605,17.749,17.817,17.252,17.33,50670
20060606,17.306,17.404,17.043,17.17,100690
20060607,17.264,17.264,16.952,17.04,101400
20060608,16.901,17.027,16.56,16.92,193660
20060609,16.878,17.063,16.761,16.81,31810
20060612,16.901,16.901,16.365,16.365,164580
20060613,16.3,16.407,15.881,15.89,215120
20060614,15.942,16.137,15.874,16.01,63030
20060615,16.205,16.419,16.186,16.4,63050
20060616,16.406,16.435,16.251,16.29,24680
20060619,16.403,16.403,16.033,16.14,44300
20060620,16.14,16.257,16.072,16.15,28900
20060621,16.141,16.364,16.121,16.16,63430
20060622,16.178,16.227,16.042,16.12,45300
20060623,16.062,16.238,15.994,16.15,27860
20060626,16.284,16.284,16.167,16.254,29390
20060627,16.232,16.29,15.93,15.93,24910
20060628,16.016,16.25,15.938,16.25,45100
20060629,16.345,16.746,16.345,16.746,86120
20060630,16.831,16.958,16.763,16.88,69950
20060703,16.888,16.888,16.81,16.82,18690
20060705,16.79,16.829,16.673,16.8,54880
20060706,16.858,16.858,16.732,16.79,27080
20060707,16.662,16.743,16.603,16.613,41970
20060710,16.627,16.793,16.472,16.53,50650
20060711,16.483,16.61,16.25,16.61,42040
20060712,16.544,16.574,16.321,16.34,129990
20060713,16.236,16.236,16.012,16.08,85350
20060714,16.037,16.037,15.745,15.92,146760
20060717,15.889,15.889,15.656,15.656,52420
20060718,15.747,15.747,15.465,15.65,87500
20060719,15.733,16.22,15.733,16.22,95030
20060720,16.244,16.273,15.865,15.885,34550
20060721,15.861,15.861,15.481,15.51,46570
20060724,15.575,15.779,15.575,15.76,26750
20060725,15.769,15.788,15.662,15.73,44760
20060726,15.669,15.757,15.582,15.64,31630
20060727,15.765,15.794,15.541,15.58,72040
20060728,15.625,15.79,15.605,15.79,30630
20060731,15.654,16.189,15.654,16.17,76380
20060801,16.081,16.081,15.741,15.76,57850
20060802,15.763,15.967,15.763,15.87,55400
20060803,15.786,16.078,15.718,16.01,71950
20060804,16.176,16.224,15.913,16.02,48610
20060807,16.009,16.039,15.893,15.99,27240
20060808,16.133,16.133,15.871,15.89,57670
20060809,16.011,16.05,15.681,15.7,47850
20060810,15.644,15.79,15.576,15.79,111760
20060811,15.678,15.747,15.552,15.62,70300
20060814,15.689,15.923,15.66,15.66,39050
20060815,15.784,15.939,15.735,15.92,33020
20060816,16.053,16.199,15.936,16.17,116700
20060817,16.226,16.498,16.226,16.43,52620
20060818,16.463,16.59,16.298,16.58,55080
20060821,16.536,16.546,16.351,16.39,51480
20060822,16.315,16.519,16.315,16.5,45720
20060823,16.521,16.676,16.472,16.54,65040
20060824,16.629,16.629,16.405,16.6,35020
20060825,16.538,16.723,16.47,16.47,47910
20060828,16.473,16.609,16.375,16.57,40080
20060829,16.562,16.659,16.455,16.64,25380
20060830,16.743,16.879,16.684,16.84,66340
20060831,16.892,16.989,16.873,16.97,53720
20060901,17.034,17.034,16.897,16.965,37080
20060905,17.048,17.359,17.038,17.34,128720
20060906,17.23,17.386,16.861,16.88,98920
20060907,16.766,17.156,16.766,17,147600
20060908,17.136,17.223,16.941,16.97,53240
20060911,16.929,16.988,16.783,16.91,59710
20060912,17.024,17.083,16.917,16.966,64680
20060913,17.01,17.097,16.825,17,41570
20060914,16.941,17.077,16.941,16.98,41400
20060915,17.071,17.139,16.964,17.08,50730
20060918,17.076,17.358,17.076,17.28,137430
20060919,17.292,17.292,16.854,17,50780
20060920,17.099,17.216,17.051,17.07,51360
20060921,16.836,16.885,16.642,16.7,175260
20060922,16.674,16.675,16.518,16.552,63030
20060925,16.57,16.57,16.385,16.56,80720
20060926,16.569,16.696,16.501,16.54,38160
20060927,16.529,16.859,16.529,16.84,30140
20060928,16.924,17.216,16.827,17.08,63470
20060929,17.201,17.201,16.841,16.88,83470
20061002,16.773,16.851,16.481,16.53,36600
20061003,16.32,16.427,16.3,16.31,55680
20061004,16.368,16.68,16.368,16.67,49520
20061005,16.75,16.75,16.643,16.731,24530
20061006,16.766,16.766,16.63,16.63,24870
20061009,16.631,16.738,16.612,16.67,24040
20061010,16.601,16.718,16.592,16.65,26080
20061011,16.672,16.838,16.604,16.75,29300
20061012,16.912,17.049,16.903,17.02,35530
20061013,17.04,17.231,17.04,17.215,45760
20061016,17.282,17.438,17.263,17.36,65500
20061017,17.302,17.379,17.146,17.36,37240
20061018,17.516,17.575,17.322,17.38,130790
20061019,17.503,17.688,17.503,17.6,68330
20061020,17.839,17.839,17.547,17.576,34860
20061023,17.629,17.736,17.542,17.629,66800
20061024,17.719,17.807,17.612,17.68,59700
20061025,17.654,17.8,17.605,17.8,41630
20061026,17.859,17.993,17.779,17.964,101980
20061027,17.917,18.044,17.751,17.771,43050
20061030,17.823,18.026,17.628,17.949,85010
20061031,18.214,18.214,17.922,18,59190
20061101,18.146,18.146,17.611,17.63,61510
20061102,17.652,17.749,17.584,17.739,69040
20061103,17.829,17.839,17.663,17.79,103170
20061106,17.902,18.012,17.844,17.989,109620
20061107,18.08,18.236,17.905,17.905,107170
20061108,17.765,18.057,17.765,17.96,27340
20061109,18.023,18.023,17.741,17.76,43700
20061110,17.795,17.815,17.435,17.62,123290
20061113,17.629,17.765,17.532,17.59,44670
20061114,17.536,17.789,17.497,17.76,73930
20061115,17.812,17.928,17.81,17.87,46840
20061116,17.936,17.936,17.78,17.79,33920
20061117,17.738,17.788,17.632,17.72,41590
20061120,17.745,17.871,17.706,17.774,26840
