Date,Open,High,Low,Close,Volume
20121219,19.932,19.932,19.932,19.932,256
20121220,19.846,19.846,19.846,19.846,39035
20121221,19.729,19.729,19.698,19.698,68984
20121226,19.588,19.588,19.58,19.58,1536
20121227,19.464,19.464,19.425,19.448,46527
20121228,19.448,19.448,19.401,19.401,69008
20121231,19.401,19.566,19.401,19.566,15410
20130102,20.04,20.04,19.973,19.973,8956
20130103,20.11,20.15,20.06,20.06,9831
20130104,20.11,20.25,20.11,20.25,10851
20130107,20.29,20.29,20.17,20.18,12831
20130108,20.07,20.15,20.07,20.15,12845
20130109,20.19,20.19,20.16,20.18,27832
20130110,21.15,21.15,20.2,20.2,5364
20130111,20.27,20.35,20.27,20.35,42848
20130114,20.33,20.35,20.33,20.35,27935
20130115,20.8,20.8,20.29,20.4,4589
20130116,20.36,20.4,20.36,20.4,3918
20130117,20.42,20.56,20.42,20.51,23174
20130118,20.47,20.47,20.47,20.47,192
20130122,20.58,20.71,20.57,20.71,64670
20130123,20.66,20.69,20.66,20.69,20926
20130124,20.85,20.85,20.79,20.79,6384
20130125,20.8,20.86,20.78,20.86,38719
20130128,20.8,20.87,20.8,20.85,12416
20130129,20.87,20.94,20.87,20.94,26378
20130130,20.98,20.98,20.86,20.87,104961
20130131,20.88,20.91,20.86,20.87,56699
20130201,21.37,21.37,20.94,21.02,18896
20130204,20.45,20.9,20.45,20.82,38741
20130205,20.96,21,20.9,20.98,17638
20130206,20.91,21.01,20.91,21.01,51924
20130207,20.98,20.98,20.84,20.84,21731
20130208,21.01,21.06,21.01,21.05,20004
20130211,21.04,21.09,21.04,21.09,34023
20130212,21.07,21.14,21.07,21.13,34453
20130213,21.16,21.16,21.13,21.13,3671
20130214,21.46,21.46,21.1,21.14,35864
20130215,21.22,21.22,21.16,21.16,12750
20130219,21.34,21.35,21.34,21.35,1564
20130220,21.34,21.34,21.34,21.34,12129
20130221,21.01,21.05,21.01,21.01,144150
20130222,21.16,21.2,21.14,21.18,89261
20130225,21.31,21.31,20.98,20.98,22746
20130226,21.01,21.01,20.89,20.94,18400
20130227,21.24,21.35,21.24,21.35,19472
20130228,21.34,21.4,21.3,21.3,62917
20130301,21.44,21.44,21.21,21.33,58495
20130304,21.38,21.44,21.33,21.44,12161
20130305,21.59,21.7,21.59,21.65,48446
20130306,21.71,21.71,21.62,21.64,51722
20130307,21.7,21.73,21.67,21.7,45084
20130308,21.74,21.81,21.72,21.79,21949
20130311,21.8,21.87,21.77,21.87,25163
20130312,21.92,21.92,21.86,21.92,18965
20130313,21.85,21.95,21.85,21.95,125648
20130314,22.28,22.28,21.99,22.04,67331
20130315,22.1,22.1,22.02,22.05,37926
20130318,21.98,22.07,21.98,22.07,891
20130319,22.05,22.06,21.93,21.94,57067
20130320,22.06,22.09,22.04,22.08,63573
20130321,22.03,22.05,21.97,21.97,17240
20130322,22.05,22.07,22.04,22.07,21291
20130325,22.29,22.29,22.02,22.02,15241
20130326,22.14,22.17,22.13,22.17,14842
20130327,22.12,22.21,22.12,22.2,20557
20130328,22.23,22.31,22.23,22.3,52797
20130401,22.17,22.21,22.16,22.19,38246
20130402,22.3,22.32,22.19,22.19,44331
20130403,22.2,22.2,22.02,22.09,25925
20130404,22.16,22.18,22.13,22.18,45113
20130405,21.95,22.1,21.94,22.1,113874
20130408,22.1,22.25,22.1,22.25,37710
20130409,22.27,22.39,22.27,22.35,31900
20130410,22.45,22.61,22.45,22.61,20027
20130411,22.61,22.71,22.61,22.71,50773
20130412,22.61,22.62,22.58,22.6,13683
20130415,22.45,22.46,22.21,22.21,17791
20130416,22.25,22.32,22.24,22.29,32417
20130417,22.36,22.36,21.95,22.06,25546
20130418,22.03,22.05,21.94,21.99,46268
20130419,22.05,22.19,22.02,22.19,19199
20130422,22.15,22.34,22.11,22.32,29736
20130423,22.46,22.53,22.43,22.5,50330
20130424,22.56,22.62,22.52,22.59,97339
20130425,22.71,22.76,22.67,22.67,68280
20130426,22.63,22.76,22.62,22.75,142914
20130429,22.82,22.9,22.81,22.89,55286
20130430,22.83,22.94,22.82,22.94,40394
20130501,22.83,22.85,22.74,22.76,60899
20130502,22.91,22.91,22.77,22.86,64236
20130503,23.1,23.13,23.08,23.1,128919
20130506,23.09,23.14,23.07,23.11,65431
20130507,23.36,23.36,23.16,23.25,43343
20130508,23.24,23.3,23.23,23.25,49631
20130509,23.36,23.36,23.24,23.24,22994
20130510,23.27,23.27,23.05,23.26,75962
20130513,23.27,23.3,23.27,23.3,19810
20130514,23.62,23.62,23.4,23.54,38622
20130515,23.73,23.73,23.5,23.66,43951
20130516,23.72,23.72,23.59,23.63,25072
20130517,23.76,23.87,23.69,23.86,66587
20130520,24.09,24.09,23.85,23.88,35453
20130521,23.89,23.96,23.84,23.94,40862
20130522,24.03,24.13,23.67,23.7,26703
20130523,23.56,23.7,23.52,23.67,172387
20130524,23.54,23.6,23.48,23.59,91324
20130528,24.01,24.01,23.67,23.71,33537
20130529,23.44,23.56,23.38,23.49,67737
20130530,23.63,23.67,23.61,23.61,35364
20130531,23.78,23.78,23.36,23.36,15530
20130603,23.31,23.39,23.24,23.39,18146
20130604,23.65,23.65,23.27,23.35,30185
20130605,23.23,23.23,23.04,23.06,30939
20130606,23.06,23.2,22.98,23.2,16594
20130607,23.35,23.52,23.35,23.5,136475
20130610,23.84,23.84,23.5,23.57,84783
20130611,23.33,23.52,23.32,23.33,60256
20130612,23.41,23.41,23.17,23.19,43563
20130613,23.28,23.53,23.19,23.53,13779
20130614,23.64,23.64,23.42,23.5,58161
20130617,23.69,23.69,23.54,23.61,82385
20130618,23.63,23.8,23.63,23.77,58723
20130619,23.73,23.73,23.53,23.53,16411
20130620,23.26,23.26,22.83,22.91,50846
20130621,22.8,23.02,22.77,22.96,44170
20130624,22.99,22.99,22.53,22.73,27537
20130625,22.84,22.98,22.78,22.98,26664
20130626,23.14,23.2,23.07,23.17,60090
20130627,23.41,23.44,23.33,23.39,27694
20130628,23.39,23.39,23.21,23.23,57600
20130701,23.5,23.52,23.37,23.37,25582
20130702,23.44,23.5,23.27,23.39,14213
20130703,23.3,23.33,23.28,23.33,15003
20130705,23.44,23.57,23.35,23.54,68777
20130708,23.79,23.8,23.73,23.8,24938
20130709,24.04,24.04,23.83,23.95,154873
20130710,24.1,24.1,23.89,23.94,59652
20130711,24.18,24.23,24.12,24.23,15243
20130712,24.21,24.23,24.15,24.23,23112
20130715,24.43,24.43,24.23,24.33,69701
20130716,24.32,24.32,24.2,24.22,31625
20130717,24.4,24.4,24.27,24.31,25114
20130718,24.44,24.48,24.35,24.44,15872
20130719,24.43,24.43,24.38,24.42,28791
20130722,24.55,24.55,24.48,24.53,26817
20130723,24.64,24.64,24.51,24.53,13988
20130724,24.6,24.6,24.36,24.41,10302
20130725,24.36,24.42,24.34,24.42,80791
20130726,24.33,24.42,24.23,24.42,22678
20130729,24.4,24.42,24.33,24.39,57914
20130730,24.54,24.54,24.43,24.48,40417
20130731,24.55,24.64,24.55,24.55,37998
20130801,24.75,24.78,24.74,24.78,22470
20130802,24.72,24.85,24.72,24.85,21059
20130805,24.79,24.81,24.77,24.81,110916
20130806,24.92,24.92,24.63,24.64,31172
20130807,24.64,24.64,24.51,24.59,19340
20130808,24.67,24.67,24.55,24.66,70814
20130809,24.67,24.7,24.58,24.61,31577
20130812,24.58,24.58,24.54,24.54,2339
20130813,24.57,24.62,24.52,24.6,9955
20130814,24.48,24.58,24.47,24.51,41734
20130815,24.12,24.14,24.12,24.13,16093
20130816,24.18,24.18,23.99,24.04,85379
20130819,24.14,24.14,23.82,23.82,30032
20130820,24,24.05,24,24.01,28763
20130821,23.89,23.91,23.83,23.83,44240
20130822,23.91,24.17,23.81,23.99,24657
20130823,24.06,24.09,24.02,24.09,26609
20130826,24.07,24.15,24.01,24.01,17442
20130827,23.99,23.99,23.64,23.64,11953
20130828,23.66,23.71,23.65,23.65,10502
20130829,23.76,23.78,23.71,23.74,9969
20130830,23.71,23.72,23.58,23.58,51427
20130903,23.79,23.79,23.5,23.55,17749
20130904,23.58,23.73,23.52,23.67,34561
20130905,23.74,23.76,23.71,23.71,47087
20130906,23.7,23.82,23.63,23.75,31570
20130909,23.82,23.89,23.82,23.89,18982
20130910,23.9,24.09,23.9,24.09,55059
20130911,24.14,24.21,24.14,24.18,16797
20130912,24.17,24.17,24.13,24.13,18545
20130913,24.25,24.25,24.21,24.21,10609
20130916,24.47,24.49,24.44,24.44,6506
20130917,24.51,24.56,24.51,24.56,10373
20130918,24.45,24.86,24.45,24.79,25844
20130919,24.74,24.76,24.72,24.75,12423
20130920,24.7,24.7,24.56,24.56,33663
20130923,24.45,24.45,24.45,24.45,2104
20130924,24.48,24.52,24.43,24.43,11699
20130925,24.35,24.44,24.35,24.41,7279
20130926,24.53,24.53,24.4,24.43,22956
20130927,24.4,24.41,24.35,24.38,10330
20130930,24.01,24.27,24.01,24.21,23321
20131001,24.38,24.45,24.38,24.44,50918
20131002,24.3,24.39,24.3,24.38,16816
20131003,24.36,24.36,24.21,24.21,22057
20131004,24.32,24.35,24.32,24.32,26493
20131007,24.21,24.21,24.21,24.21,12766
20131008,24.03,24.03,23.94,23.94,13957
20131009,23.91,24.01,23.9,23.94,15128
20131010,24.32,24.41,24.32,24.41,6114
20131011,24.57,24.57,24.53,24.53,22740
20131014,24.31,24.66,24.31,24.66,16742
20131015,24.67,24.71,24.52,24.59,23366
20131016,24.8,24.8,24.79,24.79,5410
20131017,24.93,25.13,24.93,25.13,28552
20131018,25.23,25.25,25.11,25.25,17878
20131021,25.12,25.2,25.12,25.18,35593
20131022,25.38,25.4,25.3,25.4,13458
20131023,25.41,25.41,24.91,25.31,25565
20131024,25.48,25.48,25.34,25.42,72032
20131025,25.45,25.58,25.4,25.58,20377
20131028,25.52,25.6,25.52,25.56,2772
20131029,25.69,25.69,25.64,25.68,10033
20131030,25.71,25.71,25.51,25.55,41127
20131031,25.65,25.72,25.54,25.58,290611
20131101,25.49,25.67,25.49,25.63,228634
20131104,25.66,25.72,25.64,25.71,32476
20131105,25.71,25.72,25.59,25.66,11628
20131106,25.81,25.81,25.74,25.77,44625
20131107,25.71,25.73,25.48,25.48,54547
20131108,25.63,25.79,25.5,25.79,47977
20131111,25.71,25.81,25.71,25.81,9139
20131112,25.87,25.87,25.7,25.77,19151
20131113,25.68,25.97,25.68,25.97,10612
20131114,25.94,26.07,25.93,26.07,57380
20131115,26.14,26.16,26.01,26.16,77807
20131118,26.17,26.22,26.06,26.16,43039
20131119,25.99,26.11,25.55,26.03,40778
