Date,Open,High,Low,Close,Volume
20150324,17.846,17.855,17.846,17.855,100
20150325,17.802,17.802,17.713,17.713,600
20150326,17.579,17.579,17.579,17.579,100
20150402,17.739,17.739,17.739,17.739,200
20150414,17.936,17.936,17.936,17.936,200
20150430,18.542,18.542,18.542,18.542,3000
20150506,17.695,17.713,17.695,17.713,2800
20150512,17.829,17.829,17.82,17.82,1100
20150519,17.936,17.936,17.909,17.909,1200
20150603,17.82,17.82,17.82,17.82,100
20150604,17.73,17.73,17.73,17.73,200
20150626,17.748,17.748,17.748,17.748,1100
20150710,17.659,17.659,17.659,17.659,1100
20150715,17.775,17.775,17.775,17.775,300
20150721,17.891,17.909,17.891,17.909,2500
20150728,17.775,17.775,17.775,17.775,1000
20150807,17.668,17.668,17.656,17.656,400
20150814,17.65,17.659,17.65,17.659,300
20150818,17.686,17.686,17.632,17.632,1100
20150825,16.901,16.901,16.901,16.901,100
20150827,16.892,16.892,16.892,16.892,1100
20150828,17.16,17.16,17.151,17.151,900
20150902,17.053,17.053,17.053,17.053,100
20151008,17.079,17.079,17.079,17.079,100
20151012,17.088,17.088,17.088,17.088,89700
20160212,16.05,16.05,16.05,16.05,600
20160223,16.297,16.315,16.288,16.297,600
20160321,16.896,16.896,16.896,16.896,400
20160401,16.506,16.506,16.506,16.506,700
20160404,16.842,17.006,16.842,17.006,400
20160406,17.01,17.01,17.01,17.01,200
20160603,17.187,17.187,17.187,17.187,300
20160617,17.006,17.006,16.987,17.006,3500
20160707,17.006,17.006,17.006,17.006,100
20160719,17.415,17.415,17.415,17.415,300
20160804,17.533,17.533,17.515,17.515,1200
20160809,17.887,17.896,17.76,17.787,5300
20160810,17.642,17.642,17.624,17.624,700
20160816,17.642,17.642,17.642,17.642,300
20160817,17.624,17.624,17.587,17.624,2600
20160919,17.487,17.487,17.487,17.487,1200
20161103,17.142,17.142,17.142,17.142,1000
20161107,17.225,17.225,17.225,17.225,300
20161109,17.315,17.315,17.315,17.315,900
20161115,17.46,17.46,17.46,17.46,200
20161117,17.387,17.387,17.387,17.387,1900
20161122,17.442,17.442,17.433,17.433,300
20161208,17.733,17.733,17.715,17.724,1400
20161215,17.696,17.705,17.696,17.705,600
20161220,17.787,17.787,17.787,17.787,300
20161227,17.733,17.733,17.724,17.724,700
20170110,17.804,17.814,17.804,17.814,1400
20170130,17.868,17.868,17.868,17.868,500
20170209,18.039,18.039,18.039,18.039,200
20170215,18.123,18.123,18.123,18.123,700
20170320,18.123,18.123,18.123,18.123,11
20170331,18.369,18.369,18.358,18.358,219
20170404,18.314,18.333,18.314,18.333,35894
20170411,18.314,18.323,18.314,18.323,1082
20170413,18.369,18.369,18.369,18.369,5397
20170420,18.333,18.387,18.314,18.378,53753
20170421,18.314,18.314,18.314,18.314,110
20170424,18.442,18.442,18.433,18.433,6472
20170501,18.588,18.633,18.588,18.633,752
20170510,18.67,18.67,18.67,18.67,440
20170511,18.697,18.697,18.697,18.697,271
20170516,18.797,18.797,18.797,18.797,362
20170518,18.652,18.697,18.652,18.697,4530
20170519,18.743,18.743,18.743,18.743,274
20170526,18.852,18.852,18.852,18.852,110
20170616,18.834,18.834,18.734,18.734,5397
20170619,19.053,19.062,19.053,19.053,1177
20170703,19.016,19.016,19.016,19.016,823
20170712,19.199,19.199,19.063,19.076,4695
20170718,19.107,19.107,19.107,19.107,1317
20170719,19.199,19.199,19.199,19.199,290
20170731,19.156,19.156,19.156,19.156,110
20170807,19.262,19.262,19.262,19.262,110
20170810,19.078,19.089,19.071,19.089,2913
20170817,19.144,19.144,19.144,19.144,312
20170823,19.818,19.818,19.818,19.818,219
20170830,19.317,19.317,19.317,19.317,110
20170906,19.162,19.162,19.162,19.162,1367
20170918,19.299,19.302,19.299,19.302,1069
20170919,19.348,19.348,19.348,19.348,110
20170926,19.309,19.309,19.309,19.309,110
20171003,19.518,19.518,19.518,19.518,517
20171004,19.554,19.554,19.481,19.481,769
20171005,19.481,19.481,19.481,19.481,253
20171006,19.472,19.545,19.472,19.545,220
20171009,19.557,19.557,19.557,19.557,658
20171011,19.563,19.563,19.554,19.554,1487
20171016,19.673,19.673,19.636,19.636,660
20171017,19.746,19.746,19.746,19.746,110
20171018,19.937,19.937,19.6,19.607,2441
20171117,19.636,19.645,19.618,19.645,15578
20171206,19.873,19.873,19.873,19.873,197
20171212,19.964,19.964,19.942,19.942,219
20171214,19.91,19.91,19.901,19.91,1974
20171220,19.973,19.983,19.937,19.964,6911
20180104,20.24,20.24,20.24,20.24,109
20180105,20.41,20.41,20.23,20.23,464
20180109,20.34,20.37,20.34,20.35,2185
20180122,20.57,20.57,20.55,20.55,351
20180123,20.64,20.67,20.64,20.67,209723
20180124,20.75,20.75,20.64,20.64,824
20180125,20.64,20.69,20.63,20.65,4883
20180126,20.69,20.69,20.69,20.69,149
20180129,20.69,20.69,20.65,20.65,1344
20180130,20.66,20.66,20.54,20.54,1483
20180131,20.64,20.64,20.54,20.54,951
20180201,20.55,20.57,20.53,20.54,4639
20180202,20.45,20.45,20.33,20.33,704
20180205,20.21,20.22,20.21,20.22,711
20180206,20.01,20.04,20.01,20.01,2017
20180207,21.94,21.94,20,21.02,3412
20180208,20.04,20.04,19.886,19.886,7328
20180209,21.97,22.45,19.776,19.831,3108
20180212,19.922,20.03,19.922,20.03,5724
20180213,19.968,19.968,19.951,19.951,570
20180214,19.95,20.08,19.894,20.08,4121
20180215,20.11,20.12,20.11,20.11,3112
20180216,20.26,20.29,20.26,20.27,1689
20180220,20.22,20.26,20.22,20.26,1964
20180221,20.28,20.28,20.26,20.26,562
20180222,20.28,20.3,20.25,20.29,2576
20180223,20.29,20.29,20.29,20.29,282
20180226,20.35,20.42,20.34,20.42,2565
20180227,20.45,20.48,20.45,20.48,2813
20180228,20.37,20.37,20.37,20.37,157
20180301,20.19,20.22,20.19,20.22,2309
20180305,20.09,20.22,20.08,20.22,1421
20180306,20.28,20.28,20.28,20.28,302
20180307,20.26,20.26,20.25,20.25,299
20180308,20.22,20.37,20.22,20.35,2471
20180309,20.45,20.46,20.45,20.46,995
20180312,20.46,20.46,20.46,20.46,114
20180313,20.46,20.46,20.46,20.46,251
20180319,20.29,20.29,20.29,20.29,109
20180320,20.27,20.27,20.27,20.27,2581
20180321,20.25,20.25,20.25,20.25,547
20180326,20.01,20.01,19.922,19.922,1029
20180327,20.11,20.11,20.11,20.11,123
20180402,20.07,20.07,20.07,20.07,185
20180403,20.01,20.01,19.941,19.95,1061
20180405,20.09,20.09,20.09,20.09,177
20180406,19.925,19.925,19.925,19.925,109
20180409,20.15,20.15,20.15,20.15,133
20180410,20.2,20.2,20.2,20.2,520
20180411,20.19,20.19,20.11,20.11,390
20180412,20.18,20.18,20.18,20.18,1012
20180417,20.23,20.23,20.23,20.23,219
20180418,20.27,20.27,20.24,20.24,1008
20180419,20.2,20.2,20.2,20.2,146
20180420,20.18,20.19,20.13,20.13,3434
20180423,20.15,20.15,20.11,20.14,1744
20180424,20.13,20.13,20.13,20.13,382
20180426,20.1,20.11,20.1,20.1,3362
20180430,20.22,20.22,20.12,20.12,3715
20180501,20.06,20.07,20.04,20.04,2326
20180502,20.09,20.12,20.09,20.12,807
20180503,20.07,20.07,20.07,20.07,656
20180504,20.03,20.15,20.02,20.13,2761
20180507,20.17,20.17,20.16,20.17,1311
20180508,20.18,20.18,20.18,20.18,328
20180509,20.18,20.24,20.18,20.21,2436
20180510,20.2,20.29,20.2,20.29,1028
20180514,20.3,20.33,20.3,20.33,685
20180515,20.22,20.24,20.22,20.23,4024
20180516,20.25,20.26,20.23,20.24,924
20180517,20.22,20.22,20.22,20.22,276
20180518,20.21,20.22,20.19,20.22,749
20180521,20.26,20.26,20.26,20.26,894
20180522,20.28,20.28,20.27,20.27,219
20180523,20.22,20.22,20.22,20.22,765
20180529,20.22,20.22,20.05,20.06,1052
20180530,20.16,20.16,20.14,20.14,1187
20180531,20.11,20.11,20.11,20.11,394
20180604,20.22,20.22,20.22,20.22,546
20180606,20.26,20.32,20.26,20.32,2374
20180607,20.31,20.31,20.31,20.31,495
20180608,20.28,20.28,20.28,20.28,375
20180612,20.34,20.34,20.3,20.3,875
20180613,20.32,20.32,20.32,20.32,310
20180618,20.22,20.22,20.22,20.22,208
20180619,20.12,20.15,20.09,20.15,621
20180620,20.15,20.15,20.15,20.15,202
20180621,20.11,20.11,20.11,20.11,938
20180622,20.26,20.26,20.26,20.26,774
20180625,19.999,19.999,19.999,19.999,224
20180626,20.02,20.02,19.988,20.01,1132
20180627,20.07,20.07,20,20.04,1086
20180629,20.09,20.09,20.09,20.09,223
20180702,19.921,19.977,19.921,19.977,468
20180703,20.02,20.02,19.985,19.985,896
20180705,19.995,19.995,19.986,19.986,290
20180710,20.23,20.23,20.22,20.22,512
