Date,Open,High,Low,Close,Volume
20190716,24.8,24.81,24.74,24.75,4590
20190717,24.71,24.71,24.71,24.71,1434
20190718,24.78,24.78,24.78,24.78,30
20190719,24.73,24.73,24.73,24.73,30
20190722,24.79,24.79,24.78,24.78,5752
20190723,24.73,24.73,24.72,24.72,841
20190724,24.74,24.74,24.74,24.74,131
20190725,24.67,24.67,24.64,24.64,334
20190726,24.66,24.66,24.62,24.64,1045
20190729,24.62,24.62,24.62,24.62,30
20190730,24.49,24.49,24.49,24.49,131
20190731,24.2,24.2,24.2,24.2,131
20190801,23.87,23.87,23.87,23.87,233
20190802,23.71,23.71,23.71,23.71,30
20190805,23.31,23.31,23.22,23.22,232
20190806,23.35,23.35,23.35,23.35,334
20190807,23.47,23.47,23.47,23.47,233
20190808,23.73,23.73,23.73,23.73,131
20190809,23.56,23.56,23.56,23.56,30
20190812,23.34,23.34,23.34,23.34,20
20190813,23.51,23.51,23.51,23.51,435
20190814,22.98,22.98,22.98,22.98,131
20190815,23.13,23.13,23.13,23.13,30
20190816,23.42,23.42,23.42,23.42,30
20190819,23.44,23.44,23.44,23.44,30
20190820,23.47,23.47,23.47,23.47,30
20190821,23.61,23.61,23.61,23.61,131
20190822,23.42,23.42,23.42,23.42,30
20190823,23.1,23.1,23.1,23.1,131
20190826,23.22,23.22,23.22,23.22,30
20190827,23.29,23.29,23.29,23.29,30
20190828,23.33,23.33,23.33,23.33,131
20190829,23.54,23.54,23.54,23.54,131
20190830,23.64,23.64,23.64,23.64,30
20190903,23.46,23.46,23.46,23.46,435
20190904,23.87,23.87,23.87,23.87,131
20190905,24.03,24.03,24.03,24.03,30
20190906,24.12,24.12,24.12,24.12,537
20190909,24.12,24.12,24.12,24.12,233
20190910,24.13,24.13,24.13,24.13,30
20190911,24.29,24.29,24.29,24.29,30
20190912,24.45,24.45,24.45,24.45,537
20190913,24.48,24.48,24.48,24.48,30
20190916,24.37,24.37,24.37,24.37,30
20190917,24.42,24.42,24.42,24.42,30
20190918,24.34,24.34,24.34,24.34,30
20190919,24.24,24.24,24.24,24.24,30
20190920,24.23,24.23,24.23,24.23,30
20190923,24.17,24.17,24.17,24.17,30
20190924,23.99,23.99,23.99,23.99,30
20190925,24.06,24.06,24.06,24.06,30
20190926,24.06,24.06,24.06,24.06,30
20190927,23.83,23.83,23.83,23.83,30
20190930,23.97,23.97,23.97,23.97,30
20191001,23.88,23.88,23.86,23.86,535
20191002,23.67,23.67,23.67,23.67,30
20191003,23.89,23.89,23.89,23.89,131
20191004,24.02,24.02,24.02,24.02,131
20191007,23.85,23.85,23.85,23.85,30
20191008,23.74,23.74,23.74,23.74,30
20191009,23.86,23.86,23.86,23.86,30
20191010,24,24,24,24,30
20191011,24.34,24.34,24.34,24.34,30
20191014,24.27,24.27,24.27,24.27,30
