Date,Open,High,Low,Close,Volume
20191010,25.19,25.5,25.17,25.1812,341210
20191011,25.5799,25.7573,25.5799,25.5895,737543
20191014,25.6897,25.74,25.64,25.69,774024
20191015,25.94,26.03,25.81,25.9653,35374
20191016,25.9026,25.92,25.751,25.8528,46105
20191017,26.01,26.01,25.84,25.9184,23309
20191018,25.89,25.89,25.5506,25.722,22468
20191021,25.79,25.91,25.73,25.89,37197
20191022,25.94,25.94,25.719,25.719,4957
20191023,25.66,25.66,25.646,25.65,5501
20191024,25.91,25.98,25.86,25.95,16972
20191025,26.09,26.26,26.09,26.26,13814
20191028,26.459,26.56,26.459,26.53,15258
20191029,26.52,26.53,26.35,26.37,9807
20191030,26.26,26.33,26.21,26.25,10438
20191031,26.39,26.45,26.32,26.38,23780
20191101,26.65,26.65,26.52,26.5712,37101
20191104,26.8699,26.89,26.79,26.874,7710
20191105,26.82,26.94,26.82,26.94,3247
20191106,26.74,26.77,26.7,26.751,6233
20191107,26.9941,27.044,26.9941,27.02,4538
20191108,27,27,26.87,26.91,3591
20191111,25.66,27.05,24.73,27.008,12019
20191112,27.09,27.17,27.0248,27.04,15727
20191113,27.02,27.18,26.98,27.14,15081
20191114,26.89,27.099,26.89,27.0403,11395
20191115,27.33,27.33,27.2404,27.2594,3006
20191118,27.29,27.41,27.22,27.41,24515
20191119,27.5,27.5,27.395,27.43,9281
20191120,27.39,27.399,27.15,27.18,21419
20191121,27.12,27.22,27.12,27.19,4341
20191122,27.14,27.26,27.11,27.1488,8824
20191125,28.5,28.5,27.45,27.555,29444
20191126,27.64,27.66,27.56,27.65,13061
20191127,27.71,27.83,27.71,27.7804,25162
20191129,27.73,27.74,27.72,27.7255,985
20191202,27.62,27.62,27.21,27.37,26410
20191203,26.93,27.1015,26.85,27.1015,19094
20191204,27.09,27.2988,25.4,27.2672,43337
20191205,27.19,27.32,27.19,27.302,11188
20191206,27.66,27.66,27.61,27.66,5079
20191209,27.66,27.66,27.53,27.5932,13654
20191210,27.53,27.57,27.44,27.44,19790
20191211,27.61,27.68,27.53,27.6683,9463
20191212,27.66,27.9,27.66,27.8658,17389
20191213,28.03,28.08,27.93,28.07,11404
20191216,28.3099,28.35,28.2828,28.285,5895
20191217,28.27,28.33,28.27,28.32,3703
20191218,28.43,28.43,28.38,28.38,24642
20191219,29.55,29.55,28.44,28.5,2328
20191220,28.74,28.77,28.6972,28.76,10771
20191223,28.84,28.84,28.84,28.84,1657
20191224,28.83,28.84,28.75,28.7962,11320
20191226,28.9839,29.06,28.95,29.05,7708
20191227,29.06,29.13,29.03,29.13,1403
20191230,28.9199,28.98,28.9,28.91,8207
20191231,28.73,28.94,28.73,28.93,36741
20200102,29.2175,29.45,29.2175,29.45,33651
20200103,29.225,29.36,29.18,29.32,3085
20200106,29.18,29.31,29.12,29.2704,12961
20200107,29.46,29.53,29.37,29.4952,12699
20200108,29.5,30.18,29.37,29.74,29181
20200109,29.89,30.0786,29.83,29.93,8612
20200110,30.14,30.22,29.82,29.82,86571
20200113,30.1,30.3399,30.0201,30.23,17946
20200114,30.19,30.34,30.14,30.22,6913
20200115,30.2742,30.35,30.24,30.24,14717
20200116,30.4075,30.53,30.27,30.3,20796
20200117,30.6328,30.75,30.5802,30.73,18887
20200121,30.7661,30.8786,30.6,30.6872,21085
20200122,30.8921,30.97,30.84,30.84,15887
