Date,Open,High,Low,Close,Volume
20100122,13.989,14.009,13.685,13.685,4294
20100125,13.823,13.897,13.823,13.823,4915
20100126,13.529,13.529,13.308,13.372,12655
20100127,13.161,13.189,13.032,13.032,4703
20100128,13.235,13.372,13.051,13.17,9514
20100129,13.308,13.565,13.125,13.125,6595
20100201,13.217,13.428,13.217,13.399,3012
20100202,13.4,13.667,13.4,13.667,11199
20100203,13.768,13.768,13.768,13.768,326
20100204,13.448,13.448,13.177,13.177,1919
20100205,12.92,12.92,12.801,12.813,2189
20100208,13.097,13.106,13.069,13.069,2077
20100209,13.197,13.199,13.022,13.199,1876
20100210,13.125,13.289,13.125,13.289,218
20100211,13.3,13.5,13.3,13.472,1685
20100212,13.3,13.3,13.298,13.298,326
20100216,13.529,13.584,13.529,13.584,543
20100217,13.722,13.786,13.722,13.759,1413
20100218,13.777,13.777,13.777,13.777,217
20100219,13.676,13.722,13.575,13.658,1496
20100222,13.797,13.862,13.797,13.821,3044
20100223,13.759,13.759,13.566,13.602,1087
20100224,13.706,13.872,13.706,13.848,2174
20100225,13.528,13.723,13.519,13.723,1305
20100226,13.823,13.989,13.814,13.989,1649
20100301,14.099,14.099,14.099,14.099,404
20100302,14.117,14.117,14.016,14.016,3887
20100303,14.006,14.017,13.879,13.879,2099
20100304,13.869,13.869,13.869,13.869,435
20100305,14.062,14.283,14.062,14.283,11065
20100308,14.43,14.495,14.41,14.495,761
20100309,14.439,14.605,14.439,14.605,707
20100310,14.596,14.651,14.568,14.587,8638
20100311,14.632,14.632,14.632,14.632,109
20100312,14.632,14.632,14.568,14.568,1359
20100315,14.474,14.557,14.433,14.469,4903
20100316,14.541,14.541,14.366,14.421,4774
20100317,14.539,14.539,14.497,14.533,2175
20100318,14.531,14.531,14.531,14.531,109
20100319,14.483,14.483,14.322,14.329,924
20100322,14.274,14.357,14.257,14.357,1506
20100323,14.292,14.292,14.255,14.255,3210
20100324,14.17,14.239,14.142,14.221,3536
20100325,14.393,14.421,14.393,14.403,6251
20100326,14.458,14.458,14.246,14.347,1686
20100329,14.522,14.522,14.485,14.485,870
20100330,14.577,14.669,14.577,14.669,7015
20100331,14.485,14.55,14.476,14.485,3316
20100401,14.659,14.76,14.659,14.679,7139
20100405,14.761,14.89,14.761,14.789,1496
20100406,14.789,14.89,14.78,14.835,4311
20100407,14.798,14.798,14.715,14.715,788
20100408,14.77,14.899,14.77,14.872,2175
20100409,14.964,15.092,14.964,15.092,11946
20100412,15.056,15.056,14.944,14.963,5667
20100413,14.966,14.966,14.762,14.842,4406
20100414,14.991,15.018,14.934,14.982,2446
20100415,14.936,14.936,14.862,14.89,1537
20100416,14.762,14.762,14.421,14.513,1966
20100419,14.384,14.384,14.2,14.311,5518
20100420,14.476,14.532,14.476,14.532,1452
20100421,14.45,14.45,14.438,14.438,1740
20100422,14.384,14.488,14.347,14.485,11914
20100423,14.679,14.734,14.568,14.734,8046
20100426,14.787,14.861,14.787,14.809,6795
20100427,14.651,14.66,14.347,14.347,4592
20100428,14.439,14.458,14.182,14.237,7775
