Date,Open,High,Low,Close,Volume
20201013,120.34,121.22,119.82,120.31,12197
20201014,120.59,120.97,118.64,119.23,27571
20201015,117.31,118.55,117.07,118.38,21661
20201016,119.16,119.67,117.77,117.77,41589
20201019,119.09,119.09,115.52,115.74,38225
20201020,116.19,117.36,115.58,116.19,42313
20201021,116.23,117.28,115.95,116.32,21544
20201022,116.39,116.63,114.75,116,20023
20201023,116.27,116.28,115.1,116.28,36552
20201026,115.3,116.26,113.15,114.47,62082
20201027,114.91,115.74,114.43,115.38,41410
20201028,113.58,113.58,110.82,110.94,119347
20201029,111.47,113.97,111.31,112.81,68323
20201030,112.01,112.32,109.02,110.09,107759
20201102,110.96,111.55,109.03,110.2,64704
20201103,111.02,112.93,110.63,112.74,56258
20201104,115.74,117.82,115.26,117.1,99633
20201105,119.77,120.55,119.28,120.04,135903
20201106,119.89,120.48,118.34,120.26,39341
20201109,121.46,121.96,117.97,118.01,138987
20201110,116.42,116.96,114.64,115.6,71685
20201111,116.75,118.47,116.75,118.38,58642
20201112,118.69,119.2,117.28,117.69,38475
20201113,118.46,118.88,117.58,118.82,34303
20201116,118.73,119.75,118.3,119.33,39707
20201117,119.82,119.89,119.12,119.12,22027
20201118,119.12,119.73,118.68,118.81,30208
20201119,118.24,119.39,118.08,119.37,48337
20201120,119.33,119.56,118.66,118.66,32353
20201123,119.04,119.43,117.63,118.57,41743
20201124,119.06,120.37,118.34,120.3,83855
20201125,120.65,121.2,120.45,120.97,36452
20201127,121.8,122.54,121.67,122,29989
20201130,122.22,122.4,120.4,122.26,61753
20201201,123.31,124.55,122.92,124.01,80050
20201202,123.4,124.15,122.68,123.99,128111
20201203,124.18,124.84,123.97,124.04,80933
20201204,124.28,124.76,124.01,124.68,63249
20201207,124.85,125.55,124.71,125.06,64895
20201208,125.25,125.94,124.54,125.83,44702
20201209,125.81,125.84,122.61,123.08,129904
20201210,122.2,123.91,121.69,123.5,114578
20201211,122.79,123.26,121.86,123.21,43472
20201214,123.78,124.93,123.78,124.12,174035
20201215,125.14,125.46,124.25,125.46,52115
20201216,125.66,126.46,125.21,126.13,74712
20201217,126.84,127,126.32,127,46623
20201218,127.32,127.32,125.59,126.65,69925
20201221,125.55,126.49,124.23,126.32,67270
20201222,126.67,127.08,125.72,126.66,49972
20201223,126.92,126.92,126.04,126.04,58671
20201224,126.39,126.79,126.2,126.61,24678
20201228,127.85,128.08,126.99,127.9,45746
20201229,128.5,128.7,127.67,127.95,52447
20201230,128.77,128.77,127.76,127.98,74969
20201231,128.2,128.42,127.61,128.33,60995
20210104,129.01,129.01,124.88,126.5,126726
20210105,126.19,127.59,126.19,127.52,51159
20210106,125.8,127.5,125.19,125.76,450075
20210107,127,129.15,127,128.96,83629
20210108,129.93,130.61,128.91,130.52,61460
20210111,129.4,129.72,128.38,128.52,47975
20210112,128.7,129.04,127.37,128.56,104388
20210113,128.42,129.56,128.34,129.25,42312
20210114,129.68,129.83,128.42,128.56,72311
20210115,128.25,128.91,127.13,127.52,84839
20210119,128.62,129.59,128.21,129.44,65412
20210120,131.09,132.81,130.86,132.47,99365
20210121,133.09,133.76,132.45,133.57,136150
20210122,133.01,133.52,132.89,133.23,101219
20210125,134.7,135.07,131.65,134.26,125473
20210126,134.65,134.75,133.86,134.43,55904
20210127,133.63,133.63,129.91,130.65,107587
20210128,131.31,133.45,131.02,131.54,64975
20210129,130.91,131.05,128.01,128.72,80269
20210201,130.32,132.28,129.38,131.94,109476
20210202,133.21,134.43,133.14,134.11,88983
20210203,135.09,135.09,133.61,133.61,69144
20210204,134.26,135.06,133.56,135.04,54819
20210205,135.64,135.96,134.87,135.57,155933
20210208,136.38,136.5,135.58,136.42,79815
20210209,136.22,136.94,136.22,136.39,78382
20210210,137.03,137.1,134.89,136.05,73044
20210211,136.95,137.02,135.88,136.82,116364
20210212,136.42,137.66,136.14,137.63,68968
20210216,138.11,138.3,136.82,137.32,74970
20210217,136.15,136.64,135.09,136.61,75168
20210218,135.22,136.28,134.39,135.95,74151
20210219,136.72,136.72,135.09,135.33,71373
20210222,133.68,134,131.88,131.95,115036
20210223,129.77,132.16,127.31,131.68,147865
20210224,130.32,132.7,129.27,132.64,122958
20210225,131.58,132.49,127.39,127.95,198736
20210226,129.23,130.39,127.31,129.13,150087
20210301,130.64,132.5,130.18,132.36,70560
20210302,132.77,132.77,130.21,130.21,72872
20210303,129.73,130.02,126.47,126.47,111229
20210304,126.45,127.62,122.8,124.37,155025
20210305,125.84,126.62,121.78,126.41,188154
20210308,126.19,126.8,122.68,122.69,129255
20210309,125.78,128.31,125.51,127.66,144192
20210310,129.42,129.42,126.92,127.12,151254
20210311,129.16,130.79,128.91,130.19,121276
20210312,128.36,129.08,127.45,129.03,98672
20210315,129.26,130.51,128.71,130.39,74706
20210316,131.33,132.59,130.58,131.13,123068
20210317,129.93,132.31,129.19,131.66,51912
20210318,129.77,130.03,127.45,127.67,130504
20210319,127.69,128.75,126.68,128.2,102200
20210322,129.28,131.34,129.07,130.54,52992
20210323,131.02,131.46,129.74,129.87,71112
20210324,130.69,130.69,127.78,127.78,109139
20210325,126.99,128.01,125.94,127.49,139844
20210326,127.5,129.51,126.93,129.51,60969
20210329,129.08,129.79,128.03,129.23,134551
20210330,128.57,128.9,127.62,128.78,90380
20210331,129.57,131.28,129.54,130.79,143693
20210401,132.21,132.98,132.12,132.95,79172
20210405,134.1,135.82,133.96,135.58,139956
20210406,135.57,136.27,135.2,135.45,54109
20210407,135.43,136.17,135.02,135.82,120768
20210408,137.09,137.27,136.73,137.22,80180
20210409,136.73,138.14,136.4,138.04,67502
20210412,137.69,138.06,137.16,137.93,56491
20210413,138.56,139.63,138.54,139.51,52933
20210414,139.7,139.7,137.49,137.8,139842
20210415,139.02,140.03,139.02,139.88,127886
20210416,140.14,140.17,139.36,140.08,46961
20210419,139.47,139.86,138.04,138.74,66018
20210420,138.64,138.98,136.98,137.79,74729
20210421,137.26,139.02,137.04,138.94,75511
20210422,138.9,139.18,136.85,137.32,74110
20210423,137.72,139.55,137.67,139.04,59122
20210426,139.23,140.01,138.85,139.94,54806
20210427,140.12,140.12,138.95,139.31,64453
20210428,139.21,139.56,138.64,138.79,77507
20210429,140.32,140.38,138.03,139.33,84749
20210430,138.33,139.25,138.11,138.37,131775
20210503,138.96,139.25,137.51,137.68,131076
20210504,136.62,136.62,133.65,135.15,136550
20210505,136.19,136.42,134.41,134.78,82279
20210506,134.68,135.83,133.79,135.8,77133
20210507,137.09,137.83,136.52,136.97,159683
20210510,136.37,136.37,133.31,133.35,131937
20210511,131,133.58,130.67,133.31,112067
20210512,131.2,132.04,129.48,129.83,166465
20210513,131,131.92,129.84,130.79,79202
20210514,132.32,134.05,132,133.75,86234
20210517,133.03,133.2,131.77,132.89,54150
20210518,133.42,133.77,131.92,131.92,74052
20210519,129.79,132.21,129.73,132.21,76651
20210520,132.77,135.02,132.77,134.67,57348
20210521,135.48,135.48,133.81,133.9,158696
20210524,134.92,136.68,134.83,136.18,95955
20210525,136.86,137.14,135.94,136.36,147895
20210526,136.68,137.04,136.39,136.86,95618
20210527,136.76,136.99,136.34,136.44,64827
20210528,137.01,137.45,136.67,136.72,174869
20210601,137.39,137.5,135.87,136.31,95046
20210602,136.49,136.95,135.88,136.58,77410
20210603,135.44,135.84,134.55,135.14,63901
20210604,135.97,137.65,135.97,137.49,77606
20210607,137.31,137.9,137.06,137.87,83270
20210608,138.58,138.95,137.26,137.89,52839
20210609,138.54,138.83,137.93,138.01,121257
20210610,138.24,139.42,138.01,139.41,71927
20210611,139.54,139.76,139.24,139.76,53238
20210614,139.99,141.03,139.6,141.03,41925
20210615,141.14,141.14,139.98,140.08,46126
20210616,140.49,140.83,138.24,139.71,108905
20210617,139.37,141.86,139.37,141.47,109496
20210618,140.96,141.14,140.11,140.32,67281
