Date,Open,High,Low,Close,Volume
20170126,25.01,25.05,25.01,25.05,2768006
20170127,25.05,25.05,25.05,25.05,2
20170130,24.66,24.66,24.66,24.66,7286
20170131,24.71,24.7199,24.6801,24.6801,7465
20170201,24.7822,24.79,24.75,24.79,2407
20170202,24.75,24.75,24.75,24.75,103
20170203,24.8997,24.93,24.89,24.93,4834
20170206,24.8604,24.87,24.7512,24.7512,2212
20170207,24.7499,24.7499,24.6806,24.6806,7709
20170208,24.79,24.79,24.7805,24.7805,200
20170209,24.9188,24.93,24.8852,24.8852,1404
20170210,25.06,25.06,25.06,25.06,100
20170213,25.02,25.02,24.97,25.0002,26298
20170214,25.2,25.2,25.09,25.11,10846
20170215,25.11,25.15,25.11,25.15,425
20170216,25.07,25.07,25.07,25.07,173
20170217,25.06,25.06,25.06,25.06,114
20170221,25.14,25.15,25.14,25.15,8110
20170222,25.04,25.07,25.04,25.07,8941
20170223,25.0585,25.0585,25.0585,25.0585,153
20170224,25.0127,25.0127,25.0127,25.0127,953
20170227,25.0127,25.0127,25.0127,25.0127,136
20170228,25.0376,25.0494,25.01,25.0368,12565
20170301,25.32,25.32,25.32,25.32,4801
20170302,25.16,25.16,25.16,25.16,280
20170303,25.1213,25.1213,25.0176,25.0176,300
20170306,25.0661,25.0661,25.064,25.064,572
20170307,25.0652,25.0652,25.04,25.04,2874
20170308,24.8599,24.8599,24.8599,24.8599,423
20170310,24.6448,24.6448,24.6448,24.6448,100
20170314,24.53,24.53,24.5201,24.5201,345
20170315,24.73,24.7798,24.73,24.7798,300
20170316,24.81,24.81,24.7919,24.7919,1014
20170321,24.5793,24.5793,24.57,24.57,1965
20170323,24.47,24.47,24.47,24.47,5150
20170327,24.4402,24.4402,24.4402,24.4402,254
20170328,24.55,24.61,24.55,24.61,10273
20170329,24.71,24.71,24.71,24.71,224
20170330,24.732,24.732,24.732,24.732,145
20170331,24.78,24.78,24.78,24.78,14326
20170403,24.6328,24.66,24.6328,24.66,2127
20170404,24.68,24.68,24.68,24.68,100
20170405,24.81,24.81,24.7885,24.7885,271
20170406,24.58,24.65,24.58,24.65,632
20170407,24.66,24.68,24.66,24.68,19931
20170410,24.72,24.72,24.72,24.72,100
20170412,24.7,24.7,24.7,24.7,1180
20170413,24.59,24.67,24.59,24.67,200
20170417,24.57,24.62,24.57,24.6099,3500
20170418,24.59,24.63,24.55,24.6297,4417
20170419,24.64,24.64,24.54,24.54,10583
20170420,24.66,24.66,24.65,24.65,200
20170421,24.65,24.6696,24.63,24.63,729
20170424,24.8028,24.8028,24.78,24.78,601
20170425,24.84,24.8896,24.84,24.8896,470
20170427,24.87,24.87,24.87,24.87,100
20170428,24.8028,24.8028,24.8028,24.8028,1197
20170501,24.78,24.78,24.78,24.78,100
20170502,24.78,24.8094,24.78,24.8094,699
20170503,24.69,24.77,24.69,24.7564,5345
20170505,24.76,24.76,24.76,24.76,100
20170508,24.72,24.72,24.71,24.71,200
20170509,24.67,24.6827,24.66,24.6827,1506
20170511,24.58,24.63,24.58,24.63,200
20170512,24.709,24.709,24.709,24.709,100
20170515,24.77,24.77,24.77,24.77,100
20170516,24.71,24.7899,24.71,24.7892,3667
20170517,24.66,24.66,24.66,24.66,100
20170518,24.6812,24.6812,24.6812,24.6812,942
20170519,24.8302,24.8699,24.8302,24.8699,1651
20170522,24.8799,24.8799,24.8799,24.8799,199
20170523,24.92,24.92,24.89,24.89,8012
20170524,24.89,24.9116,24.89,24.9116,913
20170525,24.9,25.04,24.9,25.04,200
20170526,24.89,24.89,24.8712,24.8712,764
20170530,24.87,24.87,24.87,24.87,100
20170531,24.8,24.98,24.8,24.98,200
20170602,25.22,25.22,25.22,25.22,200
20170605,25.07,25.07,25.07,25.07,2262
20170606,25.08,25.11,25.08,25.08,1672
20170607,24.94,24.98,24.94,24.98,200
20170608,24.95,25.0101,24.95,25.0101,1614
20170609,25.135,25.135,25.135,25.135,488
20170612,25.2,25.2,25.2,25.2,1543
