Date,Open,High,Low,Close,Volume
20170922,23.68,23.68,23.68,23.68,300
20170925,23.66,23.66,23.66,23.66,10000
20170926,23.55,23.55,23.55,23.55,800
20170927,23.4,23.4,23.4,23.4,200
20170928,23.49,23.49,23.49,23.49,300
20171003,23.61,23.61,23.61,23.61,3000
20171004,23.7,23.7,23.69,23.69,300
20171005,23.66,23.66,23.66,23.66,100
20171006,23.49,23.56,23.49,23.56,600
20171009,23.67,23.67,23.43,23.43,800
20171010,23.77,23.77,23.76,23.76,4200
20171012,23.9,23.9,23.9,23.9,300
20171013,23.99,23.99,23.99,23.99,600
20171016,23.96,23.96,23.96,23.96,2700
20171017,23.84,23.94,23.84,23.94,400
20171018,24.02,24.02,24.02,24.02,500
20171019,23.86,23.86,23.86,23.86,3100
20171020,23.95,23.95,23.95,23.95,200
20171023,23.96,23.96,23.96,23.96,100
20171024,23.8,23.8,23.8,23.8,100
20171026,23.79,23.82,23.79,23.82,500
20171027,23.77,23.77,23.77,23.77,200
20171030,23.94,23.94,23.88,23.94,200
20171031,23.93,24.04,23.93,24.04,600
20171101,24.16,24.16,24.07,24.07,2400
20171102,23.9,23.9,23.9,23.9,3000
20171103,24.04,24.05,24.04,24.05,2000
20171106,24,24.13,24,24.13,400
20171107,24.09,24.09,24.09,24.09,100
20171108,24.13,24.13,24.13,24.13,200
20171109,23.9,24.01,23.9,24.01,1400
20171110,23.94,23.97,23.94,23.97,400
20171113,23.69,23.83,23.69,23.83,400
20171114,23.72,23.72,23.72,23.72,200
20171115,23.62,23.62,23.62,23.62,100
20171116,23.82,23.93,23.82,23.93,400
20171117,23.84,23.84,23.84,23.84,100
20171120,23.86,23.89,23.86,23.89,400
20171121,23.97,24.03,23.97,24.03,200
20171122,24.06,24.06,24.02,24.02,2700
20171124,24.23,24.23,24.23,24.23,300
20171127,24.14,24.14,24.1,24.1,3000
20171128,24.21,24.21,24.15,24.15,600
20171129,24.26,24.26,24.26,24.26,100
20171130,24.38,24.38,24.38,24.38,200
20171201,24.1,24.1,24.1,24.1,400
20171204,24.1,24.19,24.1,24.19,200
20171205,24.17,24.17,24.17,24.17,200
20171206,24,24,24,24,500
20171207,24.09,24.09,24.09,24.09,1200
20171208,24.19,24.23,24.19,24.23,400
20171211,24.19,24.19,24.19,24.19,400
20171212,24.15,24.15,24.15,24.15,100
20171213,24.26,24.26,24.2,24.2,200
20171214,24.21,24.21,24.13,24.13,20200
20171215,24.06,24.08,24.06,24.08,200
20171218,24.37,24.37,24.37,24.37,1100
20171229,24.54,24.54,24.54,24.54,21000
20180105,24.95,24.95,24.95,24.95,8500
20180108,25.29,25.29,25.29,25.29,200
20180109,24.95,24.95,24.95,24.95,4900
20180116,25.43,25.43,25.43,25.43,600
20180124,25.96,25.96,25.96,25.96,6200
20180125,25.89,25.89,25.89,25.89,6300
20180206,24.23,24.46,24.15,24.46,1500
20180207,24.33,24.33,24.33,24.33,200
20180213,24.21,24.21,24.21,24.21,13700
20180221,24.86,24.86,24.86,24.86,2400
20180308,24.87,24.88,24.86,24.86,1100
20180309,24.98,25.02,24.98,25.02,1000
20180314,24.98,24.98,24.95,24.95,200
20180315,24.95,24.96,24.95,24.96,500
20180320,24.75,24.75,24.75,24.75,200
20180326,24.62,24.62,24.62,24.62,200
20180328,24.62,24.62,24.62,24.62,200
20180329,24.84,24.84,24.84,24.84,200
20180402,24.49,24.49,24.49,24.49,4000
20180403,24.62,24.62,24.62,24.62,15000
20180404,24.81,24.81,24.81,24.81,200
20180405,24.86,24.86,24.86,24.86,21800
20180416,25.07,25.07,25.04,25.04,8400
20180417,25.14,25.14,25.08,25.08,26000
