Date,Open,High,Low,Close,Volume
20140710,18.402,18.402,18.402,18.402,410
20140711,18.487,18.509,18.45,18.509,4762
20140714,18.678,18.678,18.531,18.582,6124
20140715,18.619,18.619,18.509,18.509,1088
20140717,18.627,18.627,18.626,18.627,2313
20140718,18.677,18.774,18.669,18.774,5205
20140722,18.847,18.847,18.772,18.772,544
20140723,18.832,18.832,18.832,18.832,816
20140724,18.825,18.825,18.766,18.774,2721
20140728,18.737,18.754,18.737,18.754,1770
20140730,18.641,18.641,18.627,18.627,1906
20140731,18.574,18.574,18.406,18.406,1368
20140801,18.45,18.465,18.45,18.465,10343
20140804,18.458,18.458,18.318,18.458,1524
20140805,18.369,18.406,18.369,18.406,47225
20140806,18.244,18.244,18.244,18.244,724
20140807,18.293,18.293,18.178,18.178,1406
20140812,18.502,18.502,18.421,18.421,2177
20140813,18.516,18.516,18.516,18.516,476
20140814,18.774,18.774,18.656,18.685,780
20140815,18.832,18.832,18.618,18.641,4129
20140818,18.751,18.862,18.751,18.862,5401
20140819,18.846,18.906,18.846,18.906,1017
20140820,18.774,18.84,18.774,18.84,1053
20140821,18.925,18.928,18.899,18.913,1976
20140822,18.965,18.965,18.788,18.788,8587
20140825,18.788,18.81,18.759,18.759,4017
20140826,18.8,18.832,18.768,18.768,40991
20140827,18.818,18.818,18.781,18.804,5868
20140828,18.774,18.825,18.774,18.825,2437
20140829,18.854,18.854,18.854,18.854,1693
20140902,18.943,18.943,18.821,18.832,2949
20140903,18.903,18.928,18.876,18.92,11920
20140904,18.898,18.994,18.809,18.847,23070
20140905,18.876,18.994,18.847,18.994,14444
20140908,18.972,18.972,18.793,18.84,22967
20140909,18.751,18.765,18.729,18.744,11143
20140910,18.707,18.707,18.56,18.56,8400
20140911,18.49,18.524,18.443,18.45,17143
20140912,18.473,18.475,18.039,18.045,38322
20140915,18.082,18.083,17.951,17.976,16872
20140916,17.965,18.039,17.936,18.017,40610
20140917,18.142,18.142,18.002,18.09,24127
20140918,18.009,18.053,17.951,17.951,21712
