Date,Open,High,Low,Close,Volume
20070504,40.7,40.7,40.57,40.63,8645
20070507,40.67,40.81,40.62,40.62,13833
20070508,40.37,40.47,40.16,40.47,9387
20070509,40.67,40.76,40.59,40.76,13709
20070510,40.74,40.74,40.21,40.21,22848
20070511,40.45,40.54,40.45,40.54,15442
20070514,40.63,40.74,40.16,40.18,28293
20070515,39.99,40.16,39.46,39.48,28657
20070516,39.48,39.58,39.48,39.48,6422
20070517,39.29,39.44,39.26,39.26,13094
20070518,39.26,39.26,38.99,39.15,6422
20070521,39.18,39.69,39.18,39.67,21248
20070522,39.91,40.37,39.85,40.33,7416
20070523,40.84,40.88,40.46,40.46,10748
20070524,40.63,40.63,39.57,39.78,57945
20070525,40.06,40.16,39.99,39.99,14456
20070529,40.42,40.42,40.41,40.41,865
20070531,40.79,40.88,40.79,40.88,4571
20070601,41.11,41.11,40.97,40.97,989
20070604,41.13,41.33,41.13,41.24,3089
20070606,40.24,40.24,40.24,40.24,1235
20070607,39.85,39.85,39.53,39.61,14950
20070612,38.99,39.06,38.8,38.83,3336
20070613,38.77,39.06,38.77,39.06,1730
20070614,39.26,39.26,39.26,39.26,371
20070615,39.99,39.99,39.99,39.99,247
20070618,39.86,39.86,39.86,39.86,865
20070620,39.92,39.92,39.92,39.92,247
20070621,39.26,39.26,39,39.18,4449
20070622,38.93,38.93,38.84,38.84,1112
20070625,38.57,38.58,38.2,38.25,3460
20070626,38.33,38.33,37.74,37.78,9516
20070627,37.32,37.54,37.23,37.53,3955
20070628,38.01,38.14,37.84,38.12,4325
20070629,37.62,37.62,37.34,37.4,970
20070702,37.55,37.55,37.42,37.42,1455
20070703,37.82,37.91,37.8,37.85,9827
20070706,37.7,37.77,37.36,37.77,1213
20070710,37.2,37.26,36.72,36.72,44769
20070711,36.76,36.76,35.87,35.87,31911
20070712,35.99,36.06,35.81,35.88,33124
20070713,36.11,36.11,35.92,36.01,1334
20070716,36.18,36.18,35.66,35.66,7039
20070717,35.98,35.98,35.62,35.69,37976
20070718,35.48,35.48,34.45,34.61,21841
