Date,Open,High,Low,Close,Volume
20160928,23.31,23.43,23.24,23.43,4565
20160929,23.46,23.46,23.33,23.33,1525
20160930,23.33,23.4,23.33,23.4,1056
20161003,23.33,23.33,23.32,23.33,1254
20161004,23.29,23.29,23.15,23.15,4920
20161005,23.29,23.36,23.29,23.32,7792
20161006,23.19,23.28,23.19,23.28,9483
20161010,23.33,23.33,23.29,23.29,9674
20161011,23.02,23.19,23.02,23.02,8856
20161012,23.03,23.09,23.02,23.03,11122
20161013,22.86,22.99,22.86,22.99,4852
20161014,23.08,23.08,22.94,22.94,3406
20161017,22.92,22.92,22.81,22.81,4006
20161018,22.97,23.03,22.97,23.03,3904
20161019,23.14,23.14,22.99,23.03,5737
20161020,23.07,23.07,22.99,23.05,6713
20161021,22.98,23.05,22.97,23.03,6079
20161024,23.16,23.16,23.16,23.16,1970
20161025,23.11,23.11,23.06,23.06,7404
20161026,22.94,23.07,22.94,22.97,4739
20161027,22.94,22.95,22.9,22.95,2121
20161028,22.95,23,22.95,22.97,6967
20161031,22.83,22.83,22.78,22.78,3201
20161101,22.78,22.78,22.58,22.58,2801
20161102,22.5,22.52,22.43,22.43,5766
20161103,22.42,22.44,22.27,22.27,8778
20161104,22.27,22.36,22.27,22.34,23161
20161107,22.72,22.72,22.7,22.7,5127
20161108,22.82,22.89,22.82,22.89,6752
20161109,22.84,23.25,22.84,23.22,2987
20161110,23.51,23.51,23.29,23.37,17878
20161111,23.33,23.53,23.33,23.51,10668
20161114,23.68,23.69,23.6,23.65,10801
20161115,23.69,23.83,23.69,23.82,13578
20161116,23.72,23.74,23.7,23.71,3244
20161117,23.76,23.81,23.73,23.76,19462
20161118,23.78,23.78,23.72,23.74,11993
20161121,23.84,23.9,23.82,23.9,21549
20161122,24.01,24.04,23.97,23.98,13212
20161123,23.97,24.09,23.97,24.09,2244
20161125,24.15,24.17,24.12,24.17,8187
20161128,24.15,24.15,24.05,24.08,8917
20161129,24.01,24.08,24.01,24.06,1758
20161130,24.11,24.13,24.02,24.05,4412
20161201,24.03,24.04,23.97,24.01,15219
20161202,24,24,23.89,23.92,7548
20161205,24.11,24.11,24.11,24.11,244
