Date,Open,High,Low,Close,Volume
20061107,39.03,39.33,39.03,39.33,4314
20061109,39.52,39.52,39.4,39.4,381
20061110,39.3,39.4,39.3,39.4,381
20061113,39.64,39.67,39.57,39.57,1143
20061115,40.13,40.13,40.13,40.13,127
20061116,40.28,40.28,40.28,40.28,127
20061117,40.24,40.24,40.24,40.24,127
20061121,40.23,40.3,40.23,40.3,1396
20061122,40.44,40.44,40.44,40.44,508
20061124,40.3,40.31,40.3,40.31,2538
20061127,40.29,40.29,39.78,39.79,761
20061128,39.67,39.67,39.53,39.53,762
20061205,40.63,40.63,40.63,40.63,508
20061207,40.65,40.68,40.55,40.55,1143
20061208,40.51,40.69,40.51,40.69,762
20061211,40.49,40.49,40.44,40.44,10279
20061212,40.39,40.39,40.15,40.27,3807
20061215,40.41,40.41,40.41,40.41,76132
20061220,40.4,40.4,40.34,40.34,381
20061227,40.27,40.32,40.27,40.32,1896
20061228,40.36,40.39,40.32,40.32,1265
20061229,40.24,40.24,40.05,40.05,758
20070103,40.36,40.36,40.36,40.36,126
20070105,39.72,39.72,39.7,39.7,1011
20070109,40.04,40.04,40.04,40.04,632
20070111,40.5,40.5,40.44,40.45,5819
20070112,40.56,40.65,40.56,40.64,885
20070116,40.88,40.88,40.88,40.88,8855
20070117,40.95,41.04,40.95,41.02,758
20070119,40.87,40.98,40.87,40.98,2276
20070124,41.08,41.08,41.05,41.06,13408
20070125,40.05,40.08,40.05,40.08,632
20070126,40.89,40.89,40.57,40.57,504
20070129,40.58,40.75,40.58,40.67,1138
20070130,40.82,40.82,40.82,40.82,632
20070131,40.99,41.47,40.99,41.47,252
20070201,41.91,41.96,41.91,41.96,1012
20070202,42.17,42.17,42.17,42.17,126
20070205,42.25,42.25,42.25,42.25,253
20070207,42.32,42.32,42.32,42.32,126
20070208,42.17,42.17,42.07,42.1,632
20070209,42.07,42.07,41.77,41.78,379
20070213,42.23,42.23,42.23,42.23,126
20070214,42.58,42.83,42.58,42.83,1517
20070215,42.92,42.92,42.92,42.92,253
20070216,42.83,42.86,42.83,42.86,759
20070220,42.85,43.12,42.83,43.12,1517
20070221,43.06,43.22,43,43.2,2402
20070222,43.01,43.04,42.93,43.04,56038
20070223,42.86,42.86,42.86,42.86,126
20070226,42.87,42.87,42.7,42.7,15180
20070227,41.06,41.06,41.06,41.06,1138
20070228,41.19,41.45,41.11,41.45,17963
20070307,41.17,41.17,41,41,2783
20070308,41.52,41.52,41.35,41.35,378
20070309,41.59,41.6,41.38,41.38,1011
20070312,41.5,41.5,41.5,41.5,126
20070313,41.42,41.42,40.73,40.73,1265
20070314,40.97,40.97,40.28,40.93,8980
20070319,41.64,41.64,41.64,41.64,126
20070320,41.71,41.79,41.71,41.79,252
20070321,41.79,42.29,41.79,42.29,1766
20070326,42.32,42.32,42.06,42.2,3407
20070330,41.46,41.46,41.46,41.46,126
20070402,41.64,41.64,41.64,41.64,379
20070409,42.06,42.15,42.05,42.05,5298
20070417,42.78,42.78,42.77,42.77,757
20070419,43,43.05,43,43.05,883
20070423,43.76,43.76,43.7,43.74,504
20070424,43.85,43.85,43.78,43.78,5046
20070425,43.7,43.7,43.7,43.7,126
20070427,43.96,44.2,43.85,44.2,17661
20070501,43.78,43.78,43.78,43.78,126
20070502,44.36,44.36,44.36,44.36,1262
20070503,44.59,44.59,44.53,44.54,630
20070504,44.69,44.8,44.63,44.63,378
20070507,44.84,44.84,44.79,44.79,252
20070508,44.78,44.79,44.78,44.79,378
20070509,44.93,45.03,44.92,45.03,3028
20070510,44.92,44.92,44.89,44.89,1010
20070511,44.82,44.82,44.82,44.82,757
20070514,44.85,44.85,44.85,44.85,126
20070515,45.15,45.23,45.13,45.23,378
20070516,44.88,44.95,44.88,44.95,1388
20070518,45.2,45.2,45.2,45.2,1009
20070521,45.34,45.34,45.34,45.34,505
20070522,45.2,45.2,45.2,45.2,126
20070525,45.22,45.22,45.22,45.22,126
20070529,45.33,45.39,45.24,45.24,2270
20070531,46.13,46.13,46.13,46.13,126
20070601,46.44,46.44,46.44,46.44,379
20070604,46.3,46.32,46.3,46.32,631
20070605,46.21,46.22,46.21,46.22,2649
20070606,45.81,45.81,45.81,45.81,1893
20070607,45.57,45.57,45.01,45.01,504
20070611,45.65,45.65,45.65,45.65,505
20070613,45.42,45.76,45.42,45.76,252
20070614,46.48,46.52,46.43,46.46,10347
20070618,46.76,46.76,46.59,46.59,755
20070619,46.71,46.71,46.71,46.71,126
20070621,46.41,46.64,46.41,46.64,6547
20070622,46.54,46.54,46.54,46.54,378
20070625,46.43,46.51,46.08,46.08,15234
20070626,46.08,46.08,45.89,45.89,378
20070627,45.47,46.09,45.47,46.09,1763
20070628,46.26,46.26,46.22,46.22,1385
20070629,46.42,46.42,46.13,46.15,630
20070702,46.59,46.78,46.59,46.78,252
20070703,47.06,47.06,46.94,46.94,504
