Date,Open,High,Low,Close,Volume
20080722,76,76.2,76,76.2,400
20080723,76.93,77.65,76.93,77.39,2720
20080724,77.5,78.45,77.5,78,900
20080725,78.53,78.53,78.47,78.47,200
20080728,79.2,79.2,79.2,79.2,1020
20080729,78.14,78.32,78.03,78.23,1720
20080730,78.82,78.84,77.99,77.99,500
20080731,79.5,79.64,79.49,79.49,2530
20080801,78.02,78.02,77.06,77.06,1110
20080804,78.69,79.56,78.68,79.56,1570
20080805,81.12,81.59,81.12,81.59,400
20080806,81.78,83.85,81.73,83.47,5110
20080807,82.83,83.36,81.11,81.11,3250
20080808,82.19,84.95,82.19,84.95,7400
20080811,84.76,84.98,84.76,84.78,500
20080812,85.23,85.7,84.69,85.1,7200
20080813,83.9,83.9,83.85,83.85,300
20080814,83.67,86,83.3,85.03,6090
20080815,85.31,85.46,85.31,85.46,7110
20080818,85.47,85.87,84.59,84.59,700
20080820,83.52,83.52,82.74,82.74,200
20080821,82.52,82.52,82.52,82.52,100
20080822,84.19,84.88,83.91,84.88,2540
20080825,83.08,83.08,81.54,82.11,2530
20080827,81.44,81.44,81.44,81.44,300
20080828,82.22,82.22,82.22,82.22,100
20080902,85.13,85.13,81.65,81.65,600
20080903,79.81,81.71,79.81,81.71,4720
20080904,79.53,79.53,77.66,77.66,2180
20080905,76.45,76.86,76.22,76.81,1000
20080908,78.68,78.68,78.68,78.68,710
20080909,78.74,78.74,77.53,77.53,300
20080912,78.86,79.11,78.86,79.11,200
20080915,77.35,78.09,77.2,77.84,3250
20080916,75.29,75.36,73.55,75.25,3120
20080917,72.91,74.5,72.28,72.28,1770
20080918,73.03,73.05,72.18,73.05,300
20080923,72.25,72.25,72.25,72.25,100
20080924,70.86,71.6,70.86,71.6,1310
20080925,73.97,73.97,73.38,73.43,2030
20080926,72.94,73.57,61.17,73.57,2030
20080929,70.57,70.57,64.1,64.2,900
20080930,68.89,69.76,68.89,69.76,550
20081001,69.77,69.77,64.81,64.81,3130
20081002,64.81,64.81,64.81,64.81,440
20081003,67.51,67.63,67.51,67.63,300
20081006,60.39,61.5,58.02,60.82,1970
20081007,61.87,61.96,58.1,58.1,1010
20081008,57.52,58.23,56.3,56.43,2020
20081009,54.22,54.22,45.64,45.64,4440
20081010,47.3,47.3,40.22,45.6,3040
20081013,49.39,58.08,49.39,58.08,2910
20081014,62.39,63.8,54.32,54.32,2040
20081015,51.56,53.16,50.62,51.36,800
20081016,53.18,53.18,53.18,53.18,100
20081017,52.95,52.95,51.86,51.86,400
20081020,54.5,54.5,54.5,54.5,950
20081021,55.26,56.2,54.5,54.5,1090
20081022,60.06,60.06,54.48,54.48,270
20081023,52.57,52.57,48.04,49.79,1110
20081024,46.91,46.91,46.91,46.91,100
20081027,46.42,48.24,46.42,48.24,200
20081028,47.51,47.51,47.51,47.51,100
20081030,49.5,49.5,49.5,49.5,1920
20081031,50.94,53.6,50.94,51.56,2300
20081103,53.46,53.46,52.2,52.2,2520
20081104,54.47,54.78,53.95,54.15,1340
20081105,53.17,53.29,51.57,51.71,2720
20081106,51.41,51.41,47.74,47.74,480
20081107,49.82,49.82,49.82,49.82,100
20081111,47.9,48.1,47.9,48.1,610
20081112,46.42,46.86,45.81,45.81,810
20081113,47.13,47.7,44.44,47.7,700
20081114,49.11,49.11,49.11,49.11,100
20081117,46.28,46.28,46.28,46.28,100
20081118,42.75,42.75,42.75,42.75,200
20081119,41.54,41.54,41.54,41.54,110
20081120,50.67,50.67,36.05,36.05,1220
20081121,37.53,40.1,34.49,37.75,1100
20081124,40.49,41.52,40.1,41.52,780
20081125,41.9,41.9,41.86,41.9,2020
20081126,42.11,42.11,40.49,40.53,920
20081201,39.86,40.9,39.86,40.9,200
20081202,40.01,40.62,40.01,40.62,2040
20081204,41.83,42.2,41.83,42.2,7360
20081208,46.15,46.15,40.4,40.44,1110
20081209,44.64,44.64,43.36,43.36,280
20081210,42.45,44.62,40.4,43.52,11540
20081211,46.36,46.36,44.65,45.13,680
20081215,49.06,49.06,44.57,44.57,1170
20081218,48.81,48.81,47.32,47.86,550
20081219,48.18,48.18,48.18,48.18,100
20081223,48.21,48.21,48.21,48.21,590
20081224,40.89,48.46,40.89,46.32,1600
20081226,48.69,48.69,46.25,46.25,3130
20081230,47.77,47.77,47.77,47.77,120
20090105,49.1,51.19,49.1,49.54,2450
20090106,49.3,49.71,49.3,49.71,200
20090107,49.61,49.82,49.58,49.68,700
20090109,48.88,48.88,48.25,48.43,1210
20090112,47.34,47.34,47.34,47.34,200
20090120,48.57,48.99,46.18,46.18,930
20090122,47.72,47.73,47.72,47.73,1010
20090123,46.24,46.24,46.24,46.24,200
20090126,48.35,48.35,47.25,47.85,540
20090127,50.08,50.08,50.08,50.08,300
20090202,49.17,49.17,49.17,49.17,300
20090204,51.51,51.51,51.51,51.51,100
20090205,50.53,50.53,50.53,50.53,100
20090210,47.51,47.51,47.23,47.23,500
20090211,49.67,49.67,49.67,49.67,100
20090213,51.53,51.53,50.94,50.94,280
20090220,45.87,47.57,45.87,47.57,300
20090223,44.64,44.64,44.64,44.64,100
20090224,44.96,44.96,44.96,44.96,910
20090226,41.68,41.68,41.37,41.37,220
20090227,41.37,41.37,41.37,41.37,90
20090302,35,35.04,32.92,32.92,7900
20090303,33.84,33.84,33.84,33.84,100
20090306,33,33,32.23,32.23,500
20090309,31.87,31.87,31.87,31.87,100
20090312,36.35,36.35,36.35,36.35,2940
20090313,40.02,40.43,38.37,40.11,6410
20090316,40.28,40.7,40.26,40.26,750
20090317,38.5,39.37,38.21,39.37,950
20090318,38.65,41.76,38.65,40.96,800
20090319,38.15,38.65,38.15,38.65,300
20090320,38.71,38.74,38.71,38.71,850
20090323,39.81,39.81,37.7,39.8,3790
20090324,38.21,40.89,38.21,40.89,560
20090325,40.99,40.99,40.99,40.99,100
20090326,41.01,41.01,41.01,41.01,900
20090327,40.23,40.73,40.23,40.73,1290
20090330,39.81,39.81,39.81,39.81,400
20090401,38.67,38.67,38.23,38.6,4020
20090402,40.3,40.3,40.3,40.3,200
20090403,41.75,41.75,38.32,38.93,400
20090408,39.44,39.44,39.44,39.44,110
20090409,40.03,40.03,39.81,39.81,600
20090415,39.91,40.19,39.91,40.19,500
20090416,40.57,40.57,40.57,40.57,100
20090423,39.57,39.57,37.26,37.81,1530
20090424,38.39,39.04,38.39,39.04,7200
20090427,39.01,39.92,39.01,39.92,1260
20090428,40.41,40.41,39.92,39.92,2960
20090429,39.83,39.98,39.59,39.98,6230
20090430,40.13,40.8,40.13,40.15,2800
20090501,39.68,39.81,39.68,39.81,430
20090505,41.21,42.3,41.21,42.16,7700
20090506,42.6,42.6,41.72,41.72,1710
20090508,43.59,44.79,43.59,44.79,230
20090511,44.78,44.78,43.53,43.89,10700
20090512,43.85,43.85,43.85,43.85,250
20090513,44.29,44.9,44.29,44.9,550
20090515,44.69,44.69,44.69,44.69,250
20090527,44.92,44.92,43.79,43.79,600
20090528,44.27,44.27,44.14,44.14,1200
20090529,44.84,44.96,44.84,44.96,650
20090601,46.34,46.44,45.85,46.44,5340
20090602,46.98,46.98,46.98,46.98,200
20090603,46.33,46.33,46.33,46.33,500
20090604,45.4,45.4,45.39,45.39,400
20090605,45.11,45.53,45.11,45.53,1960
20090608,44.07,44.07,44.07,44.07,320
20090609,44.23,44.47,44.23,44.47,510
20090610,44.47,44.47,44.47,44.47,1020
20090611,44.35,44.35,44.35,44.35,100
20090616,43.46,43.46,43.1,43.1,5130
20090617,44.52,44.8,44.01,44.8,4910
20090618,45.13,46.77,45.13,46.69,6070
20090619,47.54,47.54,47.09,47.09,430
20090622,46.48,46.48,44.92,45.29,5480
20090623,44.75,44.75,44.75,44.75,300
20090625,47.77,48.33,47.58,47.58,500
20090626,48.13,48.13,48.13,48.13,270
20090702,46.39,46.39,46.39,46.39,100
20090707,46.28,46.28,46.28,46.28,250
20090709,47.33,47.33,47.33,47.33,200
20090713,44.97,46.45,44.97,46.45,1400
20090715,47.15,47.5,47.15,47.5,590
20090717,48.78,48.78,48.16,48.16,300
20090720,48.4,48.4,48.4,48.4,100
20090721,49.42,49.42,49.42,49.42,800
20090722,50.03,50.03,50.03,50.03,100
20090723,51.97,51.97,51.85,51.85,400
20090724,52.5,52.5,52.5,52.5,250
20090727,53,53.17,52.59,53.14,1320
20090728,53.38,53.6,53.36,53.6,700
20090729,53.77,54.27,53.77,53.84,580
20090730,55.88,56.15,53.98,53.98,3110
20090731,54.09,55,53.59,53.85,9780
20090803,52.9,53.42,52.86,53.42,2710
20090804,53.5,53.71,53.46,53.71,600
20090805,53.22,53.22,52.24,52.57,780
20090806,51.54,51.54,51.41,51.41,800
20090810,52.5,52.8,52.5,52.8,2210
20090811,53.29,53.29,52.88,52.88,1100
20090812,53.45,53.74,53.45,53.74,400
20090813,54.07,54.07,52.67,53.06,630
20090814,49.99,52.87,49.99,52.87,800
20090817,52.86,52.86,52.86,52.86,100
20090819,52.93,54,52.93,53.64,1470
20090820,54.78,54.78,54.78,54.78,200
20090821,55.09,56.25,55.09,56.02,1530
20090824,56.46,56.46,56.46,56.46,100
20090825,56.99,57.39,56.99,57.39,350
20090826,57.26,57.26,57.26,57.26,100
20090827,56.21,57.06,56.21,57.06,600
20090828,56.84,56.84,55.65,55.65,650
20090831,55.73,56.27,55.73,56.27,360
20090901,54.06,54.63,54.06,54.63,430
