Date,Open,High,Low,Close,Volume
20120112,33.37,34.03,32.68,33.03,12000
20120113,33.45,34.34,33.14,33.3,6200
20120117,33.2,33.2,32.07,33.03,5800
20120118,33.24,34.22,32.49,32.52,29100
20120119,33.43,34.29,33.42,33.83,1400
20120120,33.89,33.89,33.8,33.8,200
20120123,33.96,33.96,33.96,33.96,400
20120124,33.71,33.91,32.98,33.84,25400
20120125,34.33,35.28,34.19,34.23,24700
20120126,34.32,34.33,34.13,34.15,11900
20120127,34.13,34.16,33.96,33.96,1400
20120130,33.75,33.78,33.71,33.71,11800
20120131,33.92,33.92,33.92,33.92,1200
20120201,33.9,33.9,33.9,33.9,1200
20120203,34.34,34.34,34.34,34.34,200
20120209,34.59,34.61,34.53,34.57,2100
20120210,34.37,34.41,34.37,34.41,1500
20120214,34.35,34.35,34.35,34.35,200
20120216,34.79,34.79,34.61,34.61,600
20120221,34.78,34.78,34.78,34.78,100
20120222,34.6,34.66,34.6,34.66,1300
20120227,34.12,34.12,34.08,34.09,1400
20120228,34.18,34.18,34.18,34.18,100
20120305,33.78,33.78,33.44,33.44,2700
20120306,33.3,33.3,33.3,33.3,100
20120308,33.8,33.94,33.8,33.94,1300
20120312,34.09,34.15,34.09,34.15,1800
20120314,35.14,35.14,35.14,35.14,200
20120315,35.62,35.63,35.62,35.63,600
20120319,35.57,35.57,35.57,35.57,100
20120321,35.53,35.53,35.53,35.53,100
20120322,35.25,35.25,34.99,34.99,700
20120326,34.55,34.55,34.55,34.55,100
20120402,34.9,35.24,34.9,35.05,13400
20120403,35.2,35.99,34.56,34.83,41200
20120404,35.04,35.59,34.75,34.85,27100
20120405,34.55,34.71,34.4,34.67,42400
20120417,34.49,34.56,34.49,34.56,600
20120420,34.26,34.26,34.26,34.26,100
20120423,34.12,34.12,34.12,34.12,1200
20120427,34.4,34.41,34.37,34.37,2400
20120430,34.3,34.36,34.28,34.33,4900
20120501,34.21,34.33,34.15,34.3,8600
20120502,34.17,34.19,34.08,34.08,5900
20120503,34.2,34.24,33.87,33.91,6800
20120504,33.73,33.74,33.57,33.72,10300
20120507,33.79,33.88,33.74,33.8,15500
20120508,33.77,33.78,33.67,33.73,39500
20120509,33.7,33.98,33.38,33.4,22300
20120510,33.58,33.89,33.47,33.47,14100
20120511,33.2,33.29,33.14,33.25,19000
20120514,32.7,33.05,32.7,33.01,21200
20120515,33.03,33.14,32.96,32.99,22600
20120516,33.05,33.09,32.65,32.68,27700
20120517,32.53,32.94,32.33,32.6,38900
20120518,32.7,32.88,32.66,32.76,44200
20120521,32.95,33.07,32.9,33,76700
20120522,33.34,33.39,33.21,33.23,66300
20120523,32.92,33.02,32.72,33.02,86800
20120524,33.02,33.13,32.95,33.03,43000
20120525,32.94,33.22,32.85,33.21,40800
20120529,32.85,32.86,32.59,32.66,67900
20120530,32.2,32.32,31.96,32.23,51100
20120531,32.22,32.42,32.2,32.42,5900
20120601,32.54,32.54,32.44,32.48,800
20120604,32.54,32.54,32.49,32.49,400
20120605,32.88,33.17,32.88,33.08,1200
20120606,33.21,33.49,33.21,33.28,1500
20120608,32.71,32.87,32.66,32.78,9500
20120618,32.57,32.6,32.5,32.5,3400
20120619,32.61,32.8,32.61,32.8,2000
20120620,33.3,33.3,32.94,33.06,5800
20120621,32.6,32.6,32.6,32.6,200
20120628,32.67,32.7,32.59,32.59,1800
20120629,32.44,32.49,32.44,32.49,500
20120712,32.38,32.38,32.38,32.38,100
20120716,32.44,32.44,32.42,32.42,500
20120717,32.49,32.49,32.19,32.19,900
20120723,32.6,32.6,32.59,32.59,900
20120801,32.95,32.95,32.95,32.95,200
20120806,33.3,33.3,33.3,33.3,100
20120807,33.64,33.64,33.64,33.64,100
20120810,33.28,33.28,33.28,33.28,100
20120820,33.18,33.18,33.18,33.18,100
20120822,32.94,32.94,32.94,32.94,100
20120828,33.3,33.42,33.3,33.42,800
20120830,32.94,32.94,32.94,32.94,100
20120831,32.86,32.86,32.86,32.86,100
20120906,33.3,33.3,33.3,33.3,100
20120907,33.64,33.64,33.64,33.64,100
20120912,34.04,34.04,34.04,34.04,1100
20120913,34.32,34.66,34.32,34.66,200
20120914,35,35.34,35,35.34,400
20120920,35.1,35.1,34.64,34.64,500
20120924,34.3,34.3,34.3,34.3,100
20120925,33.96,33.96,33.96,33.96,100
20120928,33.62,33.62,33.62,33.62,100
20121003,33.97,33.98,33.97,33.98,200
20121004,34.59,34.66,34.59,34.66,500
20121005,35.08,35.08,35.08,35.08,400
20121010,34.64,34.64,34.64,34.64,100
20121011,34.3,34.3,34.3,34.3,100
20121012,33.96,33.96,33.96,33.96,100
20121017,34.32,34.32,34.32,34.32,100
20121018,34.66,34.66,34.66,34.66,100
20121109,34.3,34.3,34.28,34.28,200
20121113,33.96,33.96,33.96,33.96,100
20121128,33.55,33.56,33.55,33.56,700
20121213,34.93,34.93,34.91,34.91,1500
20121220,34.83,34.95,34.83,34.95,1500
20121231,34.24,34.84,33.77,34.84,6000
20130102,34.97,35.05,34.96,34.96,2300
20130104,34.79,34.79,34.79,34.79,500
20130108,35.12,35.16,35.09,35.14,2800
20130109,35.23,35.26,35.23,35.26,400
20130114,34.86,34.94,34.86,34.94,400
20130115,34.91,34.93,34.91,34.93,2100
20130116,34.72,34.72,34.72,34.72,200
20130131,34.96,34.96,34.96,34.96,1200
20130201,35.06,35.06,35.06,35.06,100
20130221,34.19,34.19,34.13,34.13,200
20130225,34.5,34.5,34.5,34.5,200
20130228,35.3,35.31,34.3,34.36,2100
20130305,34.42,34.42,34.42,34.42,100
20130313,34.49,34.49,34.49,34.49,200
20130415,33.55,33.55,33.55,33.55,200
20130417,32.95,32.95,32.91,32.92,800
20130418,32.81,32.81,32.3,32.35,1500
20130425,33.29,33.38,33.29,33.38,1900
20130506,32.89,32.99,32.83,32.99,11300
20130507,33.02,33.06,33.02,33.06,200
20130515,32.93,32.95,32.84,32.84,900
20130523,32.48,32.48,32.48,32.48,200
20130607,31.51,31.51,31.51,31.51,400
20130611,30.8,30.8,30.79,30.79,500
20130612,30.78,30.78,30.78,30.78,100
20130614,30.81,31.54,30.72,30.73,16100
20130617,30.3,30.68,30.3,30.68,500
20130618,30.88,30.88,30.88,30.88,100
20130620,31.57,31.57,30.32,30.32,18300
20130624,29.97,30.22,29.97,30.22,500
20130625,30.58,30.58,30.58,30.58,200
20130627,31.07,31.18,31.07,31.17,1700
20130702,31.1,31.1,31.1,31.1,100
