Date,Open,High,Low,Close,Volume
20211001,25.07,25.07,25.055,25.055,2820
20211004,24.859,24.86,24.84,24.84,2120
20211005,24.45,24.45,24.305,24.305,942
20211006,24.87,24.87,24.81,24.84,400
20211007,25.25,25.3906,25.18,25.3906,7501
20211008,25.63,25.89,25.63,25.7591,1001
20211011,25.93,25.93,25.79,25.79,1017
20211012,25.75,25.75,25.72,25.72,5100
20211013,25.7678,25.7678,25.75,25.75,194
20211014,25.71,25.71,25.7,25.7,5105
20211015,25.7,25.7,25.66,25.66,250
20211018,25.6,25.64,25.595,25.595,4261
20211019,25.34,25.3934,25.24,25.3934,1100
20211020,25.2805,25.295,25.2805,25.295,101
20211021,25.268,25.268,25.268,25.268,5
20211022,25.34,25.365,25.33,25.365,300
20211025,25.43,25.43,25.42,25.42,3165
20211026,25.1944,25.1944,25.1944,25.1944,3
20211027,24.99,24.99,24.9799,24.9799,121
20211028,24.4999,24.54,24.49,24.49,4112
20211029,24.73,24.74,24.6595,24.6595,1102
20211101,24.67,24.68,24.6028,24.6028,302
20211102,25.27,25.315,25.27,25.28,10011
20211103,25.34,25.34,25.2792,25.2792,105
20211104,25.295,25.46,25.252,25.305,408
20211105,25.1,25.115,25.1,25.115,128
20211108,24.85,25.02,24.85,24.98,201
20211109,24.92,24.92,24.85,24.85,100
20211110,24.86,24.935,24.86,24.935,1110
20211111,25.01,25.01,24.96,24.96,100
20211112,25.19,27.01,25.19,25.19,34271
20211115,25.375,25.41,25.375,25.41,307
20211116,25.4,25.45,25.4,25.45,205
20211117,25.41,25.47,25.406,25.42,13966
20211118,25.4,25.475,25.4,25.4171,5307
20211119,25.28,25.41,25.28,25.345,2310
20211122,25.4,25.43,25.4,25.43,279
20211123,25.55,25.6,25.55,25.5725,2404
20211124,25.69,25.81,25.67,25.8,1513
20211126,25.39,25.4878,25.39,25.4878,208
20211129,25.255,25.26,25.1007,25.1007,7200
20211130,25.2,25.22,25.0858,25.0858,406
20211201,24.9,24.909,24.7419,24.7419,1003
20211202,24.97,24.975,24.8602,24.8602,701
20211203,24.93,24.93,24.76,24.76,809
20211206,24.75,24.8299,24.6886,24.7,803
20211207,24.842,25,24.84,24.9328,1100
20211208,24.94,24.97,24.8951,24.8951,4200
20211209,25.03,25.21,25.03,25.145,10394
20211210,24.96,25.12,24.96,25.06,2017
20211213,25.07,25.105,25.07,25.105,202
20211214,25.04,25.04,24.93,24.93,203
20211215,24.87,25.07,24.87,24.975,340
20211216,24.95,24.95,24.875,24.875,300
20211217,24.76,24.76,24.705,24.705,200
20211220,24.78,24.79,24.7393,24.7393,6060
20211221,24.97,24.97,24.8785,24.8785,500
20211222,25.19,25.19,25.0592,25.0592,740
20211223,25.08,25.088,24.995,24.995,506
20211227,25.12,25.12,24.89,24.9897,8163
20211228,24.89,24.89,24.7997,24.7997,505
20211229,24.88,24.9,24.8,24.814,3245
20211230,25.03,25.03,24.9203,24.9203,100
20211231,25.07,25.07,24.9866,24.9866,200
20220103,24.945,24.945,24.8402,24.8402,226
20220104,25.19,25.269,25.19,25.269,272
20220105,25.42,25.67,25.42,25.595,1697
20220106,25.7,25.91,25.7,25.8061,247
20220107,25.92,26.1,25.92,26.005,3349
20220110,26.54,26.5499,26.46,26.4648,4459
20220111,26.65,26.65,26.4627,26.4627,1271
20220112,26.32,28.32,26.2,26.2657,3710
20220113,26.37,27.5999,26.27,26.7,149476
20220114,27.09,27.11,26.45,26.7,103331
20220118,26.97,27.4999,26.97,27.35,37085
20220119,28.72,32.259,27.99,28.6068,37723
20220120,28.65,28.81,28.63,28.65,31944
20220121,28.61,28.61,28.26,28.38,12953
20220124,28.33,28.56,27.5,28.45,32600
20220125,28.45,28.59,28.2,28.22,16384
20220126,28.26,28.64,28.22,28.5396,4391
20220127,28.81,28.99,28.7,28.7,6597
20220128,28.55,28.74,28.39,28.41,10494
20220131,28.42,28.83,28.2,28.33,14834
20220201,28.13,28.66,27.98,28.2689,15856
20220202,28.3,28.3069,28,28.17,10057
20220203,28.52,28.8,28.31,28.65,63656
20220204,28.51,29.26,28.51,28.9,68640
20220207,29,29.284,29,29.03,31317
20220208,29.17,29.38,29.1,29.23,17501
20220209,29.4,29.4,29.15,29.248,14699
20220210,29.77,30,29.56,29.86,24644
20220211,29.9,29.9,29.6739,29.6739,9448
20220214,29.78,30.1,29.76,29.9,19670
20220215,29.97,30.31,29.955,30.09,30168
20220216,30.25,30.41,29.53,30.07,34749
20220217,29.96,30.82,29.91,29.91,77500
20220218,29.8,29.81,28.6,29.41,34994
