Date,Open,High,Low,Close,Volume
20071108,50.97,50.97,50.97,50.97,5980
20071109,52.38,52.38,52.38,52.38,300
20071114,51.02,51.77,51.02,51.77,2100
20071116,53.76,53.76,53.76,53.76,150
20071119,54.54,55.37,54.54,55.37,300
20071120,54.45,56.28,51.47,56.11,5830
20071121,56.78,57.16,56.78,57.16,3290
20071126,54.92,55.83,54.92,55.83,600
20071127,56.13,56.9,56.13,56.27,2700
20071128,53.87,53.87,52.7,52.7,600
20071129,52.82,53.01,52.82,53.01,300
20071130,51.55,52.4,51.55,52.29,5100
20071203,52.16,52.16,52.16,52.16,300
20071204,52.99,52.99,52.73,52.73,1800
20071206,50.2,50.2,49.58,49.58,1650
20071207,49.31,49.36,49.04,49.36,3750
20071210,48.47,48.47,48.47,48.47,150
20071211,48.27,51.35,48.27,51.35,3590
20071212,51.94,51.94,51.94,51.94,750
20071213,51.74,51.99,51.31,51.31,7930
20071217,53.01,54.17,53.01,54.17,11530
20071218,54.3,54.3,53.53,53.64,16760
20071219,53.6,53.6,53.27,53.44,15560
20071220,52.84,52.84,52.84,52.84,300
20071221,51.31,51.31,51.31,51.31,750
20071224,50.4,50.4,50.4,50.4,150
20071226,50.45,50.45,50.22,50.22,9370
20071227,50.74,51.41,50.74,51.41,7730
20071228,51.02,51.02,51.02,51.02,1490
20071231,52.3,52.3,51.98,51.98,3570
20080102,52.59,53.96,52.59,53.78,1490
20080103,53.49,54.46,53.49,54.46,1490
20080104,56.04,57.69,56.04,57.69,2090
20080107,57.68,59.19,57.33,58.26,3430
20080108,57.48,58.64,57.28,57.94,4030
20080109,59.4,63.15,59.4,60.99,11620
20080110,61.97,62.95,59.4,59.62,13010
20080111,60.09,61.16,59.55,60.54,32140
20080114,59.94,60.35,59.48,59.48,2090
20080115,60.73,62.55,60.73,62.1,15640
20080116,62.05,64.13,61.92,63.07,14300
20080117,64.11,66.76,63.91,66.76,16370
20080118,66.09,68.09,65.09,67.33,13260
20080122,69.59,69.59,66.82,67.92,22040
20080123,69.16,71.33,64.54,64.54,22190
20080124,63.52,64.53,62.98,63.37,12370
20080125,62,62.99,61.86,62.83,3750
20080128,63.65,65.05,62.12,62.12,6700
20080129,60.88,61.3,60.47,60.47,1940
20080130,61.52,61.52,59.05,61.31,54600
20080131,63.36,63.36,59.06,59.06,14430
20080201,58.02,58.07,56.75,56.92,16080
20080204,57.12,57.64,57.07,57.24,32490
20080205,59.07,60.35,58.5,60.13,10870
20080206,60.56,61.18,59.55,61.01,21740
20080207,62.1,62.27,59.33,60.54,24460
20080208,60.86,61.5,59.63,60.38,18450
20080211,58.91,61.7,58.91,59.84,12520
20080212,59.04,59.32,58.39,58.56,40900
20080213,57.15,58.86,57.15,58.11,38240
20080214,58.43,59.94,58.33,59.38,4630
20080215,61.1,61.47,60.13,60.13,21280
20080219,58.99,60.2,58.99,59.95,26040
20080220,59.38,59.38,58.52,58.52,1190
20080221,57.47,59.78,57.15,59.78,1490
20080222,60.06,61.27,60.06,60.13,56390
20080225,58.01,59.06,56.8,57.08,4340
20080226,56.9,56.9,55.38,55.94,16520
20080227,56.56,56.99,55.68,56.99,6700
20080228,57.32,57.47,57.13,57.47,4460
20080229,59.74,60.93,59.19,60.92,2700
20080303,62.02,62.25,60.51,61.05,61600
20080304,61.86,63.38,61.32,61.32,3430
20080305,60.84,61.88,59.97,60.83,205720
20080306,61.99,64.36,61.99,64.36,13970
20080307,65,66.58,63.92,65.45,21000
20080310,65.67,68.23,65.67,68,43340
20080311,65.78,67.1,63.29,63.29,48720
20080312,63.23,64.32,62.38,64.32,12500
20080313,66.64,66.64,62.72,62.79,7300
20080314,62.44,66.28,62.44,64.69,78840
20080317,68.37,68.97,66.28,66.9,46400
20080318,65.05,65.5,62.12,62.41,111590
20080319,61.49,65.32,61.49,65.32,3430
20080320,67.63,67.63,63.23,63.3,15090
20080324,65.77,65.77,59.53,60.26,49570
20080325,59.88,59.88,58.82,58.82,3110
20080326,59.46,60.09,59.46,59.93,9460
20080327,60.17,60.51,60.17,60.31,750
20080328,61.31,62.77,61.31,62.77,2080
20080331,62.66,64.77,61.48,61.52,5490
20080401,60.29,60.29,57.44,57.44,3720
20080402,57.34,57.6,56.33,57.06,6100
20080403,57.37,57.43,56.55,56.55,8590
20080404,56.53,56.55,55.32,56.06,3290
20080407,55.19,55.96,54.88,55.79,4750
20080408,56.53,56.53,55.5,56.1,2530
20080409,56.21,57.62,56.21,57.62,1640
20080410,57.62,57.62,57.62,57.62,590
20080411,58.12,58.12,58.12,58.12,1480
20080415,57.84,58.72,57.84,58.04,21320
20080416,56.93,56.93,54.65,54.65,9170
20080417,55.05,55.47,54.84,54.84,15820
20080418,53.88,54.03,53.25,53.74,10920
20080421,53.88,53.88,53.45,53.45,16860
20080422,54.23,55.37,54.23,54.74,8590
20080423,54.15,54.83,54.07,54.77,4300
20080424,54.55,54.55,53.26,53.26,590
20080425,53.21,53.25,52.13,52.17,6220
20080428,52.52,52.61,51.72,51.95,8380
20080429,52.15,53.03,52.1,52.55,34800
20080430,52.1,52.71,51.18,52.71,61120
20080501,52.54,52.59,51.42,51.42,20620
20080502,50.4,51.58,50.37,51.58,3520
20080505,51.45,51.58,51.27,51.27,9030
20080506,51.37,51.37,50.72,50.72,17590
20080507,50.54,51.74,50.48,51.74,7520
20080508,51.38,51.54,51.07,51.27,9610
20080509,50.91,51.24,50.91,50.94,6220
20080512,50.84,51.24,49.85,49.85,20870
20080513,49.85,49.85,49.13,49.19,1190
20080514,48.17,48.83,48.17,48.83,1630
20080515,48.9,48.9,47.74,47.74,16060
20080516,47.62,47.95,47.4,47.44,18060
20080519,47.47,47.9,46.57,47.68,29090
20080520,47.99,48.42,47.83,47.9,66680
20080521,47.22,49.4,47.2,49.26,113670
20080522,49.04,49.23,48.98,49.08,3290
20080523,50.05,50.25,49.91,50.06,33130
20080527,49.57,49.77,49.3,49.77,9930
20080528,49.29,49.29,48.66,48.66,1780
20080529,48.5,48.56,47.75,47.89,5630
20080530,48.25,48.25,47.64,47.64,2060
20080602,48.34,48.56,48.34,48.56,8860
20080603,48.16,48.69,47.68,48.3,3060
20080604,48.89,48.89,47.33,48.03,13780
20080605,46.51,46.87,46.09,46.09,19400
20080606,47.51,48.18,47.48,48.18,1050
20080609,48.47,49.01,48.03,48.58,6960
20080610,49.14,49.44,48.9,49.43,4710
20080611,49.3,50.78,49.3,50.78,17280
20080612,50.82,51.27,49.68,50.92,111590
20080613,50.97,50.97,49.43,49.43,10970
20080616,49.45,49.45,48.38,48.5,12810
20080617,48.5,48.5,48.03,48.45,2020
20080618,48.72,49.58,48.72,49.37,3620
20080619,49.22,49.22,48.88,48.88,16770
20080620,47.58,50.6,47.57,50.46,2640
20080623,51,51,49.97,50.55,25470
20080624,51.65,51.65,50.91,50.91,2350
20080625,50.36,50.36,50.36,50.36,880
20080626,51.82,53.81,51.82,53.81,5890
20080627,55.01,55.01,54.04,54.41,11970
20080630,54.65,54.68,53.79,53.81,1150
20080701,55.36,56.69,54.85,54.85,5400
20080702,56.15,56.31,56.15,56.31,590
20080703,57.88,60.24,57.88,59.28,24470
20080707,60.51,61.21,58.1,59.73,24320
20080708,61.01,61.82,57.63,57.63,32870
20080709,58.66,59.34,57.24,59.34,11130
20080710,60.33,60.33,54.12,59.06,81380
20080711,60.77,60.82,58.22,59.31,46490
20080714,57.23,60.32,57.23,60.17,11060
20080715,61.9,63.41,59.61,60.27,131060
20080716,59.98,61.87,58.57,58.57,14600
20080717,58.78,58.78,56.64,56.64,2070
20080718,55,57.25,55,57.21,8970
20080721,56.97,56.97,56.35,56.35,8180
20080722,56.56,56.56,54.84,54.96,2950
20080723,54.81,55.29,53.58,53.58,8900
20080724,56.03,58.24,55.96,58.12,2640
