Date,Open,High,Low,Close,Volume
20150227,20.94,20.95,20.93,20.93,836
20150302,20.91,20.91,20.87,20.87,1314
20150303,20.89,20.89,20.89,20.89,956
20150305,20.84,20.85,20.83,20.85,874
20150306,20.65,20.65,20.58,20.58,1553
20150309,20.54,20.54,20.54,20.54,553
20150311,20.15,20.15,20.15,20.15,209
20150313,20.24,20.24,20.24,20.24,478
20150316,20.48,20.51,20.48,20.5,96706
20150317,20.46,20.46,20.46,20.46,1672
20150320,21.05,21.05,21.05,21.05,950
20150323,21.16,21.16,21.16,21.16,597
20150324,21.14,21.17,21.14,21.17,955
20150325,21.16,21.16,21.16,21.16,836
20150327,20.91,20.91,20.86,20.86,3678
20150330,21.09,21.09,21.09,21.09,299
20150331,20.85,20.85,20.71,20.72,5178
20150401,20.8,20.82,20.78,20.81,3341
20150402,21.89,21.89,21.89,21.89,119
20150406,21.31,21.31,21.31,21.31,717
20150407,21.33,21.34,21.3,21.32,79848
20150408,21.39,21.39,21.37,21.37,238
20150409,21.39,21.39,21.39,21.39,595
20150414,21.52,21.52,21.51,21.51,595
20150415,21.6,21.68,21.48,21.64,18988
20150416,21.57,21.57,21.57,21.57,478
20150420,21.47,21.47,21.47,21.47,119
20150421,21.61,21.61,21.61,21.61,357
20150423,21.72,21.72,21.72,21.72,191
20150427,21.9,21.94,21.9,21.94,418
20150429,21.71,21.71,21.71,21.71,2987
20150430,21.63,21.63,21.62,21.62,476
20150501,21.59,21.59,21.56,21.56,717
20150504,21.72,21.72,21.72,21.72,119
20150505,21.54,21.54,21.25,21.4,69656
20150506,21.39,21.41,21.39,21.41,4777
20150508,21.75,21.75,21.71,21.71,1194
20150512,21.79,21.85,21.79,21.85,2699
20150513,21.83,22.5,21.82,22.5,20418
20150514,22.04,22.95,21.96,22.09,14821
20150515,22.08,22.08,22.08,22.08,1242
20150518,22.01,22.07,22.01,22.07,8083
20150519,21.89,21.89,21.81,21.81,1489
20150522,21.83,21.89,21.83,21.89,933
20150526,21.88,21.88,21.58,21.58,12547
20150601,21.52,21.52,21.37,21.37,656
20150622,21.69,21.69,21.69,21.69,836
20150623,21.64,21.64,21.64,21.64,221
20150701,21.33,21.33,21.33,21.33,219
20150707,20.82,20.82,20.82,20.82,471
20150708,20.45,20.45,20.45,20.45,177
20150710,21.08,21.08,21.08,21.08,219
20150714,21.24,21.24,21.24,21.24,2474
20150716,21.33,21.33,21.33,21.33,1178
20150729,21.1,21.1,21.1,21.1,921
20150730,21.18,21.18,21.18,21.18,1178
20150731,21.32,21.32,21.32,21.32,1178
20150805,21.44,21.45,21.44,21.45,707
20150806,21.37,21.5,21.33,21.5,87105
20150807,21.38,21.5,21.38,21.5,3417
20150810,21.59,21.69,21.58,21.69,3887
20150812,21.27,21.27,21.27,21.27,1060
20150813,21.34,21.34,21.34,21.34,883
20150814,21.32,21.69,21.32,21.6,22967
20150820,20.85,20.86,20.85,20.86,4948
20150821,20.42,20.42,20.23,20.23,825
20150826,20.04,20.04,20.04,20.04,589
20150827,20.35,20.35,20.35,20.35,353
20150828,20.3,20.3,20.3,20.3,120
20150831,20.19,20.19,20.19,20.19,353
20150903,19.865,20.66,19.865,20.04,2297
20150904,19.44,19.44,19.432,19.432,2297
20150908,20.01,20.01,19.992,19.992,29501
20150910,20.03,20.03,20.03,20.03,471
20150911,20.08,20.08,20.08,20.08,118
20150915,19.899,19.907,19.899,19.899,3416
20150916,20.14,20.29,20.14,20.28,1356
20150918,20.03,20.03,20.03,20.03,118
20150921,19.791,19.822,19.78,19.78,4593
20150923,19.525,19.525,19.525,19.525,353
20150924,19.387,19.387,19.387,19.387,471
20150925,19.635,19.635,19.635,19.635,118
20150928,19.321,19.321,19.321,19.321,353
20150929,19.092,19.092,19.084,19.084,4712
20151005,20.26,20.26,20.1,20.26,1178
20151013,20.53,20.53,20.53,20.53,294
20151019,20.64,20.64,20.51,20.51,2356
20151020,20.59,20.59,20.59,20.59,4694
20151022,20.78,20.82,20.78,20.82,1178
20151027,20.79,20.81,20.65,20.74,4077
20151028,20.79,20.79,20.73,20.73,1785
20151029,20.45,20.53,20.45,20.53,530
20151030,20.71,20.71,20.71,20.71,942
20151102,20.87,20.87,20.87,20.87,236
20151103,20.91,20.91,20.54,20.54,16807
20151110,20.2,20.2,20.14,20.14,132688
20151117,20.31,20.31,20.21,20.21,5610
20151120,20.56,20.56,20.56,20.56,1090
20151125,20.63,20.63,20.45,20.54,825
