Date,Open,High,Low,Close,Volume
20101130,48.69,50.6,48.45,49.3,18000
20101201,53.5,53.5,51.15,52.19,9800
20101202,53.9,54.3,53.9,54.3,200
20101203,53.7,54.74,53.7,54.72,20200
20101206,54.46,54.74,54.31,54.64,6800
20101207,55.75,55.75,54.62,54.65,6000
20101208,55.05,55.22,54.19,55.03,20900
20101209,55.56,55.78,55.08,55.67,6400
20101210,55.72,56.57,55.68,56.57,3900
20101213,56.92,57.25,56.8,56.8,4600
20101214,56.74,57.21,56.35,56.51,2900
20101215,56.86,56.86,55.83,56.27,2300
20101216,55.76,55.88,55.65,55.88,600
20101217,56.95,57.05,56.95,57.05,200
20101220,57.4,58.03,57.06,57.79,1700
20101221,58.13,58.18,58.13,58.18,600
20101222,58.6,58.72,58.3,58.72,3700
20101223,58.67,58.67,58.48,58.48,500
20101227,52,52,52,52,200
20101228,58.74,58.74,58.54,58.54,200
20101229,59.89,59.89,59.25,59.25,1050
20101230,58.76,59.53,58.76,59.53,200
20101231,58.68,59.53,58.68,59.53,200
20110103,60.9,61.06,60.68,60.68,900
20110104,60.46,60.51,59.72,60.27,3600
20110105,61.29,61.29,61.29,61.29,100
20110106,61.14,61.42,60.59,60.71,4200
20110107,61.26,61.38,59.55,60.08,11500
20110110,60.06,60.27,59.79,60.27,1200
20110111,61.01,61.45,60.7,61.1,3300
20110112,61.96,62.52,61.89,62.5,1600
20110113,62.43,62.57,62.1,62.11,1600
20110114,62.54,62.97,62.4,62.97,1700
20110118,63.21,63.53,63.21,63.53,500
20110119,63.44,63.44,62.54,62.54,1150
20110120,61.61,61.61,60.7,61.33,3300
20110121,62.47,62.49,62.06,62.06,700
20110124,62.2,63.16,62.13,62.99,2300
20110125,62.83,62.91,61.99,62.91,4700
20110126,63.95,64.24,63.75,64.14,2400
20110127,64.4,64.4,64.2,64.2,600
20110128,63.5,63.5,61.35,61.48,3300
20110201,64.1,64.1,64.1,64.1,100
20110202,65.04,65.3,64.83,64.91,1500
20110203,64.81,65.49,64.27,65.41,3000
20110204,65.08,65.78,64.83,65.78,2800
20110209,67.39,67.39,66.76,66.76,500
20110210,67.05,67.33,67.05,67.33,200
20110211,68.09,68.28,68.09,68.23,500
20110214,68.65,68.65,68.65,68.65,100
