Date,Open,High,Low,Close,Volume
20071108,67.74,68.56,66.35,66.43,1290
20071109,68.9,68.9,67.9,68.29,4170
20071112,67.59,68.34,67.08,68.11,1620
20071113,67.21,67.21,65.59,65.59,4170
20071114,64.73,65.53,64.73,65.45,17500
20071115,66.66,68.81,66.6,68.2,29030
20071116,68.03,69.77,67.98,67.98,8530
20071119,70.46,72.04,70.31,71.72,9160
20071120,71.81,74.46,66.96,74.31,15450
20071121,73.06,74.19,72.34,74.19,7730
20071123,72.15,72.15,70.16,70.16,6350
20071126,70.7,74.73,70.7,74.72,2910
20071127,73.67,74.72,72.8,72.8,3620
20071128,71.03,71.03,67.95,67.95,8420
20071129,68.03,68.78,67.7,68.78,4960
20071130,65.76,68.56,65.54,68.46,7880
20071203,69.16,69.16,68.65,68.73,34680
20071204,71.06,71.06,70.29,70.83,10260
20071205,69.31,69.5,68.31,68.65,20050
20071206,67.25,67.25,65.26,65.26,22810
20071207,65.26,65.7,64.98,65.31,15770
20071210,64.19,64.23,63.63,64.04,14610
20071211,64.17,68.76,63.26,68.76,2440
20071212,65.47,68.46,65.14,67.44,5900
20071213,67.69,69.46,67.69,68.52,29750
20071214,69.25,70.16,68.78,70.16,21440
20071217,71.34,72.95,71.22,72.95,33110
20071218,71.77,72.73,70.34,70.96,30780
20071219,69.42,70.69,69.4,69.87,67670
20071220,68.92,70.74,67.59,67.59,15400
20071221,65.17,65.6,64.87,65.26,4530
20071224,63.49,63.65,63.22,63.35,8870
20071226,63.78,63.78,63.06,63.06,1590
20071227,63.68,66.34,63.68,66.34,6620
20071228,64.77,66.71,64.71,66.71,33130
20071231,67.97,68.52,67.18,67.18,4800
20080102,69.31,70.32,69.31,69.73,8130
20080103,69.58,71.54,68.96,71.54,61670
20080104,73.62,76.36,73.62,76.19,22870
20080107,76.08,77.74,74.34,76.26,8290
20080108,73.9,80.31,73.29,80.31,7170
20080109,79.39,83.47,77.96,77.96,37750
20080110,80.22,83.44,75.23,76.51,50580
20080111,77.82,80.01,77,79.01,114450
20080114,79.17,79.48,77.6,77.94,10260
20080115,80.13,81.98,79.78,81.2,19140
20080116,80.88,82.98,78.46,80.9,36660
20080117,80.27,85.5,80.27,84.93,23880
20080118,84.36,88.98,82.29,86.87,52390
20080122,95.08,95.08,84.55,88.46,83010
20080123,90.56,91.54,81.44,81.44,38800
20080124,81.39,83.67,79.57,82.18,28370
20080125,80.04,83.64,79.47,79.47,18060
20080128,81.92,85.33,79.84,80.24,28570
20080129,78.95,81.3,78.73,79.04,63080
20080130,79.39,81.13,75.15,81.13,50170
20080131,83.16,83.66,76.24,77.43,22150
20080201,76.38,76.64,73.25,73.49,20470
20080204,74.34,75.34,74.09,74.9,30250
20080205,77.22,79.32,75.93,79.25,57590
20080206,79.5,80.27,77.38,80.17,37440
20080207,81.83,82.68,78.87,78.87,25690
20080208,79.77,80.79,77.94,80.27,23360
20080211,81.81,82.08,79,80.2,47270
20080212,80.36,80.72,76.83,78.91,19820
20080213,76.34,77.31,74.85,75.16,24220
20080214,75.16,78.77,75.16,78.5,22990
20080215,80.16,80.86,79.06,79.06,18140
20080219,76.77,81.92,76.77,78.7,9810
20080220,79.51,80.14,77.28,77.43,46450
20080221,75.29,80.55,75.29,80.55,44490
20080222,81.57,83.45,80.94,81.15,14980
20080225,81.09,81.27,76.92,76.92,34330
20080226,77.72,77.72,74.15,75.59,41000
20080227,76.62,77.1,74.45,76,7860
20080228,77.17,79.12,77.17,78.29,15950
20080229,80.34,82.87,72.41,82.29,43240
20080303,82.85,84.76,81.87,83.66,58830
20080304,83.59,86.56,83.16,83.88,27320
20080305,82.88,84.97,81.78,83.39,114910
20080306,84.12,88.3,84.12,88.18,12070
20080307,90.73,91.86,86.52,88.83,42840
20080310,88.89,93.52,88.89,92.91,71460
20080311,88.81,90.55,84.6,84.6,126650
20080312,84.81,86.35,82.68,86.32,72160
20080313,88.43,89.46,82.88,83.2,28350
20080314,81.56,89.21,81.56,86.37,37960
20080317,91.98,91.98,87.33,90.63,49700
20080318,87.83,87.95,81.87,82.13,55380
20080319,81.91,85.71,80,85.71,37870
20080320,85.5,85.58,81.55,81.91,39460
20080324,81.06,81.06,75.75,76.47,117490
20080325,76.39,78.06,74.82,76.5,60860
20080326,76.71,77.97,76.71,76.75,25450
20080327,74.52,78.89,74.52,78.89,26260
20080328,78.75,81.17,78.1,81.17,15860
20080331,79.86,80.11,79.42,80.01,3410
20080401,78.63,78.63,75.05,75.05,18720
20080402,74.38,75.16,73.28,74.27,19720
20080403,75.6,75.6,73.69,74.16,19830
20080404,73.83,74.88,72.72,74.15,18480
20080407,72.87,74.49,72.72,74.25,26360
20080408,75.59,75.59,73.96,74.42,4640
20080409,74.56,77.16,74.56,77.16,4810
20080410,77.01,77.53,74.91,75.59,15290
20080411,77.13,79.8,77.13,79.44,23150
20080414,79.98,79.98,78.76,79.84,17820
20080415,78.86,79.97,78.68,78.97,22430
20080416,76.88,76.88,73.64,73.7,44320
20080417,74.15,75.54,74.15,74.57,74760
20080418,72.77,73.17,71.58,72.47,46620
20080421,73.54,73.54,72.44,72.76,24900
20080422,73.4,77.01,73.4,75.43,29680
20080423,75.15,76.19,74.38,74.96,8170
20080424,75.39,76.42,72.15,72.72,33250
20080425,72.45,74.09,71.64,71.67,21780
20080428,72.04,72.68,70.88,71.31,8950
20080429,71.61,72.97,71.14,72.37,25200
20080430,72.21,73.37,70.98,73.37,15250
20080501,72.99,72.99,70.29,70.29,15530
20080502,69.05,71.23,69.05,70.81,13210
20080505,71.46,71.75,70.98,71.19,13580
20080506,71.93,71.93,70.26,70.29,17020
20080507,70.11,73.25,69.68,72.83,22010
20080508,72.67,73.51,71.97,72.42,17980
20080509,73.07,73.07,72.14,72.14,3010
20080512,71.53,72.27,69.51,69.51,5310
20080513,69.12,69.96,68.81,68.81,25350
20080514,67.95,69.16,67.36,69.12,5720
20080515,68.89,69.56,67.57,67.57,10030
20080516,67.18,69.5,66.91,67.99,14530
20080519,68.15,68.78,66.73,68.56,48640
20080520,69.4,70.21,68.85,68.85,68130
20080521,68.77,71.21,67.65,70.48,97960
20080522,69.51,70.09,68.81,69.68,7230
20080523,70.14,72.06,70.14,71.11,6870
20080527,70.88,70.88,69.12,69.45,12610
20080528,68.5,69.81,68.5,68.51,19680
20080529,68.48,68.48,66.24,67.03,60870
20080530,67.2,67.46,66.77,66.77,30530
20080602,66.63,69.23,66.63,67.74,35350
20080603,67.01,69.22,67.01,68.27,14380
20080604,69.51,69.51,66.67,67.38,82420
20080605,66.9,66.9,64.28,64.28,17380
20080606,65.27,67.6,65.27,67.6,12440
20080609,67.98,69.46,67.62,68.65,20260
20080610,69.23,70.01,68.97,69.01,8590
20080611,69.62,71.9,69.62,71.9,32120
20080612,71.44,71.95,69.32,71.95,103190
20080613,70.98,70.98,69.16,69.16,15550
20080616,69.39,69.39,67.59,67.59,10270
20080617,66.77,68.31,66.77,68.31,9200
20080618,69.03,70.12,68.65,69.52,69430
20080619,69.37,69.47,68.09,68.43,23050
20080620,69,71.2,68.74,70.35,46800
20080623,69.37,71.93,69.37,71.93,47910
20080624,71.11,74.17,71.11,73.86,54510
20080625,73.43,73.43,71.52,72.3,9020
20080626,73.91,75.94,73.91,75.62,43320
20080627,76.37,77.08,74.99,76.13,29630
20080630,74.39,77.19,74.39,77.17,37510
20080701,79.25,80.42,77.45,77.45,29370
20080702,76.42,81.63,76.42,81.63,15460
20080703,81.95,84.31,81.64,83.13,19730
20080707,83.39,87.39,82.32,85.38,69400
20080708,86.45,86.45,78.59,78.7,54050
20080709,78.23,83.06,78.23,83.06,44050
20080710,84.25,84.25,80.05,81.65,58560
20080711,84.02,84.05,79.94,80.57,26160
20080714,79.88,83.38,79.18,82.39,16990
20080715,82.65,86.9,80.54,82.82,54530
20080716,83.19,83.19,77.29,77.3,75790
20080717,75.19,76.97,74.11,74.54,30060
20080718,73.95,76.35,73.95,75.54,8570
20080721,75.22,75.93,74.79,74.79,13000
20080722,76.08,76.08,70.8,70.8,8830
20080723,72.28,72.28,68.56,69.89,68890
20080724,69.79,73.74,69.79,73.46,9540
20080725,72.73,73.15,71.11,72.3,11540
20080728,71.95,74.96,71.95,74.61,13450
20080729,75.41,75.41,71.09,71.09,27830
20080730,70.65,71.49,69.43,71.49,6950
20080731,71.76,71.76,70.08,71.08,9300
20080801,70.82,71.33,70.66,70.66,6120
20080804,71.87,73.62,71.59,73.08,6940
20080805,72.5,72.5,69.59,69.59,9620
20080806,70.4,70.45,68.43,68.43,2990
20080807,69.55,70.93,68.7,70.93,4530
20080808,70.92,70.92,66.62,67.21,5740
20080811,66.48,66.88,62.62,63.89,23360
20080812,64.31,65.13,63.76,64.56,12330
20080813,65.63,65.85,64.11,64.31,99090
20080814,64.69,64.69,62.6,63.2,29130
20080815,63.11,64.31,61.53,63.36,55810
20080818,63.22,65.73,63.22,65.04,48830
20080819,65.74,67.59,65.74,67.58,22830
20080820,66.72,67.86,65.84,67.25,19690
20080821,67.6,68.57,67.42,67.79,18030
20080822,67.16,67.16,65.65,65.76,10400
20080825,67.37,69.39,67.17,68.84,49480
20080826,69.53,69.71,67.87,68.46,85590
20080827,68.38,68.38,66.18,67.14,85040
20080828,66.37,66.37,63.99,64.17,52050
20080829,65.08,65.93,64.46,65.39,45470
20080902,64.35,66.17,62.58,65.39,28040
20080903,65.81,65.98,64.8,65.41,55450
20080904,66.01,69.33,65.84,68.46,103250
20080905,69.76,71.45,68.06,68.68,47120
20080908,62.21,67.95,62.21,66.01,41050
20080909,65.83,72.23,65.45,70.84,50010
20080910,69.94,70.96,68.17,69.26,39770
20080911,71.42,71.57,68.24,68.34,69020
20080912,69.02,69.79,68,68,28510
20080915,72.7,73.95,69.5,73.52,45620
20080916,75.32,75.32,69.61,69.86,68960
20080917,73.07,76.65,71.99,76.44,65890
20080918,74.51,78.1,65.74,67.52,65770
20080919,56.36,63.24,44.01,61.7,51540
20080922,62.98,66.3,62.98,66.01,12670
20080923,65.45,68.09,65.05,67.88,19100
20080924,69.07,70,67.5,69.25,7830
20080925,69,69,66.45,67.7,13310
20080926,71.66,71.66,66.01,68.88,12800
20080929,71.69,79.11,71.07,76.23,39210
20080930,74.07,77.76,71.74,71.74,19350
20081001,72.41,74.32,72.4,73.42,9250
20081002,75.65,82.4,75.65,80.54,19520
20081003,77.79,86.85,76.9,85.42,44780
20081006,89.65,101.55,89.38,92.6,81950
20081007,87.39,102.04,85.4,101.42,33020
20081008,114.42,118.82,99.64,104.74,62260
20081009,98.34,128.32,96.95,124.97,46720
20081010,135.6,143.22,104.01,117.95,85450
20081013,102.25,109.27,97.45,98.19,24510
20081014,89.01,105.22,86.51,98.7,23630
20081015,105.68,114.21,105.16,114.21,8480
20081016,114.01,128.52,104.88,106.87,21230
20081017,108.43,108.43,98.15,106.06,3170
