Date,Open,High,Low,Close,Volume
20210824,25.12,25.15,25.05,25.1079,20013
20210825,25.28,25.28,25.0001,25.0715,11695
20210826,25.0201,25.05,24.9216,24.9216,11367
20210827,25.01,25.14,24.978,25.1296,8902
20210830,25.23,25.29,25.1899,25.2449,13071
20210831,25.48,25.48,25.2233,25.2233,132862
20210901,25.35,25.35,25.24,25.241,7814
20210902,25.34,25.34,25.29,25.3015,10016
20210903,25.33,25.3347,25.27,25.2959,6017
20210907,25.13,25.24,25.1101,25.2006,4386
20210908,25.15,25.16,25.14,25.1552,6178
20210909,25.15,25.15,25.0243,25.0243,398
20210910,25,25,24.8197,24.8197,7429
20210913,24.87,24.9,24.78,24.8415,7515
20210914,24.7299,24.7299,24.69,24.7132,439
20210915,24.76,24.92,24.76,24.8964,5842
20210916,24.79,24.8289,24.79,24.8289,5162
20210917,24.7,24.7,24.62,24.6408,768
20210920,24.35,24.39,24,24.226,2850
20210921,24.4,24.46,24.22,24.2373,14571
20210922,24.3,24.47,24.3,24.4028,7545
20210923,24.5,24.76,24.5,24.6854,5619
20210924,24.71,24.7127,24.71,24.7127,5105
20210927,24.6311,24.6311,24.5844,24.5844,1025
20210928,24.35,24.35,24.0686,24.0686,7075
20210929,24.19,24.28,24.1182,24.1182,1253
20210930,24.05,24.05,23.8945,23.8945,543
20211001,23.88,24.1424,23.88,24.1424,314
20211004,23.72,23.7876,23.72,23.7876,329
20211005,24.08,24.08,24.0551,24.0551,637
20211006,23.92,24.142,23.8,24.142,6141
20211007,24.29,24.3096,24.29,24.3096,146
20211008,24.32,24.33,24.2516,24.2516,5041
20211011,24.36,24.365,24.0866,24.0866,5801
20211012,24.08,24.09,23.9912,23.9912,3511
20211013,24,24.0509,24,24.0509,143
20211014,24.35,24.4455,24.35,24.4455,2126
20211015,24.63,24.63,24.6116,24.6116,212
20211018,24.672,24.672,24.672,24.672,30
20211019,24.84,24.8876,24.84,24.8876,5020
20211020,25.0025,25.0025,25.0025,25.0025,159
20211021,25.0784,25.0784,25.0784,25.0784,100
20211022,24.97,25.04,24.97,25.0389,1578
20211025,25.125,25.125,25.1142,25.1142,226
20211026,25.1623,25.1623,25.1623,25.1623,84
20211027,25.1101,25.1101,25.0011,25.0011,249
20211028,25.18,25.24,25.18,25.24,159
20211029,25.07,25.2907,25.07,25.2907,3950
20211101,25.35,25.3643,25.35,25.3643,330
20211102,25.4201,25.4297,25.4,25.4297,759
20211103,25.44,25.5854,25.44,25.5854,625
20211104,25.58,25.6635,25.58,25.6635,201
20211105,25.78,25.78,25.78,25.78,1
20211108,25.77,25.8149,25.77,25.8149,157
20211109,25.75,25.75,25.6849,25.6849,124
20211111,25.52,25.54,25.5195,25.5195,506
20211112,25.6408,25.7,25.6408,25.6644,1120
20211115,25.73,25.73,25.56,25.634,825
20211116,25.8152,25.8152,25.8152,25.8152,5
20211117,25.73,25.7407,25.73,25.7407,300
20211118,25.7989,25.7989,25.7989,25.7989,20
20211119,25.73,25.7301,25.6856,25.6856,3135
20211122,25.79,25.94,25.6835,25.6835,6361
20211123,25.51,25.7111,25.51,25.7111,8547
20211126,25.49,25.49,25.1713,25.1713,298
20211129,25.4,25.493,25.39,25.493,2100
20211130,25,25.0041,25,25.0041,224
20211201,25.28,25.28,24.7423,24.7423,541
20211202,25.1301,25.1301,25.058,25.058,100
20211203,24.7099,24.8258,24.7099,24.8258,300
20211206,25.1,25.1308,25.1,25.1308,284
20211207,25.42,25.645,25.42,25.643,491
20211208,25.7514,25.7514,25.7514,25.7514,7
20211214,25.2582,25.2582,25.2582,25.2582,20
20211215,25.6453,25.6453,25.6453,25.6453,94
20211217,25.15,25.2145,25.15,25.2145,1358
20211220,25.01,25.01,24.66,24.8144,1219
20211221,25,25.3099,25,25.2982,380
20211223,25.8043,25.8043,25.8043,25.8043,7
20211227,26.0678,26.0678,26.0678,26.0678,1
20211228,26.08,26.08,26.036,26.036,101
20211229,25.99,26.0786,25.99,26.0786,1168
20211230,25.985,25.985,25.985,25.985,3
20220103,26.1144,26.1144,26.1144,26.1144,41
20220104,26.07,26.1767,26.07,26.1767,808
20220105,25.6754,25.6754,25.6754,25.6754,95
20220106,25.6451,25.6451,25.6451,25.6451,5
20220110,25.355,25.4903,25.355,25.4903,110
20220111,25.7582,25.7582,25.7582,25.7582,199
20220112,25.8532,25.8532,25.8532,25.8532,6
20220113,25.4615,25.4615,25.4615,25.4615,10
20220114,25.4,25.4597,25.4,25.4597,100
20220118,25.4,25.4,25.035,25.035,100
20220119,25,25,24.7922,24.7922,361
20220120,25.0808,25.0808,24.4985,24.4985,232
20220121,24.1271,24.1271,24.1271,24.1271,25
20220124,23.35,24.1573,23.35,24.1573,616
20220125,23.9401,23.9401,23.9401,23.9401,9
20220126,24.32,24.33,23.69,23.8723,61500
20220127,24.3,24.31,23.7959,23.7959,4814
20220128,24.263,24.263,24.263,24.263,47
20220131,24.43,24.7043,24.43,24.7043,903
20220201,24.9121,24.9121,24.9121,24.9121,32
20220203,24.81,24.81,24.5649,24.5649,1800
20220204,24.78,24.91,24.688,24.688,2310
20220207,24.5661,24.5661,24.5661,24.5661,2
20220208,24.78,24.8,24.68,24.7926,9365
20220209,25.088,25.088,25.088,25.088,1
20220210,25.05,25.05,24.7052,24.7052,2030
20220211,24.3255,24.3255,24.3255,24.3255,15
20220215,24.57,24.62,24.42,24.56,2400
20220216,24.6,24.63,24.59,24.63,1260
20220217,24.16,24.31,24.16,24.31,700
