Date,Open,High,Low,Close,Volume
20081209,19.883,19.994,19.883,19.978,2590
20081210,20.61,20.61,20.61,20.61,455
20081211,21.06,21.07,20.48,20.48,1106
20081212,20.45,20.45,20.45,20.45,489
20081215,20.49,20.49,20.49,20.49,568
20081216,21.02,21.02,21.02,21.02,1245
20081217,21.82,21.82,21.61,21.61,738
20081218,21.46,21.46,20.83,20.86,1703
20081219,20.78,20.78,20.71,20.71,1295
20081222,20.45,20.45,20.14,20.14,3151
20081223,20.14,20.17,20.14,20.17,252
20081224,20.11,20.12,20.1,20.12,744
20081226,20.27,20.29,20.26,20.29,24501
20081229,20.5,20.58,20.43,20.43,1362
20081230,20.96,20.98,20.96,20.98,2268
20081231,21.35,21.35,21.35,21.35,334
20090105,21.95,21.95,21.94,21.94,3156
20090109,21.61,21.61,21.61,21.61,126
20090112,20.92,20.92,20.8,20.81,3302
20090113,20.47,20.47,20.47,20.47,379
20090114,19.411,19.411,19.411,19.411,252
20090116,19.625,19.625,19.332,19.332,568
20090122,18.081,18.081,17.953,18.024,1010
20090123,17.502,18.199,17.502,18.199,528
20090126,18.762,18.762,18.548,18.548,504
20090127,19.11,19.11,19.071,19.071,262
20090128,19.887,19.895,19.776,19.776,1451
20090129,19.166,19.166,19.166,19.166,126
20090130,18.968,18.968,18.659,18.722,1576
20090202,18.477,18.477,18.477,18.477,505
20090203,18.651,19.095,18.651,19.095,1726
20090204,19.522,19.522,19.031,19.126,1008
20090205,18.992,19.554,18.793,19.554,12819
20090206,19.546,20.11,19.546,20.11,2843
20090209,20.24,20.38,20.09,20.18,2143
20090210,20.1,20.2,19.158,19.158,8981
20090211,18.992,19.285,18.992,19.166,756
20090212,18.944,19.118,18.857,19.102,3147
20090213,19.079,19.205,19.079,19.198,693
20090217,18.049,18.049,17.922,17.938,1009
20090218,17.55,17.867,17.55,17.795,1513
20090219,18.065,18.065,17.779,18.001,1047
20090220,17.264,17.407,17.074,17.399,1452
20090223,17.336,17.336,16.543,16.543,761
20090224,16.607,16.86,16.607,16.844,756
20090225,17.122,17.248,17.011,17.177,2144
20090226,17.447,17.47,17.447,17.47,378
20090227,16.916,17.145,16.916,17.138,630
20090302,15.854,15.941,15.799,15.814,3597
20090303,15.902,15.909,15.522,15.909,6003
20090304,16.18,16.661,16.18,16.661,572
20090305,15.981,16.005,15.569,15.569,883
20090306,15.957,15.957,15.431,15.497,1879
20090309,15.513,15.513,15.45,15.45,378
20090310,16.274,16.504,16.258,16.448,9920
20090311,16.829,16.829,16.773,16.821,1722
