Date,Open,High,Low,Close,Volume
20211015,25.28,25.32,25.2595,25.2657,602997
20211018,25.53,25.57,25.51,25.5683,463136
20211019,25.6,25.7092,25.6,25.633,335172
20211020,25.6309,25.67,25.61,25.6552,288820
20211021,25.6,25.6183,25.6,25.6183,109818
20211022,25.37,25.4394,25.35,25.4394,26827
20211025,25.796,25.95,24.47,25.95,21404
20211026,26.28,26.3,25.9557,25.9557,12651
20211027,25.79,25.79,25.3847,25.3847,15417
20211028,25.58,25.6059,25.58,25.6059,289
20211029,25.6078,25.6078,25.6078,25.6078,163
20211101,26.109,26.1294,26.109,26.1294,3584
20211102,26.14,26.14,26.08,26.1003,20501
20211103,26.38,26.3986,26.38,26.3986,810
20211104,26.67,26.7,26.52,26.6571,46572
20211105,26.78,26.78,26.535,26.5565,11137
20211108,26.82,26.96,26.82,26.8606,22990
20211109,26.92,27,26.33,26.4174,26723
20211110,26.29,26.29,25.68,25.7531,12709
20211111,26.18,26.25,26.0871,26.0942,22101
20211112,26.05,26.2982,26.05,26.2982,15642
20211115,26.42,26.42,26.1894,26.1894,24496
20211116,26.2,26.2602,26.1398,26.2602,48237
20211117,26.106,26.11,26.0583,26.0583,921
20211118,26.14,26.14,25.9185,25.9185,2466
20211119,26.0487,26.0487,25.9695,25.9695,4390
20211122,25.95,25.95,25.4491,25.4491,261
20211123,25.34,25.49,25.158,25.454,143285
20211124,25.32,26.94,25.32,25.5768,299231
20211126,25.44,25.44,24.8075,24.9621,57268
20211129,25.04,25.61,25.04,25.57,68538
20211130,25.67,25.681,24.9913,24.9913,27108
20211201,25.47,25.47,24.3017,24.3017,153922
20211202,24.37,24.64,24.15,24.53,30330
20211203,24.1291,24.1291,23.59,23.8007,6052
20211206,23.7,23.93,23.63,23.9014,12603
20211207,24.15,24.59,24.15,24.4481,25839
20211208,24.56,24.71,24.53,24.6975,28375
20211209,24.59,24.692,24.18,24.4087,29999
20211210,24.21,24.35,24.04,24.1665,4457
20211213,23.97,23.97,23.7031,23.7031,14494
20211214,23.54,23.57,23.43,23.57,4079
20211215,23.4052,23.94,23.38,23.8983,22974
20211216,24.02,24.028,23.735,23.753,2816
20211217,23.54,23.65,23.4209,23.4209,14352
20211220,23.28,23.28,23.1723,23.1723,508
20211221,23.25,23.64,23.25,23.6257,2426
20211222,23.8498,23.8949,23.78,23.8949,14875
20211223,24.075,24.19,24.042,24.1809,3812
20211227,24.3025,24.3224,24.3025,24.3224,2057
20211228,24.3899,24.3899,24.2576,24.2576,2325
20211229,24.34,24.34,24.2984,24.2984,885
20211230,24.39,24.4,24.2076,24.2076,338641
20211231,24.2446,24.26,24.1282,24.1282,477
20220103,24.25,24.34,24.218,24.28,3581
20220104,24.43,24.43,24.311,24.3335,1337
20220105,24.3788,24.3788,23.8239,23.8239,1195
20220106,23.94,23.94,23.7359,23.7359,4050
20220107,23.76,23.76,23.6137,23.6137,390
20220110,23.0604,23.4544,23.0604,23.4544,137
20220111,23.62,23.7512,23.62,23.7512,1051
20220112,24.04,24.04,23.7224,23.8301,37112
20220113,23.99,24,23.5261,23.5261,41310
20220114,23.7599,23.7599,23.6667,23.6667,520
20220118,23.55,23.55,23.3066,23.3066,3697
20220119,23.31,23.31,23.0411,23.0411,5171
20220120,23.245,23.245,22.8743,22.8743,9502
20220121,22.52,22.52,22.4447,22.4447,411
20220124,22.447,22.447,22.447,22.447,95
20220125,22.41,22.7081,22.41,22.4428,7415
20220126,22.89,23.1,22.6331,22.6331,1063
20220127,22.58,22.66,22.4401,22.4401,1006
20220128,22.54,22.8505,22.45,22.8505,21044
20220131,23.21,23.3299,23.14,23.3083,6502
20220201,23.5,23.6705,23.5,23.6705,7816
20220202,23.3,23.4816,23.21,23.4816,2381
20220203,22.8768,22.8768,22.8768,22.8768,26
20220204,22.9012,23.17,22.9012,23.0987,5684
20220207,22.9,23.29,22.9,23.0445,21720
20220208,23.1,23.2483,23.0999,23.2483,2109
20220209,23.479,23.5943,23.479,23.5943,15275
20220210,23.39,23.68,23.2603,23.2603,3389
20220211,23.36,23.44,23.03,23.0338,10417
20220214,23.06,23.06,22.84,22.9,4848
20220215,23.22,23.44,23.22,23.4,6800
20220216,23.38,23.39,23.33,23.33,1200
20220218,22.73,22.76,22.65,22.71,1600
