Date,Open,High,Low,Close,Volume
20190116,49.44,49.56,49.37,49.4,7186
20190117,48.89,49.74,48.89,49.47,8474
20190118,49.82,49.83,49.54,49.59,9297
20190122,48.86,48.86,48.4,48.64,6569
20190123,49.29,49.29,48.85,49.21,10227
20190124,49.79,50.06,49.79,49.94,9295
20190125,50.7,50.71,50.47,50.55,11203
20190128,50.51,50.51,49.84,49.96,6723
20190129,50.06,50.06,49.92,50,10739
20190130,50.33,51.35,50.33,51.33,11814
20190131,51.71,52.03,51.71,52.03,9709
20190201,51.57,51.57,51.31,51.31,669
20190204,51.44,51.62,51.44,51.49,7032
20190205,52.31,52.33,52.25,52.29,10326
20190206,51.67,51.67,51.3,51.37,9708
20190207,50.99,50.99,50.56,50.56,236
20190208,50.58,50.64,50.58,50.64,6206
20190211,50.55,50.57,50.43,50.49,6106
20190212,50.93,50.93,50.8,50.8,3119
20190213,50.24,50.24,50.08,50.18,9504
20190214,50.07,50.49,49.87,50.45,8061
20190215,49.97,50,49.82,49.9,9399
20190219,50.17,50.45,50.17,50.27,6723
20190220,50.56,51,50.56,50.6,7017
20190221,50.49,50.58,50.41,50.42,3377
20190222,51.2,51.41,51.2,51.26,6768
20190225,52.01,52.15,51.99,52.05,6415
20190226,51.72,51.82,51.72,51.82,3118
20190227,51.28,51.29,51.16,51.16,1163
20190228,50.42,50.42,50.26,50.26,4663
20190301,50.12,50.12,50.12,50.12,30
20190304,50.4,50.4,50.12,50.4,3882
20190305,51.11,51.11,51.04,51.04,6207
20190306,50.92,50.92,50.8,50.8,6208
20190307,49.75,49.75,49.75,49.75,3119
20190308,49.27,49.34,49,49.22,4663
20190311,50.4,50.47,50.4,50.47,4662
20190312,50.95,50.99,50.95,50.99,3118
20190313,50.7,50.75,50.59,50.59,6879
20190314,50.19,50.24,50.19,50.24,3633
20190315,51.13,51.13,51.13,51.13,1574
20190318,51.85,51.85,51.67,51.67,1266
20190319,51.78,51.78,51.78,51.78,30
20190320,51.49,51.93,51.41,51.93,3427
20190321,51.72,52.02,51.72,52.01,3114
20190322,50.74,50.74,50.29,50.29,3439
20190325,50.45,50.45,50.45,50.45,30
20190326,50.43,50.5,50.28,50.5,3222
20190327,49.95,49.95,49.81,49.81,442
20190328,49.95,50.38,49.95,50.26,750
20190329,50.84,51.06,50.84,50.92,2502
20190401,51.63,51.73,51.63,51.73,1060
20190402,51.83,51.83,51.56,51.56,2090
20190403,52.35,52.35,51.84,51.84,1111
20190404,52.37,52.37,52.37,52.37,30
20190405,52.62,52.62,52.62,52.62,1060
20190408,52.85,52.89,52.85,52.89,267
20190409,52.95,52.95,52.92,52.92,442
20190410,53.23,53.23,53.23,53.23,30
20190411,52.47,52.47,52.45,52.45,854
