Date,Open,High,Low,Close,Volume
20070125,194.29,196.39,194.01,196.39,788
20070126,196.02,197.36,196.02,197.36,4442
20070129,195.27,195.27,193.65,194.71,1219
20070130,192.67,192.7,192.67,192.7,72
20070131,193.32,193.32,191.64,191.64,824
20070201,191.12,191.45,190.06,190.42,3295
20070202,190.61,190.61,189.97,189.97,1110
20070205,189.94,190.64,189.83,190.64,2829
20070206,191.33,191.33,191.33,191.33,36
20070207,190.1,190.1,188.74,188.88,824
20070208,188.88,189.32,188.88,188.9,108
20070209,188.68,191.53,188.68,191.47,2007
20070212,191.14,192.03,191.14,191.36,1791
20070213,190.47,190.47,190.08,190.08,323
20070214,188.29,188.29,188.29,188.29,107
20070215,189.57,189.57,188.76,188.76,251
20070216,190.1,190.1,188.54,188.54,72
20070220,186.81,186.81,186.81,186.81,143
20070221,187.09,187.09,186.82,186.89,287
20070222,186.31,187.31,186.23,187.31,645
20070223,186.59,186.59,186.59,186.59,143
20070226,187.79,187.79,187.79,187.79,36
20070227,192.18,195.49,191.82,195.47,3033
20070228,195.97,196.39,193.76,193.76,1826
20070301,195.63,196.53,193.85,195.08,1683
20070302,196.89,199.1,196.14,199.06,5875
20070305,201.89,203.34,198.45,203.34,13866
20070306,200.66,201,197.84,198.12,3619
20070307,198.82,199.57,197.83,199.29,4226
20070308,197.03,198.71,196.75,198.4,3581
20070309,196.81,198.51,196.64,197,10456
20070312,197.34,197.34,196.16,196.16,1503
20070313,197.7,201.47,197.48,201.3,6020
20070314,200.91,203.23,199.21,199.46,12821
20070315,198.93,198.93,197.53,197.53,3080
20070316,197.67,199.07,197.67,199.07,860
20070319,197.39,197.5,196.25,197.2,897
20070320,196.72,197.03,195.05,195.21,11892
20070321,195.1,195.35,191.17,191.31,15506
20070322,191.14,192.37,191.14,191.53,1327
20070323,191.53,191.61,191.08,191.08,2113
20070326,191.28,193.09,191.19,191.36,6054
20070327,192.31,193.4,192.31,192.81,4048
20070328,194.04,194.88,193.43,194.07,3047
20070329,193.06,195.49,193.06,193.99,8883
20070330,193.29,194.88,192.62,193.76,2221
20070402,193.62,193.99,193.23,193.23,3259
20070403,191.08,191.19,190.64,190.66,2184
20070404,191.31,191.31,191.31,191.31,931
20070405,191.56,191.58,190.61,190.75,1342
20070409,191.7,191.7,191.17,191.19,1217
20070410,190.24,190.72,190.13,190.61,252
20070411,191.22,192.56,191.22,192.2,1182
20070412,192.48,193.46,190.86,190.86,2258
20070413,190.72,190.97,189.63,189.83,2471
20070416,187.93,188.26,186.95,186.95,2690
20070417,187.31,188.29,187.31,187.51,896
20070418,188.18,188.49,188.18,188.21,502
20070419,190.91,190.91,189.04,190.24,4868
20070420,187.79,188.9,187.68,188.07,8308
20070423,187.73,188.29,187.73,188.29,823
20070424,188.01,189.32,187.76,188.15,2148
20070425,187.9,187.9,186.59,187.4,3259
20070426,187.65,188.49,186.81,186.81,3867
20070427,187.82,188.26,187.54,187.54,1147
20070430,188.68,191.5,188.68,191.5,681
20070501,191.17,192.95,191.14,191.39,27899
20070502,191,191,188.07,188.23,3797
20070503,188.76,188.76,187.76,188.15,466
20070504,188.18,188.65,187.59,187.59,3260
20070507,187.31,187.95,186.78,187.7,4801
20070508,189.1,190.05,188.21,188.23,5873
20070509,189.04,189.04,186.56,186.92,3207
20070510,189.1,190.83,188.26,190.83,10710
20070511,189.83,189.99,188.12,188.35,13431
20070514,188.07,190.41,187.93,190.13,6232
20070515,190.27,192.17,188.79,192.17,11497
20070516,191.89,192.79,190.58,190.58,10423
20070517,191,192.09,191,191.39,11355
20070518,191.42,191.92,189.52,190.1,15221
20070521,190.16,190.16,186.78,187.56,6917
20070522,187.59,188.04,185.89,186.22,5555
20070523,186,187.23,184.97,187.23,7128
20070524,187.93,190.64,186.81,190.36,17476
20070525,188.35,189.41,188.35,188.82,8594
20070529,188.12,188.12,186.67,187.17,6953
20070530,188.49,188.49,185.55,185.55,14399
20070531,185.13,185.72,184.44,185.13,8346
20070601,183.26,184.32,183.07,183.74,7700
20070604,184.02,184.05,183.29,183.38,3010
20070605,184.16,185.25,184.16,184.91,1720
20070606,186.25,187.23,186.22,186.56,5050
20070607,187.54,190.27,187.03,189.88,25353
20070608,190.19,190.97,187.37,187.84,9134
20070611,188.88,189.13,187.45,188.46,4118
20070612,189.57,191.42,189.3,191.08,7197
20070613,190.38,190.77,188.12,188.21,8488
20070614,188.01,188.01,187.06,187.54,2114
20070615,184.77,185.19,184.41,185.13,6590
20070618,184.8,186.03,184.8,185.61,6125
20070619,186.42,186.42,184.91,184.91,1145
20070620,184.69,188.01,184.69,187.87,1755
20070621,189.46,189.46,187.06,187.06,7381
20070622,187.59,189.57,187.59,188.79,3079
20070625,188.88,190.69,187.59,190.19,7629
20070626,189.39,191,188.94,190.49,3259
20070627,191.7,191.7,187.33,187.33,9325
20070628,186.63,187.28,186.29,187.28,5140
20070629,186.66,188.66,186.06,188.66,2763
20070702,188.15,188.15,186.4,186.4,1452
20070703,185.89,185.92,185.53,185.56,4998
20070705,185.22,186.37,185.02,185.08,9574
20070706,185.5,185.5,184.34,184.49,424
20070709,184.37,185.05,184.26,184.54,920
20070710,186.74,188.01,186.35,188.01,2303
20070711,188.18,188.32,187.7,187.7,1631
20070712,185.02,185.02,184.18,184.18,637
20070713,184.71,185.05,183.89,184.32,2125
20070716,189.45,189.45,184.32,185.44,2016
20070717,185.56,185.56,184.71,185.36,1276
20070718,186.63,188.46,186.4,186.4,7444
20070719,184.71,185.42,184.71,184.99,2340
20070720,186.18,189.53,186.18,188.63,10068
20070723,188.35,188.86,187.7,188.77,5460
20070724,191.9,194.92,191.76,194.61,7976
20070725,193.34,196.47,192.49,194.18,16479
20070726,197.93,201.88,195.96,199.54,29590
20070727,203.04,205.15,200.23,204.89,24236
20070730,204.84,204.84,200.44,201.34,13615
20070731,199.4,204.33,198.66,204.22,24985
20070801,204.59,206.36,202.11,203.01,31589
20070802,201.2,202.98,201.2,201.63,8471
20070803,201.03,209.1,201.03,208.87,7093
20070806,208.98,212.34,205.8,205.8,36626
20070807,206.93,207.97,202.3,203.51,13608
20070808,201.43,201.43,195.71,198.72,25809
20070809,201.26,201.91,198.21,201.26,15898
20070810,204.53,205.04,197,199.31,19826
20070813,197.79,202.25,196.66,201.94,26826
20070814,202.27,206.56,201.43,206.5,9919
20070815,207.63,209.77,203.12,209.77,14432
20070816,209.49,213.97,204.53,204.64,42136
20070817,197.51,203.2,197.31,200.08,18253
20070820,200.19,202.56,199.93,200.36,3853
20070821,200.75,200.95,199.17,199.51,4643
20070822,197.51,198.98,197.06,197.76,5208
20070823,197.62,200.3,197.62,200.22,6308
20070824,200.22,200.3,197.85,198.07,10708
20070827,198.3,200.08,198.16,199.82,11487
20070828,201.51,205.71,201.46,205.49,6004
20070829,203.82,204.53,200.05,200.19,7971
20070830,202.36,202.36,199.23,201.57,6877
20070831,198.47,200.22,198.3,199.17,5188
20070904,199.31,199.34,195.71,197.14,15693
20070905,198.83,200.24,198.58,199.6,10682
20070906,198.61,200.5,198.36,199.2,5989
20070907,202.7,204.19,202.22,203.37,10310
20070910,201.96,207.77,201.96,205.35,22514
20070911,204.11,204.44,201.91,201.91,36389
20070912,202.19,203.18,201.26,203.18,3738
20070913,202.56,203.68,200.64,202.16,3044
20070914,203.46,204.92,202.42,202.42,1628
20070917,202.42,203.91,202.08,203.68,13954
20070918,202.98,203.01,195.65,195.73,19071
20070919,193,193.51,191.48,192.75,13455
20070920,193.68,195.93,193.34,194.92,6164
20070921,193.82,194.24,192.94,194.21,1506
20070924,194.49,196.3,193.76,196.21,3560
20070925,197.83,197.83,196.4,196.57,5655
20070926,195.55,196.01,194.35,195.21,6271
20070927,193.96,194.98,193.96,194.13,2602
20070928,193.59,195.72,193.11,195.72,2816
20071001,194.38,194.53,191.39,192.3,8587
20071002,190.71,191.14,189.63,189.63,6732
20071003,190.14,191.74,190.06,191.34,3581
20071004,190.97,191.51,190.34,190.54,5268
20071005,188.83,189.09,186.44,187.04,6839
20071008,187.64,188.78,187.04,188.12,2457
20071009,187.58,188.83,186.78,186.78,6111
20071010,187.44,188.63,187.1,187.27,4602
20071011,185.99,190.08,185.59,189.37,10016
20071012,188.18,188.35,187.52,188.35,2949
20071015,187.95,191.85,187.95,190.74,7407
20071016,191.25,192.13,191,192.11,6249
20071017,190.2,194.13,190.14,192.53,3406
20071018,193.13,193.61,191.37,191.99,10026
20071019,193.19,198.65,193.19,198.65,9345
20071022,200.96,200.96,194.78,195.09,9128
20071023,193.79,196.4,193.27,193.42,5233
20071024,195.52,198.68,194.7,195.46,6820
20071025,194.3,197.46,194.3,197.17,8219
20071026,193.64,195.29,192.53,192.53,2905
20071029,191.56,193.44,191.34,193.02,4669
20071030,193.27,194.64,193.02,194.64,6922
20071031,193.56,195.18,190.91,191.42,14615
20071101,196.66,199.25,195.18,198.48,10956
20071102,198.4,201.04,197.46,198.51,9832
20071105,202.89,202.89,199.25,200.05,6297
20071106,199.53,202.04,197.2,197.23,5443
20071107,199.82,203.86,199.39,203.86,7973
20071108,203.35,206.99,201.9,202.75,31769
20071109,206.2,206.37,202.95,204.86,7167
20071112,198.74,206.59,198.74,206.39,25575
20071113,204.52,204.52,200.16,200.19,18528
20071114,197.83,202.58,197.83,202.58,18329
20071115,208.64,208.64,202.67,205.06,21057
20071116,205.09,207.99,204.29,205.51,15171
20071119,202.67,211.8,202.67,210.86,41497
20071120,215.16,215.16,208.67,211.35,29295
20071121,212.43,214.76,211.03,213.74,17102
20071123,211.95,212.57,208.07,209.24,9060
20071126,233.29,233.29,208.73,215.3,6840
20071127,215.19,215.3,211.95,212.37,13363
20071128,211.77,211.77,204.57,205.14,19246
20071129,205.74,207.31,204.72,206.25,3018
20071130,203.52,206.74,201.98,206.28,21672
20071203,206.28,208.07,206.28,208.07,26944
20071204,210.55,210.92,208.93,209.95,6006
20071205,203.86,208.39,200.79,206.51,7493
20071206,205.23,205.23,200.73,200.73,38889
20071207,201.39,201.98,200.53,201.3,3796
20071210,200.67,201.02,198.88,199.76,5688
20071211,199.25,206.37,198.57,206.37,26981
20071212,200.39,207.08,199.53,204.89,8605
20071213,205.54,207.93,205.06,205.26,11590
20071214,207.65,209.53,205.37,209.38,38469
20071217,210.92,213.37,209.98,213.37,9940
20071218,211.49,214.42,208.84,209.61,10397
20071219,209.75,210.15,208.16,208.19,2352
20071220,207.45,210.36,206.19,206.19,8747
20071221,201.73,202.76,200.84,201.87,8817
20071224,199.72,199.78,198.47,198.58,20495
20071226,204.53,204.53,197.24,198.18,10916
20071227,199.41,203.84,198.67,203.81,54140
20071228,201.73,205.33,201.73,204.24,4968
20071231,205.7,207.59,204.96,206.79,58520
20080102,205.9,210.28,205.53,209.56,14307
20080103,208.73,211.88,207.76,211.85,20188
20080104,214.82,219.05,214.42,218.85,217791
20080107,217.82,220.86,215.51,216.82,16478
20080108,216.88,223.97,214.34,223.97,12224
20080109,224.23,228.18,221.34,221.34,115102
20080110,228.58,228.58,216.85,218.8,160654
20080111,221.91,224.32,219.94,223.83,66095
20080114,221.17,223.34,220.37,221.23,17109
20080115,224.34,226.89,223.83,225.74,26136
20080116,226.86,228.38,222.03,225.52,106741
20080117,225.17,231.92,224.4,231.21,102850
20080118,230.09,236.52,228.29,233.84,24668
20080122,263.43,263.43,230.43,234.75,67515
20080123,243.19,278.04,227.09,227.66,137179
20080124,225.63,229.72,223.14,227.23,23698
20080125,223.4,230.03,223.4,228.46,14600
20080128,230.21,231.61,224.43,224.72,45406
20080129,223.74,225.54,222.23,223.17,11511
20080130,224.89,227.23,219.91,226.83,69991
20080131,229.89,230.35,218.91,220.8,88808
20080201,219.03,220.54,215.25,215.59,21578
20080204,215.42,218.28,215.42,217.97,6228
20080205,221.14,224.49,219.51,224.49,14834
20080206,221.66,227.75,221.06,227.75,8326
20080207,230.66,230.66,222.6,224.2,12949
20080208,225.49,226.29,222.31,225.63,11100
20080211,225.63,227.72,223.57,225.14,9902
20080212,223.31,224.77,220.77,223.8,20046
20080213,220.17,221.74,218.14,218.14,66942
20080214,218.88,223.49,218.57,222.63,18401
20080215,224.54,226.6,223.77,224.29,98003
20080219,226.72,226.72,220.57,224.09,10951
20080220,225.72,226.2,221.31,221.31,11669
20080221,220.05,226.4,218.34,225.77,14132
20080222,226.52,230.06,225.89,226.12,22144
20080225,226.37,227.06,221.11,221.28,15322
20080226,223.03,223.03,217.02,218.8,29766
20080227,221.48,221.48,217.31,219.63,29767
20080228,222.4,223.77,220.4,222.71,41763
20080229,225.26,229.86,225.03,228.35,45306
20080303,231.38,232.81,227.86,229.35,22264
20080304,233.32,234.38,229.52,230.63,29494
20080305,229.32,232.24,228.18,229.86,18859
20080306,231.18,236.95,230.61,236.95,36728
20080307,239.9,240.07,234.47,237.73,55696
20080310,238.1,244.16,236.9,243.42,27342
20080311,235.61,239.9,232.26,232.26,38924
20080312,232.38,234.64,229.66,233.92,40452
20080313,237.58,239.13,229.81,230.63,36972
20080314,228.46,238.64,228.46,236.04,54150
20080317,243.02,243.02,236.98,239.78,27326
20080318,234.09,237.21,228.26,229.15,44753
20080319,229.83,234.27,226,234.12,23073
20080320,236.32,236.32,228.32,228.32,20514
20080324,227.55,228.2,220.48,221.71,28406
20080325,221.01,223.47,220.52,220.81,13343
20080326,221.61,223.56,221.12,221.52,14663
20080327,221.78,224.79,221.15,224.5,31932
20080328,224.68,228.06,223.67,227.91,22792
20080331,227.34,228.2,224.62,226.25,5659
20080401,226.14,226.14,218.92,218.92,15148
20080402,218.6,219.8,216.88,218.26,6605
20080403,220.21,220.21,217.02,217.94,12011
20080404,217.63,219.29,215.59,217.74,8445
20080407,216.08,218.92,215.85,218.06,8521
20080408,220.35,220.35,217.94,218.6,39540
20080409,217.8,223.19,217.63,222.67,10017
20080410,222.53,222.53,218.94,219.83,5866
20080411,222.3,226.34,222.3,225.97,16808
20080414,225.91,226.88,224.42,226.42,11368
20080415,224.59,226.85,224.42,224.42,20190
20080416,222.04,222.04,217.45,217.57,68173
20080417,218.49,220.66,218.46,219.17,24288
20080418,215.16,216.57,214.27,215.42,20233
20080421,216.8,217.37,215.59,215.96,6049
20080422,218.03,222.41,217.91,220.26,84067
20080423,219.86,221.12,218.52,219.46,8372
20080424,219.32,221.95,215.08,216.42,17100
20080425,215.51,218.4,214.07,214.96,11879
20080428,215.08,216.22,213.1,213.87,29475
