Date,Open,High,Low,Close,Volume
20070201,7.994,7.994,7.994,7.994,2668
20070205,8.022,8.022,8.01,8.015,208072
20070206,8.041,8.041,8.007,8.007,9781
20070207,8.017,8.017,8.017,8.017,889
20070208,8.035,8.035,8.035,8.035,889
20070209,8.041,8.051,8.041,8.051,2667
20070213,7.93,7.93,7.923,7.923,1778
20070214,8.002,8.024,8.002,8.024,1778
20070215,8.024,8.102,8.024,8.099,3556
20070220,8.028,8.028,8.028,8.028,889
20070226,7.915,7.915,7.915,7.915,27565
20070227,7.44,7.467,7.44,7.467,2668
20070228,7.645,7.649,7.592,7.592,4445
20070301,7.516,7.516,7.47,7.47,3556
20070305,7.237,7.292,7.237,7.292,2667
20070306,7.347,7.404,7.347,7.404,1778
20070313,7.408,7.408,7.408,7.408,889
20070315,7.321,7.321,7.321,7.321,2668
20070320,7.439,7.473,7.439,7.473,4446
20070321,7.539,7.599,7.539,7.599,13338
20070323,7.683,7.683,7.661,7.674,3556
20070327,7.646,7.646,7.646,7.646,889
20070328,7.49,7.49,7.49,7.49,1778
20070329,7.52,7.52,7.52,7.52,889
20070330,7.529,7.529,7.529,7.529,889
20070402,7.616,7.616,7.616,7.616,2668
20070404,7.797,7.846,7.797,7.846,12448
20070405,7.94,7.992,7.94,7.98,15116
20070409,7.979,7.979,7.959,7.975,36452
20070410,8.012,8.012,7.993,7.993,4446
20070411,7.953,7.953,7.953,7.953,889
20070412,7.921,8.048,7.921,8.048,5335
20070413,8.258,8.304,8.212,8.293,62243
20070416,8.399,8.45,8.378,8.45,90696
20070417,8.545,8.584,8.51,8.522,33787
20070418,8.413,8.469,8.413,8.465,14227
20070419,8.492,8.532,8.467,8.516,66689
20070420,8.619,8.629,8.556,8.617,40011
20070423,8.61,8.642,8.602,8.609,47125
20070424,8.606,8.606,8.531,8.592,25785
20070425,8.591,8.672,8.536,8.672,14226
20070426,8.69,8.718,8.677,8.718,16004
20070427,8.651,8.687,8.615,8.657,8890
20070430,8.602,8.611,8.558,8.558,112039
20070501,8.548,8.602,8.545,8.602,10670
20070502,8.637,8.738,8.612,8.697,11559
20070503,8.697,8.72,8.693,8.72,13335
20070504,8.761,8.806,8.751,8.777,18672
20070507,8.843,8.856,8.834,8.856,15115
20070508,8.772,8.777,8.744,8.777,2667
20070509,8.812,8.845,8.8,8.84,23117
20070510,8.682,8.682,8.531,8.549,48905
20070511,8.548,8.626,8.548,8.626,39124
20070514,8.679,8.715,8.643,8.643,39124
20070515,8.624,8.679,8.561,8.561,77359
20070516,8.656,8.691,8.631,8.691,15115
20070517,8.66,8.669,8.648,8.648,2667
20070518,8.656,8.73,8.656,8.73,9781
20070521,8.759,8.778,8.736,8.737,36455
20070522,8.747,8.817,8.744,8.815,4445
20070523,8.874,8.906,8.805,8.805,8001
20070524,8.82,8.869,8.726,8.73,58687
20070525,8.716,8.786,8.716,8.732,7113
20070529,8.748,8.748,8.748,8.748,889
20070531,8.739,8.787,8.739,8.78,19562
20070601,8.811,8.842,8.783,8.806,8891
20070604,8.772,8.773,8.772,8.773,6224
20070605,8.736,8.736,8.655,8.708,59577
20070606,8.61,8.61,8.535,8.535,22228
20070607,8.494,8.494,8.261,8.261,105811
20070608,8.251,8.357,8.251,8.357,10670
20070611,8.392,8.431,8.376,8.376,3556
20070612,8.322,8.322,8.257,8.257,3556
20070613,8.251,8.369,8.238,8.368,6223
20070614,8.398,8.428,8.398,8.423,21339
20070615,8.519,8.582,8.501,8.525,23117
20070618,8.491,8.502,8.449,8.449,68467
20070619,8.454,8.48,8.447,8.48,6223
20070620,8.378,8.405,8.368,8.368,17784
20070621,8.238,8.238,8.175,8.175,3556
20070622,8.152,8.152,8.016,8.043,15115
20070625,8.039,8.083,7.987,7.987,9780
20070626,8.075,8.149,8.075,8.099,21175
20070627,8.05,8.185,8.05,8.185,81173
20070628,8.251,8.251,8.249,8.249,5294
20070629,8.215,8.215,8.055,8.153,16763
20070702,8.221,8.277,8.221,8.277,17645
20070703,8.337,8.362,8.316,8.342,36172
20070705,8.277,8.36,8.273,8.36,7057
20070706,8.313,8.313,8.272,8.296,5293
20070709,8.335,8.335,8.291,8.318,7939
20070710,8.272,8.283,8.177,8.177,25586
20070711,8.197,8.24,8.197,8.24,5293
20070712,8.252,8.408,8.252,8.397,8822
20070713,8.468,8.505,8.432,8.468,16763
20070716,8.461,8.469,8.457,8.463,14998
20070717,8.41,8.455,8.387,8.387,8822
20070718,8.33,8.347,8.258,8.315,15881
20070719,8.342,8.342,8.27,8.276,3529
20070720,8.214,8.214,8.15,8.187,3529
20070724,8.27,8.27,8.092,8.096,22940
20070725,8.09,8.119,8.09,8.119,10588
20070726,8.047,8.047,7.822,7.848,50290
20070727,7.816,7.816,7.574,7.574,20292
20070730,7.519,7.645,7.519,7.622,12351
20070731,7.686,7.686,7.559,7.563,13234
