Date,Open,High,Low,Close,Volume
20061107,54.71,54.71,54.71,54.71,1000
20061110,33.55,33.55,33.55,33.55,164
20061113,33.7,33.7,33.69,33.69,106663
20061121,33.75,33.75,33.75,33.75,492
20061122,33.76,33.78,33.76,33.77,66460
20061124,33.73,33.73,33.73,33.73,328
20061206,34.69,34.69,34.63,34.63,105187
20061213,34.74,34.85,34.74,34.81,9680
20061220,34.78,34.79,34.76,34.77,2132
20061221,34.8,34.8,34.73,34.73,656
20061222,34.66,34.66,34.66,34.66,164
20061226,34.81,34.81,34.81,34.81,164
20070104,34.98,34.98,34.98,34.98,653
20070105,34.38,34.43,34.38,34.43,1143
20070110,34.19,34.21,34.19,34.21,815
20070116,34.21,34.41,34.21,34.34,37396
20070119,34.41,34.41,34.41,34.41,980
20070124,34.77,34.88,34.77,34.88,2286
20070201,35.15,35.15,35.15,35.15,163
20070202,35.25,35.25,35.24,35.24,490
20070205,35.5,35.5,35.5,35.5,327
20070206,35.61,35.65,35.61,35.65,815
20070207,35.66,35.77,35.65,35.74,1960
20070208,35.92,35.92,35.92,35.92,163
20070209,35.82,35.82,35.82,35.82,163
20070212,35.74,35.76,35.74,35.76,3429
20070214,36.31,36.31,36.29,36.29,8655
20070226,37.15,37.15,37.15,37.15,327
20070227,36.07,36.07,36.07,36.07,1633
20070228,36.36,36.36,36.26,36.28,816
20070301,35.96,35.96,35.96,35.96,1633
20070305,35.25,35.25,35.25,35.25,653
20070306,35.59,35.59,35.59,35.59,163
20070307,35.9,35.9,35.87,35.87,3103
20070312,36.31,36.31,36.31,36.31,653
20070313,36.26,36.26,35.79,35.79,2123
20070314,35.93,35.93,35.85,35.85,6859
20070315,36.37,36.37,36.37,36.37,327
20070316,36.25,36.25,36.21,36.21,3250
20070319,36.45,36.45,36.45,36.45,163
20070320,36.59,36.65,36.59,36.65,2113
20070321,36.94,37.08,36.94,37.08,326
20070323,37.31,37.5,37.31,37.5,4064
20070326,37.42,37.42,37.42,37.42,1625
20070327,37.5,37.5,37.46,37.46,976
20070328,37.61,37.62,37.61,37.62,813
20070329,37.63,37.63,37.63,37.63,325
20070330,37.56,37.56,37.48,37.48,2926
20070402,38.11,38.11,38.04,38.04,651
20070403,38.24,38.24,38.24,38.24,1300
20070404,38.11,38.11,38.11,38.11,163
20070405,38.27,38.27,38.27,38.27,650
20070409,38.43,38.43,38.43,38.43,163
20070410,38.53,38.53,38.53,38.53,163
20070411,38.56,38.56,38.46,38.46,650
20070412,38.24,38.24,38.24,38.24,163
20070416,38.45,38.46,38.45,38.46,2113
20070417,38.67,38.68,38.67,38.68,325
20070419,38.61,38.61,38.61,38.61,488
20070420,38.83,38.83,38.8,38.8,9751
20070423,39.06,39.07,39.06,39.07,9914
20070424,39.08,39.08,39.05,39.05,16902
20070425,39.42,39.42,39.42,39.42,163
20070426,39.52,39.59,39.38,39.38,3901
20070427,39.23,39.23,39.16,39.16,488
20070430,39.22,39.22,38.83,38.85,976
20070501,38.92,39.2,38.89,39.2,6500
20070502,39.49,39.51,39.44,39.51,976
20070503,39.6,39.6,39.6,39.6,2925
20070504,39.64,39.64,39.64,39.64,163
20070507,39.8,39.91,39.8,39.91,326
20070508,39.76,39.76,39.76,39.76,1788
20070514,39.97,39.98,39.97,39.98,3251
20070515,40.09,40.38,40.01,40.01,15601
20070516,40.06,40.11,40.06,40.11,2277
20070517,40.05,40.07,40.05,40.07,813
20070518,40.12,40.17,40.09,40.17,3738
20070522,40.35,40.39,40.27,40.27,4714
20070523,39.98,39.98,39.89,39.89,326
20070524,39.88,39.88,38.97,38.97,5201
20070525,39.09,39.09,38.88,39.02,976
20070529,39.16,39.48,39.16,39.48,9913
20070530,39.33,39.55,39.33,39.55,488
20070531,39.7,39.7,39.66,39.66,975
20070601,39.78,39.78,39.37,39.37,326
20070604,39.24,39.24,39.24,39.24,325
20070605,39.17,39.17,38.96,38.96,10076
20070606,38.75,38.75,38.4,38.4,12026
20070607,38.19,38.2,37.36,37.36,18204
20070608,37.31,37.66,37.31,37.44,26328
20070611,38,38.1,38,38.08,21129
20070612,37.66,37.79,37.51,37.56,17551
20070613,38.02,38.02,37.99,37.99,650
20070614,38.24,38.28,38.24,38.26,18691
20070615,38.68,38.8,38.68,38.77,5011
20070618,38.64,38.64,38.44,38.48,12598
20070619,38.32,38.49,38.26,38.34,21321
20070620,38.41,38.41,38.04,38.04,13567
20070621,37.5,37.93,37.5,37.81,36339
20070622,37.51,37.51,37.28,37.36,2100
20070625,37.35,37.79,37.35,37.42,13891
20070626,37.88,37.88,37.35,37.35,7753
20070627,37.29,37.68,37.29,37.68,1293
20070628,37.75,38.09,37.66,37.66,17448
20070629,37.94,37.94,37.4,37.69,37636
20070702,38.09,38.25,38.09,38.25,486
20070703,38.51,38.53,38.32,38.33,3069
20070705,38.19,38.21,38.15,38.15,4361
20070706,38.02,38.02,37.79,37.79,5492
20070709,38.22,38.25,38.09,38.13,52983
20070710,37.94,38.11,37.59,37.59,33597
20070711,37.64,37.83,37.64,37.83,58112
20070712,38.04,38.35,37.97,38.35,44098
20070713,38.35,38.79,38.3,38.77,98366
20070716,38.7,38.7,38.7,38.7,969
20070718,38.27,38.42,38.2,38.42,4041
20070719,38.57,39.01,38.57,39.01,11952
20070720,38.87,38.88,38.59,38.59,1940
20070723,38.85,38.9,38.71,38.72,20194
20070724,37.52,37.52,37.52,37.52,162
20070725,37.95,37.95,37.24,37.68,19381
20070726,37.27,37.27,36.33,36.72,46674
20070727,36.63,36.63,36.22,36.22,4685
20070730,36.12,36.12,35.94,35.96,16635
20070731,36.62,36.62,36.11,36.11,17604
20070801,36.23,36.93,36.16,36.93,63308
20070802,37.11,37.11,37.11,37.11,9690
20070803,36.22,36.22,35.86,35.86,10015
20070806,35.99,36.69,35.71,36.69,19706
20070807,36.98,37.18,36.98,37.18,6622
20070808,37.84,37.84,37.22,37.53,30041
20070809,36.99,36.99,36.99,36.99,8398
20070810,36.41,36.41,36.41,36.41,1615
20070813,36.87,36.87,36.87,36.87,162
20070814,36.17,36.41,36.17,36.22,6946
20070815,35.76,35.76,35.76,35.76,162
20070816,35.26,35.26,34.68,34.83,10825
20070817,36.67,36.67,36,36.38,21319
20070820,36.48,36.48,36.48,36.48,6460
20070822,36.87,36.87,36.87,36.87,162
20070827,37.08,37.08,36.71,36.71,969
20070830,36.66,36.66,36.57,36.57,3553
20070831,36.8,36.8,36.8,36.8,3230
20070905,36.87,36.87,36.87,36.87,2423
20070906,36.96,37.01,36.96,37.01,808
20070907,36.71,36.71,36.71,36.71,323
20070913,37.17,37.17,37.17,37.17,162
20070914,37.18,37.18,37.18,37.18,162
20070918,37.57,37.6,37.57,37.6,324
20070920,38.19,38.29,38.05,38.05,5170
20070925,38.14,38.14,38.14,38.14,160
