Date,Open,High,Low,Close,Volume
20070125,69.65,69.65,69.47,69.47,3000
20070129,69.86,69.92,69.86,69.92,200
20070130,168.63,168.63,168.63,168.63,41
20070201,164.91,164.91,164.91,164.91,1642
20070205,165.54,165.54,165.54,165.54,616
20070206,166.32,166.32,166.22,166.22,2257
20070207,165.47,165.47,164.73,164.73,287
20070209,166.39,166.39,166.39,166.39,41
20070212,166.71,167.15,166.71,167.15,492
20070213,166.78,166.78,165.93,166.27,738
20070214,165.54,165.54,165.27,165.27,410
20070215,165.05,165.05,165.05,165.05,82
20070223,163.05,163.05,163.05,163.05,41
20070227,166.29,170.44,166.29,170.44,1107
20070228,168.63,169.29,168.63,169.19,123
20070301,173.43,173.43,169.46,169.63,2092
20070302,171.63,172.85,171.07,172.34,9309
20070305,173.94,175.24,172.46,174.92,4925
20070306,173.73,174.46,172.19,172.8,739
20070307,172.56,173.53,171.9,171.92,4555
20070308,171.36,171.7,170.9,171.7,4309
20070309,171.14,171.85,171.02,171.02,2789
20070313,171.78,174.72,171.36,174.72,2174
20070314,174.58,175.21,173.34,173.34,2626
20070315,172.12,172.36,171.39,171.39,369
20070316,172.04,172.04,172.04,172.04,41
20070319,171.12,171.12,170.19,170.87,246
20070320,170.61,170.61,168.71,168.71,5951
20070321,169.1,169.1,166.42,166.42,2830
20070322,166.64,166.66,166.12,166.66,492
20070323,165.68,165.68,165.51,165.56,4515
20070326,166.07,166.07,166.07,166.07,41
20070328,167.03,167.68,167.03,167.68,164
20070330,167.2,168.29,167.2,168.29,451
20070402,166.85,166.85,166.85,166.85,205
20070403,165.44,165.44,165.05,165.1,574
20070404,165.49,165.66,165.3,165.3,369
20070409,165,165,165,165,410
20070412,166.17,166.17,165.15,165.15,861
20070413,165,165,164.93,164.95,615
20070416,162.74,162.74,162.3,162.47,574
20070418,163.35,163.35,163.35,163.35,205
20070419,165.37,165.37,164.2,164.49,1149
20070420,162.4,163.2,162.4,162.86,902
20070423,162.69,162.69,162.69,162.69,82
20070425,162.27,162.27,161.96,161.96,246
20070426,161.59,161.66,161.59,161.59,123
20070430,164.88,165.03,164.88,165.03,82
20070501,165.15,165.15,164.44,164.44,287
20070502,161.71,161.71,161.49,161.49,369
20070504,161.01,161.01,160.86,160.86,123
20070507,160.88,161.03,160.88,161.03,1601
20070508,162.57,162.57,161.98,162.01,656
20070509,161.27,161.27,160.35,160.35,4964
20070510,161.79,163.13,161.79,162.96,1108
20070511,162.64,162.64,161.96,161.96,492
20070514,160.91,163.18,160.91,163.18,1066
20070515,163.03,164.42,161.93,164.2,2624
20070516,163.64,165.08,163.25,163.25,6155
20070517,163.86,164.54,163.64,163.93,5049
20070518,164.1,164.44,162.27,162.88,2050
20070521,162.76,162.76,160.13,160.42,2953
20070522,160.67,161.25,159.45,159.96,984
20070523,159.35,160.67,158.35,160.67,1969
20070524,160.81,163.32,159.59,163.32,1804
20070525,162.03,162.15,161.45,161.45,205
20070529,160.76,161.3,160.03,160.71,1107
20070530,160.03,160.03,159.59,159.59,451
20070531,158.94,158.94,158.01,158.89,1887
20070601,157.21,157.84,156.84,157.69,615
20070604,158.08,158.08,157.52,157.52,533
20070605,157.89,159.18,157.89,159.01,574
20070606,159.72,160.98,159.72,160.08,3145
20070607,161.18,163.42,161.06,163.03,9268
20070608,163.61,163.61,161.98,162.13,5867
20070611,162.15,162.15,161.25,161.69,1559
20070612,163.71,164.03,162.54,164.03,2092
20070613,163.49,163.78,161.57,161.71,7549
20070614,160.18,160.67,160.18,160.57,2257
20070615,158.86,158.86,158.25,158.67,3775
20070618,158.69,159.25,158.69,158.98,410
20070619,160.35,160.52,158.79,158.81,369
20070620,158.86,162.54,158.86,162.54,1723
20070621,162.25,162.25,160.76,160.81,164
20070622,160.86,162.71,160.86,162.32,1067
20070625,162.79,163.25,161.2,163.25,3138
20070626,159.84,160.3,159.84,160.3,246
20070627,163.3,163.3,161.61,161.61,161
20070628,161.01,161.01,160.84,160.84,282
20070702,160.52,160.67,160.49,160.49,725
20070703,159.82,160.02,159.82,160.02,322
20070705,159.82,160.29,159.75,160.29,221
20070709,159.57,159.57,159.15,159.45,565
20070710,160.59,161.31,160.59,161.31,363
20070711,161.58,161.63,161.01,161.38,2174
20070712,158.16,158.63,158.11,158.63,242
20070713,158.21,158.58,157.74,157.89,1490
20070716,158.26,159.32,158.26,158.9,1692
20070717,158.58,158.58,157.84,158.58,2456
20070718,159.82,160.81,159.03,159.08,3546
20070719,158.23,158.26,158.13,158.13,242
20070720,160.12,161.83,160.12,160.81,2016
20070723,160.59,160.59,159.82,160.42,524
20070724,163.3,165.43,163.3,164.96,1690
20070725,164.36,166.42,163.47,164.81,3584
20070726,167.51,170.91,167.51,168.85,6303
20070727,171.13,172.8,168.51,172.7,10814
20070730,173.15,173.15,169.92,169.92,3142
20070731,168.51,170.32,168.09,170.15,2134
20070801,172.92,173.72,170.72,171.11,6564
20070802,169.75,171.26,168.93,170.19,2215
20070803,170.12,176.08,170.12,175.8,6163
20070806,176.08,178.43,173.55,173.57,9920
20070807,174.46,174.81,171.73,171.73,4029
20070808,168.38,172.01,167.22,170.62,22363
20070809,172.4,172.48,170.15,172.48,1330
20070810,174.81,175.06,168.98,170.54,5239
20070813,168.46,171.41,168.38,171.41,13499
20070814,171.53,174.98,171.53,174.98,4353
20070815,175.95,178.09,173.17,178.09,2498
20070816,177.32,181.46,174.71,174.81,4832
