Date,Open,High,Low,Close,Volume
20070205,1478.11,1478.11,1478.11,1478.11,231
20070207,1470.76,1470.76,1470.76,1470.76,5
20070208,1465.36,1465.36,1465.36,1465.36,231
20070209,1835.86,1836.94,1835.86,1836.5,108
20070213,1494.97,1494.97,1488.27,1488.27,236
20070214,1485.03,1485.03,1482.65,1482.65,236
20070220,1461.9,1461.9,1461.9,1461.9,231
20070223,1457.14,1460.38,1457.14,1460.38,156
20070226,373.53,373.53,372.88,372.88,528
20070227,1536.15,1598.73,1532.66,1598.07,1178
20070228,1580.85,1580.85,1576.92,1576.92,14
20070302,1590.08,1590.08,1590.08,1590.08,5
20070305,1628.56,1643.04,1628.56,1643.04,518
20070307,1599.59,1599.59,1591.81,1595.92,496
20070308,1577.98,1577.98,1565.44,1577.11,504
20070309,1585.54,1592.24,1582.08,1582.08,116
20070312,1585.76,1585.76,1578.95,1578.95,154
20070313,1591.59,1669.63,1591.59,1635.26,311
20070314,1642.82,1651.9,1635.91,1635.91,376
20070315,1623.59,1625.31,1623.35,1625.31,15
20070316,1612.99,1629.85,1612.99,1629.85,14
20070319,1601.75,1601.75,1596.35,1596.35,46
20070320,1582.3,1585.97,1565.22,1565.22,449
20070321,1571.27,1571.27,1518.1,1518.1,338
20070322,1516.8,1532.37,1516.15,1527.61,157
20070323,1521.37,1521.77,1521.34,1521.56,23
20070326,1547.93,1547.93,1523.29,1523.29,42
20070327,1544.9,1546.2,1544.9,1546.2,10
20070328,1579.49,1579.49,1571.49,1571.49,15
20070329,1562.84,1585.54,1562.84,1571.92,182
20070330,1566.3,1566.3,1562.41,1563.92,110
20070402,1567.82,1567.82,1567.82,1567.82,5
20070403,1512.26,1512.26,1512.26,1512.26,5
20070404,1514.42,1518.53,1514.42,1518.53,47
20070405,1517.23,1517.45,1503.4,1503.62,78
20070409,1504.44,1504.44,1504.44,1504.44,9
20070410,1493.89,1502.97,1493.89,1502.97,14
20070411,1509.89,1509.89,1509.89,1509.89,5
20070412,1513.78,1513.78,1513.78,1513.78,9
20070416,1482.65,1484.25,1469.68,1484.25,51
20070419,1493.46,1496.92,1493.46,1496.92,19
20070420,1465.14,1465.14,1465.14,1465.14,14
20070423,1463.84,1478.54,1463.84,1476.6,41
20070424,1478.54,1478.54,1478.54,1478.54,93
20070425,1462.11,1462.11,1454.76,1456.06,121
20070430,1496.92,1528.47,1495.4,1528.47,48
20070501,1529.77,1544.69,1514.42,1514.42,288
20070502,1487.4,1494.1,1478.11,1493.67,201
20070503,1496.05,1496.05,1496.05,1496.05,14
20070507,1482,1486.54,1478.11,1486.54,29
20070508,1492.16,1492.16,1492.16,1492.16,9
20070510,1491.51,1514.86,1491.51,1514.86,79
20070511,1513.99,1514.21,1507.72,1507.72,62
20070514,1507.72,1507.72,1507.72,1507.72,9
20070515,1507.72,1520.48,1495.83,1520.48,115
20070516,1514.21,1514.21,1514.21,1514.21,5
20070517,1509.88,1509.88,1503.83,1503.83,42
20070518,1492.81,1492.81,1479.62,1479.62,42
20070521,1472.49,1478.33,1418.23,1473.79,122
20070525,1486.11,1486.11,1486.11,1486.11,14
20070530,1494.54,1494.54,1480.7,1480.7,28
20070531,1457.14,1457.14,1457.14,1457.14,9
20070604,1433.15,1433.15,1433.15,1433.15,46
20070605,1452.39,1452.39,1450.87,1450.87,97
20070606,1468.81,1469.89,1468.6,1469.89,56
20070607,1484.81,1516.15,1484.81,1515.29,85
20070608,1529.77,1529.77,1501.24,1501.24,61
20070611,1501.89,1501.89,1501.89,1501.89,5
20070612,1512.26,1536.9,1507.72,1532.58,65
20070613,1508.16,1508.8,1508.16,1508.8,185
20070614,1501.24,1501.24,1489.78,1489.78,24
20070615,1466,1466.65,1443.52,1466.65,51
20070619,1490.65,1490.65,1490.65,1490.65,9
20070620,1475.52,1476.38,1474.22,1476.38,43
20070621,1502.32,1504.7,1497.78,1497.78,19
20070622,1517.88,1518.53,1515.72,1518.1,33
20070625,1523.94,1535.18,1523.94,1529.77,126
20070626,1526.39,1541.57,1521.55,1541.57,210
20070627,1558.28,1558.28,1517.82,1517.82,51
20070628,1521.99,1521.99,1508.14,1515.62,47
20070702,1512.32,1513.42,1512.32,1513.42,18
20070703,1502.2,1506.16,1502.2,1506.16,14
20070706,1468.11,1468.11,1463.27,1463.27,23
20070709,1471.41,1471.41,1471.41,1471.41,14
20070710,1501.76,1512.76,1501.76,1512.76,20
20070711,1521.99,1525.29,1516.5,1516.5,88
20070712,1491.42,1492.52,1491.42,1492.52,14
20070713,1476.03,1478.67,1462.61,1462.61,51
20070716,1470.09,1475.81,1470.09,1475.37,38
