Date,Open,High,Low,Close,Volume
20100805,40.78,40.84,40.76,40.81,5405
20100806,40.92,40.94,40.86,40.89,11844
20100809,40.93,40.93,40.79,40.87,21159
20100810,40.86,41.12,40.85,41.11,26047
20100811,41.16,41.18,41.09,41.11,25309
20100812,41.12,41.12,40.81,40.85,127266
20100813,40.9,41.05,40.86,40.99,144824
20100816,41.23,41.23,41.09,41.12,58742
20100817,41.07,41.09,40.97,41.01,94983
20100818,41.1,41.1,40.96,40.96,28426
20100819,40.96,41.07,40.94,41.01,18790
20100820,41.03,41.03,40.92,40.92,20906
20100823,40.89,40.99,40.81,40.99,14992
20100824,41.16,42.47,41.02,41.11,30371
20100825,41.21,41.21,41.04,41.1,40881
20100826,41.2,41.35,41.16,41.35,18474
20100827,41.35,41.35,41.06,41.06,57305
20100830,41.25,41.29,41.17,41.25,24399
20100831,41.39,41.39,41.29,41.33,24743
20100901,41.21,41.21,40.96,41.18,39090
20100902,41.14,41.16,41.04,41.11,13626
20100903,40.99,41.07,40.98,41.03,13727
20100907,41.24,41.31,41.17,41.31,18087
20100908,41.27,41.27,41.13,41.19,20906
20100909,41.14,41.14,41,41.05,25463
20100910,41.07,41.17,41.07,41.08,17001
20100913,41.11,41.34,41.11,41.31,8886
20100914,41.43,41.43,41.37,41.39,29559
20100915,41.31,41.36,41.2,41.23,25420
20100916,41.16,41.16,41.01,41.09,29519
20100917,41.12,41.17,41.05,41.07,10910
20100920,41.15,41.25,41.11,41.21,28166
20100921,41.35,41.76,41.3,41.73,57026
20100922,41.96,42,41.84,41.85,18057
20100923,41.9,41.9,41.7,41.8,16304
20100924,41.68,41.75,41.6,41.61,27541
20100927,41.64,41.75,41.61,41.73,15003
20100928,41.84,42.08,41.82,41.98,18521
20100929,41.98,41.98,41.78,41.82,23893
20100930,41.79,41.9,41.53,41.75,30243
20101001,41.72,41.82,41.69,41.79,18428
20101004,41.79,41.85,41.78,41.82,45215
20101005,41.91,42.07,41.89,42.04,24845
20101006,42.5,42.75,42.45,42.45,53071
20101007,42.5,42.5,42.31,42.38,27135
20101008,42.53,42.6,42.5,42.57,28049
20101011,42.65,42.65,42.54,42.56,11743
20101012,42.56,42.6,42.41,42.43,69377
20101013,42.46,42.69,42.46,42.67,26905
20101014,42.78,42.96,42.76,42.83,34372
20101015,42.76,42.76,42.52,42.57,36164
20101018,42.62,42.7,42.61,42.63,20642
20101019,42.47,42.74,42.47,42.73,17829
20101020,42.67,42.73,42.64,42.7,13174
20101021,42.72,42.78,42.68,42.71,14357
20101022,42.64,42.73,42.62,42.69,30218
20101025,42.8,42.89,42.8,42.84,39283
20101026,42.74,42.74,42.61,42.61,13238
20101027,42.47,42.49,42.35,42.39,21330
20101028,42.45,42.55,42.43,42.5,9162
20101029,42.63,42.66,42.58,42.65,64405
20101101,42.78,42.78,42.61,42.68,36229
20101102,42.79,42.87,42.75,42.79,21825
20101103,42.96,43,42.65,42.79,38889
20101104,43,43.05,42.75,42.78,32280
20101105,42.73,42.76,42.65,42.67,59848
20101108,42.76,42.76,42.61,42.66,26163
20101109,42.72,42.72,42.3,42.31,55985
20101110,42.33,42.43,42.06,42.41,49070
20101111,42.46,42.51,42.43,42.5,25571
20101112,42.37,42.45,42.09,42.09,88209
20101115,41.93,41.98,41.57,41.6,45371
20101116,41.69,41.75,41.35,41.62,69050
20101117,41.64,41.74,41.61,41.66,10913
20101118,41.69,41.71,41.55,41.71,17923
20101119,41.72,41.84,41.69,41.84,41568
20101122,41.96,42.03,41.89,42.02,30116
20101123,42.17,42.17,42.01,42.04,38678
20101124,41.92,41.92,41.72,41.73,15002
20101126,41.88,41.92,41.83,41.91,9931
20101129,42.06,42.06,41.93,41.99,16838
20101130,42.14,42.14,41.9,41.92,28826
20101201,41.71,41.76,41.59,41.63,36686
20101202,41.58,41.75,41.55,41.61,20244
20101203,41.7,41.7,41.56,41.58,29769
20101206,41.71,41.8,41.69,41.8,31047
20101207,41.64,41.69,41.34,41.41,70042
20101208,41.22,41.23,40.96,41.03,46253
20101209,41.05,41.05,40.87,40.95,34582
20101210,40.87,40.91,40.76,40.82,27139
20101213,40.74,41.02,40.72,40.92,41069
20101214,40.82,40.85,40.48,40.63,38292
20101215,40.75,40.83,40.66,40.69,23161
20101216,40.75,40.94,40.68,40.94,29822
20101217,40.98,41.21,40.97,41.14,14888
20101220,41.22,41.26,41.05,41.09,19858
20101221,41.2,41.22,41.05,41.17,113752
20101222,41.18,41.18,41.06,41.16,35073
20101223,41.14,41.14,41.05,41.13,14386
20101227,41.04,41.15,40.96,41.15,26735
20101228,41.06,41.06,40.78,40.81,23654
20101229,40.83,41.17,40.79,41.1,33041
20101230,41.07,41.08,40.95,41.07,22085
20101231,41.19,41.28,41.09,41.28,27829
20110103,41.11,41.29,41.08,41.19,33900
20110104,41.19,41.32,41.17,41.29,36151
20110105,41.22,41.28,40.99,41.13,19093
20110106,41.14,41.25,41.07,41.2,65519
20110107,41.33,41.49,41.28,41.36,31867
20110110,41.48,41.51,41.4,41.47,24696
20110111,41.5,41.53,41.39,41.51,17665
20110112,41.38,41.51,41.33,41.46,34706
20110113,41.4,41.57,41.38,41.55,41970
20110114,41.63,41.63,41.43,41.45,34554
20110118,41.34,41.46,41.25,41.45,65894
20110119,41.45,41.52,41.43,41.48,36707
20110120,41.31,41.31,41.05,41.09,30005
20110121,41.04,41.15,41.02,41.13,18510
20110124,41.21,41.21,41.1,41.1,44000
20110125,41.17,41.32,41.09,41.25,43656
20110126,41.2,41.22,41.08,41.13,40618
20110127,41.16,41.17,41.04,41.13,38420
20110128,41.05,41.31,41.04,41.27,33595
20110131,41.28,41.32,41.21,41.28,43859
20110201,41.18,41.27,41.13,41.21,23765
20110202,41.35,41.35,41.08,41.12,71623
20110203,41.01,41.06,40.93,40.94,28387
20110204,40.86,40.88,40.7,40.75,40938
20110207,40.66,40.75,40.61,40.74,58638
20110208,40.73,40.73,40.5,40.52,45917
20110209,40.55,40.68,40.47,40.61,39358
20110210,40.55,40.56,40.41,40.42,51493
20110211,40.56,40.6,40.45,40.55,34277
20110214,40.52,40.63,40.52,40.57,55898
20110215,40.61,40.67,40.59,40.66,29473
20110216,40.63,40.7,40.55,40.61,57953
20110217,40.65,41.08,40.58,40.74,62365
20110218,40.71,40.93,40.71,40.91,35415
20110222,41.23,41.33,41.15,41.31,83221
20110223,41.37,41.49,41.32,41.43,33077
20110224,41.55,41.69,41.54,41.56,47766
20110225,41.6,41.68,41.57,41.67,310121
20110228,41.71,41.71,41.6,41.6,111005
20110301,41.54,41.77,41.49,41.77,22620
20110302,41.75,41.86,41.69,41.71,104522
20110303,41.61,41.63,41.54,41.56,32795
20110304,41.65,41.84,41.62,41.82,42338
20110307,41.77,41.91,41.66,41.81,77041
20110308,41.88,41.88,41.79,41.84,48202
20110309,41.89,41.98,41.8,41.93,46551
20110310,42,42.19,41.93,42.18,45858
20110311,42.19,42.19,41.99,42.05,74716
20110314,42.09,42.16,42.07,42.1,83435
20110315,42.22,42.25,42.13,42.16,126009
20110316,42.35,42.6,42.29,42.41,110924
20110317,42.41,42.52,42.35,42.49,31376
20110318,42.38,42.47,42.32,42.43,77382
20110321,42.43,42.43,42.25,42.33,404428
20110322,42.24,42.24,42.14,42.19,70746
20110323,42.29,42.29,42.09,42.11,54861
20110324,42.07,42.16,42,42.15,59280
20110325,42.22,42.23,41.94,41.98,57843
20110328,41.91,42.04,41.91,41.97,41340
20110329,41.95,42.02,41.86,41.9,27016
20110330,41.93,42.04,41.89,42.03,42782
20110331,42.19,42.19,42.01,42.03,33471
20110401,42,42.25,41.93,42.2,39778
20110404,42.26,42.39,42.26,42.35,48796
20110405,42.34,42.34,42.26,42.29,71405
20110406,42.21,42.21,42.02,42.02,54442
20110407,42.07,42.16,42.03,42.14,36040
20110408,42.09,42.24,42.07,42.19,38084
20110411,42.26,42.29,42.19,42.2,28930
20110412,42.3,42.45,42.25,42.4,37368
20110413,42.37,42.52,42.33,42.51,52187
20110414,42.55,42.61,42.43,42.47,25522
20110415,42.63,42.79,42.6,42.73,56399
20110418,45.3,45.3,42.64,42.8,83129
20110419,42.74,42.97,42.74,42.94,53809
20110420,43,43,42.76,42.77,67757
20110421,42.73,42.78,42.65,42.68,71047
20110425,42.78,42.84,42.72,42.8,57773
