Date,Open,High,Low,Close,Volume
20150520,20.98,21.02,20.98,21.02,242
20150521,21.09,21.12,21.09,21.1,2271
20150522,20.88,20.88,20.88,20.88,606
20150526,20.59,20.59,20.54,20.54,1794
20150529,20.53,20.53,20.53,20.53,2423
20150601,20.6,20.6,20.53,20.53,3005
20150602,20.66,20.66,20.66,20.66,121
20150603,20.76,20.76,20.76,20.76,121
20150604,20.63,20.63,20.63,20.63,2423
20150605,20.21,20.28,20.21,20.28,1818
20150608,20.26,20.26,20.26,20.26,485
20150612,20.61,20.61,20.61,20.61,969
20150615,20.29,20.29,20.29,20.29,121
20150623,20.88,20.88,20.88,20.88,909
20150625,20.79,20.79,20.76,20.76,364
20150708,19.501,19.501,19.477,19.477,605
20150720,20.81,20.81,20.81,20.81,848
20150724,20.56,20.56,20.51,20.51,1454
20150727,20.36,20.36,20.36,20.36,242
20150728,20.41,20.52,20.41,20.52,363
20150803,20.8,20.8,20.67,20.71,1210
20150812,20.49,20.49,20.49,20.49,242
20150818,20.53,20.53,20.53,20.53,1363
20150824,19.376,19.376,19.376,19.376,363
20150825,19.51,19.617,19.51,19.617,1757
20150827,19.762,19.762,19.762,19.762,236
20150917,20.16,20.16,20.16,20.16,242
20151012,19.906,19.914,19.906,19.906,485
20151014,19.791,19.791,19.791,19.791,242
20151030,20.17,20.17,20.17,20.17,121
20151102,20.33,20.33,20.22,20.22,611
20151103,20.14,20.14,20.14,20.14,170
20151106,19.98,19.98,19.98,19.98,242
20151109,19.766,19.766,19.667,19.667,593
20151120,20.02,20.02,20.02,20.02,121
20151123,19.84,19.84,19.749,19.749,3412
20151130,20.06,20.06,19.98,19.98,605
20151201,20.04,20.1,20.04,20.1,1308
20151202,20.07,20.07,20.06,20.06,387
20151208,19.848,19.848,19.848,19.848,151
20151209,19.782,19.782,19.782,19.782,388
20151214,19.415,19.415,19.415,19.415,606
20151218,19.575,19.575,19.552,19.552,598
20151222,19.559,19.559,19.551,19.551,969
20151224,21.04,21.04,21.04,21.04,242
20151230,19.952,19.952,19.952,19.952,377
20151231,19.768,19.776,19.768,19.776,398
20160115,18.04,18.04,17.905,17.905,1433
20160120,17.677,17.7,17.665,17.7,1316
20160121,17.835,17.835,17.835,17.835,120
20160122,18.212,18.212,18.212,18.212,120
20160128,18.27,18.345,18.253,18.345,1267
20160129,18.588,18.588,18.588,18.588,120
20160201,18.647,18.647,18.647,18.647,120
20160202,18.32,18.32,18.32,18.32,120
20160203,18.445,18.445,18.445,18.445,120
20160204,18.806,18.806,18.571,18.571,360
20160210,17.835,17.835,17.759,17.759,240
20160212,17.626,17.626,17.626,17.626,120
20160218,18.421,18.421,18.421,18.421,442
20160222,18.396,18.396,18.329,18.329,240
20160224,17.961,17.961,17.961,17.961,233
20160225,18.186,18.195,18.186,18.195,598
20160226,18.287,18.287,18.284,18.284,1106
20160229,18.245,18.245,18.195,18.195,957
20160301,18.604,18.604,18.604,18.604,239
20160302,18.475,18.475,18.475,18.475,120
20160303,18.621,18.621,18.621,18.621,179
20160304,18.847,18.847,18.847,18.847,359
20160307,18.788,18.806,18.755,18.755,1853
20160308,18.617,18.621,18.596,18.596,956
20160309,18.672,18.672,18.672,18.672,120
20160310,18.898,18.898,18.898,18.898,120
20160311,19.148,19.148,19.148,19.148,359
20160314,19.148,19.215,19.148,19.182,2272
20160315,19.04,19.065,19.04,19.056,2829
20160316,18.99,18.99,18.99,18.99,834
20160317,19.383,19.383,19.383,19.383,239
20160318,19.491,19.491,19.488,19.488,239
20160321,19.383,19.383,19.383,19.383,598
20160323,19.241,19.241,19.241,19.241,837
20160328,19.14,19.14,19.14,19.14,120
20160329,19.073,19.399,19.073,19.399,938
20160330,19.592,19.6,19.592,19.6,7792
20160331,19.826,19.826,19.826,19.826,120
20160401,19.419,19.419,19.419,19.419,120
20160404,19.433,19.433,19.349,19.349,718
20160405,19.174,19.174,19.174,19.174,532
20160406,19.19,19.391,19.19,19.316,3043
20160407,19.277,19.277,19.277,19.277,120
20160408,19.349,19.383,19.349,19.383,240
20160411,19.431,19.431,19.431,19.431,478
20160412,19.485,19.491,19.485,19.491,239
20160413,19.617,19.65,19.616,19.65,479
20160414,19.583,19.584,19.583,19.584,1076
20160415,19.558,19.558,19.558,19.558,598
20160418,19.659,19.659,19.659,19.659,503
