Date,Open,High,Low,Close,Volume
20100611,16.979,17.221,16.979,17.149,16877
20100614,17.868,17.868,17.547,17.56,143453
20100615,17.717,18.096,17.717,18.096,45508
20100616,17.985,18.116,17.885,17.985,20267
20100617,18.018,18.018,17.658,17.796,26928
20100618,17.874,17.933,17.802,17.93,11611
20100621,18.482,18.501,18.032,18.136,55850
20100622,18.175,18.175,17.619,17.665,41088
20100623,17.868,17.868,17.566,17.737,176123
20100624,17.743,17.743,17.443,17.521,24821
20100625,17.515,17.783,17.449,17.776,21775
20100628,17.841,17.841,17.626,17.626,8339
20100629,17.286,17.286,16.567,16.658,55251
20100630,16.822,16.861,16.443,16.449,61647
20100701,16.38,16.456,15.916,16.197,38496
20100702,16.286,16.286,16.038,16.142,53607
20100706,16.6,16.672,16.279,16.279,11535
20100707,16.351,16.828,16.351,16.822,120348
20100708,17.051,17.064,16.796,16.992,29383
20100709,16.959,17.155,16.959,17.155,22867
20100712,17.221,17.221,16.992,17.005,22047
20100713,17.129,17.299,17.051,17.266,10915
20100714,17.227,17.482,17.168,17.407,29668
20100715,17.351,17.397,17.149,17.358,31787
20100716,17.351,17.351,16.972,17.005,30842
20100719,17.136,17.136,16.956,17.011,16958
20100720,16.926,17.404,16.926,17.404,31782
20100721,17.593,17.658,17.338,17.41,66765
20100722,17.881,18.109,17.881,18.05,26432
20100723,18.064,18.371,18.064,18.371,52622
20100726,18.363,18.554,18.298,18.552,9342
20100727,18.75,18.75,18.351,18.351,35849
20100728,18.358,18.358,18.181,18.247,19226
20100729,18.534,18.534,18.201,18.475,20396
20100730,18.318,18.469,18.142,18.377,47326
20100802,18.769,18.874,18.769,18.848,17771
20100803,18.697,18.711,18.434,18.528,86450
20100804,18.599,18.619,18.495,18.58,9486
20100805,18.515,18.639,18.515,18.582,41828
20100806,18.515,18.645,18.345,18.567,32102
20100809,18.632,18.704,18.573,18.691,10178
20100810,18.416,18.449,18.149,18.387,42032
20100811,17.985,18.031,17.475,17.508,67869
20100812,17.214,17.534,17.214,17.495,72561
20100813,17.691,17.691,17.534,17.534,5891
20100816,17.456,17.809,17.456,17.652,2889
20100817,18.07,18.162,18.07,18.103,7323
20100818,18.103,18.214,17.914,18.11,9445
20100819,18.129,18.129,17.724,17.783,31609
20100820,17.783,17.783,17.567,17.567,13603
20100823,17.724,17.724,17.515,17.547,11323
20100824,17.168,17.168,16.861,16.96,10574
20100825,16.75,16.841,16.534,16.841,6790
20100826,16.881,16.979,16.672,16.672,11936
20100827,16.834,17.077,16.796,17.044,7168
20100830,17.044,17.044,16.77,16.776,9922
20100831,16.717,16.874,16.645,16.757,26242
20100901,17.227,17.41,17.155,17.358,25091
20100902,17.41,17.502,17.371,17.495,43852
20100903,17.756,17.756,17.567,17.697,7115
20100907,17.417,17.417,17.312,17.312,4590
20100908,17.449,17.58,17.443,17.515,12761
20100909,17.704,17.704,17.456,17.508,6044
20100910,17.593,17.593,17.508,17.528,7635
20100913,17.815,17.913,17.783,17.887,13790
20100914,17.861,17.9,17.652,17.809,11192
20100915,17.711,17.868,17.711,17.848,15464
20100916,17.756,17.769,17.721,17.76,3111
20100917,17.815,17.854,17.717,17.75,9946
20100920,17.789,17.972,17.784,17.972,16181
20100921,18.017,18.135,17.894,17.979,39558
20100922,17.959,17.959,17.861,17.914,17443
20100923,17.848,17.848,17.626,17.639,6350
20100924,17.928,17.987,17.862,17.961,134311
20100927,17.934,18.178,17.934,18.125,19743
20100928,18.013,18.211,17.921,18.211,56448
20100929,18.204,18.277,18.138,18.23,24728
20100930,18.25,18.329,17.961,18.132,37073
20101001,18.211,18.211,17.98,18.066,13916
20101004,18.033,18.119,17.73,17.796,31698
20101005,17.994,18.204,17.994,18.184,17435
20101006,18.257,18.382,18.257,18.369,35111
20101007,18.415,18.415,18.316,18.415,9238
20101008,18.467,18.566,18.395,18.56,5847
20101011,18.52,18.658,18.52,18.599,9135
20101012,18.454,18.454,18.278,18.415,17665
20101013,18.474,18.671,18.474,18.599,10455
20101014,18.711,18.711,18.415,18.54,5652
20101015,18.691,18.691,18.428,18.504,27739
20101018,18.481,18.513,18.441,18.513,2720
20101019,18.355,18.355,18.119,18.198,10395
20101020,18.219,18.454,18.219,18.383,3820
20101021,18.461,18.461,18.178,18.27,1976
20101022,18.393,18.461,18.329,18.454,8425
20101025,18.711,18.711,18.467,18.467,7900
20101026,18.461,18.461,18.375,18.448,1693
20101027,18.198,18.198,17.98,18.184,9546
20101028,18.362,18.362,18.112,18.217,26655
20101029,18.244,18.323,18.237,18.323,3798
20101101,18.342,18.461,18.329,18.395,3433
20101102,18.691,18.843,18.625,18.843,3900
20101103,18.889,19.02,18.816,19.007,18622
20101104,19.277,19.323,19.198,19.318,24327
20101105,19.231,19.356,19.231,19.343,9142
20101108,19.376,19.448,19.31,19.428,11398
20101109,19.534,19.553,19.099,19.139,14123
20101110,19.283,19.395,19.158,19.376,14937
20101111,19.257,19.428,19.183,19.409,15512
20101112,19.231,19.231,18.921,18.987,6109
20101115,19.073,19.178,18.974,18.974,8442
20101116,18.836,18.836,18.309,18.408,18110
20101117,18.49,18.527,18.43,18.463,11279
20101118,18.823,18.875,18.77,18.783,18053
20101119,18.757,18.829,18.691,18.823,4798
20101122,18.691,18.823,18.606,18.784,8877
20101123,18.507,18.507,18.224,18.296,5980
20101124,18.54,18.54,18.484,18.5,7118
20101126,18.303,18.303,18.211,18.211,4724
20101129,18.033,18.263,17.987,18.237,75957
20101130,18.001,18.244,18.001,18.132,4497
20101201,18.625,18.625,18.481,18.553,11882
20101202,18.54,18.717,18.54,18.665,14945
20101203,18.606,18.849,18.606,18.843,15665
20101206,18.796,18.954,18.796,18.915,5974
20101207,19.106,19.106,18.954,18.954,1869
20101208,18.836,18.836,18.645,18.663,14626
20101209,18.665,18.665,18.612,18.658,4186
20101210,18.698,18.724,18.632,18.678,6799
20101213,18.803,18.816,18.711,18.711,8549
20101214,18.652,18.678,18.533,18.54,17137
20101215,18.415,18.612,18.362,18.362,7860
20101216,18.277,18.349,18.277,18.349,5213
20101217,18.244,18.244,18.171,18.217,10334
20101220,18.244,18.244,18.093,18.158,5672
20101221,18.296,18.474,18.296,18.434,6849
20101222,18.448,18.566,18.441,18.553,2529
20101223,18.579,18.579,18.494,18.494,2127
20101227,18.529,18.529,18.352,18.423,6118
20101228,18.35,18.35,18.257,18.284,4456
20101229,18.482,18.496,18.436,18.469,9709
20101230,18.522,18.522,18.38,18.443,53959
20101231,18.509,18.509,18.496,18.502,1510
20110103,18.8,18.886,18.753,18.845,15200
20110104,18.986,19.158,18.847,18.966,159714
20110105,18.972,19.019,18.853,19.005,10245
20110106,18.999,19.111,18.913,19.105,35143
20110107,19.141,19.211,18.983,19.164,3585
20110110,19.072,19.072,18.966,19.058,10001
20110111,19.111,19.164,19.072,19.072,5363
20110112,19.204,19.323,19.204,19.323,11975
20110113,19.247,19.257,19.168,19.174,8729
20110114,19.211,19.211,19.068,19.118,7868
20110118,19.105,19.144,19.072,19.105,41347
20110119,19.197,19.197,18.933,18.946,25684
20110120,18.8,18.8,18.436,18.582,35779
20110121,18.469,18.476,18.304,18.324,6635
