Date,Open,High,Low,Close,Volume
20160908,24.51,24.52,24.14,24.16,21070
20160909,23.1684,23.1684,20.94,21.23,2267
20160912,21.34,22.5,20.7506,22.298,14376
20160913,21.22,21.23,20,20.05,13198
20160915,20.36,20.71,19.58,20.69,3295
20160916,19.74,21,19.47,19.48,2100
20160919,23.38,30.47,16.45,20.14,13658
20160920,20.44,20.44,20.005,20.26,9687
20160921,21.5,21.9901,21.2595,21.9901,6595
20160922,23.52,24.25,22.9943,22.9943,23350
20160923,22.6199,22.6199,21.0871,21.3771,4440
20160926,21.74,21.74,20.7997,20.7997,7650
20160927,20.2,20.24,19.654,20.24,3100
20160928,20.15,21.03,19.7982,21.03,4362
20160929,21,21.26,20.6583,20.83,5299
20160930,22.63,22.63,20.11,20.11,4580
20161003,20.25,20.5,19.5,19.5,831
20161004,18.11,18.11,15.862,16.0011,29446
20161005,15.81,16.185,15.289,15.8472,5313
20161006,14.99,15.07,14.73,14.9699,3250
20161007,15.72,16.1426,15,15,1651
20161010,15.67,15.67,15.67,15.67,100
20161011,14.96,14.96,14.7,14.76,636
20161012,14.9177,15.32,14.9177,15.32,250
20161013,15.65,15.92,15.65,15.92,1250
20161014,15.3221,15.3221,14.96,14.96,4525
20161017,15.07,15.49,15.07,15.49,200
20161018,16.06,16.9,16.06,16.9,8600
20161019,17.57,17.7922,17,17.53,19150
20161020,17.75,17.75,17.244,17.244,1757
20161021,17.2101,17.2101,17.122,17.19,800
20161024,17.82,17.82,16.17,16.3348,15901
20161025,17.0584,17.2,17.0584,17.2,1300
20161026,17.11,17.11,16.32,16.32,1175
20161027,16.19,16.19,15.98,16,1100
20161028,16.1516,16.1516,15.4228,15.8202,5500
20161031,15.955,16.42,15.955,16.35,1250
20161101,17.35,17.77,17.35,17.5,2250
20161102,18.1833,18.52,17.3,17.3,17030
20161103,17.5028,17.5028,17.3505,17.3674,3190
20161104,17.38,17.38,16.65,16.678,4800
20161107,15.86,16.43,15.86,16.41,1448
20161108,16.781,16.79,16,16.608,6130
20161109,18.25,18.45,17.7,18.0156,2048
20161110,16.17,16.17,14.7,14.76,7900
20161111,13.93,13.93,11.87,12.01,21420
20161114,11.33,12.4399,11.3205,12.03,7960
20161115,12.36,13.7,12.36,13.7,1669
20161116,12.68,12.68,12.4,12.5526,3585
20161117,12.34,12.37,12.05,12.1,2065
20161118,11.91,11.91,11.3456,11.6992,6010
20161121,12.22,12.22,12.22,12.22,100
20161122,11.7563,12.48,11.7563,12.48,4200
