Date,Open,High,Low,Close,Volume
20141113,41.07,41.07,41.07,41.07,244
20141114,41.07,41.07,41.07,41.07,122
20141117,41.13,41.13,41.12,41.12,487
20141118,41.07,41.07,41.07,41.07,488
20141120,41.14,41.14,41.14,41.14,732
20141121,41.13,41.16,41.13,41.16,2022
20141125,41.2,41.2,41.2,41.2,243
20141201,41.47,41.47,41.43,41.43,244
20141203,41.08,41.09,41.08,41.09,1462
20141209,41.33,41.33,41.31,41.31,365
20141216,41.37,41.37,41.37,41.37,122
20141222,41.15,41.19,41.15,41.19,1340
20141223,41.1,41.1,41.1,41.1,3307
20141224,41.04,41.04,41.04,41.04,244
20141226,41.19,41.19,41.08,41.08,609
20141229,41.04,41.04,41.04,41.04,487
20141230,41.22,41.23,41.21,41.21,828
20141231,41.25,41.28,41.25,41.28,2432
20150102,41.31,41.39,41.31,41.38,2068
20150106,41.63,41.65,41.59,41.59,1460
20150107,41.46,41.52,41.46,41.52,851
20150108,41.63,41.63,41.51,41.55,1462
20150109,41.63,41.65,41.63,41.63,1295
20150116,41.72,41.72,41.71,41.71,366
20150120,41.84,41.84,41.81,41.81,851
20150121,41.73,41.73,41.72,41.72,609
20150122,41.68,41.72,41.68,41.72,729
20150126,41.71,41.71,41.71,41.71,122
20150130,42.16,42.16,42.16,42.16,122
20150202,42.08,42.1,42.08,42.1,607
20150204,41.9,41.9,41.9,41.9,121
20150205,41.91,41.91,41.91,41.91,486
20150206,41.7,41.79,41.7,41.79,485
20150209,41.79,41.79,41.79,41.79,394
20150211,41.71,41.72,41.71,41.72,971
20150212,41.73,41.73,41.73,41.73,2427
20150213,41.75,41.77,41.75,41.77,1214
20150217,41.77,41.77,41.77,41.77,121
20150218,41.68,41.69,41.68,41.69,971
20150220,41.8,41.8,41.72,41.72,606
20150225,41.99,41.99,41.99,41.99,9313
20150226,41.88,41.91,41.88,41.91,6316
20150227,41.96,41.96,41.93,41.96,8008
20150302,41.92,41.92,41.92,41.92,1211
20150303,41.77,41.77,41.77,41.77,1212
20150304,41.8,41.84,41.8,41.84,1908
20150305,41.84,41.85,41.84,41.85,424
20150306,41.64,41.64,41.64,41.64,121
20150309,41.76,41.78,41.76,41.77,2302
20150310,41.84,41.84,41.84,41.84,477
20150312,41.87,41.87,41.8,41.8,2665
20150316,41.83,41.91,41.83,41.9,1971
20150317,41.88,41.9,41.87,41.9,25923
20150318,42.1,42.1,42.1,42.1,121
20150320,42.1,42.1,42.1,42.1,363
20150324,42.19,42.19,42.17,42.17,1908
20150325,42.24,42.24,42.24,42.24,121
20150327,41.96,42.09,41.96,42.09,605
20150330,42.09,42.09,42.09,42.09,121
20150331,42.14,42.14,42.14,42.14,121
20150401,42.24,42.28,42.24,42.28,726
20150402,42.22,42.22,42.22,42.22,846
20150406,42.99,42.99,42.99,42.99,363
20150407,42.22,42.22,42.22,42.22,605
20150413,42.27,42.27,42.27,42.27,531
20150414,42.39,42.39,42.39,42.39,121
20150415,42.35,42.36,42.34,42.35,544
20150417,42.47,42.47,42.44,42.44,9672
20150420,42.42,42.42,42.38,42.41,1331
20150421,42.31,42.31,42.31,42.31,242
20150427,42.43,42.43,42.36,42.36,357
20150428,42.34,42.34,42.34,42.34,121
20150430,42.18,42.18,42.18,42.18,121
20150501,42.25,42.31,42.18,42.18,894
20150504,42.14,42.14,42.14,42.14,1080
20150505,42.03,42.07,42.03,42.05,845
20150507,41.96,41.96,41.96,41.96,591
20150508,42.07,42.14,42.06,42.11,2658
20150511,42.01,42.01,41.89,41.94,8781
20150512,41.86,41.93,41.86,41.93,242
20150513,41.85,41.92,41.85,41.92,242
20150518,42.08,42.08,42.08,42.08,241
20150520,41.99,42.06,41.99,42.06,1868
20150521,42.08,42.18,42.05,42.15,2025
20150522,42.11,42.11,42.11,42.11,362
20150526,42,42.06,42,42.06,12308
20150528,42.1,42.1,42.1,42.1,8334
20150529,42.16,42.16,42.16,42.16,121
20150601,42.15,42.15,42.09,42.09,499
20150602,42.08,42.08,41.84,41.84,1445
20150605,41.68,41.68,41.63,41.63,240
20150608,41.71,41.71,41.65,41.65,1445
20150610,41.47,41.47,41.47,41.47,120
20150615,41.81,41.81,41.72,41.72,963
20150616,41.57,41.57,41.57,41.57,151
20150617,41.62,41.69,41.62,41.69,842
20150624,41.62,41.68,41.62,41.68,3010
20150625,41.68,41.68,41.68,41.68,241
20150626,41.52,41.52,41.52,41.52,120
20150629,41.66,41.66,41.66,41.66,120
20150630,41.67,41.7,41.67,41.7,361
20150701,41.67,41.67,41.67,41.67,240
20150702,41.75,41.75,41.71,41.71,1202
20150706,41.81,41.89,41.81,41.89,1803
20150707,42.03,42.04,41.95,42.04,1202
20150708,42.15,42.15,42.15,42.15,120
20150709,41.89,41.89,41.88,41.88,240
20150710,41.72,41.72,41.72,41.72,721
20150713,41.73,41.73,41.68,41.72,12679
20150714,41.76,41.76,41.76,41.76,362
20150715,41.7,41.75,41.7,41.71,1622
20150716,41.67,41.67,41.67,41.67,240
20150720,41.68,41.68,41.68,41.68,240
20150721,41.72,41.72,41.72,41.72,120
20150722,41.72,41.72,41.65,41.65,4207
20150724,41.72,41.72,41.72,41.72,902
20150727,41.79,41.79,41.79,41.79,240
20150728,41.76,41.78,41.76,41.77,480
20150730,41.71,41.71,41.71,41.71,240
20150731,41.8,41.83,41.8,41.83,469
20150804,41.89,41.94,41.86,41.87,1440
20150806,41.76,41.76,41.76,41.76,240
20150807,41.81,41.87,41.8,41.87,3960
20150810,41.75,41.75,41.75,41.75,540
20150811,41.88,41.88,41.88,41.88,720
20150813,41.77,41.77,41.77,41.77,240
20150818,41.68,41.68,41.68,41.68,720
20150819,41.68,41.68,41.68,41.68,1800
20150820,42.09,42.09,42.09,42.09,120
20150821,42.11,42.11,41.94,41.94,1200
20150824,42.68,42.68,42.01,42.01,600
20150826,41.84,41.84,41.84,41.84,120
20150828,41.86,41.93,41.82,41.93,3379
20150831,41.96,41.96,41.92,41.92,6599
20150901,42.39,42.39,42.39,42.39,479
20150902,42.04,42.06,42.04,42.06,4850
20150903,42.07,42.07,42.07,42.07,3472
20150904,42.37,42.37,42.12,42.19,1795
20150908,42.14,42.15,42.12,42.12,5749
20150909,42.08,42.08,42.08,42.08,120
20150910,42.11,42.11,42.06,42.11,4012
20150911,42.13,42.16,42.11,42.16,7424
20150914,42.16,42.22,42.11,42.11,2694
20150915,42.06,42.06,41.96,41.96,9041
20150916,42.01,42.01,41.85,41.91,6239
20150918,42.57,42.57,42.3,42.39,5568
20150922,42.37,42.47,42.29,42.44,20415
20150923,42.27,42.3,42.25,42.25,1969
20150924,42.27,42.36,42.27,42.27,5328
20150925,42.12,42.12,42.12,42.12,4790
20150928,42.18,42.25,42.18,42.25,1436
20150929,42.28,42.28,42.28,42.28,838
20150930,42.32,42.32,42.32,42.32,304
20151001,42.29,42.29,42.29,42.29,299
20151002,42.61,42.61,42.61,42.61,120
20151005,42.47,42.47,42.4,42.4,2511
20151006,42.35,42.4,42.35,42.39,2034
20151008,42.34,42.41,42.34,42.41,663
20151012,42.4,42.4,42.34,42.34,478
20151013,42.43,42.43,42.26,42.26,598
20151014,42.39,42.39,42.39,42.39,2990
20151015,42.37,42.37,42.35,42.35,3588
20151016,42.35,42.4,42.35,42.4,240
20151019,42.41,42.41,42.39,42.4,3348
20151020,42.35,42.35,42.34,42.34,957
20151021,42.45,42.52,42.45,42.51,16268
20151022,42.48,42.5,42.44,42.5,1076
20151023,42.39,42.39,42.39,42.39,359
20151026,42.46,42.46,42.44,42.44,1915
20151027,42.46,42.46,42.46,42.46,3469
20151028,42.36,42.36,42.36,42.36,120
20151029,42.18,42.18,42.17,42.17,1316
20151030,42.12,42.14,42.1,42.1,599
20151102,42.19,42.19,42.16,42.18,2267
20151103,42.08,42.18,42.08,42.09,6207
20151104,42.18,42.18,42.13,42.15,5609
20151105,42.13,42.14,42.13,42.14,5610
20151106,42.08,42.08,41.98,41.99,596
20151109,41.94,41.98,41.94,41.97,22797
20151110,42.02,42.08,42.02,42.05,10033
20151111,42.05,42.05,42.03,42.03,716
20151112,42.06,42.06,42.02,42.02,238
20151113,42.08,42.16,42.08,42.08,2740
20151116,42.07,42.12,42.07,42.08,3651
20151117,42.06,42.13,42.06,42.13,19216
20151118,42.06,42.06,42.06,42.06,358
20151119,42.09,42.09,42.09,42.09,597
20151120,42.19,42.2,42.19,42.2,835
20151123,42.12,42.12,41.98,41.98,6030
20151124,42.18,42.18,42.1,42.1,615
20151125,42.18,42.22,42.18,42.18,3698
20151127,42.26,42.28,42.26,42.28,596
20151130,42.56,42.6,42.13,42.2,13959
20151201,42.27,42.39,42.27,42.39,2311
20151202,42.29,42.34,42.26,42.3,2154
20151203,42.27,42.27,42.09,42.09,2255
20151204,42.08,42.15,42.06,42.1,6289
20151207,42.15,42.15,42.15,42.15,8356
20151208,42.15,42.17,42.15,42.17,7683
20151209,42.17,42.22,42.15,42.22,8778
20151210,42.19,42.19,42.15,42.15,1847
20151211,42.15,42.19,42.13,42.14,7185
20151214,42.06,42.1,42.06,42.1,8316
20151215,42.06,42.14,42.05,42.05,10966
20151216,42.1,42.15,41.98,42.15,1598
20151217,42.09,42.09,42.09,42.09,715
20151218,42.09,42.11,42.06,42.06,2035
20151221,42.08,42.08,42.05,42.05,810
20151222,42.09,42.09,41.99,41.99,2857
20151223,42.05,42.08,42.03,42.08,5123
20151224,41.87,41.99,41.86,41.99,1489
20151228,42,42.03,42,42.03,1154
20151229,42.04,42.05,41.98,41.98,11414
20151230,41.94,42,41.94,42,10539
20151231,42.05,42.05,42.05,42.05,238
20160104,42.61,42.61,41.98,42.01,1483
20160105,42.05,42.09,41.99,42.09,3586
20160106,42.36,42.36,42.21,42.27,1665
20160107,42.77,42.77,42.26,42.32,4555
20160108,42.32,42.37,42.22,42.35,5114
20160111,42.19,42.21,42.16,42.21,709
20160112,42.23,42.23,42.17,42.17,666
20160113,42.2,42.2,42.2,42.2,594
20160114,42.22,42.22,42.22,42.22,2853
20160115,42.25,42.49,41.74,41.89,31452
20160119,42.19,42.53,42.19,42.53,3140
20160120,42.33,42.33,42.17,42.17,471
20160122,42.16,42.17,42.04,42.17,833
20160125,42.21,42.21,42.21,42.21,505
20160126,42.22,42.29,42.22,42.22,5410
20160127,42.24,42.24,42.24,42.24,1545
20160128,42.62,42.73,42.31,42.32,5990
20160129,42.32,42.35,42.32,42.35,713
20160201,42.31,42.31,42.25,42.25,2558
20160202,42.36,42.36,42.3,42.3,4034
20160203,42.35,42.35,42.3,42.32,7063
20160204,42.36,42.38,42.33,42.37,1305
20160205,42.31,42.34,42.31,42.33,2790
20160208,42.33,42.34,42.32,42.34,950
20160209,42.37,42.38,42.31,42.31,3795
20160210,42.33,42.43,42.31,42.43,67881
20160211,42.41,42.43,42.4,42.4,2255
