Date,Open,High,Low,Close,Volume
20130417,6.4254,6.4254,6.0521,6.0521,43469
20130418,6.0796,6.0796,6.0674,6.0704,21243
20130419,6.1286,6.1286,5.9878,6.0551,8214
20130422,6.15,6.15,6.0878,6.1163,3268
20130423,7.637,7.637,5.9511,5.9817,8171
20130424,6.0643,6.0643,5.9909,6.0429,9478
20130425,6.2418,6.3428,6.1806,6.3428,9806
20130426,6.3428,6.3428,6.204,6.2265,72632
20130429,6.3262,6.3336,6.3018,6.3293,4972
20130430,6.3091,6.3122,6.2969,6.3122,1145
20130501,6.1275,6.1653,6.0757,6.1653,27134
20130502,6.2663,6.2663,6.2139,6.2139,9151
20130503,6.7313,6.7313,6.2418,6.251,8954
20130506,6.3948,6.3948,6.2418,6.3489,12747
20130507,6.5783,6.5783,6.1255,6.2479,49936
20130508,6.2357,6.2663,6.2265,6.2265,5556
20130509,6.2448,6.2479,6.1836,6.1836,10785
20130510,6.1225,6.1928,6.0796,6.1855,11439
20130513,6.2112,6.2112,6.1725,6.1735,4904
20130514,6.101,6.15,6.101,6.1194,19117
20130515,6.0092,6.0092,5.8869,5.8869,116713
20130516,5.9358,5.9358,5.9358,5.9358,327
20130517,5.9175,5.9236,5.8257,5.8287,27451
20130520,5.675,6.0239,5.666,5.9436,20211
20130521,5.8448,5.8849,5.8244,5.8737,11661
20130522,5.9436,6.0516,5.8278,5.8571,38140
20130523,5.8725,5.9343,5.8355,5.9343,1620
20130524,6.1597,6.1597,5.8787,5.8818,9357
20130528,5.8633,5.9034,5.851,5.851,14574
20130529,5.8849,5.9127,5.8849,5.9065,21387
20130530,6.0202,6.0393,5.9615,5.9739,13767
20130531,6.6506,6.6506,5.8324,5.8355,67915
20130603,5.879,6.0022,5.879,5.9695,19756
20130604,6.2987,6.2987,5.8726,5.9065,20548
20130605,5.8905,5.9343,5.8905,5.9213,3401
20130606,5.914,5.9714,5.914,5.9604,5511
20130607,5.7923,5.8046,5.6939,5.6939,31258
20130610,5.7336,5.7923,5.7336,5.7923,13281
