Date,Open,High,Low,Close,Volume
20200117,30.1,30.1,29.9619,29.9619,94496
20200121,29.7335,29.7335,29.7335,29.7335,1
20200124,30.5,30.5,29.4331,29.4331,1702
20200228,25.65,25.65,25.65,25.65,100
20200305,26.35,26.35,26.35,26.35,100
20200309,25.05,25.05,25.05,25.05,3898
20200311,22.54,22.54,22.54,22.54,600
20200312,22.52,22.52,22.52,22.52,200
20200313,21.5,21.5,20.21,20.21,2983
20200316,19.24,19.488,19.24,19.488,1000
20200420,22.2,22.2,22.2,22.2,100
20200624,25.73,25.73,24.96,24.96,2171
20200721,27.47,27.4701,27.47,27.4701,1000
20200804,27.85,27.85,27.8,27.8,1000
20200910,27.75,27.75,27.7,27.7,1000
20201005,28.37,28.402,28.37,28.402,200
20201117,31.71,31.71,31.71,31.71,117
20201215,34.1,34.1,34.1,34.1,125
20201224,34.5,34.5,34.5,34.5,4379
20201231,34.09,34.2,34.09,34.14,2946
20210104,34.56,34.56,33.84,33.85,629
20210105,34.21,34.21,34.21,34.21,100
20210107,35.89,35.95,35.86,35.95,1200
20210108,35.84,35.84,35.84,35.84,100
20210111,37.44,37.44,35.85,35.91,800
20210113,35.96,35.96,35.96,35.96,300
20210114,36.45,36.45,36.43,36.43,200
20210128,35.9,35.9,35.9,35.9,1600
20210208,38.9,38.9,37.31,37.91,697
20210209,37.84,37.84,37.84,37.84,197
20210217,37.6,37.91,37.5999,37.91,300
20210308,38.24,38.34,38.07,38.07,547
20210309,38.49,38.49,38.49,38.49,100
20210312,39.5376,39.5376,39.5376,39.5376,116
20210318,40.24,40.24,40,40,2066
20210319,39.24,39.24,39.24,39.24,1140
20210325,38.02,38.02,38.02,38.02,131
20210329,39.5999,39.5999,39.5999,39.5999,100
20210401,39.63,39.63,39.63,39.63,236
20210408,38.18,38.18,38.18,38.18,100
20210409,40.05,40.05,40.05,40.05,125
20210412,40.1,40.1,40.1,40.1,250
20210414,40.51,40.51,40.51,40.51,166
20210420,39.95,39.95,39.95,39.95,250
20210426,41.38,41.38,41.38,41.38,100
20210427,41.43,41.43,41.32,41.32,750
20210503,41.14,41.14,41.14,41.14,100
20210518,40.6662,40.6662,40.6662,40.6662,1140
20210524,40.62,40.62,40.55,40.56,1014
20210526,40.49,40.49,40.49,40.49,220
20210527,40.89,40.89,40.89,40.89,1900
20210607,40.8,40.8,40.8,40.8,100
20210611,41.15,41.31,41.15,41.31,7500
20210618,39.47,39.47,39.47,39.47,4915
20210621,40.15,40.18,40.15,40.18,340
20210622,39.89,39.89,39.89,39.89,120
20210624,40.72,40.81,40.72,40.81,4400
20210701,40.84,40.84,40.76,40.76,299
20210830,40.85,40.85,40.85,40.85,240
20210917,39.78,39.78,39.78,39.78,5330
20210927,40.17,40.5,40.17,40.35,1500
20211215,39.98,40.72,39.94,40.7,5100
20211217,40.19,40.19,40.19,40.19,5745
20211220,38.26,38.64,38.25,38.64,4998
20211227,40.38,40.38,40.38,40.38,3539
20211228,41.08,41.08,40.6,40.6,200
20220103,40.89,40.89,40.89,40.89,300
20220107,40.25,40.25,40.25,40.25,100
20220120,38.17,38.17,38.17,38.17,200
20220202,38.32,38.38,38.28,38.34,6200
20220211,38.23,38.34,38.19,38.32,2370
20220214,37.93,38.08,37.93,38.08,1200
20220215,38.94,38.99,38.94,38.97,500
