Date,Open,High,Low,Close,Volume
20150430,27.31,27.31,26.99,26.99,3348
20150501,27.29,27.29,27.29,27.29,184
20150504,27.54,27.54,27.54,27.54,108
20150505,27.08,27.08,27.08,27.08,108
20150506,27.13,27.13,27.06,27.06,2160
20150508,27.48,27.54,27.47,27.54,956
20150526,27.79,27.79,27.79,27.79,216
20150528,28.21,28.21,28.17,28.17,324
20150602,28.25,28.25,28.25,28.25,108
20150604,28.26,28.26,28.25,28.25,378
20150609,28.1,28.1,28.1,28.1,216
20150615,28.4,28.4,28.4,28.4,108
20150617,28.55,28.55,28.51,28.51,432
20150619,28.9,28.94,28.9,28.94,4428
20150622,29,29.06,29,29.06,1406
20150623,29.06,29.06,29.06,29.06,108
20150624,28.84,28.84,28.84,28.84,432
20150626,28.8,28.8,28.8,28.8,316
20150629,28.56,28.56,28.18,28.19,864
20150630,28.19,28.26,28.18,28.22,1511
20150707,28.48,28.49,27.91,27.91,970
20150708,28.06,28.06,28.06,28.06,431
20150709,28.02,28.1,28.02,28.06,1094
20150713,28.61,28.61,28.53,28.53,1539
20150715,28.66,28.66,28.66,28.66,324
20150717,28.67,28.67,28.67,28.67,485
20150721,28.34,28.34,28.34,28.34,108
20150728,28.01,28.01,28.01,28.01,108
20150729,28.23,28.28,28.23,28.28,648
20150730,28.21,28.21,28.21,28.21,324
20150731,28.51,28.67,28.51,28.67,1188
20150804,28.45,28.45,28.42,28.42,432
20150805,28.53,28.53,28.53,28.53,324
20150806,28.32,28.32,28.16,28.16,493
20150807,28.08,28.08,28,28.03,1296
20150812,27.81,27.81,27.81,27.81,242
20150818,28.41,28.41,28.41,28.41,216
20150819,28.08,28.08,28.08,28.08,647
20150821,27.78,27.78,27.26,27.4,3416
20150824,25.95,25.95,25.71,25.71,378
20150825,26.49,26.49,26.49,26.49,194
20150826,26.05,26.05,26.04,26.04,971
20150827,27.12,27.13,27.12,27.13,540
20150828,27.05,27.15,27,27.15,1403
20150831,27.11,27.18,27.11,27.18,216
20150901,26.37,26.37,26.37,26.37,108
20150902,26.58,26.58,26.58,26.58,324
20150903,26.93,26.93,26.89,26.89,324
20150908,27.02,27.19,27.02,27.19,1403
20150909,27.19,27.29,27.08,27.15,1620
20150910,26.98,27.19,26.96,27,3240
20150911,26.89,26.91,26.86,26.87,10680
20150916,27.4,27.52,27.4,27.52,324
20150917,27.67,27.91,27.64,27.64,2244
20150923,27.01,27.01,26.89,26.89,291
20150930,26.19,26.21,26.14,26.2,2474
20151001,26.17,26.24,26.17,26.23,2367
20151005,27.02,27.02,26.96,26.96,3657
20151013,27.43,27.43,27.43,27.43,1936
20151014,27.47,27.47,27.27,27.29,23664
20151019,27.65,27.68,27.64,27.64,689
20151020,27.67,27.67,27.67,27.67,108
20151022,27.2,27.2,27.19,27.19,430
20151023,27.52,27.55,27.45,27.45,3347
20151026,27.46,27.51,27.45,27.51,2856
20151027,27.46,27.46,27.41,27.44,1126
20151028,27.44,27.44,27.44,27.44,1897
20151030,27.58,27.58,27.58,27.58,108
20151102,27.67,28.07,27.67,28.07,861
20151106,28.25,28.25,28.25,28.25,323
20151109,28.25,28.25,27.89,27.89,496
20151110,28.04,28.04,28.03,28.03,215
20151112,27.43,27.43,27.4,27.41,861
20151116,27.35,27.35,27.35,27.35,215
20151120,27.95,27.95,27.95,27.95,215
20151123,28.04,28.04,28.04,28.04,753
20151202,28.48,28.48,28.48,28.48,108
20151208,27.7,27.7,27.61,27.64,464
20151209,27.56,27.56,27.29,27.29,1102
20151210,27.42,27.51,27.41,27.51,1650
20151211,26.99,26.99,26.99,26.99,215
20151214,26.7,26.9,26.7,26.77,7991
20151215,27.04,27.04,27.04,27.04,108
20151217,27.23,27.35,27.22,27.33,1054
20151218,27.14,27.22,26.96,26.96,1566
20151221,27.14,27.14,26.94,26.97,2504
20151222,27.03,27.28,27.01,27.28,1400
20151223,27.59,27.59,27.59,27.59,139
20151228,27.5,27.5,27.45,27.45,1821
20151229,27.7,27.7,27.7,27.7,107
20151230,27.77,27.99,27.67,27.71,52492
20151231,27.36,27.64,27.36,27.63,22717
20160104,26.49,26.61,26.47,26.61,1236
20160107,26.14,26.14,26.14,26.14,107
20160108,25.77,26.28,25.77,26.18,7147
20160111,25.86,25.86,25.33,25.51,3372
20160112,25.75,25.75,25.75,25.75,193
20160115,24.61,24.61,24.61,24.61,194
20160119,25.14,25.27,25.14,25.27,3215
20160120,24.41,24.63,24.23,24.6,11243
20160125,25.28,25.28,24.71,24.75,5373
20160126,24.94,24.94,24.94,24.94,214
20160201,25.52,26.06,25.52,26.04,4232
20160202,25.22,25.36,25.22,25.31,2785
20160203,24.93,24.93,24.88,24.88,214
20160208,24.41,24.51,24.22,24.41,1220
20160209,24.4,24.4,24.22,24.22,1104
20160210,24.46,24.46,24.18,24.18,621
20160211,23.88,23.9,23.73,23.9,36279
20160216,24.93,24.93,24.93,24.93,107
20160219,25.32,25.35,25.3,25.3,2875
20160222,25.54,25.54,25.54,25.54,107
20160223,25.54,25.64,25.45,25.45,1929
20160224,25.47,25.62,25.47,25.62,238
20160225,25.75,25.78,25.66,25.78,832
20160226,26.01,26.06,25.89,25.99,40059
20160229,25.99,26.05,25.87,25.87,2325
20160301,26.17,26.23,26.1,26.23,1761
20160302,26.33,26.4,26.23,26.4,1521
20160303,26.67,26.68,26.53,26.63,765
20160304,26.82,26.95,26.75,26.89,11925
20160307,27.06,27.07,27.06,27.07,10716
20160309,26.65,26.65,26.58,26.58,214
20160310,27.02,27.02,26.47,26.47,1260
20160311,26.78,26.9,26.78,26.9,963
20160314,27.04,27.04,26.85,26.86,2214
20160315,26.77,26.77,26.5,26.5,589
20160316,26.61,26.61,26.61,26.61,107
20160317,26.91,26.91,26.9,26.9,321
20160318,27.08,27.11,27.08,27.09,964
20160321,27.09,27.09,27.04,27.04,536
20160322,26.99,26.99,26.99,26.99,107
20160323,26.82,26.82,26.71,26.71,321
20160324,26.35,26.48,26.35,26.48,635
20160328,26.63,26.63,26.63,26.63,379
20160330,27.26,27.26,27.26,27.26,555
20160331,27.46,27.47,27.37,27.44,1625
20160401,27.4,27.45,27.37,27.45,1196
20160404,27.29,27.29,27.29,27.29,117
20160405,27.06,27.08,26.94,27.01,1470
20160406,26.99,26.99,26.99,26.99,254
20160407,26.8,26.8,26.8,26.8,199
