Date,Open,High,Low,Close,Volume
20121107,13.591,13.598,13.591,13.598,17601
20121108,13.584,13.584,13.584,13.584,2869
20121109,13.591,13.591,13.59,13.591,14132
20121112,13.578,13.578,13.561,13.564,10797
20121113,13.571,13.571,13.571,13.571,1036
20121114,13.537,13.537,13.51,13.51,14543
20121115,13.517,13.517,13.517,13.517,962
20121116,13.503,13.503,13.476,13.483,4954
20121119,13.496,13.496,13.496,13.496,604
20121120,13.503,13.503,13.503,13.503,12578
20121121,13.51,13.51,13.509,13.51,21076
20121126,13.517,13.517,13.517,13.517,222
20121127,13.517,13.517,13.517,13.517,16713
20121128,13.53,13.53,13.53,13.53,1923
20121129,13.537,13.537,13.537,13.537,8209
20121130,13.544,13.544,13.542,13.542,518
20121204,13.544,13.544,13.544,13.544,887
20121205,13.557,13.557,13.557,13.557,647
20121206,13.577,13.578,13.577,13.578,296
20121207,13.598,13.598,13.598,13.598,7099
20121210,13.598,13.598,13.598,13.598,148
20121211,13.605,13.605,13.605,13.605,887
20121212,13.591,13.598,13.591,13.598,1035
20121213,13.598,13.598,13.591,13.591,1627
20121217,13.638,13.638,13.631,13.631,2468
20121218,13.638,13.659,13.631,13.658,93937
20121219,13.659,13.659,13.652,13.659,4110
20121220,13.652,13.652,13.652,13.652,220
20121221,13.659,13.659,13.659,13.659,2932
20121224,13.652,13.652,13.652,13.652,1468
20121226,13.693,13.733,13.693,13.733,8283
20121227,13.747,13.768,13.747,13.768,8891
20130102,13.72,13.72,13.72,13.72,147
20130103,13.72,13.72,13.72,13.72,29616
20130104,13.738,13.738,13.733,13.733,1227
20130107,13.74,13.74,13.74,13.74,2481
20130108,13.747,13.747,13.734,13.734,4184
20130109,13.747,13.747,13.747,13.747,1614
20130110,13.761,13.761,13.761,13.761,367
20130111,13.761,13.761,13.754,13.754,5419
20130114,13.781,13.795,13.78,13.788,38557
20130115,13.835,13.835,13.76,13.787,27314
20130116,13.794,13.794,13.774,13.792,17528
20130117,13.801,13.801,13.794,13.794,9349
20130118,13.815,13.815,13.799,13.801,7303
20130122,13.828,13.842,13.822,13.841,36372
20130123,13.849,13.876,13.849,13.876,95273
20130124,13.89,13.89,13.883,13.89,7986
20130125,13.89,13.897,13.89,13.897,10327
20130128,13.924,13.931,13.924,13.93,14407
20130129,13.931,13.938,13.929,13.931,23044
20130130,13.917,13.931,13.849,13.924,132495
20130131,13.924,13.924,13.904,13.917,25372
20130201,13.911,13.911,13.856,13.89,42916
20130204,13.89,13.89,13.808,13.856,53636
20130205,13.869,13.876,13.842,13.876,27752
20130206,13.867,13.869,13.846,13.866,3944
20130207,13.869,13.869,13.835,13.835,15497
20130208,13.863,13.863,13.828,13.847,14306
20130211,13.856,13.856,13.849,13.849,9040
20130212,13.869,13.869,13.843,13.849,6128
20130213,13.856,13.856,13.856,13.856,19328
20130214,13.869,13.869,13.856,13.863,9763
20130215,13.9,13.907,13.887,13.887,15491
20130219,13.887,13.887,13.873,13.887,34382
20130220,13.893,13.894,13.873,13.877,13238
20130221,13.921,13.921,13.9,13.9,588300
20130222,13.88,13.9,13.88,13.9,2836
20130225,13.907,13.907,13.878,13.891,7896
20130226,13.874,13.887,13.861,13.867,8670
20130227,13.9,13.9,13.886,13.9,3200
20130228,13.873,13.9,13.77,13.839,166637
20130301,13.832,13.88,13.804,13.845,30902
20130304,13.819,13.866,13.812,13.819,45890
20130305,13.845,13.866,13.804,13.859,33874
20130306,13.873,13.88,13.823,13.88,67783
20130307,13.887,13.887,13.832,13.873,46909
20130308,13.88,13.88,13.832,13.88,44725
20130311,13.914,13.914,13.88,13.894,25118
20130312,13.9,13.907,13.894,13.9,47119
20130313,13.921,13.921,13.896,13.904,31944
20130314,13.928,13.928,13.9,13.921,13062
20130315,14.039,14.039,13.915,13.922,33893
20130318,13.922,13.922,13.915,13.922,24999
20130319,13.914,13.915,13.908,13.915,8801
20130320,13.949,13.949,13.908,13.936,43608
20130321,13.915,13.956,13.881,13.922,10070
20130322,13.922,13.922,13.908,13.922,22432
20130325,13.915,13.936,13.915,13.922,21880
20130326,13.942,13.963,13.929,13.936,22838
20130327,13.963,13.963,13.938,13.939,21144
20130328,13.937,13.949,13.937,13.937,35173
20130401,13.956,13.956,13.936,13.939,106163
20130402,13.956,13.97,13.948,13.963,126517
20130403,13.977,13.984,13.936,13.942,37151
20130404,13.956,13.963,13.942,13.956,18842
20130405,13.963,13.97,13.956,13.963,23513
20130408,13.97,13.97,13.957,13.97,45031
20130409,14.011,14.025,13.963,13.969,76461
20130410,14.011,14.011,13.977,13.991,36236
20130411,14.032,14.053,13.988,13.991,66268
20130412,14.011,14.011,13.984,14.011,36557
20130415,14.036,14.07,14.031,14.05,31980
20130416,14.043,14.05,14.008,14.05,42630
20130417,14.077,14.084,14.001,14.012,31768
20130418,14.022,14.036,14.008,14.022,75000
20130419,14.05,14.05,14.014,14.022,8234
20130422,14.07,14.098,14.034,14.036,86643
20130423,14.029,14.077,14.022,14.05,46159
20130424,14.063,14.063,14.032,14.043,27155
20130425,14.043,14.056,14.043,14.043,22738
20130426,14.077,14.077,14.023,14.056,21215
20130429,14.056,14.063,14.047,14.06,33746
20130430,14.091,14.091,14.063,14.063,56647
20130501,14.119,14.119,14.05,14.063,37327
20130502,14.112,14.133,14.056,14.077,29120
20130503,14.126,14.133,14.064,14.108,36996
20130506,14.139,14.14,14.057,14.111,173218
20130507,14.14,14.154,14.091,14.112,32487
20130508,14.141,14.154,14.105,14.126,43877
20130509,14.195,14.195,14.108,14.108,34861
20130510,14.174,14.195,14.129,14.181,88381
20130513,14.174,14.181,14.14,14.154,59833
20130514,14.154,14.174,14.147,14.147,21057
20130515,14.237,14.237,14.105,14.161,48513
20130516,14.181,14.181,14.14,14.147,23538
20130517,14.216,14.216,14.132,14.169,102247
20130520,14.195,14.202,14.167,14.174,12198
20130521,14.196,14.202,14.144,14.161,41920
20130522,14.168,14.209,14.119,14.119,122373
20130523,14.181,14.23,14.145,14.154,42092
20130524,14.181,14.181,14.133,14.154,37335
20130528,14.195,14.195,14.117,14.147,106943
20130529,14.168,14.181,14.133,14.161,75101
20130530,14.161,14.161,14.091,14.119,106727
20130531,14.063,14.126,14.063,14.084,61236
20130603,14.133,14.14,14.063,14.098,62971
20130604,14.126,14.133,14.063,14.098,109683
20130605,14.085,14.112,14.036,14.05,255064
20130606,14.063,14.077,14,14.063,69634
20130607,14.105,14.105,13.993,14.091,124511
20130610,14.119,14.119,14.042,14.063,75377
20130611,14.049,14.056,13.993,14.035,76443
20130612,14.063,14.098,13.98,14.042,113203
20130613,14.03,14.091,13.988,14.03,79348
20130614,14.116,14.144,13.969,14.088,281721
20130617,14.081,14.081,13.976,14.004,123639
20130618,13.977,14.081,13.97,14.046,109168
20130619,14.088,14.095,14.004,14.018,80418
20130620,13.969,14.13,13.892,13.948,55954
20130621,14.046,14.102,13.911,13.933,63195
20130624,13.871,13.969,13.717,13.915,84055
20130625,13.934,13.941,13.864,13.934,40633
20130626,13.983,13.99,13.948,13.976,90519
20130627,13.921,13.997,13.914,13.949,128472
20130628,13.955,13.99,13.885,13.955,43129
20130701,14.011,14.011,13.885,13.969,38572
20130702,14.011,14.011,13.941,13.983,41008
20130703,14.004,14.004,13.913,13.997,18841
20130705,14.039,14.046,13.822,13.96,14389
20130708,13.927,13.969,13.871,13.948,51713
20130709,14.004,14.032,13.996,13.997,41172
20130710,14.025,14.032,13.934,14.018,94333
20130711,14.011,14.074,14.011,14.046,75374
20130712,14.047,14.06,14.039,14.039,60123
20130715,14.131,14.131,14.072,14.103,210993
20130716,14.124,14.124,14.089,14.117,54974
20130717,14.117,14.173,14.082,14.11,78094
20130718,14.145,14.145,14.089,14.117,44352
20130719,14.138,14.145,14.076,14.145,72826
20130722,14.145,14.145,14.089,14.124,30502
20130723,14.046,14.145,14.046,14.145,31298
20130724,14.173,14.236,14.117,14.129,33969
20130725,14.124,14.152,14.082,14.145,23875
20130726,14.082,14.173,14.082,14.159,30995
20130729,14.166,14.166,14.117,14.117,40073
20130730,14.166,14.166,14.096,14.152,48621
20130731,14.131,14.166,14.131,14.138,20519
20130801,14.138,14.18,14.103,14.131,38985
20130802,14.159,14.173,14.117,14.117,47038
20130805,14.208,14.208,14.145,14.152,49903
20130806,14.18,14.18,14.105,14.117,37582
20130807,14.096,14.145,14.082,14.131,31995
20130808,14.131,14.187,14.124,14.152,74044
20130809,14.152,14.152,14.131,14.138,51500
20130812,14.152,14.159,14.145,14.159,61074
20130813,14.152,14.159,14.116,14.159,70776
20130814,14.159,14.159,14.11,14.121,65975
20130815,14.148,14.19,14.07,14.104,40849
20130816,14.141,14.148,14.105,14.105,42433
20130819,14.134,14.134,14.049,14.056,84926
20130820,14.105,14.105,14.056,14.074,75122
20130821,14.077,14.148,14.049,14.084,132415
20130822,14.07,14.134,14.042,14.119,47206
20130823,14.119,14.126,14.077,14.126,59302
20130826,14.056,14.077,14.056,14.07,12270
20130827,14.077,14.077,14.049,14.07,16427
20130828,14.077,14.077,14.027,14.07,74638
20130829,14.063,14.091,14.056,14.084,38093
20130830,14.105,14.148,14.028,14.07,33452
20130903,14.091,14.091,14.043,14.078,38753
20130904,14.078,14.105,14.071,14.092,44501
20130905,14.112,14.126,14.084,14.091,65282
20130906,14.105,14.112,14.08,14.112,33776
20130909,14.112,14.112,14.063,14.105,94309
20130910,14.098,14.126,14.098,14.112,46461
20130911,14.126,14.134,14.119,14.133,37156
20130912,14.134,14.141,14.12,14.134,31131
20130913,14.132,14.139,14.125,14.132,73707
20130916,14.154,14.16,14.125,14.132,41561
20130917,14.154,14.168,14.133,14.161,38343
20130918,14.161,14.245,14.157,14.168,83205
20130919,14.232,14.281,14.183,14.204,51087
20130920,14.178,14.238,14.143,14.182,36477
