Date,Open,High,Low,Close,Volume
20111115,14.82,14.82,14.612,14.731,21636
20111116,14.622,14.622,14.404,14.444,31594
20111117,14.533,14.543,14.107,14.177,8871
20111118,14.464,14.464,14.177,14.246,3602
20111121,13.949,13.959,13.395,13.504,8373
20111122,13.553,13.553,13.178,13.326,36600
20111123,13.059,13.059,12.722,12.762,12952
20111125,12.802,12.811,12.564,12.564,6371
20111128,12.861,12.94,12.663,12.677,5330
20111129,12.623,12.821,12.614,12.802,2788
20111130,12.999,13.207,12.999,13.207,43353
20111201,13.326,13.346,13.227,13.346,16223
20111202,13.712,13.801,13.642,13.692,6843
20111205,13.939,13.939,13.732,13.732,3798
20111206,13.504,13.583,13.504,13.583,5786
20111207,13.623,13.642,13.356,13.642,9118
20111208,13.405,13.405,13.306,13.306,2527
20111209,13.593,13.593,13.326,13.484,4963
20111212,13.331,13.331,13.049,13.247,7734
20111213,13.445,13.445,13.237,13.237,3982
20111214,12.92,12.92,12.762,12.762,1798
20111215,12.92,12.92,12.92,12.92,202
20111216,12.732,12.807,12.732,12.807,606
20111219,12.762,12.762,12.663,12.663,2123
20111220,12.98,13.069,12.867,13.059,1520
20111221,13.079,13.079,12.692,12.742,1827
20111222,12.732,12.96,12.732,12.96,3891
20111223,12.999,13.055,12.97,12.97,1169
20111227,12.98,12.98,12.98,12.98,1011
20111228,12.871,12.871,12.871,12.871,3032
20111229,12.762,12.856,12.737,12.811,1833
20111230,12.94,13.088,12.94,12.96,303
20120103,13.197,13.29,13.136,13.148,6672
20120104,13.069,13.089,13.009,13.089,707
20120105,12.95,13.029,12.93,13.029,3038
20120106,12.732,12.863,12.614,12.614,2132
20120109,12.614,12.614,12.366,12.436,3740
20120110,12.436,12.436,12.436,12.436,202
20120112,12.91,12.92,12.91,12.92,505
20120113,12.871,13.018,12.871,12.94,1501
20120117,13.098,13.14,13.098,13.14,202
20120118,13.21,13.21,13.195,13.195,1718
20120120,13.187,13.187,13.187,13.187,303
20120123,13.593,13.593,13.484,13.484,303
20120124,13.375,13.405,13.366,13.405,606
20120125,13.365,13.445,13.365,13.445,1276
20120126,13.415,13.415,13.356,13.356,404
20120127,13.356,14.127,13.356,14.048,16368
20120130,14.276,14.305,13.949,14.127,33701
20120131,14.543,14.543,14.098,14.098,58908
20120201,14.533,14.533,14.295,14.434,127686
20120202,14.919,14.919,14.345,14.731,178257
20120203,15.334,15.334,14.985,15.057,225925
20120206,15.087,15.087,14.681,14.79,143474
20120207,14.731,14.79,14.493,14.736,55232
20120208,14.899,14.958,14.701,14.889,20394
20120209,15.136,15.136,14.701,14.78,35256
20120210,14.642,14.919,14.592,14.8,83401
20120213,16.047,16.047,15.61,15.829,99683
20120214,15.136,15.136,14.899,15.037,41154
20120215,14.968,15.008,14.701,14.81,54428
20120216,14.81,14.978,14.612,14.919,27633
20120217,14.859,14.859,14.662,14.749,24102
20120221,14.711,14.889,14.572,14.741,20055
20120222,14.691,14.691,14.483,14.523,15479
20120223,14.622,14.711,14.444,14.711,19363
20120224,14.82,14.84,14.753,14.81,24839
20120227,14.75,14.879,14.671,14.879,3707
20120228,14.958,15.412,14.958,15.324,37275
20120229,15.304,15.304,14.998,15.077,11338
20120301,15.077,15.186,14.909,15.186,14890
20120302,15.156,15.453,15.156,15.344,43904
20120305,15.354,15.354,14.968,14.988,23496
20120306,14.849,14.849,14.642,14.691,19330
20120307,14.82,14.879,14.691,14.83,16983
20120308,14.958,15.087,14.849,15.067,17287
20120309,15.037,15.047,14.929,15.018,4161
20120312,15.215,15.215,14.889,14.968,9213
20120313,14.998,15.097,14.919,15.097,18605
20120314,14.889,14.889,14.574,14.681,19838
20120315,14.711,14.711,14.582,14.652,35921
20120316,14.72,14.988,14.72,14.949,25009
20120319,14.919,14.948,14.691,14.899,66376
20120320,14.77,14.77,14.543,14.76,28942
20120321,15.067,15.117,14.879,14.978,36421
20120322,15.077,15.199,15.057,15.155,47537
20120323,15.225,15.225,15.057,15.146,18264
20120326,15.235,15.235,14.988,15.087,58620
20120327,15.206,15.305,14.998,15.186,44131
20120328,15.156,15.181,14.938,15.027,23411
20120329,15.057,15.146,14.948,15.146,22572
20120330,15.235,15.322,15.136,15.225,17097
20120402,15.166,15.334,15.107,15.275,49935
20120403,15.324,15.324,15.037,15.077,34987
20120404,15.057,15.057,14.822,14.84,36211
20120405,14.849,14.958,14.837,14.889,20096
20120409,14.84,14.998,14.721,14.938,18569
20120410,14.948,14.968,14.592,14.622,36495
20120411,14.919,15.047,14.919,14.958,31974
20120412,15.047,15.532,15.015,15.473,62680
20120413,15.423,15.423,15.176,15.334,51283
