Date,Open,High,Low,Close,Volume
20090116,9.5100,9.5100,9.5100,9.5100,1000
20090120,9.1600,9.1600,9.0500,9.1000,17110
20090121,8.9300,9.0300,8.9300,9.0300,3600
20090122,9.0800,9.1400,9.0800,9.1200,6500
20090123,9.0000,9.1900,9.0000,9.1900,14500
20090126,9.3200,9.3300,9.2100,9.2100,1500
20090127,9.2900,9.3000,9.2500,9.2900,119500
20090128,9.3800,9.4800,9.2300,9.4800,7500
20090129,9.3500,9.3500,9.3500,9.3500,1000
20090130,9.1800,9.2600,9.1800,9.2600,750
20090202,9.0400,9.0400,9.0400,9.0400,250
20090203,9.1600,9.2000,9.1600,9.2000,6480
20090210,9.2500,9.2500,9.0300,9.0300,10000
20090211,9.0800,9.2300,9.0800,9.1200,12300
20090212,9.1200,9.1200,9.1200,9.1200,2500
20090213,9.1300,9.2200,9.1300,9.2200,9200
20090217,8.7700,8.7700,8.7300,8.7300,7000
20090218,8.4600,8.6900,8.4600,8.6300,5700
20090219,8.4000,8.6800,8.4000,8.5900,13000
20090220,8.4300,8.4500,8.3200,8.3800,11600
20090223,8.2800,8.2800,8.2100,8.2100,9850
20090224,8.2000,8.3800,8.2000,8.3800,16000
20090225,8.2300,8.4400,8.2200,8.4400,24500
20090226,8.2500,8.4500,7.4300,8.3200,36300
20090227,8.0500,8.2200,7.9300,8.0400,16837
20090302,7.6100,7.6300,7.5600,7.5600,7800
20090303,7.6100,7.6100,7.4700,7.4700,17400
20090304,7.3600,7.8500,7.3600,7.8500,17400
20090305,7.3600,7.3600,7.3200,7.3200,3780
20090306,7.2400,7.2400,7.1600,7.2200,10700
20090309,7.3000,7.3100,6.8600,7.1700,37400
20090310,7.3700,7.6200,7.3700,7.5500,7420
20090311,7.6100,7.6800,7.5100,7.6800,1850
20090312,7.6700,7.8500,7.6700,7.8500,1900
20090313,8.0000,8.1840,8.0000,8.1840,9300
20090316,8.1000,8.1860,8.0300,8.0300,9900
20090317,8.0900,8.3300,8.0900,8.3300,7000
20090319,8.3600,8.5500,8.3600,8.5400,15715
20090320,8.3500,8.3800,8.2800,8.3400,4620
20090323,8.5500,8.7100,8.4800,8.4800,18700
20090324,8.6600,8.7300,8.6600,8.7300,95900
20090325,8.6900,8.7800,8.6900,8.7100,4700
20090326,8.7600,8.8500,8.7600,8.8500,31900
20090327,9.7000,9.7000,8.8000,8.8000,3700
20090330,8.4100,8.4100,8.3830,8.3830,18420
