Date,Open,High,Low,Close,Volume
20180504,71.96,71.96,71.81,71.81,1077
20180507,71.87,71.87,71.78,71.78,738
20180508,71.71,71.72,71.66,71.72,1117
20180509,71.74,71.76,71.7,71.73,57950
20180510,72.04,72.1,71.95,71.95,77773
20180511,72.22,72.22,71.95,72.21,5809
20180514,72.21,72.21,72.05,72.06,1117
20180515,71.74,71.74,71.57,71.68,2066
20180516,71.69,71.69,71.69,71.69,112
20180517,71.61,71.61,71.48,71.48,1229
20180518,71.67,71.67,71.67,71.67,112
20180522,71.65,71.65,71.65,71.65,112
20180523,72.03,72.03,71.96,71.96,447
20180525,72.04,72.04,72.04,72.04,112
20180529,72.58,72.68,72.55,72.68,558
20180530,72.55,72.55,72.31,72.31,335
20180531,72.68,72.68,72.54,72.62,1494
20180601,72.27,72.49,72.21,72.35,7352
20180604,72.13,72.13,72.08,72.08,2450
20180605,72.09,72.09,72.09,72.09,279
20180606,71.88,71.88,71.83,71.88,1724
20180607,71.93,72.29,71.93,72.2,4790
20180611,71.86,71.91,71.86,71.91,2005
20180613,71.99,71.99,71.99,71.99,111
20180614,72.21,72.21,72.21,72.21,114
20180621,71.81,71.81,71.81,71.81,111
20180622,71.81,71.81,71.81,71.81,111
20180625,71.87,71.87,71.87,71.87,111
20180627,72.12,72.12,72.12,72.12,390
20180629,72.04,72.04,72.04,72.04,111
20180709,72.56,72.56,72.52,72.52,1493
20180712,72.83,72.83,72.82,72.82,444
20180713,72.86,72.92,72.86,72.92,424
20180716,72.86,72.86,72.86,72.86,167
20180717,72.8,72.8,72.74,72.74,416
20180720,72.54,72.54,72.54,72.54,222
20180723,72.41,72.41,72.41,72.41,111
20180724,72.34,72.34,72.34,72.34,111
20180725,72.65,72.65,72.65,72.65,111
20180731,72.97,72.97,72.96,72.96,335
20180801,72.75,72.84,72.75,72.84,6781
20180803,72.68,72.86,72.68,72.86,332
20180806,73.12,73.12,73.12,73.12,443
20180809,72.82,72.82,72.74,72.74,1344
20180810,72.84,72.84,72.84,72.84,775
20180813,72.96,72.96,72.96,72.96,166
20180814,73.05,73.05,73.05,73.05,136
20180816,73.23,73.23,73.23,73.23,144
20180820,73.48,73.48,73.48,73.48,111
