Date,Open,High,Low,Close,Volume
20150924,35.93,36,35.93,35.99,700
20151002,36.11,36.11,36.11,36.11,100
20151008,37.69,37.69,37.69,37.69,200
20151012,37.78,37.78,37.78,37.78,107700
20151027,38.7,38.7,38.7,38.7,100
20151028,38.85,38.94,38.85,38.94,200
20151123,39.19,39.19,39.19,39.19,100
20151204,39.16,39.16,39.16,39.16,100
20160107,36.62,36.62,36.62,36.62,300
20160115,35.6,35.6,35.46,35.46,200
20160125,36.13,36.13,36.13,36.13,400
20160129,36.05,36.54,36.05,36.54,200
20160202,36.53,36.53,36.53,36.53,2200
20160203,36.5,36.5,36.29,36.29,200
20160204,36.28,36.34,36.28,36.34,200
20160208,34.97,35.43,34.9,35.43,2300
20160211,34.71,34.71,34.71,34.71,300
20160216,35.83,35.89,35.83,35.89,2100
20160217,36.79,36.79,36.79,36.79,100
20160219,36.57,36.57,36.57,36.57,200
20160222,37.08,37.1,37.08,37.1,300
20160223,36.89,36.89,36.89,36.89,100
20160226,36.89,36.89,36.89,36.89,100
20160301,36.89,36.89,36.89,36.89,100
20160307,36.89,36.89,36.89,36.89,27400
20160509,39.28,39.28,39.28,39.28,100
20160511,39.55,39.55,39.55,39.55,200
20160512,39.24,39.24,39.24,39.24,500
20160516,39.4,39.4,39.4,39.4,300
20160624,39.31,39.35,39.25,39.35,800
20160628,38.96,38.96,38.96,38.96,500
20160701,40.53,40.53,40.53,40.53,500
20160705,40.2,40.2,40.2,40.2,100
20160706,40.44,40.44,40.44,40.44,300
20160712,41.41,41.43,41.41,41.43,200
20160713,41.43,41.43,41.43,41.43,100
20160720,41.8,41.8,41.8,41.8,100
20160801,41.56,41.57,41.56,41.57,3100
20160802,41.45,41.55,41.45,41.55,1000
20160808,41.92,41.92,41.91,41.91,300
20160809,42.01,42.05,42.01,42.05,500
20160812,42.13,42.13,42.13,42.13,100
20160822,41.94,41.94,41.94,41.94,500
20160912,40.78,40.78,40.77,40.78,1500
20160919,41.2,41.28,41.2,41.28,1000
20161011,41.16,41.16,41.16,41.16,1500
20161108,41.16,41.17,41.16,41.17,1100
20161111,41.17,41.17,41.17,41.17,500
20161116,41.17,41.17,41.17,41.17,26900
20161201,41.45,41.48,41.45,41.48,400
20161215,42.73,42.87,42.73,42.87,600
20161216,42.73,42.78,42.73,42.78,800
20161219,42.88,42.88,42.88,42.88,100
20161228,42.84,42.84,42.84,42.84,100
