Date,Open,High,Low,Close,Volume
20101203,84.11,84.14,84.08,84.11,56174
20101206,84.28,84.31,84.19,84.31,25371
20101207,84.25,84.25,84.13,84.17,22196
20101208,83.98,83.99,83.83,83.88,3886
20101209,83.83,83.9,83.83,83.87,2059
20101210,83.87,83.87,83.79,83.79,3479
20101213,83.75,83.9,83.7,83.85,17024
20101214,83.87,83.87,83.67,83.73,6127
20101215,83.85,83.9,83.85,83.9,535
20101216,83.78,83.92,83.78,83.91,27422
20101217,84.06,84.17,84.06,84.16,3041
20101220,84.21,84.25,84.12,84.14,24570
20101221,84.26,84.27,84.19,84.23,4727
20101222,84.23,84.27,84.22,84.26,6143
20101223,84.19,84.23,84.19,84.2,820
20101227,84.16,84.16,84.04,84.16,2685
20101228,84.16,84.16,84.04,84.06,6474
20101229,84.07,84.34,84.05,84.31,7039
20101230,84.28,84.28,84.16,84.17,2528
20101231,84.22,84.33,84.22,84.3,9853
20110103,84.28,84.41,84.23,84.37,4816
20110104,84.48,84.53,84.47,84.53,19581
20110105,84.45,84.47,84.42,84.44,3748
20110106,84.53,84.65,84.49,84.64,12990
20110107,84.74,84.87,84.74,84.8,1306
20110110,84.81,84.88,84.81,84.85,3306
20110111,84.96,85.06,84.94,85.01,11035
20110112,84.93,85.11,84.89,85.06,57406
20110113,85.01,85.17,84.96,85.16,107154
20110114,85.15,85.2,85.11,85.11,9115
20110118,85.06,85.12,85.01,85.11,12506
20110119,85.13,85.14,85.06,85.12,11801
20110120,85.01,85.01,84.84,84.84,6519
20110121,84.84,84.9,84.76,84.84,10041
20110124,84.92,84.96,84.92,84.92,5675
20110125,84.95,85.05,84.88,84.99,18184
20110126,84.96,84.98,84.85,84.94,13173
20110127,84.99,84.99,84.89,84.93,12808
20110128,84.93,85.15,84.93,85.14,9515
20110131,85.18,85.22,85.15,85.15,5649
20110201,85.07,85.23,85.05,85.19,57411
20110202,85.21,85.21,85,85,4622
20110203,84.92,84.96,84.89,84.89,13589
20110204,84.84,84.86,84.69,84.69,9100
20110207,84.65,84.71,84.57,84.71,8904
20110208,84.66,84.68,84.46,84.47,8906
20110209,84.5,84.58,84.45,84.55,4892
20110210,84.49,84.49,84.37,84.37,20356
20110211,84.48,84.49,84.39,84.39,5168
20110214,84.41,84.45,84.41,84.45,3225
20110215,84.44,84.53,84.42,84.53,126202
20110216,84.52,84.57,84.44,84.51,14664
20110217,84.64,84.76,84.64,84.76,122231
20110218,84.82,85.07,84.81,85.07,30447
20110222,85.32,85.48,85.29,85.48,93952
20110223,85.48,85.65,85.42,85.61,20418
20110224,85.74,85.74,85.66,85.66,13137
20110225,85.67,85.68,85.57,85.65,12511
20110228,85.73,85.73,85.64,85.65,10721
20110301,85.59,85.78,85.56,85.77,12932
20110302,85.81,85.91,85.81,85.82,15034
20110303,85.67,85.69,85.62,85.64,6021
20110304,85.78,85.92,85.78,85.92,19356
20110307,85.87,86.02,85.87,85.98,17198
20110308,85.99,86.05,85.96,86,18923
20110309,86.11,86.11,86.03,86.09,14895
20110310,86.14,86.26,86.08,86.26,8279
20110311,86.23,86.23,86.15,86.22,57539
20110314,86.33,86.38,86.3,86.31,17676
20110315,86.37,86.37,86.25,86.25,6846
20110316,86.39,86.52,86.39,86.52,6309
20110317,86.57,86.67,86.57,86.67,10827
20110318,86.63,86.69,86.55,86.59,6167
20110321,86.48,86.57,86.48,86.52,3159
20110322,86.4,86.41,86.4,86.41,713
20110323,86.48,86.48,86.37,86.4,15314
20110324,86.4,86.41,86.32,86.34,20545
20110325,86.36,86.36,86.12,86.17,6304
20110328,86.12,86.17,86.08,86.15,14861
20110329,86.19,86.19,86.08,86.1,4920
20110330,86.15,86.21,86.14,86.21,2448
20110331,86.3,86.3,86.2,86.2,6333
20110401,86.14,86.31,86.11,86.31,6757
20110404,86.45,86.5,86.4,86.46,5987
20110405,86.47,86.47,86.38,86.43,15981
20110406,86.4,86.4,86.33,86.35,9212
20110407,86.41,86.48,86.37,86.48,8490
20110408,86.47,86.6,86.47,86.53,15053
20110411,86.58,86.6,86.54,86.54,18007
20110412,86.59,86.65,86.55,86.64,7261
20110413,86.6,86.71,86.59,86.68,9363
20110414,86.71,86.72,86.55,86.55,8589
20110415,86.71,86.82,86.71,86.79,47196
20110418,86.78,86.92,86.78,86.86,13217
20110419,86.9,87.01,86.88,87.01,27293
20110420,86.98,86.99,86.92,86.96,9611
20110421,86.97,86.98,86.88,86.96,7911
20110425,87,87.05,86.97,87.05,40575
20110426,87.07,87.17,87.05,87.17,8304
20110427,87.14,87.27,87.07,87.27,9775
20110428,87.42,87.48,87.39,87.43,18273
20110429,87.48,87.54,87.4,87.54,12725
20110502,87.47,87.62,87.43,87.55,37808
20110503,87.56,87.57,87.51,87.52,29922
20110504,87.5,87.56,87.49,87.49,9772
20110505,87.41,87.45,87.31,87.31,9729
20110506,87.21,87.4,87.21,87.32,10653
20110509,87.35,87.42,87.34,87.42,12820
20110510,87.38,87.43,87.38,87.39,42911
20110511,87.37,87.38,87.2,87.2,45480
20110512,87.17,87.18,87.01,87.06,24254
20110513,87.06,87.11,87.02,87.09,30645
20110516,87.19,87.19,87.05,87.07,51733
20110517,86.99,87.06,86.94,87.06,185726
20110518,87.16,87.16,87.07,87.11,23284
20110519,87.06,87.13,87.04,87.06,36088
20110520,87.15,87.15,87.08,87.12,62859
20110523,87.14,87.14,87.02,87.05,87824
20110524,87.15,87.2,87.09,87.2,16580
20110525,87.29,87.29,87.22,87.29,161665
20110526,87.34,87.4,87.28,87.4,24624
20110527,87.37,87.5,87.37,87.45,15932
20110531,87.45,87.51,87.45,87.48,16283
20110601,87.52,87.58,87.49,87.57,32570
20110602,87.52,87.55,87.49,87.51,8798
20110603,87.62,87.65,87.59,87.63,68042
20110606,87.59,87.64,87.59,87.64,14112
20110607,87.63,87.73,87.57,87.73,10081
20110608,87.75,87.86,87.74,87.81,64427
20110609,87.78,87.78,87.67,87.69,8418
20110610,87.63,87.75,87.59,87.62,43073
20110613,87.61,87.69,87.57,87.65,52368
20110614,87.62,87.62,87.55,87.59,29913
20110615,87.78,87.89,87.74,87.85,24425
20110616,87.84,87.84,87.75,87.77,10615
20110617,87.76,87.76,87.68,87.75,23505
20110620,87.72,87.72,87.61,87.65,6890
20110621,87.63,87.65,87.59,87.63,34221
20110622,87.7,87.7,87.58,87.62,11900
20110623,87.59,87.6,87.54,87.57,9552
20110624,87.57,87.67,87.56,87.64,8979
20110627,87.62,87.62,87.51,87.57,9420
20110628,87.54,87.56,87.36,87.43,31264
20110629,87.51,87.58,87.45,87.57,97750
20110630,87.69,87.69,87.51,87.54,21188
20110701,87.63,89.64,87.35,87.57,33430
20110705,87.52,87.75,87.52,87.75,21233
20110706,87.83,87.88,87.79,87.85,8365
20110707,87.81,87.87,87.78,87.82,5877
20110708,88.07,88.11,88.03,88.06,12673
20110711,88.12,88.26,88.12,88.26,6009
20110712,88.29,88.35,88.24,88.34,8780
20110713,88.32,88.37,88.23,88.36,26227
20110714,88.3,88.3,88.15,88.21,26682
20110715,88.23,88.41,88.15,88.38,12935
20110718,88.36,88.42,88.29,88.39,9863
20110719,88.45,88.49,88.41,88.49,19646
20110720,88.43,88.43,88.29,88.33,15401
20110721,88.36,88.38,88.25,88.29,7858
20110722,88.39,88.42,88.3,88.42,5346
20110725,88.2,88.46,88.2,88.43,13084
20110726,88.49,88.54,88.37,88.43,16106
20110727,88.34,88.48,88.33,88.47,46351
20110728,88.41,88.51,88.41,88.45,13387
20110729,88.59,88.83,88.52,88.64,14325
