Date,Open,High,Low,Close,Volume
20200116,25.3185,25.3185,25.3185,25.3185,41
20200207,25.33,25.33,25.33,25.33,200
20200210,25.3599,25.39,25.3599,25.39,563
20200214,25.74,25.74,25.74,25.74,133
20200221,25.58,25.58,25.39,25.39,400
20200226,23.96,23.96,23.93,23.93,617
20200228,22.425,22.425,22.425,22.425,100
20200302,22.7,22.7,22.7,22.7,100
20200309,21.48,21.48,21.48,21.48,100
20200311,21.52,21.537,21.52,21.537,350
20200312,19.5,19.5,19.5,19.5,100
20200313,19.51,19.51,19.4716,19.4716,400
20200316,18.82,19.03,18.82,19.03,268
20200319,18.91,18.92,18.91,18.92,830
20200320,18.64,18.75,18.64,18.75,300
20200401,19.75,19.75,19.75,19.75,100
20200413,21.89,21.89,21.89,21.89,222
20200420,22.64,22.64,22.64,22.64,120
20200507,23.33,23.33,23.3299,23.3299,724
20200511,23.76,23.85,23.76,23.8446,2312
20200527,23.83,23.83,23.83,23.83,100
20200528,24.48,24.48,24.48,24.48,174
20200529,24.38,24.38,24.38,24.38,170
20200601,24.94,24.94,24.94,24.94,1000
20200602,24.79,24.79,24.79,24.79,138
20200604,24.99,24.99,24.99,24.99,600
20200608,25.61,25.8,25.61,25.8,1195
20200610,25.81,25.81,25.81,25.81,300
20200611,25,25,24.579,24.579,2373
20200617,25.58,25.58,25.58,25.58,600
20200624,25.36,25.36,25.36,25.36,300
20200702,26.24,26.25,26.22,26.25,19000
20200710,26.67,26.67,26.64,26.64,420
20200713,27.16,27.16,27.1595,27.1595,2800
20200716,26.32,26.32,26.15,26.24,9533
20200717,26.35,26.3592,26.35,26.3592,1506
20200727,26.77,26.77,26.7699,26.7699,436
20200729,26.82,26.82,26.8104,26.8104,222
20200731,27,27,27,27,483
20200803,27.66,27.675,27.66,27.675,1976
20200804,27.65,27.65,27.65,27.65,100
20200807,27.61,27.61,27.6004,27.6004,830
20200813,27.92,27.9201,27.92,27.9201,1000
20200819,28.22,28.22,28.2104,28.2104,456
20200820,28.2141,28.2141,28.2141,28.2141,100
20200901,29.72,29.72,29.72,29.72,500
20200902,30.04,30.1899,30.0102,30.1899,700
20200903,29.25,29.25,28.54,28.54,400
20200904,27.42,28.5,27.42,28.5,6994
20200909,27.97,27.97,27.97,27.97,168
20200911,27.21,27.2103,27.2,27.2,4948
20200918,27.26,27.26,27.26,27.26,500
20200922,28.07,28.0701,28.07,28.0701,288
20200923,27.268,27.28,27.268,27.268,30000
20201006,28.66,28.66,28.66,28.66,838
20201026,28.41,28.4101,28.41,28.4101,1876
20201027,28.64,28.64,28.64,28.64,100
20201028,28,28,28,28,350
20201029,27.92,27.9201,27.92,27.9201,800
20201030,27.11,27.11,27.11,27.11,200
20201105,29.8,29.8,29.8,29.8,400
20201109,30,30,30,30,200
20201110,28.62,28.62,28.62,28.62,209
20201116,29.49,29.49,29.4699,29.4699,7098
20201117,29.5,29.545,29.5,29.545,324
20201123,29.365,29.4,29.225,29.4,321
20201125,29.71,29.73,29.7,29.73,25150
20201130,29.76,29.99,29.76,29.99,33754
20201201,30.17,30.1876,30.17,30.1876,352
20201218,31.41,31.41,31.35,31.35,269
20201221,31.38,31.3801,31.38,31.3801,452
20201222,31.62,31.62,31.62,31.62,200
20210104,31.5,31.5,31.21,31.2101,2715
20210108,32.09,32.0952,32.09,32.0952,688
20210122,32.97,32.97,32.97,32.97,100
20210125,33.1298,33.1298,33.1221,33.1221,581
20210126,33.365,33.365,33.365,33.365,100
20210127,32.786,32.786,32.77,32.77,1723
20210129,32.12,32.12,31.81,31.95,500
20210204,33.08,33.08,33.0799,33.0799,7154
20210205,33.23,33.23,33.2299,33.2299,406
20210210,33.5806,33.5806,33.5806,33.5806,815
20210216,33.54,33.54,33.54,33.54,100
20210223,31.565,31.565,31.565,31.565,100
20210303,32.2348,32.2348,31.77,31.77,400
20210304,31.25,31.43,30.74,30.74,26186
20210308,31.15,31.15,30.77,30.785,1427
20210309,31.48,31.5066,31.48,31.48,1184
20210316,32.45,32.45,32.45,32.45,1000
20210322,32.41,32.41,32.41,32.41,150
20210324,31.755,31.755,31.755,31.755,169
20210401,32.679,32.679,32.679,32.679,100
20210406,33.3,33.3,33.3,33.3,100
20210408,33.5,33.5,33.5,33.5,318
20210414,34.24,34.24,34.22,34.22,200
20210416,34.44,34.44,34.44,34.44,100
20210421,34.18,34.18,34.18,34.18,100
20210422,34.32,34.32,34.32,34.32,200
20210426,34.48,34.48,34.48,34.48,200
20210427,34.6799,34.68,34.679,34.679,3117
20210507,34.05,34.0501,34.05,34.0501,304
20210510,33.7901,33.83,33.79,33.83,500
20210511,33.1868,33.1868,33.1868,33.1868,125
20210513,32.9,32.9052,32.9,32.9052,726
20210604,34.1001,34.1001,34.1,34.1001,3200
20210608,34.4479,34.4479,34.4479,34.4479,100
20210611,34.67,34.67,34.6695,34.6695,200
20210624,35.49,35.49,35.49,35.49,138
20210628,35.5,35.5,35.5,35.5,333
20210702,36.06,36.06,36.06,36.06,100
20210712,36.68,36.68,36.68,36.68,156
20210713,36.86,36.86,36.66,36.66,371
20210719,35.85,35.85,35.85,35.85,100
20210723,37.13,37.13,37.13,37.13,1000
20210726,37.37,37.37,37.37,37.37,133
20210727,37.33,37.33,37.22,37.22,200
20210728,37.13,37.13,37.03,37.03,1189
20210729,37.26,37.27,37.25,37.26,2000
20210802,36.8901,36.99,36.8901,36.99,1294
20210804,37.24,37.37,37.24,37.37,200
20210805,37.48,37.51,37.48,37.51,2293
20210806,37.44,37.44,37.33,37.43,4493
20210809,37.5,37.5,37.44,37.44,1473
20210810,37.36,37.36,37.26,37.26,1600
20210812,37.545,37.565,37.545,37.56,1500
20210819,36.66,36.8501,36.66,36.8501,251
20210824,37.97,37.97,37.97,37.97,900
20210827,38.24,38.24,38.24,38.24,200
20210830,38.74,38.74,38.74,38.74,100
20210908,38.52,38.52,38.52,38.52,100
20210909,38.4997,38.4997,38.4997,38.4997,100
20210917,37.95,37.95,37.95,37.95,200
20210920,37.29,37.29,37.29,37.29,197
20210922,37.37,37.37,37.37,37.37,100
20211008,36.28,36.28,36.28,36.28,742
20211014,36.76,36.76,36.76,36.76,600
20211025,38.14,38.14,38.14,38.14,373
20211115,40.18,40.18,40.18,40.18,100
20211118,40.46,40.46,40.46,40.46,100
20211122,41.12,41.12,41.12,41.12,100
20211208,40.245,40.245,40.245,40.245,300
20211213,39.75,39.75,39.74,39.74,200
20211214,39.31,39.31,39.31,39.31,200
20211215,39.04,39.0455,39.04,39.0455,560
20211223,40.1,40.1,40.1,40.1,135
20220103,40.25,40.295,40.25,40.295,340
20220106,38.93,38.93,38.93,38.93,100
20220110,37.93,38,37.68,38,2153
20220111,38.36,38.36,38.11,38.11,1300
20220119,37.37,37.37,37.37,37.37,275
20220120,37.239,37.239,37.239,37.239,100
20220124,34.767,35.02,34.68,35.02,650
20220128,35.26,35.26,35.26,35.26,400
20220201,36.83,36.83,36.83,36.83,150
20220204,36.74,36.7512,36.74,36.7512,200
20220210,36.65,36.65,36.65,36.65,138
20220214,35.7,35.78,35.7,35.78,350
