Date,Open,High,Low,Close,Volume
20200416,24.5836,24.5836,24.5836,24.5836,4
20200420,25.1121,25.1121,25.1121,25.1121,12
20200422,24.7193,24.7193,24.7193,24.7193,81
20200423,24.8599,24.8599,24.7356,24.7356,114
20200424,24.69,24.9671,24.69,24.9671,255
20200429,26.88,26.88,26.88,26.88,155
20200430,26.5,26.5,26.5,26.5,125
20200512,26.4,26.4,26.4,26.4,200
20200609,30.77,30.77,30.77,30.77,100
20200611,29.1,29.1,29.1,29.1,400
20200612,28.88,28.88,28.88,28.88,400
20200625,28.23,28.23,28.23,28.23,100
20200626,28.112,28.112,28.112,28.112,100
20200729,30.0095,30.0095,30.0095,30.0095,100
20200804,30.3603,30.3603,30.3603,30.3603,100
20200807,30.75,30.75,30.75,30.75,100
20200818,31.16,31.16,31.16,31.16,100
20200819,31.2,31.2,31.2,31.2,150
20200825,31.12,31.12,31.12,31.12,100
20200826,31.26,31.26,31.2598,31.2598,636
20200831,31.42,31.43,31.4,31.4,525
20200903,31.03,31.03,31.03,31.03,100
20200929,30.8,30.8,30.7861,30.7861,400
20201013,32.63,32.67,32.6166,32.6599,3800
20201026,31.775,31.775,31.775,31.775,100
20201027,31.75,31.7566,31.75,31.7566,6000
20201028,30.96,30.96,30.96,30.96,100
20201103,31.78,31.78,31.78,31.78,100
20201111,33.99,34,33.99,34,200
20201207,36.2,36.2,36.18,36.18,200
20210210,39.7,39.7,39.7,39.7,125
20210222,39.81,39.81,39.6864,39.6864,474
20210311,40.5,40.51,40.5,40.51,600
20210316,41.35,41.35,41.0401,41.0401,551
20210317,40.67,40.6799,40.67,40.6799,200
20210406,41.57,41.57,41.5444,41.5444,250
20210511,42.62,42.62,42.54,42.54,212
20210517,42.8061,42.8061,42.63,42.63,234
20210524,43.1297,43.1297,43.1297,43.1297,250
20210630,43.85,43.85,43.85,43.85,1100
20210721,43.88,43.88,43.88,43.88,195
20210729,44.55,44.66,44.49,44.66,9698
20210802,44.6799,44.6799,44.53,44.53,400
20210803,44.2,44.2,44.12,44.12,200
20210810,45.06,45.06,44.93,44.96,5342
20210813,45.12,45.12,45.12,45.12,500
20210816,45.18,45.18,45.09,45.09,1773
20210818,44.92,44.92,44.85,44.8795,2018
20210819,44.56,44.59,44.56,44.59,36200
20210820,44.83,44.83,44.83,44.83,100
20210823,44.89,44.9,44.89,44.9,800
