Date,Open,High,Low,Close,Volume
20081119,88.41,88.41,88.3,88.3,619
20081120,88.54,88.54,88.4,88.4,1183
20081121,88.61,88.61,88.42,88.43,1752
20081124,88.31,88.31,88.28,88.28,250
20081125,88.3,88.31,88.18,88.18,7868
20081126,88.67,88.67,88.18,88.18,6155
20081128,88.42,88.42,88.38,88.38,242
20081201,88.56,88.56,88.19,88.19,37271
20081202,88.32,88.36,88.32,88.36,1546
20081203,88.49,88.49,88.21,88.35,5795
20081204,88.36,88.38,88.21,88.36,3535
20081205,88.34,88.4,88.3,88.4,1666
20081208,88.41,88.43,88.36,88.36,1282
20081209,88.21,88.38,88.21,88.28,1380
20081210,88.38,88.38,88.29,88.29,11160
20081211,88.53,88.53,88.38,88.39,3997
20081212,88.42,88.42,88.38,88.39,4052
20081215,88.38,88.38,88.36,88.37,2644
20081216,88.36,88.38,88.36,88.37,4767
20081217,88.55,88.55,88.36,88.38,3644
20081218,88.47,88.6,88.4,88.47,20902
20081219,88.55,88.6,88.46,88.46,12996
20081222,88.43,88.6,88.43,88.6,3639
20081223,88.5,88.7,88.5,88.7,9973
20081224,89.08,91.31,88.82,88.92,7681
20081226,88.85,89.16,88.85,89.16,18915
20081229,88.94,89.17,88.94,89.16,4816
20081230,89.2,89.25,88.92,89.25,14647
20081231,89.27,89.27,89.02,89.13,983
20090102,89.02,89.07,89.02,89.07,585
20090105,89.07,91.47,89.07,89.24,2684
20090106,89.14,89.55,89.14,89.54,8440
20090107,89.6,89.71,89.31,89.7,4296
20090108,89.77,90.05,89.58,90.05,7642
20090109,90.02,90.14,90.02,90.12,1060
20090112,90.12,90.45,90.12,90.39,10448
20090113,90.46,95.4,90.3,95.4,4422
20090114,90.51,90.9,90.51,90.7,1499
20090115,90.99,93.27,90.99,91.26,5953
20090116,91.27,96.75,91.27,96.22,17954
20090120,91.42,91.73,91.17,91.69,1204
20090121,91.14,97.19,91.14,92.34,11488
20090122,91.52,94.43,91.36,91.75,13360
20090123,91.12,91.28,90.65,91.02,7733
20090126,91.35,92.4,90.18,91.18,27112
20090127,91.24,91.24,90.99,91.07,12015
20090128,91.18,91.36,91.17,91.32,15560
20090129,92.04,92.04,90.32,90.33,16170
20090130,91.03,91.08,90.35,90.92,96260
20090202,91.03,91.07,90.35,90.93,10290
20090203,90.83,90.98,90.45,90.8,6532
20090204,90.82,90.84,90.53,90.61,11543
20090205,90.92,90.92,90.76,90.89,11655
20090206,91.28,91.28,90.9,90.95,25190
20090209,90.9,90.93,90.57,90.66,8493
20090210,90.96,90.96,90.8,90.89,3973
20090211,90.89,90.89,90.8,90.88,2896
20090212,90.92,90.93,90.89,90.91,4397
20090213,90.85,90.89,90.79,90.88,16930
20090217,90.05,90.85,90.05,90.84,8612
20090218,90.78,90.78,90.47,90.76,4063
20090219,90.72,90.72,90.62,90.69,3627
20090220,90.64,90.68,90.62,90.68,4630
20090223,90.65,90.69,90.61,90.64,8657
20090224,90.61,90.69,90.48,90.57,9448
20090225,90.59,90.61,90.56,90.59,9041
20090226,90.44,90.54,90.07,90.07,4879
20090227,90.11,90.44,90.11,90.41,9707
20090302,90.46,90.53,90.35,90.48,2699
20090303,90.46,90.67,90.36,90.53,11761
20090304,90.36,90.44,90.05,90.41,11095
20090305,90.41,90.41,89.93,90.24,8691
20090306,90.33,90.42,90.33,90.37,6025
20090309,90.44,90.45,90.38,90.42,18621
20090310,90.35,90.45,90.34,90.42,5945
20090311,90.39,90.57,90.35,90.54,22864
20090312,90.51,90.72,90.05,90.66,16046
20090313,90.69,90.75,90.54,90.75,7021
20090316,90.71,90.76,90.2,90.2,11649
20090317,90.61,90.69,90.05,90.47,11121
20090318,90.48,90.57,90.44,90.48,6030
20090319,90.71,91.66,90.52,90.87,8812
