Date,Open,High,Low,Close,Volume
20080708,19.033,19.07,19.033,19.07,1630
20080709,19.283,19.298,19.18,19.18,1440
20080710,19.245,19.267,19.238,19.26,8270
20080711,19.27,19.27,19.27,19.27,540
20080714,19.518,19.526,19.423,19.43,8920
20080715,19.465,19.487,19.384,19.48,5030
20080716,19.539,19.59,19.494,19.59,1280
20080717,19.664,19.767,19.649,19.73,16380
20080718,19.733,19.74,19.63,19.63,3940
20080721,19.712,19.712,19.69,19.69,1340
20080722,19.781,19.95,19.781,19.95,1830
20080723,19.838,19.875,19.662,19.728,7290
20080724,19.709,19.709,19.43,19.43,2610
20080725,19.642,19.642,19.62,19.62,1160
20080728,19.953,19.953,19.814,19.88,1290
20080729,20.19,20.2,20.17,20.2,8360
20080730,20.21,20.21,20.15,20.15,650
20080731,20.35,20.46,20.31,20.39,2440
20080801,20.63,20.67,20.5,20.67,5080
20080804,20.77,20.77,20.62,20.7,24380
20080805,20.39,20.39,20.16,20.36,7940
20080806,20,20.06,20,20.04,5670
20080807,19.945,19.945,19.871,19.93,6230
20080808,19.424,19.424,19.174,19.27,23030
20080811,19.244,19.34,19.244,19.34,2880
20080812,19.23,19.23,18.965,18.98,2450
20080813,18.927,18.927,18.816,18.89,1630
20080814,18.958,19.127,18.958,18.98,3810
20080815,18.988,18.988,18.87,18.87,740
20080818,19.27,19.491,19.27,19.41,3830
20080819,19.032,19.26,19.032,19.26,1380
20080820,19.23,19.23,19.23,19.23,140
20080821,19.58,19.58,19.58,19.58,1360
20080822,19.576,19.62,19.576,19.62,1770
20080826,19.209,19.216,19.15,19.15,4350
20080827,19.239,19.29,19.239,19.29,4180
20080828,19.494,19.538,19.42,19.42,4970
20080829,19.582,19.582,19.56,19.56,1260
20080902,19.274,19.37,19.274,19.37,1230
20080903,19.053,19.06,19.053,19.06,540
20080904,19.011,19.04,19.011,19.04,540
20080905,18.907,18.907,18.79,18.9,11710
20080908,18.99,18.99,18.99,18.99,1360
20080909,19.004,19.004,18.85,18.85,340
20080910,18.85,18.85,18.85,18.85,140
20080911,18.197,18.27,18.152,18.27,900
20080917,18.32,18.32,18.32,18.32,1360
20080918,18.495,18.495,17.701,17.98,2190
20080919,18.482,22.45,18.482,19.18,6000
20080922,19.085,19.085,18.82,18.82,550
20080923,18.68,18.68,18.68,18.68,140
20080924,18.56,18.56,18.56,18.56,500
20080925,18.58,18.58,18.58,18.58,140
20080926,18.71,18.71,18.71,18.71,140
20080929,18.415,18.415,17.82,17.82,1650
20081002,17.98,17.98,17.84,17.84,300
20081006,17.289,17.289,16.98,16.98,2850
20081007,17.14,17.14,17.14,17.14,1090
20081008,16.387,16.63,16.38,16.63,2400
20081009,16.987,16.987,16.649,16.7,1080
20081010,16.172,16.172,16.04,16.04,1910
20081014,16.827,16.827,16.68,16.68,610
20081015,15.73,15.73,15.73,15.73,140
20081016,14.956,14.956,14.86,14.86,820
20081017,15.186,15.311,15.186,15.26,2310
20081020,15.166,15.166,14.901,14.96,660
20081022,13.925,13.925,13.19,13.19,3540
20081024,12.859,14.072,12.859,13.8,2890
20081027,13.748,14.02,13.748,14.02,970
20081028,14.528,14.66,14.528,14.66,1500
20081029,15.534,15.6,15.534,15.6,810
20081031,15.482,15.724,15.437,15.68,790
20081103,15.661,15.661,15.47,15.47,810
20081104,15.571,15.77,15.571,15.77,950
20081105,15.84,15.84,15.84,15.84,270
20081106,15.43,15.43,15.43,15.43,410
20081110,15.476,15.513,15.366,15.41,13360
20081111,15.067,15.067,14.92,14.92,920
20081112,14.776,14.784,14.703,14.71,1340
20081113,14.787,14.787,14.75,14.75,410
20081114,15.448,15.58,15.448,15.58,1360
20081117,15.272,15.272,15.25,15.25,1030
20081119,14.77,14.77,14.77,14.77,820
20081120,14.58,14.58,14.58,14.58,260
20081124,15.25,15.25,15.25,15.25,1360
20081125,15.725,15.732,15.71,15.71,680
20081126,15.652,15.652,15.49,15.49,680
20081128,15.469,15.469,15.41,15.41,550
20081201,15.271,15.271,14.918,14.94,420
20081202,14.893,14.893,14.82,14.82,760
20081204,14.96,14.96,14.96,14.96,270
20081208,15.303,15.303,15.149,15.2,820
20081210,15.13,15.13,15.13,15.13,140
20081215,15.35,15.35,15.35,15.35,360
20081218,15.804,16.26,15.804,16.26,5030
20081219,15.89,15.89,15.89,15.89,240
20081222,16.312,16.312,16.01,16.01,12230
20081224,16.03,16.03,16.03,16.03,130
20081229,16.65,16.65,16.65,16.65,130
20081230,16.87,16.87,16.87,16.87,980
20090102,16.97,16.97,16.97,16.97,380
20090105,16.85,16.85,16.85,16.85,980
20090106,16.95,16.95,16.95,16.95,250
20090107,16.803,16.946,16.7,16.7,10320
20090109,16.39,16.39,15.802,15.85,6050
20090112,15.76,15.76,15.76,15.76,1640
20090113,15.342,15.39,15.342,15.39,510
20090115,15.33,15.33,15.33,15.33,380
20090121,15.49,15.49,15.49,15.49,500
20090122,15.65,15.992,15.65,15.65,1890
20090123,15.404,15.555,15.404,15.46,5820
20090127,15.534,15.534,15.51,15.51,390
20090128,16.094,16.15,15.967,16.15,1720
20090202,15.561,15.76,15.561,15.76,1250
20090205,15.824,15.824,15.8,15.8,510
20090209,16.482,16.72,16.482,16.72,750
20090211,16.272,16.272,15.78,15.78,260
20090212,15.434,16.062,15.434,16.03,510
20090213,15.71,15.71,15.71,15.71,250
20090217,15.684,15.7,15.636,15.7,760
20090219,15.922,15.922,15.58,15.58,1160
20090224,15.74,15.74,15.74,15.74,630
20090225,15.64,15.64,15.64,15.64,130
20090227,15.842,15.89,15.842,15.89,560
20090303,15.926,15.934,15.37,15.37,5040
20090304,15.33,15.33,15.33,15.33,250
20090305,15.369,15.369,15.25,15.25,2080
20090306,15.034,15.034,15.01,15.01,1190
20090309,15.13,15.13,15.13,15.13,250
20090311,15.458,15.458,15.45,15.45,1260
20090312,15.543,16.06,15.48,16.02,13750
20090316,16.263,16.263,15.81,15.81,1250
20090317,15.76,15.76,15.76,15.76,380
20090318,16.08,16.08,16.08,16.08,1130
20090319,16.73,16.73,16.73,16.73,380
20090320,16.728,16.728,16.259,16.68,2210
20090323,17.474,17.474,16.6,16.6,3750
20090327,16.757,16.757,16.4,16.4,1450
20090331,16.722,16.73,16.722,16.73,380
20090401,17.08,17.136,17.08,17.08,7310
20090402,17.097,17.47,17.097,17.47,2310
20090403,17.715,17.715,17.62,17.62,3440
20090406,17.624,17.624,17.512,17.56,39090
20090407,17.541,17.541,17.35,17.35,1180
20090408,17.565,18.439,17.47,17.47,30290
20090409,17.75,17.75,17.44,17.44,28120
20090413,19.206,19.206,17.84,17.84,1130
20090414,17.654,17.71,17.654,17.71,1010
20090416,18.022,18.07,17.967,18.07,10580
20090417,18.049,18.049,17.93,17.93,750
20090420,17.71,17.71,17.71,17.71,130
20090421,17.92,17.92,17.92,17.92,3780
20090422,17.961,18.16,17.961,18.16,260
20090423,18.012,18.06,17.989,18.06,2000
20090424,18.228,18.45,18.228,18.45,510
20090427,19.758,19.758,18.233,18.36,5740
20090429,18.869,19.06,18.869,19.06,260
20090430,19.05,19.09,19.05,19.09,340
20090501,19.21,19.21,19.21,19.21,440
20090504,19.48,19.48,19.48,19.48,500
20090505,19.259,19.259,19.164,19.18,3710
20090506,19.065,19.51,19.065,19.51,3160
20090507,20.25,20.25,19.214,19.23,23290
20090508,19.329,19.4,19.329,19.4,510
20090511,19.157,19.26,19.125,19.26,1650
20090514,18.894,18.95,18.894,18.95,1070
20090515,18.671,18.671,18.52,18.52,3410
20090518,18.798,19.02,18.758,19.02,2190
20090519,19.117,19.22,19.093,19.22,3920
20090520,19.385,20.26,19.385,19.52,10330
20090521,19.304,19.495,19.296,19.36,10670
20090522,18.886,19.64,18.886,19.64,3010
20090526,19.412,19.698,19.396,19.65,3770
20090527,19.634,19.753,19.634,19.65,6290
20090528,19.744,20.3,19.744,20.3,13180
20090529,20.42,20.62,20.34,20.56,3850
20090601,20.55,20.6,20.38,20.45,6510
20090602,20.16,20.49,20.16,20.49,8310
20090603,20.07,20.09,20.07,20.09,1830
20090604,20.12,21.1,20.12,20.35,4660
20090605,20.12,20.3,20.12,20.2,870
20090608,19.896,19.968,19.753,19.96,10810
20090609,20.16,20.16,20.1,20.1,1140
20090610,20.24,20.24,20.1,20.14,7450
20090611,20.33,20.56,20.32,20.56,3300
20090612,20.31,20.37,20.25,20.37,2920
20090615,20.23,20.23,20.05,20.18,14390
20090616,20.34,20.36,20.3,20.36,5850
20090617,19.768,20.31,19.768,20.26,7370
