Date,Open,High,Low,Close,Volume
20200805,25.17,25.25,25.1,25.2,8338
20200806,25.22,25.56,25.09,25.47,16779
20200807,25.55,25.55,24.99,25.15,8507
20200810,25.26,25.26,24.82,24.94,7163
20200811,25,25.29,24.63,24.63,8336
20200812,25.06,25.14,25.06,25.1,7794
20200813,25.18,25.51,25.16,25.2,21792
20200814,25.32,25.32,25.04,25.13,9465
20200817,25.3,25.6,25.29,25.34,17954
20200818,25.54,25.6,25.36,25.52,16092
20200819,25.65,25.7,25.44,25.46,20851
20200820,25.46,25.72,25.46,25.71,13141
20200821,25.72,25.79,25.68,25.79,10747
20200824,26.1,26.1,25.88,25.92,9836
20200825,25.92,26.26,25.92,26.24,7965
20200826,26.54,27.07,26.54,27.02,16577
20200827,26.8,27.18,26.68,26.86,25896
20200828,26.94,27.09,26.94,27.07,22213
20200831,27.14,27.39,27.11,27.25,17165
20200901,27.24,27.57,27.22,27.57,20607
20200902,27.78,27.96,27.46,27.96,11698
20200903,27.59,27.59,26.39,26.66,44251
20200904,26.64,26.71,25.32,26.1,40456
20200908,25.45,25.75,25.08,25.18,65645
20200909,25.66,25.99,25.4,25.86,42535
20200910,26.08,26.15,25.21,25.26,14810
20200911,25.56,25.58,24.85,25.1,18626
20200914,25.4,25.76,25.4,25.46,60792
20200915,25.66,25.79,25.61,25.7,18524
20200916,25.73,25.76,25.42,25.42,24575
20200917,24.94,25.11,24.86,24.99,11081
20200918,25.26,25.26,24.54,24.81,14555
20200921,24.44,24.72,24.21,24.71,26607
20200922,24.96,25.28,24.7,25.28,28986
20200923,25.25,25.32,24.55,24.59,31765
20200924,24.36,24.82,24.35,24.64,10307
20200925,24.65,25.21,24.57,25.21,19900
20200928,25.67,25.67,25.42,25.64,14959
20200929,25.6,25.7,25.6,25.63,11386
20200930,25.69,26.11,25.69,25.87,53062
20201001,26.21,26.21,26.06,26.19,42659
20201002,25.92,26.04,25.7,25.7,24362
20201005,25.93,26.19,25.93,26.18,18292
20201006,26.11,26.31,25.78,25.81,10135
20201007,26.16,26.37,26.13,26.33,11410
20201008,26.45,26.48,26.37,26.42,7827
20201009,26.55,26.82,26.55,26.81,18984
20201012,27.11,27.62,27.05,27.38,16366
20201013,27.41,27.51,27.36,27.4,8534
20201014,27.49,27.49,27.04,27.13,3669
20201015,26.62,26.88,26.54,26.84,22814
20201016,26.97,27.2,26.83,26.83,6626
20201019,27.04,27.05,26.34,26.34,4103
20201020,26.6,26.75,26.52,26.58,7379
20201021,26.66,26.78,26.55,26.57,23728
20201022,26.66,26.66,26.28,26.59,5347
20201023,26.75,26.75,26.51,26.75,22479
20201026,26.52,26.69,25.98,26.27,38310
20201027,26.42,26.54,26.33,26.46,16190
20201028,25.95,25.95,25.46,25.46,31778
20201029,25.66,26.02,25.63,25.81,11228
20201030,25.67,25.67,24.9,25.05,36180
20201102,25.4,25.57,25.07,25.22,12432
20201103,25.21,25.74,25.21,25.57,18317
20201104,26.42,26.96,26.31,26.77,31110
20201105,27.44,27.55,27.24,27.35,92995
20201106,27.15,28.59,27.01,27.45,164802
20201109,28.27,28.3,27.18,27.18,109121
20201110,26.65,26.71,26.22,26.48,35541
20201111,26.74,27,26.67,26.94,27552
20201112,26.99,27.06,26.7,26.75,64556
20201113,26.98,27.09,26.75,27,184458
20201116,26.99,27.12,26.95,27.08,40151
20201117,27.11,27.11,26.91,26.98,40995
20201118,27.05,27.05,26.69,26.76,33339
20201119,26.81,26.98,26.6,26.9,60203
20201120,26.99,27,26.81,26.81,42399
20201123,26.96,26.96,26.65,26.84,26669
20201124,26.9,27.2,26.86,27.17,43185
20201125,27.24,27.27,27.12,27.23,72664
20201127,27.34,27.48,27.34,27.41,13210
20201130,27.45,27.55,26.96,27.32,28177
20201201,27.61,27.79,27.48,27.62,32897
20201202,27.48,27.69,27.29,27.57,37395
20201203,27.62,27.75,27.47,27.54,25289
20201204,27.53,27.94,27.53,27.72,14465
20201207,27.76,27.99,27.7,27.76,19563
20201208,27.79,27.86,27.68,27.82,26517
